x,y,z,roll,pitch,yaw
786,-57,17046,0.068278,-2.3652,-176.13
796,-63,17050,-0.021487,-2.3707,-176.2
797,-57,17067,-0.079868,-2.3757,-176.25
806,-62,17076,-0.12064,-2.3863,-176.29
803,-61,17068,-0.14566,-2.3946,-176.33
803,-55,17072,-0.15234,-2.4015,-176.34
807,-43,17071,-0.14687,-2.4099,-176.36
807,-50,17085,-0.14658,-2.4162,-176.37
813,-43,17077,-0.14016,-2.4257,-176.38
811,-40,17079,-0.13232,-2.4317,-176.39
812,-37,17017,-0.12365,-2.4393,-176.4
805,-32,16999,-0.11292,-2.4408,-176.41
813,-26,17018,-0.099937,-2.4471,-176.42
815,-30,17019,-0.092649,-2.4535,-176.43
813,-32,17028,-0.021353,-2.4616,-176.32
810,-29,17018,0.022692,-2.465,-176.24
800,-31,17019,0.04552,-2.4597,-176.18
800,-35,17016,-0.013083,-2.4506,-176.24
798,-43,17063,0.010358,-2.4441,-176.17
794,-45,17079,0.019726,-2.4351,-176.11
794,-49,17079,0.018576,-2.4276,-176.07
795,-50,17079,0.012813,-2.4222,-176.03
792,-52,17082,0.003567,-2.414,-175.99
803,-47,17083,-0.002594,-2.4152,-175.97
811,-55,17089,-0.020466,-2.4213,-175.95
809,-14,17095,-0.000232,-2.4248,-175.93
815,-15,17095,0.011681,-2.4315,-175.91
823,-16,17085,-0.048778,-2.4383,-176.01
825,-13,17085,-0.081145,-2.4459,-176.09
812,-19,17087,-0.10161,-2.4431,-176.15
805,-21,17071,-0.11198,-2.4383,-176.21
808,-21,17061,-0.11467,-2.4373,-176.25
770,-12,17066,-0.10614,-2.4093,-176.28
774,-50,17070,-0.12401,-2.3888,-176.31
774,-42,17051,-0.12838,-2.3751,-176.34
773,-43,17052,-0.13003,-2.3637,-176.36
770,-48,17046,-0.066129,-2.3578,-176.26
777,-42,17054,-0.018917,-2.3574,-176.18
777,-34,17061,0.013203,-2.3561,-176.11
768,-35,17058,0.024027,-2.3477,-176.06
800,-41,17051,0.023315,-2.3641,-176.03
793,-6,17032,0.044566,-2.3723,-176
789,2,17058,0.062932,-2.3746,-175.97
791,7,17066,0.077697,-2.3774,-175.95
790,10,17070,0.088791,-2.3785,-175.94
787,16,17061,0.10142,-2.3774,-175.93
