x,y,z
796,150,17362
797,147,17368
790,155,17388
794,158,17392
798,155,17386
802,156,17382
797,149,17383
800,147,17407
800,151,17407
809,163,17403
812,164,17401
813,153,17408
803,157,17409
803,147,17413
797,147,17425
801,149,17427
811,146,17430
808,147,17404
804,142,17389
802,148,17376
806,152,17368
807,160,17346
808,159,17325
798,160,17319
789,169,17307
788,173,17352
793,170,17347
794,169,17345
789,172,17345
799,163,17371
798,160,17375
807,160,17392
808,153,17395
805,148,17357
798,156,17379
796,160,17366
804,157,17390
789,160,17384
794,163,17414
793,160,17417
813,162,17422
820,162,17429
819,162,17390
816,167,17383
813,173,17376
807,180,17396
802,185,17340
803,184,17310
773,171,17322
765,171,17296
775,158,17323
774,160,17354
780,162,17345
780,159,17323
775,159,17360
775,163,17377
790,180,17361
794,183,17384
783,185,17389
781,181,17381
771,175,17383
775,176,17398
787,170,17401
790,164,17396
775,160,17405
782,162,17414
785,163,17396
792,158,17388
795,163,17398
796,163,17389
789,159,17383
784,165,17384
792,163,17365
785,164,17376
786,171,17392
780,165,17401
777,155,17378
772,160,17373
772,166,17371
771,161,17372
773,162,17380
759,155,17357
724,449,17366
647,709,17304
549,911,17340
529,976,17329
570,1138,17302
490,1427,17307
398,1622,17323
558,1704,17338
594,1445,17339
665,1375,17392
656,1292,17334
571,1261,17332
436,1285,17400
474,1023,17368
433,1071,17356
210,942,17370
143,698,17290
109,464,17262
141,131,17351
297,145,17397
450,-77,17340
453,-187,17397
636,-466,17408
728,-432,17433
819,-258,17508
807,-132,17545
856,79,17482
713,153,17477
661,230,17570
700,399,17524
718,533,17465
739,522,17554
704,633,17571
815,578,17603
758,659,17579
945,589,17558
860,439,17515
476,298,17460
323,138,17457
332,79,17351
137,-123,17312
-428,-279,17248
-348,-459,17207
-474,-813,17189
-539,-934,17149
-258,-1129,17197
-321,-1238,17240
-454,-1290,17213
-228,-1287,17211
146,-1276,17210
-2,-1358,17256
608,-1043,17186
654,-946,17206
676,-773,17197
846,-692,17206
1139,-537,17125
1072,-513,17144
1236,-682,17203
1423,-527,17143
1042,-545,17193
1149,-425,17141
1457,-166,17160
1251,-293,17166
952,-490,17266
2305,-187,17280
2406,-307,17252
2677,-368,17403
2545,-455,17420
2496,-607,17567
3476,-470,17509
3553,-315,17546
3693,-370,17510
2574,-577,17450
2460,-60,17398
2025,310,17427
2024,616,17387
2067,860,17333
817,533,17378
1011,676,17299
894,1040,17347
568,1298,17390
527,1365,17478
764,1023,17394
748,676,17460
798,600,17387
877,700,17397
770,719,17505
713,540,17483
898,252,17496
963,215,17477
880,414,17461
718,754,17484
554,835,17480
411,722,17508
404,583,17396
477,569,17379
398,546,17383
445,332,17352
449,270,17351
536,79,17304
603,40,17368
769,117,17361
815,197,17421
812,311,17442
810,350,17450
650,410,17493
619,268,17500
607,246,17540
606,239,17494
534,172,17455
447,145,17410
496,87,17387
576,15,17343
596,83,17328
560,178,17319
444,255,17330
342,269,17361
335,244,17383
307,258,17407
269,273,17389
235,276,17414
279,235,17380
298,257,17397
414,131,17361
516,60,17346
540,60,17349
611,25,17325
612,47,17346
581,148,17314
597,161,17321
603,126,17328
651,156,17304
684,221,17301
727,215,17302
728,263,17354
760,239,17395
734,310,17424
727,356,17424
732,400,17406
677,518,17430
