x,y,z
-3.264,-63.235,-7.393
-1.8709,-59.675,-15.435
-13.336,-56.029,-8.3
-16.668,-46.552,-14.679
-9.3857,-38.89,-26.977
-4.3423,-12.124,-50.205
-2.3657,-13.04,-16.205
-4.1571,-14.721,-12.992
-6.1453,-15.908,-5.7177
4.2759,-19.582,-1.5284
16.693,-22.049,8.282
19.254,-28.434,17.724
35.342,-27.531,23.92
22.154,-20.841,45.498
18.129,-20.923,11.356
19.535,-19.417,16.912
19.676,25.032,24.536
10.881,12.578,20
-1.9647,-0.68101,-5.0913
-1.8303,-5.2188,-17.049
-18.466,-8.5478,-18.493
-5.425,-21.69,-12.287
-3.9982,-27.637,47.838
2.1198,-29.925,40.361
1.1979,-26.128,26.397
-3.6852,-30.728,33.793
1.7958,-28.381,51.4
-0.49094,13.603,40.524
18.734,31.399,32.743
4.5222,1.068,21.675
3.6845,28.936,-6.4644
-5.4313,48.914,-0.78958
-6.0136,58.964,-2.6884
-3.4573,24.282,2.3676
-0.62159,49.161,-3.9136
-0.39938,59.975,13.066
-25.207,65.248,20.282
-17.9,71.715,13.085
-20.001,69.631,1.5687
-15.596,22.036,8.7629
-10.273,28.312,19.58
-4.4677,37.479,16.208
-10.855,38.885,8.797
-8.4783,41.71,-8.3062
-0.03296,0.18704,-11.827
5.1503,-28.215,-16.299
-3.2455,-43.527,-74.802
14.809,-54.836,-142.57
48.344,-27.358,-183.91
34.575,-41.918,-162.64
30.597,-23.489,-221.03
16.428,-24.944,-187.3
6.219,-18.368,-182.67
2.1736,-14.97,-176.4
17.708,-15.679,-104.67
-0.66742,32.131,-39.316
-38.456,-14.293,20.086
-31.456,-14.511,-3.7916
-5.4479,-33.794,62.569
-1.1594,-33.125,50.253
0.99911,-37.313,47.043
-0.12346,-40.129,50.098
0.90841,-35.046,41.983
6.5245,-40.991,39.421
4.4697,-34.44,29.446
4.2983,-31.425,32.367
-16.234,-29.084,36.103
-3.9106,-31.837,59.356
-10.834,-29.631,50.015
-13.125,22.477,72.471
-4.905,58.175,51.845
-16.099,75.74,49.906
-5.8302,75.262,55.334
-4.7555,83.638,53.306
-6.6047,81.441,39.573
-9.6018,78.293,5.8962
-9.3101,77.254,19.097
-4.6913,61.383,15.89
-9.0583,43.745,39.475
-1.1847,4.8415,44.081
15.509,-11.129,33.636
11.827,-28.939,22.657
16.265,-34.284,43.104
6.2328,-30.059,45.738
17.103,-42.442,37.604
19.197,-30.766,34.135
9.0591,-24.916,25.649
6.7062,-31.023,37.67
-13.89,-29.362,35.356
-10.686,-35.004,30.296
-16.809,-37.484,9.9856
-7.5538,-38.886,2.4483
-5.5888,-28.128,0.47143
-6.8093,15.091,-14.317
-0.15435,-1.1924,-11.713
0.15983,-2.2054,-30.719
5.8515,-18.617,-29.219
-0.56117,27.323,-37.772
14.028,5.7891,-53.029
8.218,-6.8872,-52.738
0.91431,-21.333,-42.203
9.5274,-26.818,-43.978
4.3122,-25.283,-36.648
4.0448,-35.864,-25.682
-3.7251,-32.23,-28.04
-0.4868,-27.286,-19.199
-6.6716,17.986,9.4583
-3.0182,42.086,6.182
-0.052802,71.764,15.886
-5.6765,74.991,16.361
-2.7097,74.451,8.174
-25.72,90.812,-7.7829
-21.66,86.387,-2.594
-15.747,75.059,10.376
-19.441,76.472,13.039
-17.158,39.772,15.481
-9.9951,4.0586,-4.8072
-18.043,-8.48,10.218
-20.081,-26.303,7.742
7.4371,-0.14165,14.569
4.5841,27.763,5.6053
7.3179,-0.84534,2.3112
12.14,19.177,-8.3705
12.857,27.033,-1.7185
4.0842,27.491,7.8203
11.511,31.812,-2.9639
8.9701,43.394,4.0436
4.0029,44.085,9.3096
5.1213,39.043,21.148
-1.3777,39.064,26.635
-3.8711,39.996,21.862
-7.155,38.714,8.1945
2.3068,2.8668,3.5962
4.3853,-29.285,-5.6556
30.368,-49.232,-13.171
32.31,-53.29,-14.964
20.294,-56.667,-18.551
27.309,-60.726,-22.616
21.773,-59.3,-13.648
20.226,-56.441,3.0968
18.173,-58.021,5.8663
5.7957,-56.232,12.602
-19.854,-53.039,14.752
-22.346,-55.588,10.339
-9.7783,-57.7,13.65
-15.483,-15.835,25.441
-6.9252,13.084,18.939
-8.8033,33.079,15.176
-17.457,47.362,10.058
-33.003,54.572,24.865
-26.64,63.392,26.926
-21.662,65.439,30.011
-19.466,67.325,16.211
-4.3471,73.762,2.1629
-11.912,61.883,9.9968
-6.6132,52.845,6.7587
-4.7151,7.1754,12.893
18.477,-15.886,-12.184
17.886,-38.041,-4.5154
13.831,-45.454,-5.5309
11.319,-41.628,3.4517
-0.35202,-45.116,-3.7565
