x,y,z,roll,pitch,yaw
-979,199,16772,13.917,-0.75865,-154.48
-973,193,16770,13.906,-0.76009,-154.48
-970,194,16769,13.906,-0.78424,-154.42
-974,200,16763,13.939,-0.85016,-154.31
-979,207,16758,13.965,-0.88724,-154.23
-980,220,16755,13.99,-0.90764,-154.16
-982,208,16758,13.964,-0.86345,-154.15
-975,214,16763,13.944,-0.83857,-154.15
-974,209,16769,13.925,-0.82274,-154.14
-985,211,16762,13.909,-0.80412,-154.13
-995,218,16763,13.9,-0.78415,-154.12
-993,217,16773,13.89,-0.77222,-154.11
-986,214,16771,13.886,-0.78867,-154.05
-988,205,16771,13.864,-0.77707,-154.04
-991,208,16771,13.846,-0.76807,-154.04
-996,194,16765,13.821,-0.75745,-154.03
-994,185,16749,13.793,-0.75225,-154.02
-989,182,16773,13.758,-0.73637,-154.07
-980,173,16777,13.725,-0.73617,-154.1
-975,176,16759,13.705,-0.74287,-154.13
-989,182,16764,13.695,-0.74041,-154.15
-989,183,16768,13.689,-0.74043,-154.17
-980,174,16759,13.655,-0.71609,-154.18
-979,185,16754,13.636,-0.70225,-154.2
-979,187,16761,13.622,-0.69409,-154.2
-980,183,16756,13.641,-0.74038,-154.15
-988,201,16741,13.634,-0.71228,-154.17
-995,207,16765,13.634,-0.68884,-154.18
-993,204,16768,13.663,-0.72569,-154.14
-996,206,16778,13.686,-0.74647,-154.1
-1002,210,16786,13.707,-0.75418,-154.07
-1005,206,16776,13.718,-0.75289,-154.04
-1002,217,16766,13.732,-0.75225,-154.02
-994,237,16761,13.757,-0.75539,-154.01
-990,255,16774,13.807,-0.77341,-154.06
-978,250,16769,13.85,-0.79335,-154.12
-968,244,16773,13.887,-0.81413,-154.17
-977,238,16767,13.917,-0.82167,-154.22
-974,229,16767,13.94,-0.82896,-154.26
-965,228,16773,13.962,-0.84117,-154.31
-961,226,16783,13.982,-0.85339,-154.35
-954,219,16794,13.999,-0.86784,-154.38
-945,188,16799,13.994,-0.88502,-154.42
-950,185,16796,13.992,-0.89557,-154.45
-953,186,16783,13.994,-0.90194,-154.47
-946,199,16783,13.988,-0.89805,-154.43
-946,207,16768,13.984,-0.89466,-154.39
-947,211,16786,13.98,-0.89089,-154.36
-947,221,16790,13.98,-0.8858,-154.32
-952,217,16775,13.975,-0.87655,-154.3
-959,223,16778,13.973,-0.86445,-154.27
-970,224,16785,13.96,-0.82685,-154.3
-967,227,16788,13.953,-0.80414,-154.33
-961,210,16762,13.936,-0.79266,-154.35
-939,213,16777,13.926,-0.80286,-154.37
-935,210,16773,13.926,-0.83479,-154.33
-939,198,16766,13.915,-0.85461,-154.3
-946,209,16779,13.914,-0.8638,-154.27
-941,202,16773,13.874,-0.82103,-154.3
-938,195,16770,13.835,-0.79648,-154.32
-946,186,16772,13.85,-0.84342,-154.34
-949,192,16805,13.852,-0.86166,-154.3
-970,185,16800,13.866,-0.87218,-154.33
-971,213,16796,13.88,-0.86428,-154.29
-969,226,16801,13.917,-0.87207,-154.33
-968,216,16791,13.934,-0.85633,-154.41
-977,222,16784,13.968,-0.85942,-154.44
-987,226,16785,14.001,-0.85258,-154.46
-978,236,16768,14.037,-0.85181,-154.48
-977,240,16748,14.071,-0.84929,-154.51
-973,249,16758,14.107,-0.84905,-154.53
-977,229,16757,14.125,-0.8441,-154.56
-979,219,16749,14.113,-0.82554,-154.52
-985,220,16746,14.1,-0.80666,-154.48
-978,206,16744,14.075,-0.79745,-154.44
-970,200,16742,14.048,-0.79704,-154.41
-971,195,16753,14.009,-0.777,-154.43
-974,197,16761,13.989,-0.78473,-154.39
-983,203,16766,13.967,-0.76333,-154.41
-983,203,16761,13.977,-0.78495,-154.44
-983,202,16773,13.989,-0.80178,-154.46
-980,197,16779,13.997,-0.81656,-154.48
-996,195,16780,13.985,-0.80134,-154.44
-998,201,16778,13.976,-0.78766,-154.39
-998,205,16773,13.966,-0.77652,-154.36
-991,208,16769,13.957,-0.77252,-154.32
-984,201,16747,13.942,-0.77314,-154.29
-989,195,16752,13.923,-0.77006,-154.26
-995,190,16749,13.909,-0.78482,-154.18
-992,182,16739,13.878,-0.77534,-154.17
-975,189,16752,13.856,-0.78312,-154.15
-976,197,16749,13.842,-0.78891,-154.13
-980,202,16757,13.833,-0.79081,-154.11
-977,199,16758,13.789,-0.7413,-154.15
-995,205,16768,13.792,-0.74933,-154.12
-994,203,16773,13.756,-0.70308,-154.16
-1021,208,16776,13.765,-0.70572,-154.13
-1014,218,16775,13.776,-0.71073,-154.1
-1060,223,16751,13.796,-0.69587,-154.03
-1065,222,16754,13.796,-0.65722,-154.01
-1055,217,16764,13.792,-0.63645,-154.01
-1047,221,16763,13.789,-0.62716,-154
-1032,218,16763,13.783,-0.62983,-153.99
-1027,216,16771,13.776,-0.6373,-153.98
-992,214,16754,13.769,-0.66785,-153.97
-988,220,16766,13.759,-0.67373,-154.02
-941,222,16780,13.756,-0.71572,-154.06
-933,216,16786,13.763,-0.77424,-154.04
-943,216,16784,13.77,-0.80946,-154.03
-958,203,16790,13.786,-0.83803,-154.08
-954,194,16783,13.831,-0.91575,-154.07
-958,194,16762,13.871,-0.96443,-154.07
-962,193,16767,13.885,-0.97889,-154.01
-968,193,16768,13.911,-0.99571,-154.02
-980,196,16788,13.904,-0.94559,-154.09
-967,193,16785,13.88,-0.90767,-154.09
-965,183,16782,13.851,-0.88306,-154.08
-960,181,16774,13.825,-0.87042,-154.07
-970,184,16782,13.804,-0.85586,-154.06
-974,200,16803,13.764,-0.79269,-154.1
-963,214,16811,13.743,-0.75971,-154.14
-965,209,16805,13.756,-0.7889,-154.11
-945,199,16793,13.758,-0.82242,-154.09
-948,193,16797,13.721,-0.79191,-154.12
-954,195,16784,13.694,-0.7692,-154.15
-955,202,16775,13.679,-0.7548,-154.17
-962,205,16779,13.702,-0.79308,-154.13
-949,208,16777,13.691,-0.77517,-154.15
