ax,ay,az,gx,gy,gz,mx,my,mz
1100,161,16488,0.053887,0.36067,-0.11364,44,37,-21
1099,161,16477,0.053887,0.36067,-0.11364,44,37,-21
1111,168,16510,0.053887,0.36067,-0.11364,43,38,-21
1116,163,16525,0.053887,0.36067,-0.11364,43,38,-20
1121,172,16531,0.053887,0.36067,-0.11364,43,38,-20
1114,174,16542,0.053887,0.36067,-0.11364,43,38,-20
1109,178,16526,0.053887,0.36067,-0.11364,44,38,-20
1105,176,16527,0.053887,0.36067,-0.11311,44,38,-20
1110,178,16533,0.053887,0.36067,-0.11311,44,38,-21
1109,177,16542,0.053887,0.36067,-0.11364,44,38,-21
1103,178,16544,0.053887,0.36067,-0.11364,44,38,-20
1092,193,16538,0.053887,0.36067,-0.11364,44,39,-21
1098,192,16533,0.053887,0.36067,-0.11364,44,39,-20
1103,183,16525,0.053887,0.36067,-0.11364,44,39,-20
1108,179,16529,0.053887,0.36067,-0.11364,44,38,-20
1104,185,16521,0.053887,0.36067,-0.11364,44,38,-20
1100,183,16520,0.053887,0.36014,-0.11364,44,38,-20
1103,188,16513,0.053887,0.36014,-0.11364,44,38,-20
1106,193,16507,0.053887,0.36014,-0.11364,44,38,-21
1099,194,16511,0.053887,0.36014,-0.11364,44,37,-20
1093,194,16511,0.053887,0.36014,-0.11364,44,37,-21
1090,207,16513,0.053887,0.36014,-0.11364,44,37,-20
1089,207,16526,0.053887,0.36014,-0.11364,44,37,-20
1100,193,16536,0.053354,0.36014,-0.11364,44,37,-20
1097,187,16535,0.053354,0.36014,-0.11364,44,37,-20
1095,184,16545,0.053354,0.36014,-0.11364,44,37,-20
1092,182,16550,0.053887,0.36014,-0.11364,44,37,-20
1100,173,16554,0.053887,0.36014,-0.11364,44,37,-20
1107,174,16553,0.053887,0.36014,-0.11364,44,37,-20
1108,164,16550,0.053887,0.36014,-0.11364,44,37,-20
1103,165,16537,0.053887,0.36014,-0.11364,44,37,-20
1093,175,16534,0.053887,0.36014,-0.11364,44,37,-20
1105,183,16542,0.053887,0.36014,-0.11364,44,38,-20
1102,182,16549,0.053887,0.36014,-0.11364,44,38,-20
1103,181,16542,0.053887,0.36014,-0.11364,44,38,-20
1101,187,16550,0.053887,0.36014,-0.11364,44,38,-20
1093,189,16560,0.053887,0.36014,-0.11364,44,38,-21
1090,197,16563,0.053887,0.36014,-0.11364,44,38,-20
1092,200,16550,0.053887,0.36014,-0.11364,44,38,-20
1098,196,16556,0.053887,0.36014,-0.11364,43,38,-20
1090,197,16548,0.053887,0.36014,-0.11364,44,38,-20
1093,201,16538,0.053887,0.36014,-0.11364,44,38,-20
1096,204,16545,0.053887,0.36014,-0.11364,44,38,-20
1107,207,16537,0.053887,0.36014,-0.11364,44,38,-20
1110,203,16540,0.053887,0.36014,-0.11364,44,38,-20
1106,201,16551,0.053887,0.36067,-0.11364,44,38,-20
1112,197,16575,0.053887,0.36067,-0.11364,44,38,-20
1120,201,16572,0.053887,0.36067,-0.11311,44,38,-19
1119,196,16572,0.053887,0.36067,-0.11311,44,38,-20
1124,184,16566,0.053887,0.36067,-0.11311,44,38,-20
1124,183,16575,0.053887,0.36067,-0.11311,44,37,-20
1127,177,16573,0.053887,0.36067,-0.11311,44,38,-19
1123,185,16562,0.053887,0.36067,-0.11311,44,38,-20
1121,184,16556,0.053887,0.36067,-0.11364,44,38,-20
1109,185,16559,0.053887,0.36067,-0.11364,44,38,-20
1098,188,16552,0.053887,0.36067,-0.11364,44,38,-20
1096,189,16546,0.053887,0.36067,-0.11364,44,38,-19
1089,195,16562,0.053887,0.36067,-0.11364,43,38,-19
1081,188,16566,0.053887,0.36067,-0.11364,43,38,-19
1067,189,16568,0.053887,0.36067,-0.11364,44,38,-19
1071,184,16571,0.053887,0.36067,-0.11364,44,38,-19
1080,182,16562,0.053887,0.36067,-0.11364,44,38,-20
1095,179,16544,0.053887,0.36067,-0.11364,44,38,-20
1093,176,16555,0.053887,0.36067,-0.11364,44,38,-20
1095,181,16551,0.053887,0.36067,-0.11364,44,38,-20
1098,187,16529,0.053887,0.36067,-0.11364,44,38,-20
1104,188,16524,0.053887,0.3612,-0.11364,44,38,-20
1105,189,16515,0.053887,0.3612,-0.11364,44,38,-20
1100,189,16511,0.053887,0.3612,-0.11418,44,38,-20
1099,185,16521,0.053887,0.36067,-0.11418,44,38,-20
1090,186,16518,0.053887,0.36067,-0.11364,44,38,-20
1092,183,16501,0.054421,0.36067,-0.11418,44,39,-19
1104,171,16506,0.053887,0.36067,-0.11418,44,39,-19
1104,166,16511,0.053887,0.36067,-0.11418,43,38,-19
1105,166,16507,0.053887,0.36067,-0.11364,44,38,-19
1106,168,16520,0.053887,0.36067,-0.11364,43,38,-19
1110,165,16517,0.053887,0.36067,-0.11364,43,38,-19
1105,171,16519,0.053887,0.36067,-0.11364,43,38,-19
1111,174,16519,0.053887,0.36067,-0.11364,43,38,-20
1108,178,16536,0.053887,0.36067,-0.11364,43,38,-20
1093,189,16544,0.053887,0.36067,-0.11364,43,38,-20
1095,184,16548,0.053887,0.36067,-0.11364,44,38,-20
1094,197,16539,0.053887,0.36067,-0.11364,44,38,-20
1094,196,16531,0.053887,0.36067,-0.11364,44,38,-20
1093,203,16543,0.053887,0.36067,-0.11364,43,38,-20
1099,201,16537,0.053887,0.36067,-0.11311,44,38,-21
1094,200,16551,0.053887,0.36067,-0.11311,43,38,-20
1105,199,16529,0.053887,0.36067,-0.11311,43,38,-20
1113,193,16534,0.054421,0.36067,-0.11311,43,37,-20
1108,186,16534,0.054421,0.36067,-0.11311,43,38,-21
1112,175,16535,0.054421,0.36067,-0.11311,43,38,-20
1108,176,16528,0.054421,0.36067,-0.11364,43,38,-21
1098,175,16500,0.054421,0.36067,-0.11364,44,38,-21
1098,177,16491,0.054421,0.36067,-0.11364,44,38,-20
1101,176,16495,0.054421,0.36067,-0.11364,44,38,-21
1092,176,16500,0.054421,0.36067,-0.11364,44,38,-20
1087,180,16486,0.054421,0.36067,-0.11364,44,38,-21
1085,187,16482,0.054421,0.3612,-0.11364,44,38,-20
1083,182,16478,0.054421,0.3612,-0.11364,44,38,-21
1093,182,16494,0.054421,0.3612,-0.11364,44,38,-21
1098,178,16518,0.054421,0.3612,-0.11364,44,37,-20
1093,170,16518,0.054421,0.3612,-0.11364,44,38,-20
1086,167,16504,0.054421,0.3612,-0.11364,44,38,-21
1099,168,16520,0.054421,0.3612,-0.11364,44,38,-20
1101,164,16532,0.054421,0.3612,-0.11364,44,37,-20
1109,168,16539,0.054421,0.3612,-0.11364,44,38,-20
1106,180,16542,0.054421,0.3612,-0.11364,44,38,-20
1093,186,16537,0.054421,0.3612,-0.11364,44,37,-20
1096,179,16538,0.054421,0.3612,-0.11364,44,37,-20
1097,189,16557,0.054421,0.3612,-0.11364,44,37,-20
1098,201,16568,0.054421,0.36067,-0.11364,44,37,-20
1088,199,16571,0.054421,0.36067,-0.11364,44,38,-20
1083,200,16550,0.054421,0.36067,-0.11364,44,38,-21
1079,201,16542,0.054421,0.36067,-0.11364,44,38,-21
1089,201,16535,0.054421,0.36067,-0.11418,43,38,-21
1100,199,16533,0.054421,0.36067,-0.11418,44,38,-21
1102,209,16521,0.054421,0.36067,-0.11418,44,38,-21
1100,194,16513,0.054421,0.36067,-0.11418,44,38,-21
1101,189,16500,0.053887,0.36067,-0.11418,43,38,-21
1102,186,16501,0.054421,0.36067,-0.11418,44,38,-21
1106,182,16527,0.054421,0.36067,-0.11418,44,38,-21
1106,178,16532,0.054421,0.36067,-0.11418,44,38,-21
1106,171,16537,0.054421,0.36067,-0.11364,44,38,-21
1100,162,16542,0.054421,0.36067,-0.11364,44,38,-21
1096,152,16540,0.054421,0.3612,-0.11364,44,38,-21
1103,165,16531,0.054421,0.36067,-0.11364,44,38,-20
1108,166,16536,0.054421,0.36067,-0.11364,44,38,-20
1117,166,16510,0.054421,0.36067,-0.11364,44,38,-20
1114,169,16499,0.054421,0.36067,-0.11364,44,38,-20
1117,177,16501,0.054421,0.36067,-0.11364,43,38,-20
1111,183,16514,0.054421,0.36067,-0.11364,43,38,-20
1110,188,16509,0.054421,0.36067,-0.11364,43,38,-20
1111,194,16512,0.053887,0.36067,-0.11364,44,38,-20
1115,189,16517,0.053887,0.36067,-0.11364,44,38,-20
1111,190,16522,0.053887,0.36067,-0.11364,44,37,-20
1098,196,16524,0.053887,0.36067,-0.11364,44,37,-20
1105,195,16526,0.053887,0.36067,-0.11364,44,38,-20
1100,186,16525,0.053887,0.36067,-0.11364,44,38,-20
1099,180,16512,0.053887,0.3612,-0.11364,44,38,-20
1108,175,16525,0.053887,0.3612,-0.11364,44,38,-20
1113,173,16524,0.053887,0.3612,-0.11364,43,38,-20
1102,172,16526,0.053887,0.3612,-0.11311,44,37,-20
1108,172,16512,0.053887,0.3612,-0.11364,44,38,-20
1124,177,16525,0.053887,0.3612,-0.11364,43,38,-20
1122,184,16521,0.053887,0.3612,-0.11364,44,38,-21
1123,189,16515,0.054421,0.3612,-0.11311,43,38,-20
1116,191,16520,0.054421,0.36067,-0.11311,43,38,-21
1101,198,16510,0.054421,0.36067,-0.11311,43,38,-21
1105,204,16521,0.054421,0.36067,-0.11311,43,37,-20
1109,209,16542,0.054421,0.36067,-0.11364,43,37,-20
1095,202,16549,0.053887,0.36067,-0.11364,43,38,-20
1090,195,16545,0.053887,0.36067,-0.11364,43,38,-20
1093,183,16551,0.054421,0.36067,-0.11364,43,37,-20
1097,182,16563,0.054421,0.3612,-0.11364,43,37,-20
