ax,ay,az,gx,gy,gz,mx,my,mz
1149,212,16719,0.053887,0.3612,-0.11364,45,38,-20
1146,225,16640,0.053887,0.3612,-0.11364,44,38,-20
1129,217,16585,0.053887,0.3612,-0.11364,44,38,-20
1131,198,16581,0.053887,0.36067,-0.11364,44,38,-20
1136,181,16578,0.053887,0.36067,-0.11364,44,38,-20
1147,173,16582,0.053887,0.36067,-0.11364,44,38,-20
1132,160,16588,0.054421,0.36067,-0.11364,44,38,-21
1122,158,16588,0.054421,0.36067,-0.11364,44,38,-21
1116,164,16587,0.054421,0.36067,-0.11364,44,38,-21
1116,176,16590,0.054421,0.36067,-0.11364,44,38,-21
1111,179,16593,0.054421,0.36067,-0.11364,44,38,-21
1113,169,16582,0.054421,0.36014,-0.11364,44,38,-20
1112,173,16564,0.054421,0.36014,-0.11364,44,38,-20
1103,177,16562,0.053887,0.36014,-0.11364,44,38,-20
1108,190,16570,0.053887,0.36014,-0.11364,44,38,-20
1122,196,16577,0.053887,0.36014,-0.11364,44,38,-20
1114,199,16572,0.053887,0.36014,-0.11364,44,38,-20
1116,203,16582,0.053887,0.36014,-0.11364,44,38,-20
1113,203,16581,0.053887,0.36067,-0.11364,45,38,-20
1112,209,16596,0.053887,0.36067,-0.11364,45,38,-20
1113,205,16599,0.053887,0.36067,-0.11364,45,38,-21
1111,203,16604,0.053887,0.36067,-0.11364,45,38,-21
1112,205,16599,0.053887,0.36067,-0.11364,45,38,-21
1112,205,16591,0.053887,0.36067,-0.11311,45,38,-21
1117,204,16594,0.053887,0.36067,-0.11364,45,38,-21
1110,194,16583,0.053887,0.36067,-0.11364,45,38,-21
1105,193,16577,0.053887,0.36067,-0.11364,45,37,-21
1096,195,16572,0.053887,0.36067,-0.11364,45,38,-21
1092,202,16566,0.053887,0.36067,-0.11364,45,38,-20
1099,207,16551,0.053887,0.36067,-0.11364,44,38,-20
1089,203,16552,0.053887,0.36067,-0.11364,44,38,-20
1094,194,16560,0.053887,0.36067,-0.11364,44,38,-20
1086,186,16575,0.053887,0.36067,-0.11364,44,38,-20
1095,183,16589,0.053887,0.36067,-0.11364,44,38,-20
1096,178,16583,0.053887,0.36067,-0.11364,45,38,-20
1100,178,16588,0.053887,0.36067,-0.11364,44,38,-20
1100,175,16595,0.053887,0.36067,-0.11364,45,38,-20
1090,172,16608,0.053887,0.36067,-0.11364,45,38,-20
1100,175,16612,0.053887,0.36067,-0.11418,45,38,-20
1089,181,16606,0.053887,0.36067,-0.11364,45,38,-20
1095,182,16596,0.053887,0.36067,-0.11364,44,37,-21
1098,182,16599,0.053887,0.3612,-0.11364,44,37,-21
1108,189,16612,0.053887,0.3612,-0.11364,44,37,-21
1113,190,16602,0.053887,0.3612,-0.11364,44,37,-21
1118,184,16617,0.053887,0.3612,-0.11364,44,37,-21
1123,186,16613,0.053887,0.3612,-0.11311,44,38,-21
1129,186,16597,0.053887,0.3612,-0.11311,44,38,-20
1133,183,16589,0.053887,0.3612,-0.11364,45,38,-21
1141,182,16594,0.053887,0.36067,-0.11364,45,38,-20
1126,180,16584,0.054421,0.36067,-0.11364,45,38,-21
1123,178,16580,0.054421,0.36067,-0.11364,45,38,-21
1113,176,16566,0.054421,0.36067,-0.11364,45,38,-21
1107,175,16567,0.054421,0.36067,-0.11364,45,38,-20
1107,175,16559,0.054421,0.36067,-0.11364,45,38,-21
1103,182,16561,0.054421,0.36067,-0.11364,45,38,-21
1094,184,16559,0.054421,0.36067,-0.11364,45,38,-21
1081,185,16556,0.054421,0.36067,-0.11364,45,38,-20
1088,186,16560,0.054421,0.36067,-0.11311,45,38,-20
1089,190,16559,0.054421,0.36067,-0.11311,45,38,-21
1091,197,16576,0.054421,0.36067,-0.11364,45,38,-20
1099,204,16564,0.054421,0.36067,-0.11364,45,38,-21
1094,199,16564,0.054421,0.36067,-0.11364,45,38,-20
