
500,16101.562500,-2.708,0.769,-51.405 
-171.875000,-789.062500,15867.187500,-2.714,0.769,-51.405 
-257.812500,-757.812500,15757.812500,-2.719,-51.405 
-257.812500,-765.625000,15742.187500,-2.719,0.775,-51.405 
-289.062500,-734.375000,16023.437500,-2.714,0.769,-51.405 
-195.312500,-703.125000,16085.937500,-2.714,0.769,-51.405 
-171.875000,-664.062500,15929.687500,-2.708,0.769,-51.405 
-85.937500,-765.625000,16140.625000,-2.714,0.769,-51.405 
-203.125000,-789.062500,16046.875000,-2.714,0.769,-51.405 
-335.937500,-796.875000,15976.562500,-2.719,0.775,-51.405 
-265.625000,-796.875000,16023.437500,-2.719,0.769,-51.405 
-281.250000,-726.562500,15851.562500,-2.714,0.769,-51.405 
-109.375000,-781.250000,16085.937500,-2.708,0.769,-51.405 
-156.250000,-687.500000,16132.812500,-2.708,0.769,-51.405 
-234.375000,-742.187500,16046.875000,-2.714,0.769,-51.405 
-171.875000,-835.937500,15906.250000,-2.719,0.769,-51.405 
-312.500000,-742.187500,15796.875000,-2.719,0.769,-51.405 
-140.625000,-828.125000,15812.500000,-2.714,0.769,-51.405 
-265.625000,-679.687500,16031.250000,-2.714,0.769,-51.405 
-234.375000,-718.750000,16218.750000,-2.69,-51.405 
-125.000000,-773.437500,16171.875000,-2.708,0.769,-51.405 
-257.812500,-796.875000,16085.937500,-2.714,0.769,-51.405 
-250.000000,-773.437500,15695.312500,-2.719,0.775,-51.405 
-195.312500,-820.312500,15906.250000,-2.719,0.769,-51.405 
-234.375000,-726.562500,16039.062500,-2.714,0.769,-51.405 
-289.062500,-695.312500,16140.625000,-2.708,0.769,-51.405 
-187.500000,-718.750000,16140.625000,-2.708,0.769,-51.405 
-117.187500,-718.750000,16125.000000,-2.714,0.769,-51.405 
-250.000000,-851.562500,16000.000000,-2.714,0.769,-51.405 
-226.562500,-804.687500,15765.625000,-2.719,0.769,-51.405 
-328.125000,-765.625000,15914.062500,-2.714,0.769,-51.405 
-226.562500,-726.562500,15914.062500,-2.708,0.769,-51.405 
-179.687500,-718.750000,16093.750000,-2.708,0.769,-51.405 
-148.437500,-703.125000,16226.562500,-2.708,0.769,-51.405 
-210.937500,-781.250000,16109.375000,-2.714,0.769,-51.405 
-289.062500,-828.125000,15882.812500,-2.714,0.769,-51.405 
-242.187500,-773.437500,15875.000000,0.769,-51.405 
-226.562500,-742.187500,15718.750000,-2.714,0.769,-51.405 
-140.625000,-718.750000,16031.250000,-2.708,0.769,-51.405 
