x,y,z,roll,pitch,yaw
-203.13,-890.63,15570,-2.604,0.797,10.399
-156.25,-914.06,15750,-2.598,0.797,10.399
-250,-578.13,16391,-2.587,0.797,10.399
-218.75,-593.75,16133,-2.587,0.797,10.399
-164.06,-867.19,15875,-2.604,0.791,10.399
-203.13,-945.31,15844,-2.604,0.797,10.399
-203.13,-539.06,16016,-2.587,0.797,10.399
-273.44,-523.44,16344,-2.593,0.797,10.399
-226.56,-867.19,15930,-2.604,0.791,10.399
-203.13,-945.31,15711,-2.604,0.791,10.399
-195.31,-601.56,16039,-2.587,0.791,10.399
-289.06,-492.19,16406,-2.587,0.791,10.399
-218.75,-859.38,15938,-2.604,0.791,10.399
-132.81,-851.56,15547,-2.598,0.791,10.399
-234.38,-718.75,16117,-2.587,0.791,10.399
-226.56,-578.13,16258,-2.587,0.791,10.399
-148.44,-773.44,15820,-2.598,0.786,10.399
-218.75,-960.94,15672,-2.604,0.786,10.399
-203.13,-757.81,16141,-2.593,0.786,10.399
-210.94,-492.19,16055,-2.587,0.786,10.399
-195.31,-835.94,16055,-2.598,0.786,10.399
-226.56,-968.75,15781,-2.604,0.786,10.399
-117.19,-710.94,15828,-2.587,0.786,10.399
-343.75,-539.06,16391,-2.582,0.786,10.399
-203.13,-804.69,16094,-2.593,0.786,10.399
-164.06,-906.25,15555,-2.598,0.786,10.399
-210.94,-710.94,16016,-2.593,0.786,10.399
-195.31,-515.63,16422,-2.587,0.786,10.399
-226.56,-765.63,15984,-2.598,0.786,10.399
-164.06,-898.44,15727,-2.604,0.786,10.399
-148.44,-703.13,16172,-2.593,0.786,10.399
-257.81,-539.06,16094,-2.587,0.786,10.399
-226.56,-640.63,16117,-2.593,0.786,10.399
-210.94,-968.75,15844,-2.604,0.786,10.399
-203.13,-812.5,15758,-2.593,0.786,10.399
-242.19,-515.63,16289,-2.587,0.786,10.399
-257.81,-710.94,16281,-2.593,0.786,10.399
-218.75,-968.75,15711,-2.604,0.78,10.399
-218.75,-750,15875,-2.593,0.786,10.399
-289.06,-484.38,16250,-2.582,0.786,10.399
-242.19,-695.31,16188,-2.593,0.786,10.399
-148.44,-867.19,15508,-2.598,0.786,10.399
-140.63,-875,15836,-2.593,0.786,10.399
-257.81,-585.94,16344,-2.582,0.786,10.399
-164.06,-609.38,15914,-2.587,0.786,10.399
-218.75,-976.56,15844,-2.598,0.786,10.399
-171.88,-843.75,15953,-2.593,0.786,10.399
-242.19,-539.06,15922,-2.582,0.786,10.399
-281.25,-664.06,16336,-2.587,0.786,10.399
-195.31,-937.5,15805,-2.598,0.786,10.399
-117.19,-914.06,15578,-2.593,0.78,10.399
-296.88,-546.88,16188,-2.582,0.786,10.399
-187.5,-585.94,16477,-2.587,0.786,10.399
-257.81,-890.63,15641,-2.598,0.786,10.399
-171.88,-882.81,15805,-2.593,0.78,10.399
-265.63,-531.25,16375,-2.582,0.78,10.399
-281.25,-531.25,16219,-2.582,0.78,10.399
-187.5,-781.25,15836,-2.598,0.78,10.399
-218.75,-898.44,15953,-2.593,0.78,10.399
-234.38,-617.19,15891,-2.582,0.78,10.399
-218.75,-484.38,16383,-2.582,0.786,10.399
-218.75,-828.13,15992,-2.593,0.786,10.399
-164.06,-968.75,15617,-2.593,0.78,10.399
-156.25,-632.81,16102,-2.582,0.786,10.399
-210.94,-562.5,16328,-2.582,0.786,10.399
-226.56,-867.19,15977,-2.593,0.78,10.399
-164.06,-937.5,15516,-2.593,0.78,10.399
-242.19,-718.75,16000,-2.582,0.786,10.399
-203.13,-578.13,16453,-2.576,0.786,10.399
-210.94,-789.06,15641,-2.593,0.786,10.399
-148.44,-1023.4,15781,-2.598,0.786,10.399
-273.44,-671.88,16063,-2.582,0.786,10.399
-226.56,-445.31,16102,-2.576,0.786,10.399
-265.63,-812.5,16180,-2.593,0.786,10.399
-179.69,-929.69,15813,-2.598,0.786,10.399
-187.5,-710.94,15750,-2.587,0.786,10.399
-273.44,-531.25,16352,-2.582,0.786,10.399
-171.88,-710.94,16195,-2.593,0.786,10.399
-164.06,-921.88,15586,-2.598,0.786,10.399
-164.06,-726.56,15906,-2.587,0.786,10.399
-218.75,-531.25,16516,-2.582,0.786,10.399
-250,-742.19,15891,-2.593,0.786,10.399
-148.44,-882.81,15750,-2.598,0.786,10.399
-265.63,-796.88,16164,-2.587,0.786,10.399
-218.75,-515.63,16117,-2.582,0.786,10.399
-242.19,-640.63,16211,-2.593,0.786,10.399
-234.38,-984.38,15695,-2.598,0.786,10.399
-203.13,-820.31,15734,-2.587,0.786,10.399
-265.63,-484.38,16297,-2.582,0.786,10.399
-250,-742.19,16117,-2.587,0.786,10.399
-210.94,-984.38,15680,-2.598,0.786,10.399
-179.69,-781.25,15781,-2.587,0.786,10.399
-265.63,-585.94,16281,-2.582,0.786,10.399
-257.81,-687.5,16219,-2.593,0.786,10.399
-187.5,-906.25,15422,-2.598,0.786,10.399
-250,-890.63,15945,-2.593,0.786,10.399
-296.88,-593.75,16172,-2.582,0.786,10.399
-250,-578.13,16023,-2.587,0.786,10.399
-226.56,-945.31,15859,-2.598,0.786,10.399
-187.5,-851.56,15898,-2.593,0.786,10.399
-234.38,-562.5,16031,-2.582,0.786,10.399
-343.75,-593.75,16375,-2.587,0.786,10.399
-257.81,-921.88,15898,-2.598,0.786,10.399
-164.06,-843.75,15477,-2.598,0.786,10.399
-312.5,-546.88,16266,-2.587,0.786,10.399
-265.63,-632.81,16500,-2.587,0.786,10.399
-164.06,-859.38,15555,-2.598,0.786,10.399
-195.31,-906.25,15930,-2.598,0.786,10.399
-328.13,-617.19,16156,-2.587,0.791,10.399
-226.56,-531.25,16203,-2.587,0.791,10.399
-179.69,-843.75,15953,-2.604,0.786,10.399
-156.25,-984.38,15750,-2.598,0.786,10.399
-210.94,-648.44,15930,-2.587,0.786,10.399
-265.63,-492.19,16328,-2.587,0.791,10.399
-242.19,-875,15984,-2.598,0.791,10.399
-187.5,-1007.8,15625,-2.604,0.786,10.399
-226.56,-671.88,15875,-2.593,0.791,10.399
-281.25,-500,16563,-2.587,0.791,10.399
-203.13,-757.81,15914,-2.598,0.786,10.399
-179.69,-960.94,15531,-2.604,0.786,10.399
-257.81,-734.38,16125,-2.593,0.791,10.399
-226.56,-578.13,16320,-2.587,0.791,10.399
-257.81,-726.56,15758,-2.598,0.791,10.399
-140.63,-976.56,15773,-2.604,0.786,10.399
-179.69,-734.38,16016,-2.593,0.786,10.399
-234.38,-500,16141,-2.587,0.791,10.399
-257.81,-703.13,16203,-2.598,0.791,10.399
-210.94,-953.13,15734,-2.609,0.791,10.399
-179.69,-781.25,15766,-2.598,0.791,10.399
-289.06,-484.38,16375,-2.587,0.791,10.399
-179.69,-765.63,16227,-2.598,0.791,10.399
-226.56,-882.81,15406,-2.609,0.791,10.399
-195.31,-796.88,16031,-2.598,0.791,10.399
-273.44,-523.44,16359,-2.593,0.791,10.399
-226.56,-671.88,16016,-2.598,0.791,10.399
-187.5,-937.5,15734,-2.609,0.791,10.399
-250,-804.69,15961,-2.598,0.791,10.399
-179.69,-476.56,16219,-2.587,0.791,10.399
-250,-671.88,16086,-2.598,0.791,10.399
-148.44,-1000,15813,-2.609,0.791,10.399
-226.56,-835.94,15711,-2.598,0.791,10.399
-218.75,-539.06,16109,-2.587,0.791,10.399
-328.13,-703.13,16250,-2.598,0.791,10.399
-218.75,-882.81,15609,-2.609,0.791,10.399
-203.13,-859.38,15789,-2.604,0.791,10.399
-242.19,-585.94,16313,-2.593,0.791,10.399
-210.94,-640.63,16203,-2.598,0.791,10.399
-203.13,-898.44,15703,-2.609,0.791,10.399
-242.19,-781.25,15859,-2.598,0.791,10.399
-250,-554.69,16367,-2.593,0.797,10.399
-187.5,-640.63,15906,-2.598,0.797,10.399
-195.31,-921.88,15906,-2.609,0.797,10.399
-250,-875,15961,-2.604,0.797,10.399
-195.31,-523.44,15883,-2.587,0.797,10.399
-242.19,-578.13,16531,-2.593,0.797,10.399
-156.25,-898.44,15742,-2.609,0.797,10.399
-132.81,-906.25,15594,-2.604,0.797,10.399
-265.63,-617.19,16203,-2.593,0.797,10.399
-304.69,-601.56,16242,-2.593,0.797,10.399
-210.94,-804.69,15766,-2.604,0.797,10.399
-109.38,-890.63,15773,-2.604,0.791,10.399
-273.44,-640.63,16125,-2.593,0.797,10.399
-234.38,-523.44,16242,-2.593,0.797,10.399
-265.63,-835.94,15797,-2.604,0.797,10.399
-125,-1015.6,15852,-2.604,0.791,10.399
-242.19,-617.19,15844,-2.587,0.797,10.399
-234.38,-515.63,16344,-2.587,0.797,10.399
-257.81,-882.81,15906,-2.604,0.791,10.399
-171.88,-937.5,15547,-2.604,0.791,10.399
-218.75,-671.88,16063,-2.593,0.797,10.399
-195.31,-562.5,16391,-2.587,0.797,10.399
-210.94,-757.81,15953,-2.598,0.791,10.399
-156.25,-984.38,15609,-2.604,0.791,10.399
-265.63,-734.38,15969,-2.593,0.797,10.399
-265.63,-570.31,16398,-2.593,0.797,10.399
-250,-773.44,15727,-2.604,0.797,10.399
-179.69,-929.69,15852,-2.609,0.797,10.399
-187.5,-765.63,15945,-2.598,0.797,10.399
-218.75,-484.38,16063,-2.593,0.797,10.399
-265.63,-718.75,16281,-2.604,0.797,10.399
-125,-984.38,15602,-2.609,0.791,10.399
-226.56,-773.44,15789,-2.598,0.797,10.399
-289.06,-437.5,16422,-2.587,0.797,10.399
-195.31,-757.81,16070,-2.598,0.797,10.399
-187.5,-898.44,15578,-2.609,0.797,10.399
-265.63,-773.44,15953,-2.598,0.797,10.399
-273.44,-601.56,16344,-2.587,0.797,10.399
-242.19,-679.69,16016,-2.598,0.797,10.399
-78.125,-906.25,15727,-2.604,0.797,10.399
-234.38,-890.63,15953,-2.598,0.797,10.399
-164.06,-531.25,16016,-2.587,0.797,10.399
-203.13,-664.06,16133,-2.598,0.797,10.399
-187.5,-1046.9,15797,-2.609,0.797,10.399
-203.13,-890.63,15672,-2.598,0.797,10.399
-234.38,-515.63,16234,-2.587,0.797,10.399
-265.63,-664.06,16320,-2.598,0.797,10.399
-148.44,-914.06,15727,-2.609,0.797,10.399
-250,-890.63,15711,-2.598,0.797,10.399
-265.63,-476.56,16383,-2.587,0.797,10.399
-250,-640.63,16250,-2.593,0.797,10.399
-164.06,-898.44,15578,-2.604,0.791,10.399
-148.44,-890.63,15984,-2.604,0.797,10.399
-210.94,-632.81,16094,-2.587,0.797,10.399
-265.63,-554.69,16078,-2.593,0.797,10.399
-179.69,-859.38,16039,-2.609,0.797,10.399
-156.25,-906.25,15703,-2.604,0.797,10.399
-242.19,-578.13,15945,-2.593,0.797,10.399
-242.19,-546.88,16398,-2.593,0.797,10.399
-218.75,-921.88,15938,-2.609,0.797,10.399
-140.63,-906.25,15555,-2.609,0.797,10.399
-179.69,-609.38,16055,-2.593,0.797,10.399
-250,-578.13,16508,-2.593,0.797,10.399
-195.31,-820.31,15578,-2.609,0.791,10.399
-117.19,-976.56,15727,-2.609,0.797,10.399
-296.88,-710.94,16148,-2.598,0.797,10.399
-203.13,-484.38,16180,-2.593,0.797,10.399
-179.69,-835.94,16023,-2.604,0.791,10.399
-234.38,-953.13,15742,-2.609,0.791,10.399
-140.63,-703.13,15898,-2.593,0.791,10.399
-281.25,-546.88,16227,-2.593,0.797,10.399
-234.38,-796.88,16055,-2.604,0.797,10.399
-179.69,-937.5,15602,-2.609,0.791,10.399
-250,-710.94,15859,-2.593,0.797,10.399
-289.06,-468.75,16641,-2.587,0.797,10.399
-203.13,-742.19,15938,-2.604,0.791,10.399
-109.38,-992.19,15570,-2.609,0.791,10.399
-273.44,-695.31,16180,-2.593,0.797,10.399
-289.06,-492.19,16273,-2.587,0.797,10.399
-210.94,-710.94,16000,-2.598,0.797,10.399
-195.31,-1000,15695,-2.609,0.797,10.399
-218.75,-789.06,15898,-2.593,0.797,10.399
-234.38,-460.94,16258,-2.587,0.797,10.399
-218.75,-726.56,16203,-2.598,0.797,10.399
-179.69,-1023.4,15672,-2.609,0.797,10.399
-140.63,-812.5,15656,-2.593,0.797,10.399
-281.25,-507.81,16375,-2.582,0.802,10.399
-265.63,-750,16141,-2.593,0.797,10.399
-109.38,-945.31,15539,-2.604,0.797,10.399
-203.13,-882.81,15820,-2.593,0.797,10.399
-304.69,-554.69,16352,-2.587,0.797,10.399
-226.56,-609.38,15945,-2.593,0.797,10.399
-164.06,-976.56,15719,-2.604,0.791,10.399
-195.31,-851.56,15883,-2.598,0.791,10.399
-234.38,-507.81,16125,-2.582,0.797,10.399
-210.94,-625,16188,-2.593,0.797,10.399
-171.88,-953.13,15844,-2.604,0.791,10.399
-164.06,-914.06,15633,-2.598,0.791,10.399
-226.56,-554.69,16188,-2.582,0.791,10.399
-265.63,-562.5,16492,-2.587,0.791,10.399
-164.06,-914.06,15602,-2.604,0.791,10.399
-156.25,-890.63,15797,-2.598,0.791,10.399
-242.19,-570.31,16391,-2.587,0.791,10.399
-250,-648.44,16055,-2.587,0.791,10.399
-164.06,-851.56,15820,-2.604,0.791,10.399
-187.5,-898.44,15766,-2.598,0.786,10.399
-242.19,-625,16133,-2.587,0.791,10.399
-265.63,-507.81,16195,-2.587,0.791,10.399
-195.31,-859.38,15977,-2.604,0.786,10.399
-171.88,-992.19,15703,-2.604,0.786,10.399
-234.38,-554.69,16000,-2.582,0.791,10.399
-296.88,-546.88,16477,-2.587,0.791,10.399
-164.06,-906.25,15883,-2.604,0.786,10.399
-179.69,-929.69,15516,-2.604,0.786,10.399
-218.75,-710.94,16055,-2.587,0.791,10.399
-226.56,-617.19,16391,-2.587,0.791,10.399
-234.38,-773.44,15711,-2.598,0.791,10.399
-140.63,-992.19,15719,-2.604,0.786,10.399
-250,-750,16086,-2.593,0.791,10.399
-242.19,-484.38,16117,-2.587,0.791,10.399
-250,-757.81,16039,-2.598,0.786,10.399
-117.19,-1007.8,15828,-2.604,0.786,10.399
-171.88,-679.69,15750,-2.587,0.786,10.399
-320.31,-492.19,16453,-2.582,0.791,10.399
-218.75,-718.75,16172,-2.598,0.786,10.399
-164.06,-1000,15438,-2.604,0.786,10.399
-179.69,-765.63,16008,-2.593,0.786,10.399
-210.94,-445.31,16461,-2.582,0.786,10.399
-226.56,-726.56,16000,-2.593,0.786,10.399
-164.06,-929.69,15703,-2.604,0.786,10.399
-234.38,-781.25,16016,-2.587,0.786,10.399
-234.38,-562.5,16172,-2.582,0.786,10.399
-257.81,-679.69,15977,-2.593,0.786,10.399
-195.31,-992.19,15859,-2.604,0.786,10.399
-203.13,-812.5,15602,-2.593,0.786,10.399
-296.88,-531.25,16227,-2.582,0.786,10.399
-265.63,-632.81,16188,-2.587,0.786,10.399
-109.38,-960.94,15719,-2.598,0.786,10.399
-203.13,-812.5,15711,-2.587,0.786,10.399
-265.63,-500,16305,-2.576,0.791,10.399
-289.06,-687.5,16305,-2.587,0.791,10.399
-171.88,-906.25,15477,-2.598,0.786,10.399
-203.13,-875,15758,-2.593,0.791,10.399
-242.19,-578.13,16453,-2.582,0.786,10.399
-226.56,-593.75,15914,-2.582,0.786,10.399
-164.06,-968.75,15852,-2.598,0.786,10.399
-218.75,-843.75,15883,-2.593,0.786,10.399
-234.38,-531.25,16047,-2.576,0.786,10.399
-273.44,-664.06,16414,-2.587,0.786,10.399
-210.94,-898.44,15773,-2.598,0.786,10.399
-148.44,-914.06,15539,-2.593,0.786,10.399
-242.19,-554.69,16211,-2.576,0.786,10.399
-226.56,-585.94,16391,-2.582,0.786,10.399
-171.88,-937.5,15734,-2.598,0.786,10.399
-117.19,-898.44,15758,-2.593,0.786,10.399
-281.25,-601.56,16313,-2.582,0.786,10.399
-234.38,-523.44,16250,-2.582,0.786,10.399
-179.69,-867.19,15836,-2.598,0.786,10.399
-171.88,-937.5,15805,-2.598,0.786,10.399
-210.94,-671.88,16031,-2.582,0.786,10.399
-312.5,-539.06,16211,-2.582,0.786,10.399
-195.31,-875,15883,-2.598,0.786,10.399
-179.69,-953.13,15711,-2.598,0.786,10.399
-203.13,-632.81,15883,-2.582,0.786,10.399
-265.63,-578.13,16313,-2.582,0.786,10.399
-210.94,-851.56,16047,-2.598,0.786,10.399
-179.69,-929.69,15430,-2.598,0.786,10.399
-257.81,-703.13,16109,-2.582,0.786,10.399
-281.25,-531.25,16445,-2.582,0.786,10.399
-218.75,-742.19,15734,-2.593,0.786,10.399
-179.69,-1007.8,15852,-2.598,0.786,10.399
-289.06,-640.63,16109,-2.582,0.786,10.399
-250,-476.56,16148,-2.576,0.786,10.399
-296.88,-734.38,16148,-2.593,0.786,10.399
-164.06,-953.13,15828,-2.598,0.786,10.399
-187.5,-765.63,15719,-2.582,0.791,10.399
-226.56,-500,16367,-2.576,0.791,10.399
-218.75,-757.81,16180,-2.587,0.791,10.399
-195.31,-984.38,15422,-2.598,0.791,10.399
-203.13,-718.75,16008,-2.582,0.791,10.399
-304.69,-562.5,16383,-2.576,0.791,10.399
-210.94,-687.5,15930,-2.587,0.791,10.399
-179.69,-953.13,15695,-2.598,0.791,10.399
-171.88,-875,15891,-2.587,0.791,10.399
-203.13,-531.25,16227,-2.576,0.791,10.399
-226.56,-679.69,16117,-2.587,0.791,10.399
-195.31,-984.38,15594,-2.598,0.791,10.399
-179.69,-867.19,15820,-2.587,0.791,10.399
-242.19,-445.31,16125,-2.576,0.791,10.399
-304.69,-656.25,16219,-2.587,0.791,10.399
-203.13,-976.56,15773,-2.598,0.791,10.399
-195.31,-843.75,15555,-2.587,0.791,10.399
-203.13,-546.88,16391,-2.576,0.791,10.399
-226.56,-656.25,16234,-2.587,0.791,10.399
-132.81,-945.31,15523,-2.598,0.786,10.399
-234.38,-898.44,15859,-2.593,0.791,10.399
-265.63,-578.13,16305,-2.576,0.791,10.399
-312.5,-601.56,16047,-2.582,0.791,10.399
-156.25,-929.69,15922,-2.598,0.791,10.399
-234.38,-937.5,15820,-2.593,0.791,10.399
-250,-554.69,16086,-2.582,0.791,10.399
-343.75,-492.19,16406,-2.582,0.791,10.399
-226.56,-882.81,15914,-2.598,0.791,10.399
-179.69,-914.06,15539,-2.593,0.791,10.399
-210.94,-546.88,16250,-2.576,0.797,10.399
-289.06,-625,16297,-2.582,0.797,10.399
-210.94,-882.81,15633,-2.598,0.791,10.399
-156.25,-867.19,15688,-2.593,0.791,10.399
-234.38,-640.63,16258,-2.582,0.797,10.399
-265.63,-515.63,16148,-2.582,0.797,10.399
-148.44,-921.88,15789,-2.598,0.791,10.399
-234.38,-1007.8,15656,-2.598,0.797,10.399
-164.06,-695.31,15969,-2.582,0.797,10.399
-320.31,-523.44,16133,-2.582,0.797,10.399
-203.13,-867.19,15969,-2.598,0.797,10.399
-164.06,-960.94,15555,-2.598,0.791,10.399
-203.13,-679.69,15906,-2.582,0.797,10.399
-343.75,-468.75,16461,-2.582,0.797,10.399
-210.94,-804.69,16141,-2.593,0.797,10.399
-164.06,-945.31,15383,-2.598,0.797,10.399
-234.38,-695.31,16203,-2.582,0.797,10.399
-257.81,-539.06,16422,-2.576,0.797,10.399
-210.94,-820.31,15703,-2.593,0.797,10.399
-226.56,-976.56,15828,-2.598,0.797,10.399
-210.94,-718.75,16031,-2.582,0.797,10.399
-257.81,-531.25,16172,-2.576,0.797,10.399
-250,-695.31,16172,-2.593,0.797,10.399
-171.88,-1007.8,15742,-2.598,0.797,10.399
-203.13,-812.5,15656,-2.582,0.797,10.399
-281.25,-453.13,16375,-2.576,0.797,10.399
-218.75,-734.38,16242,-2.587,0.797,10.399
-132.81,-1000,15375,-2.593,0.797,10.399
-234.38,-773.44,15906,-2.582,0.797,10.399
-304.69,-515.63,16445,-2.576,0.797,10.399
-203.13,-710.94,15969,-2.582,0.797,10.399
-140.63,-976.56,15641,-2.593,0.797,10.399
-210.94,-859.38,15875,-2.587,0.797,10.399
-226.56,-507.81,16156,-2.571,0.797,10.399
-195.31,-679.69,16109,-2.582,0.797,10.399
-218.75,-992.19,15758,-2.598,0.797,10.399
-148.44,-843.75,15766,-2.587,0.797,10.399
-242.19,-531.25,16125,-2.571,0.802,10.399
-218.75,-640.63,16375,-2.582,0.797,10.399
-226.56,-937.5,15680,-2.593,0.797,10.399
-109.38,-835.94,15625,-2.587,0.797,10.399
-289.06,-523.44,16406,-2.571,0.802,10.399
-234.38,-562.5,16352,-2.576,0.802,10.399
-171.88,-914.06,15570,-2.593,0.802,10.399
-171.88,-882.81,15898,-2.587,0.802,10.399
-257.81,-578.13,16188,-2.571,0.802,10.399
-257.81,-546.88,16117,-2.576,0.802,10.393
-195.31,-867.19,15891,-2.593,0.802,10.399
-164.06,-921.88,15781,-2.587,0.802,10.399
-234.38,-578.13,16039,-2.571,0.802,10.393
-203.13,-515.63,16375,-2.576,0.802,10.393
-226.56,-937.5,15906,-2.593,0.802,10.393
-234.38,-937.5,15508,-2.587,0.802,10.399
-203.13,-632.81,16180,-2.571,0.802,10.393
-250,-585.94,16367,-2.576,0.802,10.393
-195.31,-812.5,15766,-2.587,0.802,10.393
-125,-945.31,15688,-2.587,0.802,10.393
-203.13,-679.69,16133,-2.576,0.802,10.393
-242.19,-492.19,16156,-2.571,0.802,10.393
-203.13,-859.38,15859,-2.587,0.797,10.393
-195.31,-992.19,15773,-2.587,0.802,10.393
-218.75,-703.13,16008,-2.576,0.797,10.393
-257.81,-500,16273,-2.571,0.802,10.393
-218.75,-804.69,16102,-2.587,0.802,10.393
-203.13,-945.31,15602,-2.587,0.797,10.393
-234.38,-625,16008,-2.571,0.802,10.393
-265.63,-476.56,16492,-2.571,0.802,10.393
-203.13,-789.06,15906,-2.587,0.802,10.393
-148.44,-976.56,15555,-2.587,0.802,10.393
-273.44,-671.88,16156,-2.571,0.802,10.393
-226.56,-515.63,16320,-2.571,0.802,10.393
-265.63,-789.06,15781,-2.582,0.802,10.393
-132.81,-984.38,15656,-2.587,0.797,10.393
-242.19,-773.44,15938,-2.576,0.802,10.393
-296.88,-476.56,16195,-2.571,0.802,10.393
-273.44,-742.19,16102,-2.582,0.802,10.393
-148.44,-1031.3,15695,-2.593,0.802,10.393
-195.31,-718.75,15758,-2.576,0.802,10.393
-242.19,-484.38,16438,-2.571,0.802,10.393
-257.81,-765.63,16039,-2.582,0.802,10.393
-171.88,-921.88,15555,-2.593,0.802,10.393
-140.63,-734.38,15969,-2.582,0.802,10.393
-242.19,-585.94,16422,-2.576,0.802,10.393
-218.75,-726.56,15977,-2.587,0.802,10.393
-164.06,-929.69,15664,-2.593,0.802,10.393
-179.69,-820.31,16125,-2.582,0.802,10.393
-203.13,-515.63,16094,-2.571,0.802,10.393
-242.19,-664.06,16148,-2.582,0.802,10.393
-210.94,-976.56,15867,-2.593,0.802,10.393
-187.5,-828.13,15680,-2.587,0.802,10.393
-281.25,-546.88,16242,-2.576,0.802,10.393
-250,-593.75,16367,-2.582,0.802,10.393
-179.69,-929.69,15711,-2.593,0.797,10.393
-226.56,-835.94,15797,-2.587,0.802,10.393
-265.63,-492.19,16398,-2.576,0.802,10.393
-257.81,-671.88,16227,-2.582,0.802,10.393
-164.06,-929.69,15547,-2.593,0.802,10.393
-179.69,-875,15867,-2.587,0.802,10.393
-203.13,-585.94,16156,-2.576,0.802,10.393
-210.94,-593.75,15961,-2.582,0.802,10.393
-187.5,-945.31,15961,-2.593,0.797,10.393
-187.5,-898.44,15766,-2.593,0.797,10.393
-171.88,-546.88,16102,-2.576,0.802,10.393
-273.44,-578.13,16367,-2.582,0.802,10.393
-117.19,-921.88,15867,-2.598,0.797,10.393
-148.44,-898.44,15594,-2.593,0.802,10.393
-304.69,-585.94,16063,-2.576,0.802,10.393
-234.38,-601.56,16492,-2.582,0.802,10.393
-203.13,-820.31,15727,-2.593,0.797,10.393
-148.44,-968.75,15664,-2.593,0.797,10.393
-265.63,-656.25,16328,-2.582,0.802,10.393
-203.13,-414.06,16148,-2.576,0.802,10.393
-203.13,-906.25,16023,-2.593,0.802,10.393
-164.06,-937.5,15813,-2.598,0.802,10.393
-187.5,-679.69,15984,-2.582,0.802,10.393
-312.5,-539.06,16313,-2.582,0.802,10.393
-164.06,-765.63,16133,-2.593,0.802,10.393
-195.31,-953.13,15547,-2.598,0.802,10.393
