x,y,z,roll,pitch,yaw
-234.38,-601.56,16094,-2.39,0.544,-74.85
-234.38,-695.31,15867,-2.395,0.549,-74.85
-93.75,-585.94,15664,-2.395,0.549,-74.85
-140.63,-625,16273,-2.384,0.549,-74.85
-187.5,-710.94,16117,-2.39,0.544,-74.85
-203.13,-703.13,15742,-2.395,0.549,-74.85
-226.56,-671.88,15875,-2.395,0.549,-74.85
-117.19,-710.94,16305,-2.39,0.549,-74.85
-46.875,-671.88,15922,-2.39,0.544,-74.85
-125,-726.56,15773,-2.395,0.549,-74.85
-203.13,-703.13,15930,-2.395,0.555,-74.85
-46.875,-656.25,15969,-2.39,0.549,-74.85
-46.875,-687.5,15938,-2.39,0.549,-74.85
-257.81,-734.38,15906,-2.395,0.549,-74.85
-117.19,-656.25,15914,-2.395,0.549,-74.85
-132.81,-625,16039,-2.384,0.549,-74.85
-250,-679.69,16328,-2.39,0.549,-74.85
-101.56,-726.56,15844,-2.395,0.549,-74.85
-148.44,-687.5,15695,-2.39,0.549,-74.85
-226.56,-625,16305,-2.39,0.549,-74.85
-117.19,-656.25,16094,-2.39,0.544,-74.85
-109.38,-687.5,15680,-2.395,0.549,-74.85
-328.13,-625,15992,-2.39,0.549,-74.85
-179.69,-664.06,16148,-2.384,0.544,-74.85
-62.5,-632.81,16031,-2.39,0.544,-74.85
-179.69,-710.94,15898,-2.395,0.549,-74.85
-218.75,-718.75,15828,-2.395,0.549,-74.85
-62.5,-640.63,15820,-2.39,0.549,-74.85
-132.81,-656.25,16219,-2.39,0.549,-74.85
-210.94,-710.94,15891,-2.401,0.549,-74.85
-164.06,-679.69,15648,-2.395,0.549,-74.85
-203.13,-648.44,16125,-2.39,0.549,-74.85
-156.25,-679.69,16406,-2.39,0.549,-74.85
-93.75,-671.88,15773,-2.401,0.549,-74.85
-226.56,-718.75,15797,-2.395,0.549,-74.85
-234.38,-640.63,16250,-2.39,0.549,-74.85
0,-632.81,16031,-2.39,0.544,-74.85
-85.938,-703.13,15906,-2.395,0.549,-74.85
-265.63,-734.38,15883,-2.395,0.549,-74.85
-7.8125,-687.5,15922,-2.39,0.544,-74.85
-85.938,-648.44,16125,-2.39,0.549,-74.85
-195.31,-710.94,16141,-2.401,0.549,-74.85
-171.88,-710.94,15680,-2.401,0.549,-74.85
-132.81,-664.06,15883,-2.39,0.549,-74.85
-203.13,-656.25,16352,-2.39,0.549,-74.85
-70.313,-710.94,15813,-2.401,0.549,-74.85
-148.44,-703.13,15672,-2.401,0.549,-74.85
-304.69,-664.06,16117,-2.39,0.555,-74.85
-54.688,-632.81,16281,-2.39,0.549,-74.85
-85.938,-679.69,15891,-2.401,0.549,-74.85
-320.31,-718.75,15883,-2.401,0.555,-74.85
-195.31,-648.44,16000,-2.395,0.549,-74.85
-70.313,-632.81,16047,-2.395,0.555,-74.85
-171.88,-734.38,16109,-2.401,0.555,-74.85
-218.75,-726.56,15758,-2.406,0.555,-74.85
-109.38,-703.13,15727,-2.395,0.555,-74.85
-187.5,-625,16234,-2.395,0.555,-74.85
-62.5,-656.25,16063,-2.401,0.555,-74.85
-148.44,-703.13,15664,-2.406,0.555,-74.85
-250,-625,15891,-2.395,0.555,-74.85
-148.44,-648.44,16313,-2.395,0.549,-74.85
-15.625,-710.94,16008,-2.401,0.549,-74.85
-187.5,-742.19,15664,-2.406,0.555,-74.85
-250,-687.5,16023,-2.401,0.555,-74.85
-85.938,-632.81,16133,-2.395,0.549,-74.85
-117.19,-656.25,16172,-2.401,0.549,-74.85
-257.81,-742.19,15961,-2.406,0.555,-74.85
-171.88,-718.75,15773,-2.401,0.549,-74.85
-101.56,-640.63,16172,-2.395,0.549,-74.85
-171.88,-679.69,16336,-2.401,0.555,-74.85
-85.938,-789.06,15711,-2.406,0.549,-74.85
-171.88,-679.69,15711,-2.401,0.555,-74.85
-156.25,-664.06,16258,-2.395,0.549,-74.85
-15.625,-687.5,16016,-2.401,0.549,-74.85
-140.63,-703.13,15688,-2.406,0.549,-74.85
-281.25,-734.38,15891,-2.401,0.555,-74.85
-148.44,-625,16156,-2.395,0.549,-74.85
-101.56,-632.81,16133,-2.401,0.549,-74.85
-203.13,-757.81,15898,-2.406,0.555,-74.85
-85.938,-703.13,15797,-2.406,0.555,-74.85
-70.313,-617.19,16180,-2.395,0.549,-74.85
-132.81,-750,16188,-2.395,0.555,-74.85
-125,-703.13,15758,-2.406,0.555,-74.85
-179.69,-648.44,15875,-2.401,0.555,-74.85
-164.06,-703.13,16422,-2.395,0.555,-74.85
-54.688,-687.5,16016,-2.401,0.555,-74.85
-179.69,-742.19,15719,-2.401,0.555,-74.85
-281.25,-703.13,16039,-2.401,0.56,-74.85
-140.63,-695.31,16188,-2.395,0.555,-74.85
-39.063,-671.88,16047,-2.395,0.549,-74.85
-265.63,-781.25,15992,-2.401,0.555,-74.85
-203.13,-679.69,15930,-2.401,0.555,-74.85
-31.25,-609.38,16133,-2.395,0.549,-74.85
-179.69,-703.13,16117,-2.395,0.555,-74.85
-210.94,-710.94,15922,-2.401,0.555,-74.85
-70.313,-703.13,15586,-2.401,0.555,-74.85
-148.44,-656.25,16180,-2.395,0.555,-74.85
-140.63,-679.69,16203,-2.395,0.555,-74.85
-117.19,-710.94,15648,-2.401,0.555,-74.85
-265.63,-656.25,15844,-2.401,0.56,-74.85
-179.69,-632.81,16297,-2.39,0.555,-74.85
-54.688,-648.44,16031,-2.39,0.555,-74.85
-242.19,-703.13,15859,-2.395,0.555,-74.85
-265.63,-710.94,15898,-2.401,0.56,-74.85
-109.38,-609.38,15984,-2.39,0.555,-74.85
-140.63,-671.88,16273,-2.384,0.555,-74.85
-195.31,-765.63,15953,-2.395,0.555,-74.85
-117.19,-710.94,15789,-2.395,0.555,-74.85
-171.88,-625,16070,-2.384,0.555,-74.85
-117.19,-710.94,16469,-2.39,0.555,-74.85
-93.75,-695.31,15867,-2.395,0.555,-74.85
-187.5,-734.38,15703,-2.395,0.56,-74.85
-187.5,-679.69,16125,-2.384,0.555,-74.85
-7.8125,-695.31,16203,-2.39,0.555,-74.85
-85.938,-703.13,15813,-2.395,0.555,-74.85
-281.25,-742.19,15875,-2.395,0.56,-74.85
-125,-679.69,16094,-2.39,0.555,-74.85
-7.8125,-695.31,16172,-2.39,0.555,-74.85
-226.56,-703.13,16055,-2.395,0.555,-74.85
-210.94,-695.31,15828,-2.395,0.555,-74.85
-117.19,-648.44,15859,-2.39,0.555,-74.85
-156.25,-648.44,16305,-2.39,0.555,-74.85
-117.19,-718.75,16102,-2.395,0.555,-74.85
-148.44,-687.5,15594,-2.395,0.555,-74.85
-265.63,-656.25,16031,-2.39,0.555,-74.85
-117.19,-687.5,16383,-2.39,0.555,-74.85
0,-687.5,15875,-2.395,0.549,-74.85
-281.25,-703.13,15867,-2.395,0.56,-74.85
-218.75,-687.5,15969,-2.39,0.555,-74.85
-31.25,-593.75,16055,-2.384,0.549,-74.85
-101.56,-726.56,16000,-2.395,0.555,-74.85
-234.38,-734.38,15758,-2.395,0.555,-74.85
-101.56,-656.25,15820,-2.39,0.555,-74.85
-156.25,-617.19,16141,-2.39,0.555,-74.85
-171.88,-695.31,16219,-2.395,0.555,-74.85
-117.19,-710.94,15844,-2.401,0.555,-74.85
-203.13,-679.69,15797,-2.39,0.555,-74.85
-125,-632.81,16469,-2.384,0.555,-74.85
-62.5,-679.69,16063,-2.39,0.555,-74.85
-140.63,-757.81,15695,-2.395,0.555,-74.85
-218.75,-718.75,15922,-2.39,0.555,-74.85
-23.438,-664.06,16211,-2.384,0.549,-74.85
-62.5,-656.25,15961,-2.39,0.555,-74.85
-273.44,-742.19,16008,-2.395,0.555,-74.85
-117.19,-734.38,15914,-2.39,0.555,-74.85
-70.313,-679.69,16094,-2.384,0.555,-74.85
-164.06,-710.94,16305,-2.39,0.555,-74.85
-148.44,-726.56,15898,-2.395,0.555,-74.85
-164.06,-703.13,15625,-2.39,0.555,-74.85
-203.13,-656.25,16289,-2.384,0.555,-74.85
-156.25,-679.69,16141,-2.39,0.555,-74.85
-7.8125,-664.06,15703,-2.395,0.549,-74.85
-281.25,-679.69,16000,-2.39,0.555,-74.85
-234.38,-656.25,16203,-2.384,0.549,-74.85
-23.438,-640.63,16000,-2.39,0.549,-74.85
-218.75,-765.63,15938,-2.395,0.555,-74.85
-281.25,-679.69,15938,-2.39,0.555,-74.85
-54.688,-625,15977,-2.384,0.555,-74.85
-125,-687.5,16125,-2.384,0.555,-74.85
-226.56,-726.56,15969,-2.39,0.555,-74.85
-125,-687.5,15680,-2.39,0.555,-74.85
-179.69,-632.81,16055,-2.384,0.555,-74.85
-164.06,-664.06,16289,-2.39,0.555,-74.85
-39.063,-742.19,15789,-2.39,0.555,-74.85
-195.31,-718.75,15742,-2.39,0.555,-74.85
-226.56,-648.44,16203,-2.384,0.555,-74.85
-62.5,-656.25,16109,-2.384,0.549,-74.85
-164.06,-726.56,15836,-2.39,0.555,-74.85
-312.5,-726.56,15938,-2.39,0.555,-74.85
-109.38,-687.5,16055,-2.384,0.549,-74.85
-109.38,-632.81,16180,-2.384,0.549,-74.85
-164.06,-710.94,16070,-2.395,0.555,-74.85
-140.63,-664.06,15672,-2.39,0.555,-74.85
-171.88,-617.19,16148,-2.384,0.555,-74.85
-257.81,-656.25,16250,-2.384,0.555,-74.85
-109.38,-703.13,15672,-2.395,0.555,-74.85
-218.75,-679.69,15859,-2.395,0.555,-74.85
-281.25,-671.88,16289,-2.384,0.555,-74.85
-46.875,-710.94,15930,-2.384,0.555,-74.85
-156.25,-703.13,15773,-2.39,0.555,-74.85
-296.88,-656.25,16031,-2.395,0.56,-74.85
-54.688,-679.69,16094,-2.39,0.555,-74.85
-70.313,-648.44,16094,-2.39,0.549,-74.85
-296.88,-773.44,16008,-2.395,0.555,-74.85
-117.19,-750,15805,-2.395,0.549,-74.85
-78.125,-664.06,16086,-2.39,0.549,-74.85
-250,-664.06,16242,-2.39,0.549,-74.85
-70.313,-773.44,15781,-2.395,0.549,-74.85
-140.63,-671.88,15602,-2.395,0.549,-74.85
-156.25,-640.63,16273,-2.39,0.555,-74.85
-93.75,-640.63,16211,-2.39,0.549,-74.85
-93.75,-695.31,15820,-2.395,0.549,-74.85
-312.5,-671.88,15891,-2.395,0.555,-74.85
-195.31,-601.56,16227,-2.39,0.555,-74.85
-101.56,-640.63,16188,-2.384,0.549,-74.85
-226.56,-695.31,15852,-2.395,0.549,-74.85
-179.69,-664.06,15820,-2.401,0.555,-74.85
-117.19,-640.63,15875,-2.39,0.549,-74.85
-101.56,-656.25,16148,-2.384,0.549,-74.85
-179.69,-703.13,15906,-2.395,0.555,-74.85
-171.88,-742.19,15633,-2.401,0.555,-74.85
-203.13,-601.56,15945,-2.395,0.549,-74.85
-179.69,-656.25,16430,-2.39,0.549,-74.85
-62.5,-703.13,15719,-2.395,0.549,-74.85
-250,-679.69,15641,-2.401,0.555,-74.85
-281.25,-617.19,16125,-2.39,0.555,-74.85
-70.313,-609.38,16047,-2.39,0.549,-74.85
-101.56,-679.69,15977,-2.395,0.549,-74.85
-281.25,-734.38,15828,-2.401,0.555,-74.85
-117.19,-625,15883,-2.39,0.549,-74.85
-203.13,-562.5,16281,-2.39,0.549,-74.85
-210.94,-703.13,16117,-2.395,0.549,-74.85
-195.31,-703.13,15742,-2.401,0.549,-74.85
-156.25,-679.69,15805,-2.39,0.549,-74.85
-109.38,-671.88,16469,-2.384,0.549,-74.85
-132.81,-710.94,15906,-2.395,0.549,-74.85
-132.81,-750,15672,-2.401,0.549,-74.85
-265.63,-726.56,16047,-2.39,0.549,-74.85
-39.063,-679.69,16250,-2.384,0.549,-74.85
-54.688,-656.25,16016,-2.395,0.549,-74.85
-273.44,-718.75,15867,-2.401,0.555,-74.85
-195.31,-671.88,16000,-2.39,0.549,-74.85
-117.19,-640.63,16156,-2.384,0.549,-74.85
-171.88,-656.25,16070,-2.395,0.549,-74.85
-179.69,-695.31,15938,-2.401,0.549,-74.85
-171.88,-679.69,15648,-2.39,0.549,-74.85
-156.25,-593.75,16172,-2.384,0.549,-74.85
-156.25,-726.56,16313,-2.39,0.549,-74.85
-70.313,-734.38,15586,-2.395,0.549,-74.85
-234.38,-679.69,15813,-2.39,0.555,-74.85
-156.25,-664.06,16242,-2.384,0.549,-74.85
-39.063,-640.63,15898,-2.39,0.549,-74.85
-226.56,-679.69,15758,-2.395,0.555,-74.85
-296.88,-695.31,15836,-2.395,0.555,-74.85
-39.063,-625,16055,-2.384,0.549,-74.85
-132.81,-601.56,16133,-2.39,0.549,-74.85
-242.19,-710.94,16000,-2.395,0.555,-74.85
-179.69,-687.5,15773,-2.395,0.549,-74.85
-156.25,-671.88,16078,-2.384,0.549,-74.85
-171.88,-632.81,16313,-2.39,0.549,-74.85
-85.938,-734.38,15891,-2.395,0.549,-74.85
-179.69,-710.94,15664,-2.395,0.549,-74.85
-210.94,-632.81,16188,-2.384,0.549,-74.85
-78.125,-679.69,16188,-2.39,0.549,-74.85
-62.5,-710.94,15859,-2.395,0.549,-74.85
-281.25,-695.31,15789,-2.395,0.555,-74.85
-101.56,-687.5,16078,-2.384,0.549,-74.85
-93.75,-671.88,16164,-2.39,0.549,-74.85
-164.06,-734.38,15914,-2.395,0.549,-74.85
-187.5,-710.94,15820,-2.395,0.549,-74.85
-109.38,-593.75,16188,-2.384,0.544,-74.85
-132.81,-734.38,16297,-2.384,0.544,-74.85
-101.56,-742.19,15781,-2.395,0.544,-74.85
-179.69,-695.31,15680,-2.395,0.544,-74.85
-140.63,-632.81,16383,-2.384,0.544,-74.85
-93.75,-718.75,16109,-2.384,0.544,-74.85
-125,-742.19,15719,-2.39,0.544,-74.85
-250,-718.75,15914,-2.395,0.549,-74.85
-132.81,-695.31,16258,-2.39,0.549,-74.85
-23.438,-679.69,16078,-2.384,0.544,-74.85
-218.75,-757.81,16031,-2.39,0.544,-74.85
-234.38,-734.38,15898,-2.395,0.549,-74.85
-78.125,-640.63,15930,-2.39,0.544,-74.85
-179.69,-687.5,16305,-2.384,0.544,-74.85
-164.06,-750,15922,-2.39,0.544,-74.85
-117.19,-710.94,15609,-2.395,0.544,-74.85
-156.25,-656.25,16102,-2.39,0.544,-74.85
-101.56,-718.75,16375,-2.384,0.544,-74.85
-70.313,-710.94,15789,-2.39,0.544,-74.85
-250,-703.13,15844,-2.395,0.549,-74.85
-179.69,-671.88,16234,-2.39,0.549,-74.85
-62.5,-656.25,16102,-2.384,0.544,-74.85
-140.63,-703.13,15867,-2.39,0.544,-74.85
-281.25,-687.5,15734,-2.395,0.549,-74.85
-54.688,-625,15898,-2.39,0.549,-74.85
-46.875,-648.44,16141,-2.384,0.549,-74.85
-218.75,-734.38,16094,-2.39,0.549,-74.85
-195.31,-742.19,15734,-2.395,0.549,-74.85
-210.94,-640.63,16023,-2.395,0.549,-74.85
-187.5,-687.5,16477,-2.39,0.544,-74.85
-23.438,-757.81,15930,-2.395,0.544,-74.85
-171.88,-695.31,15625,-2.395,0.549,-74.85
-226.56,-687.5,16156,-2.39,0.549,-74.85
-39.063,-679.69,16219,-2.39,0.544,-74.85
-70.313,-710.94,15891,-2.395,0.549,-74.85
-234.38,-742.19,15969,-2.395,0.549,-74.85
-179.69,-671.88,16055,-2.39,0.549,-74.85
-70.313,-625,16195,-2.39,0.544,-74.85
-203.13,-757.81,16125,-2.395,0.549,-74.85
-171.88,-773.44,15891,-2.401,0.549,-74.85
-70.313,-648.44,15742,-2.39,0.549,-74.85
-179.69,-664.06,16391,-2.384,0.549,-74.85
-148.44,-695.31,16016,-2.395,0.549,-74.85
-117.19,-703.13,15727,-2.395,0.549,-74.85
-273.44,-671.88,16008,-2.384,0.549,-74.85
-148.44,-679.69,16430,-2.384,0.544,-74.85
-23.438,-718.75,15961,-2.39,0.544,-74.85
-242.19,-726.56,15813,-2.395,0.549,-74.85
-203.13,-703.13,16047,-2.39,0.549,-74.85
