x,y,z,roll,pitch,yaw
-367.19,-726.56,15813,-2.395,0.538,-76.415
-125,-656.25,16281,-2.384,0.538,-76.415
23.438,-617.19,16063,-2.379,0.533,-76.41
-265.63,-695.31,15914,-2.384,0.533,-76.415
-265.63,-734.38,15828,-2.395,0.538,-76.415
-46.875,-632.81,15906,-2.384,0.533,-76.415
-148.44,-617.19,16414,-2.373,0.533,-76.415
-226.56,-734.38,16031,-2.384,0.538,-76.415
-78.125,-710.94,15727,-2.39,0.533,-76.415
-289.06,-593.75,15922,-2.384,0.538,-76.415
-171.88,-648.44,16477,-2.379,0.538,-76.415
-39.063,-742.19,15930,-2.384,0.533,-76.41
-242.19,-664.06,15578,-2.39,0.538,-76.415
-359.38,-617.19,16172,-2.384,0.538,-76.415
-15.625,-656.25,16359,-2.379,0.533,-76.41
-140.63,-640.63,15906,-2.384,0.533,-76.415
-335.94,-718.75,16000,-2.395,0.538,-76.415
-85.938,-703.13,16039,-2.39,0.533,-76.415
-117.19,-609.38,16023,-2.379,0.533,-76.41
-234.38,-726.56,16164,-2.384,0.533,-76.415
-101.56,-742.19,15641,-2.395,0.533,-76.415
-171.88,-632.81,15625,-2.39,0.533,-76.415
-226.56,-609.38,16391,-2.379,0.538,-76.415
-39.063,-687.5,16102,-2.384,0.533,-76.415
-117.19,-664.06,15508,-2.395,0.533,-76.415
-359.38,-640.63,16078,-2.39,0.538,-76.415
-54.688,-609.38,16398,-2.384,0.533,-76.41
23.438,-609.38,15914,-2.39,0.533,-76.415
-281.25,-750,15805,-2.395,0.538,-76.415
-234.38,-679.69,15977,-2.39,0.538,-76.415
0,-593.75,16102,-2.379,0.533,-76.415
-187.5,-664.06,16188,-2.384,0.538,-76.415
-203.13,-734.38,15898,-2.395,0.538,-76.415
-101.56,-703.13,15844,-2.39,0.533,-76.415
-257.81,-562.5,16234,-2.379,0.538,-76.415
-156.25,-671.88,16461,-2.39,0.533,-76.415
-70.313,-765.63,15672,-2.395,0.533,-76.415
-343.75,-679.69,15688,-2.39,0.538,-76.415
-187.5,-656.25,16492,-2.384,0.533,-76.415
70.313,-648.44,15969,-2.39,0.527,-76.41
-226.56,-664.06,15656,-2.395,0.538,-76.415
-375,-656.25,15969,-2.39,0.538,-76.415
-15.625,-585.94,16180,-2.384,0.533,-76.415
-101.56,-632.81,16063,-2.39,0.533,-76.415
-421.88,-726.56,15930,-2.395,0.538,-76.415
-23.438,-687.5,15813,-2.39,0.533,-76.415
-132.81,-601.56,15922,-2.379,0.533,-76.415
-195.31,-617.19,16414,-2.384,0.533,-76.415
-78.125,-765.63,15813,-2.395,0.533,-76.415
-117.19,-687.5,15539,-2.395,0.538,-76.415
-335.94,-656.25,16328,-2.384,0.538,-76.415
-46.875,-687.5,16391,-2.384,0.527,-76.41
-54.688,-750,15719,-2.395,0.533,-76.415
-421.88,-742.19,15898,-2.39,0.538,-76.415
-132.81,-679.69,16203,-2.384,0.533,-76.415
15.625,-609.38,16070,-2.384,0.533,-76.415
-273.44,-726.56,15898,-2.395,0.538,-76.415
-265.63,-710.94,15789,-2.395,0.538,-76.415
-62.5,-601.56,15914,-2.379,0.533,-76.415
-210.94,-570.31,16375,-2.379,0.538,-76.415
-234.38,-718.75,16109,-2.395,0.538,-76.415
-109.38,-718.75,15609,-2.39,0.538,-76.415
-343.75,-593.75,15984,-2.379,0.538,-76.415
-164.06,-585.94,16578,-2.379,0.533,-76.415
15.625,-664.06,15891,-2.39,0.533,-76.415
-328.13,-718.75,15563,-2.39,0.544,-76.415
-234.38,-671.88,16141,-2.384,0.538,-76.415
85.938,-617.19,16188,-2.379,0.533,-76.415
-164.06,-648.44,15836,-2.39,0.538,-76.415
-312.5,-710.94,15883,-2.39,0.538,-76.415
-39.063,-640.63,15867,-2.379,0.538,-76.415
-125,-609.38,16117,-2.373,0.538,-76.415
-218.75,-695.31,16328,-2.39,0.538,-76.415
-117.19,-726.56,15555,-2.395,0.538,-76.415
-195.31,-617.19,15742,-2.379,0.544,-76.415
-164.06,-625,16477,-2.379,0.538,-76.415
-31.25,-671.88,16063,-2.384,0.538,-76.415
-140.63,-718.75,15617,-2.395,0.544,-76.415
-414.06,-687.5,15969,-2.384,0.544,-76.415
-23.438,-664.06,16430,-2.379,0.533,-76.415
-39.063,-671.88,16070,-2.39,0.538,-76.415
-343.75,-726.56,15789,-2.395,0.544,-76.415
-164.06,-656.25,16023,-2.384,0.538,-76.415
-62.5,-585.94,16141,-2.373,0.538,-76.415
-281.25,-656.25,16289,-2.39,0.538,-76.415
-218.75,-765.63,15813,-2.395,0.538,-76.415
-125,-671.88,15695,-2.384,0.538,-76.415
-335.94,-601.56,16242,-2.379,0.544,-76.415
-85.938,-671.88,16375,-2.384,0.533,-76.415
-62.5,-726.56,15563,-2.39,0.538,-76.415
-382.81,-625,15758,-2.39,0.544,-76.415
-156.25,-632.81,16383,-2.384,0.538,-76.415
54.688,-656.25,16086,-2.384,0.533,-76.415
-257.81,-726.56,15734,-2.395,0.544,-76.415
-242.19,-726.56,15984,-2.39,0.538,-76.415
-31.25,-640.63,16203,-2.379,0.533,-76.415
-93.75,-679.69,16281,-2.384,0.538,-76.415
-265.63,-789.06,16008,-2.395,0.538,-76.415
-109.38,-710.94,15820,-2.39,0.538,-76.415
-125,-617.19,16117,-2.379,0.538,-76.415
-156.25,-664.06,16461,-2.384,0.538,-76.415
-101.56,-687.5,15789,-2.395,0.538,-76.415
-187.5,-687.5,15641,-2.39,0.538,-76.415
-335.94,-648.44,16242,-2.379,0.538,-76.415
