x,y,z,roll,pitch,yaw
-23.438,-679.69,15984,-2.39,0.533,-75.646
-132.81,-585.94,15977,-2.39,0.538,-75.646
-148.44,-726.56,16289,-2.401,0.538,-75.646
-54.688,-726.56,15641,-2.401,0.533,-75.646
-187.5,-648.44,15797,-2.395,0.538,-75.646
-250,-625,16313,-2.39,0.538,-75.646
-78.125,-710.94,16219,-2.395,0.533,-75.646
-140.63,-695.31,15672,-2.401,0.538,-75.646
-281.25,-679.69,16102,-2.395,0.538,-75.646
-70.313,-625,16289,-2.39,0.533,-75.646
-54.688,-679.69,16016,-2.395,0.533,-75.646
-351.56,-718.75,15867,-2.401,0.538,-75.646
-156.25,-734.38,16000,-2.395,0.533,-75.646
-85.938,-640.63,15992,-2.39,0.533,-75.646
-171.88,-695.31,16227,-2.395,0.533,-75.646
-164.06,-750,15906,-2.401,0.533,-75.646
-78.125,-703.13,15734,-2.395,0.533,-75.646
-125,-664.06,15992,-2.39,0.533,-75.646
-101.56,-703.13,16422,-2.395,0.533,-75.646
-54.688,-703.13,15547,-2.401,0.533,-75.646
-187.5,-679.69,15734,-2.395,0.538,-75.646
-171.88,-703.13,16250,-2.39,0.533,-75.646
15.625,-671.88,16023,-2.39,0.533,-75.646
-125,-695.31,15695,-2.395,0.533,-75.646
-265.63,-726.56,15977,-2.395,0.538,-75.646
-70.313,-664.06,16023,-2.384,0.527,-75.646
-101.56,-664.06,16125,-2.39,0.533,-75.646
-164.06,-710.94,15922,-2.401,0.533,-75.646
-93.75,-742.19,15734,-2.395,0.533,-75.646
-187.5,-640.63,15719,-2.384,0.533,-75.646
-148.44,-656.25,16414,-2.39,0.527,-75.646
-31.25,-695.31,15773,-2.401,0.527,-75.646
-171.88,-664.06,15648,-2.395,0.533,-75.646
-328.13,-664.06,16211,-2.39,0.527,-75.646
-85.938,-679.69,16289,-2.39,0.522,-75.646
-62.5,-687.5,15797,-2.395,0.527,-75.646
-359.38,-726.56,15922,-2.395,0.533,-75.646
-109.38,-648.44,16016,-2.39,0.522,-75.646
0,-656.25,16109,-2.39,0.527,-75.646
-226.56,-718.75,15961,-2.395,0.527,-75.646
-148.44,-718.75,15875,-2.401,0.527,-75.646
-78.125,-640.63,15789,-2.39,0.527,-75.646
-250,-585.94,16305,-2.384,0.527,-75.646
-109.38,-703.13,16188,-2.395,0.527,-75.646
-101.56,-671.88,15617,-2.395,0.527,-75.646
-179.69,-671.88,15891,-2.39,0.527,-75.646
-132.81,-687.5,16438,-2.384,0.527,-75.646
15.625,-671.88,15695,-2.39,0.527,-75.646
-156.25,-734.38,15781,-2.395,0.533,-75.646
-242.19,-734.38,15930,-2.39,0.527,-75.646
46.875,-632.81,16102,-2.384,0.522,-75.646
-132.81,-710.94,15844,-2.395,0.527,-75.646
-234.38,-765.63,15992,-2.395,0.527,-75.646
-54.688,-656.25,15781,-2.39,0.527,-75.646
-85.938,-578.13,15984,-2.384,0.527,-75.646
-156.25,-695.31,16250,-2.395,0.527,-75.646
-125,-734.38,15602,-2.401,0.527,-75.646
-125,-609.38,15570,-2.39,0.527,-75.646
-250,-656.25,16422,-2.39,0.527,-75.646
-31.25,-664.06,15945,-2.395,0.522,-75.646
-101.56,-679.69,15664,-2.401,0.527,-75.646
-375,-703.13,16023,-2.395,0.527,-75.646
-78.125,-687.5,16094,-2.39,0.522,-75.646
0,-664.06,16023,-2.39,0.522,-75.646
-273.44,-718.75,15852,-2.401,0.527,-75.646
-101.56,-679.69,15781,-2.395,0.527,-75.646
-62.5,-617.19,15898,-2.384,0.527,-75.646
-171.88,-632.81,16305,-2.39,0.527,-75.646
-125,-757.81,15859,-2.401,0.527,-75.646
-156.25,-703.13,15617,-2.395,0.527,-75.646
-242.19,-640.63,16289,-2.39,0.527,-75.646
-101.56,-703.13,16250,-2.39,0.522,-75.646
-78.125,-734.38,15797,-2.395,0.527,-75.646
-312.5,-695.31,15797,-2.39,0.533,-75.646
-117.19,-679.69,16258,-2.384,0.522,-75.646
0,-664.06,15922,-2.39,0.522,-75.646
-203.13,-703.13,15875,-2.401,0.527,-75.646
-234.38,-703.13,15844,-2.395,0.527,-75.646
-23.438,-625,15961,-2.384,0.522,-75.646
-109.38,-601.56,16141,-2.39,0.527,-75.646
-171.88,-796.88,16000,-2.395,0.527,-75.646
-54.688,-695.31,15602,-2.395,0.527,-75.646
-140.63,-617.19,15797,-2.384,0.527,-75.646
-93.75,-687.5,16320,-2.384,0.527,-75.646
-78.125,-718.75,15688,-2.395,0.527,-75.646
-218.75,-695.31,15648,-2.395,0.533,-75.646
-296.88,-609.38,16109,-2.384,0.533,-75.646
-7.8125,-679.69,16258,-2.39,0.527,-75.646
-117.19,-710.94,15734,-2.395,0.533,-75.646
-328.13,-671.88,15922,-2.395,0.533,-75.646
-85.938,-640.63,16023,-2.39,0.527,-75.646
-39.063,-601.56,16055,-2.39,0.527,-75.646
-281.25,-710.94,16031,-2.395,0.533,-75.646
-164.06,-718.75,15742,-2.401,0.533,-75.646
-148.44,-648.44,15828,-2.39,0.533,-75.646
-109.38,-718.75,16250,-2.39,0.533,-75.646
-78.125,-750,15664,-2.401,0.533,-75.646
-218.75,-687.5,15609,-2.401,0.533,-75.646
-273.44,-640.63,16297,-2.39,0.538,-75.646
-31.25,-695.31,16250,-2.39,0.533,-75.646
-203.13,-695.31,15711,-2.395,0.533,-75.646
-328.13,-703.13,16102,-2.401,0.538,-75.646
-93.75,-625,16141,-2.395,0.533,-75.646
-101.56,-593.75,16148,-2.39,0.533,-75.646
