x,y,z,roll,pitch,yaw
-101.56,-625,16383,-2.368,0.505,-76.701
-15.625,-687.5,15820,-2.379,0.5,-76.701
-273.44,-765.63,15836,-2.384,0.505,-76.701
-187.5,-656.25,15977,-2.373,0.5,-76.701
0,-601.56,16219,-2.368,0.5,-76.701
-164.06,-695.31,15992,-2.373,0.5,-76.701
-195.31,-742.19,15789,-2.379,0.5,-76.701
-195.31,-632.81,15883,-2.379,0.5,-76.701
-85.938,-632.81,16227,-2.368,0.5,-76.701
-132.81,-703.13,16281,-2.373,0.5,-76.701
-156.25,-734.38,15555,-2.384,0.5,-76.701
-187.5,-687.5,15875,-2.373,0.5,-76.701
-164.06,-609.38,16367,-2.368,0.5,-76.701
-39.063,-703.13,15977,-2.379,0.5,-76.701
-179.69,-687.5,15617,-2.379,0.5,-76.701
-289.06,-648.44,15992,-2.373,0.505,-76.701
-62.5,-585.94,16203,-2.368,0.5,-76.701
-70.313,-664.06,16078,-2.379,0.5,-76.701
-234.38,-734.38,15820,-2.384,0.505,-76.701
-117.19,-718.75,16016,-2.373,0.5,-76.701
-39.063,-617.19,16102,-2.362,0.5,-76.701
-140.63,-679.69,16305,-2.373,0.5,-76.701
-164.06,-742.19,15680,-2.384,0.5,-76.701
-78.125,-671.88,15633,-2.373,0.5,-76.701
-203.13,-656.25,16297,-2.368,0.5,-76.701
-31.25,-671.88,16195,-2.373,0.5,-76.701
-101.56,-742.19,15656,-2.384,0.505,-76.701
-320.31,-679.69,15961,-2.373,0.505,-76.701
-85.938,-617.19,16281,-2.368,0.5,-76.701
-117.19,-679.69,16133,-2.373,0.5,-76.701
-210.94,-781.25,15805,-2.379,0.505,-76.701
-195.31,-726.56,15836,-2.373,0.505,-76.701
-93.75,-609.38,16031,-2.368,0.5,-76.701
-148.44,-671.88,16242,-2.373,0.505,-76.701
-140.63,-750,15914,-2.384,0.505,-76.701
-125,-726.56,15727,-2.379,0.505,-76.701
-226.56,-609.38,16156,-2.362,0.505,-76.701
-93.75,-710.94,16445,-2.368,0.505,-76.701
-54.688,-734.38,15734,-2.379,0.505,-76.701
-218.75,-687.5,15633,-2.379,0.511,-76.701
-187.5,-625,16219,-2.368,0.505,-76.701
