
,-554.687500,16117.187500,-2.565,0.818,11.354 
-289.062500,-726.562500,16117.187500,-2.576,0.818,11.354 
-117.187500,-882.812500,15843.750000,-2.587,0.818,11.354 
-171.875000,-820.312500,15796.875000,-2.576,0.818,11.354 
-210.937500,-460.937500,16226.562500,-2.571,0.818,11.349 
-265.625000,-710.937500,16335.937500,-2.576,0.818,11.349 
-226.562500,-929.687500,15679.687500,-2.587,0.818,11.349 
-187.500000,-742.187500,15757.812500,-2.582,0.818,11.354 
-289.062500,-523.437500,16414.062500,-2.571,0.818,11.354 
-203.125000,-632.812500,16250.000000,-2.576,0.813,11.354 
-125.000000,-898.437500,15585.937500,-2.587,0.813,11.354 
-203.125000,-851.562500,15851.562500,-2.582,0.818,11.354 
-250.000000,-609.375000,16320.312500,-2.571,0.818,11.349 
-226.562500,-570.312500,16085.937500,-2.576,0.818,11.349 
-187.500000,-914.062500,15757.812500,-2.587,0.813,11.354 
-179.687500,-914.062500,16000.000000,-2.582,0.813,11.349 
-156.250000,-562.500000,15921.875000,-2.565,0.818,11.349 
-273.437500,-593.750000,16281.250000,-2.571,0.818,11.349 
-250.000000,-867.187500,16046.875000,-2.582,0.818,11.349 
-132.812500,-859.375000,15523.437500,-2.582,0.818,11.349 
-250.000000,-695.312500,16078.125000,-2.571,0.818,11.349 
-210.937500,-593.750000,16460.937500,-2.576,0.818,11.349 
-132.812500,-843.750000,15695.312500,-2.587,0.818,11.349 
-257.812500,-914.062500,15843.750000,-2.587,0.818,11.349 
-273.437500,-609.375000,16296.875000,-2.576,0.818,11.349 
-210.937500,-578.125000,16218.750000,-2.576,0.818,11.349 
-179.687500,-867.187500,15914.062500,-2.587,0.818,11.349 
-265.625000,-882.812500,15765.625000,-2.587,0.818,11.349 
-210.937500,-671.875000,15921.875000,-2.576,0.818,11.349 
-257.812500,-523.437500,16218.750000,-2.576,0.818,11.349 
-203.125000,-828.125000,15984.375000,-2.587,0.818,11.349 
-210.937500,-960.937500,15585.937500,-2.593,0.818,11.349 
-187.500000,-640.625000,16054.687500,-2.576,0.818,11.349 
-281.250000,-500.000000,16382.812500,-2.576,0.818,11.349 
-226.562500,-820.312500,16023.437500,-2.587,0.818,11.349 
-156.250000,-843.750000,15656.250000,-2.587,0.818,11.349 
-187.500000,-718.750000,16039.062500,-2.576,0.818,11.349 
-273.437500,-578.125000,16335.937500,-2.576,0.818,11.349 
-210.937500,-726.562500,15867.187500,-2.587,0.818,11.349 
-187.500000,-945.312500,15789.062500,-2.593,0.818,11.349 
-226.562500,-750.000000,16062.500000,-2.582,0.818,11.349 
-195.312500,-507.812500,16148.437500,-2.576,0.818,11.349 
-242.187500,-796.875000,16132.812500,-2.587,0.818,11.349 
-179.687500,-914.062500,15781.250000,-2.593,0.818,11.349 
-164.062500,-781.250000,15820.312500,-2.582,0.818,11.349 
-320.312500,-562.500000,16328.125000,-2.576,0.818,11.349 
-171.875000,-781.250000,16195.312500,-2.587,0.818,11.349 
-179.687500,-890.625000,15453.125000,-2.593,0.818,11.349 
-242.187500,-781.250000,15984.375000,-2.582,0.818,11.349 
-265.625000,-585.937500,16484.375000,-2.576,0.818,11.349 
-218.750000,-695.312500,15820.312500,-2.582,0.818,11.349 
-218.750000,-851.562500,15820.312500,-2.593,0.818,11.349 
-250.000000,-773.437500,15976.562500,-2.582,0.818,11.349 
-203.125000,-585.937500,16085.937500,-2.571,0.818,11.349 
-281.250000,-687.500000,16140.625000,-2.582,0.818,11.349 
-117.187500,-906.250000,15750.000000,-2.593,0.818,11.349 
-187.500000,-843.750000,15789.062500,-2.587,0.818,11.349 
-250.000000,-500.000000,16187.500000,-2.576,0.818,11.349 
-257.812500,-679.687500,16234.375000,-2.582,0.818,11.349 
-195.312500,-953.125000,15734.375000,-2.593,0.813,11.349 
-125.000000,-765.625000,15703.125000,-2.587,0.813,11.349 
-289.062500,-601.562500,16335.937500,-2.576,0.818,11.349 
-210.937500,-648.437500,16226.562500,-2.582,0.813,11.349 
-125.000000,-804.687500,15609.375000,-2.587,0.813,11.349 
-218.750000,-882.812500,15976.562500,-2.587,0.818,11.349 
-257.812500,-593.750000,16250.000000,-2.576,0.818,11.349 
-218.750000,-617.187500,16078.125000,-2.576,0.818,11.349 
-234.375000,-898.437500,15898.437500,-2.587,0.818,11.349 
-117.187500,-843.750000,15914.062500,-2.582,0.813,11.349 
-203.125000,-539.062500,15945.312500,-2.571,0.818,11.349 
-273.437500,-617.187500,16390.625000,-2.576,0.818,11.349 
-203.125000,-843.750000,15914.062500,-2.587,0.818,11.349 
-218.750000,-906.250000,15468.750000,-2.582,0.813,11.349 
-265.625000,-554.687500,16148.437500,-2.571,0.818,11.349 
-250.000000,-578.125000,16468.750000,-2.571,0.813,11.349 
-164.062500,-812.500000,15531.250000,-2.587,0.813,11.349 
-187.500000,-906.250000,15828.125000,-2.587,0.813,11.349 
-242.187500,-648.437500,16226.562500,-2.571,0.818,11.349 
-164.062500,-570.312500,16085.937500,-2.571,0.818,11.349 
-187.500000,-828.125000,15984.375000,-2.582,0.818,11.349 
-195.312500,-875.000000,15875.000000,-2.582,0.813,11.349 
-195.312500,-656.250000,15992.187500,-2.571,0.818,11.349 
-296.875000,-585.937500,16218.750000,-2.571,0.818,11.349 
-265.625000,-828.125000,16054.687500,-2.582,0.818,11.349 
-140.625000,-898.437500,15726.562500,-2.582,0.813,11.349 
-203.125000,-640.625000,15898.437500,-2.571,0.818,11.349 
-250.000000,-578.125000,16500.000000,-2.571,0.818,11.349 
-203.125000,-789.062500,15921.875000,-2.582,0.818,11.349 
-132.812500,-875.000000,15695.312500,-2.582,0.813,11.349 
-328.125000,-757.812500,16132.812500,-2.576,0.818,11.349 
-226.562500,-539.062500,16296.875000,-2.571,0.818,11.349 
-148.437500,-781.250000,15898.437500,-2.582,0.813,11.349 
