x,y,z,roll,pitch,yaw
-7.8125,-656.25,15586,-2.527,0.61,-76.295
-539.06,-679.69,16234,-2.527,0.621,-76.295
-7.8125,-804.69,16320,-2.538,0.604,-76.295
23.438,-679.69,15383,-2.532,0.61,-76.295
-570.31,-625,16047,-2.527,0.621,-76.295
-39.063,-796.88,16570,-2.532,0.604,-76.295
148.44,-718.75,15633,-2.538,0.604,-76.295
-507.81,-671.88,15734,-2.532,0.621,-76.295
-226.56,-796.88,16492,-2.538,0.604,-76.295
234.38,-742.19,15781,-2.532,0.604,-76.295
-429.69,-640.63,15844,-2.532,0.615,-76.295
-281.25,-859.38,16422,-2.543,0.61,-76.295
187.5,-781.25,15734,-2.532,0.599,-76.295
-273.44,-648.44,15797,-2.527,0.615,-76.295
-320.31,-773.44,16563,-2.538,0.604,-76.295
210.94,-734.38,15664,-2.543,0.599,-76.295
-312.5,-625,15625,-2.532,0.615,-76.295
-414.06,-664.06,16633,-2.538,0.61,-76.295
140.63,-757.81,15961,-2.538,0.599,-76.295
-304.69,-687.5,15406,-2.538,0.615,-76.295
-523.44,-742.19,16313,-2.538,0.61,-76.295
195.31,-773.44,16180,-2.532,0.593,-76.295
-164.06,-625,15539,-2.538,0.61,-76.295
-531.25,-726.56,16211,-2.543,0.61,-76.295
54.688,-765.63,16117,-2.538,0.593,-76.295
-46.875,-632.81,15734,-2.532,0.604,-76.295
-562.5,-710.94,16313,-2.538,0.61,-76.295
70.313,-828.13,16219,-2.543,0.593,-76.295
-7.8125,-656.25,15391,-2.532,0.604,-76.295
-484.38,-664.06,16203,-2.532,0.61,-76.295
23.438,-820.31,16438,-2.538,0.593,-76.295
117.19,-679.69,15406,-2.538,0.604,-76.295
-578.13,-640.63,15875,-2.538,0.615,-76.295
-54.688,-773.44,16664,-2.538,0.599,-76.295
148.44,-718.75,15664,-2.532,0.599,-76.295
-484.38,-687.5,15883,-2.538,0.615,-76.295
-187.5,-820.31,16383,-2.538,0.604,-76.295
203.13,-703.13,15781,-2.532,0.599,-76.295
-437.5,-632.81,15867,-2.532,0.615,-76.295
78.125,-867.19,16156,-2.538,0.604,-76.295
109.38,-695.31,15672,-2.538,0.599,-76.295
-390.63,-632.81,15742,-2.527,0.61,-76.295
62.5,-843.75,16258,-2.532,0.604,-76.295
