x,y,z,roll,pitch,yaw
-23.438,-632.81,16219,-2.384,0.527,-75.97
0,-656.25,16063,-2.384,0.533,-75.97
-210.94,-750,16023,-2.395,0.533,-75.97
-195.31,-718.75,15789,-2.39,0.533,-75.97
-15.625,-640.63,16023,-2.384,0.533,-75.97
-195.31,-656.25,16383,-2.39,0.533,-75.97
-132.81,-781.25,15938,-2.395,0.533,-75.97
-132.81,-695.31,15648,-2.395,0.538,-75.97
-242.19,-664.06,16273,-2.384,0.538,-75.97
-101.56,-695.31,16320,-2.39,0.533,-75.97
-54.688,-742.19,15813,-2.395,0.533,-75.97
-265.63,-742.19,15883,-2.395,0.538,-75.97
-125,-695.31,16141,-2.384,0.533,-75.97
0,-656.25,16078,-2.39,0.533,-75.97
-78.125,-757.81,15961,-2.395,0.538,-75.97
-179.69,-773.44,15781,-2.395,0.538,-75.97
-70.313,-656.25,15914,-2.384,0.533,-75.97
-54.688,-632.81,16336,-2.384,0.533,-75.97
-125,-828.13,16031,-2.395,0.533,-75.97
-78.125,-734.38,15742,-2.395,0.538,-75.97
-218.75,-617.19,16070,-2.384,0.538,-75.97
-117.19,-664.06,16477,-2.384,0.533,-75.97
-31.25,-710.94,15930,-2.395,0.533,-75.97
-187.5,-703.13,15633,-2.395,0.538,-75.97
-203.13,-679.69,16117,-2.39,0.538,-75.97
-46.875,-671.88,16180,-2.384,0.533,-75.97
-31.25,-734.38,15914,-2.395,0.538,-75.97
-210.94,-734.38,15867,-2.401,0.538,-75.97
-117.19,-679.69,15914,-2.39,0.533,-75.97
-31.25,-656.25,16148,-2.384,0.533,-75.97
-132.81,-757.81,16172,-2.395,0.538,-75.97
-93.75,-781.25,15719,-2.401,0.538,-75.97
-78.125,-671.88,15656,-2.39,0.538,-75.97
-109.38,-640.63,16391,-2.384,0.533,-75.97
-54.688,-703.13,15992,-2.395,0.533,-75.97
-78.125,-750,15672,-2.401,0.533,-75.97
-273.44,-664.06,15969,-2.39,0.538,-75.97
-93.75,-648.44,16297,-2.384,0.533,-75.97
-7.8125,-671.88,15969,-2.395,0.533,-75.97
-250,-750,15922,-2.401,0.538,-75.97
-101.56,-679.69,15773,-2.395,0.533,-75.97
7.8125,-625,16094,-2.384,0.533,-75.97
-179.69,-656.25,16086,-2.395,0.533,-75.97
-109.38,-796.88,15773,-2.401,0.533,-75.97
-117.19,-703.13,15648,-2.395,0.533,-75.97
-101.56,-656.25,16125,-2.39,0.533,-75.97
-70.313,-742.19,16234,-2.395,0.533,-75.97
-39.063,-765.63,15664,-2.401,0.533,-75.97
-234.38,-671.88,15688,-2.395,0.533,-75.97
-187.5,-679.69,16281,-2.39,0.527,-75.97
-46.875,-687.5,15945,-2.395,0.527,-75.97
-117.19,-671.88,15719,-2.401,0.533,-75.97
-289.06,-710.94,15875,-2.395,0.533,-75.97
-46.875,-664.06,16063,-2.39,0.527,-75.97
-54.688,-609.38,16031,-2.39,0.527,-75.97
-226.56,-773.44,15867,-2.401,0.533,-75.97
-140.63,-718.75,15789,-2.395,0.533,-75.97
-109.38,-617.19,15867,-2.39,0.533,-75.97
-187.5,-664.06,16305,-2.39,0.533,-75.97
-78.125,-718.75,15711,-2.401,0.533,-75.97
-70.313,-687.5,15539,-2.395,0.533,-75.97
-179.69,-656.25,16164,-2.39,0.533,-75.97
-101.56,-710.94,16211,-2.39,0.533,-75.97
-70.313,-718.75,15742,-2.401,0.533,-75.97
-289.06,-703.13,15813,-2.395,0.538,-75.97
-179.69,-601.56,15977,-2.39,0.533,-75.97
-23.438,-640.63,16156,-2.39,0.533,-75.97
-210.94,-734.38,15898,-2.401,0.538,-75.97
-218.75,-687.5,15773,-2.401,0.538,-75.97
-109.38,-601.56,15875,-2.384,0.538,-75.97
-140.63,-632.81,16406,-2.39,0.538,-75.97
-148.44,-757.81,15961,-2.401,0.538,-75.97
-148.44,-726.56,15703,-2.401,0.538,-75.97
-234.38,-648.44,15922,-2.39,0.538,-75.97
-132.81,-640.63,16469,-2.39,0.538,-75.97
-15.625,-703.13,15797,-2.395,0.533,-75.97
-226.56,-703.13,15727,-2.401,0.544,-75.97
-210.94,-648.44,16055,-2.39,0.538,-75.97
0,-656.25,16203,-2.39,0.538,-75.97
-132.81,-726.56,15930,-2.395,0.538,-75.97
-328.13,-781.25,15969,-2.401,0.544,-75.97
-125,-640.63,15859,-2.39,0.538,-75.97
-93.75,-570.31,16297,-2.384,0.538,-75.97
-218.75,-695.31,16219,-2.395,0.538,-75.97
-164.06,-750,15680,-2.401,0.538,-75.97
-125,-679.69,15805,-2.39,0.538,-75.97
-164.06,-671.88,16430,-2.39,0.538,-75.97
-117.19,-671.88,16031,-2.395,0.538,-75.97
-289.06,-703.13,15711,-2.401,0.538,-75.97
-179.69,-632.81,16297,-2.395,0.544,-75.97
-7.8125,-617.19,15945,-2.39,0.538,-75.97
-164.06,-656.25,15969,-2.395,0.538,-75.97
-312.5,-726.56,15781,-2.401,0.544,-75.97
-54.688,-632.81,15953,-2.395,0.538,-75.97
-242.19,-585.94,16273,-2.384,0.538,-75.97
-234.38,-757.81,16133,-2.395,0.538,-75.97
-195.31,-695.31,15664,-2.401,0.538,-75.97
-171.88,-609.38,15859,-2.395,0.544,-75.97
-125,-625,16320,-2.384,0.538,-75.97
-39.063,-679.69,15883,-2.395,0.538,-75.97
-156.25,-695.31,15555,-2.401,0.538,-75.97
-250,-671.88,15945,-2.395,0.544,-75.97
-54.688,-593.75,16219,-2.39,0.538,-75.97
-78.125,-703.13,15906,-2.39,0.533,-75.97
-343.75,-679.69,15891,-2.401,0.538,-75.97
-187.5,-640.63,15984,-2.401,0.538,-75.97
-132.81,-562.5,16148,-2.39,0.538,-75.97
