x,y,z,roll,pitch,yaw
-195.31,-726.56,15883,-2.368,0.544,-76.608
-46.875,-601.56,15883,-2.362,0.544,-76.608
-179.69,-570.31,16289,-2.351,0.544,-76.608
-187.5,-757.81,15992,-2.362,0.544,-76.608
-132.81,-703.13,15672,-2.368,0.538,-76.608
-234.38,-609.38,15953,-2.357,0.544,-76.608
-156.25,-671.88,16516,-2.357,0.538,-76.608
-85.938,-710.94,15820,-2.368,0.538,-76.608
-234.38,-750,15609,-2.368,0.544,-76.608
-257.81,-625,16227,-2.357,0.544,-76.608
15.625,-632.81,16203,-2.357,0.538,-76.608
-179.69,-679.69,15922,-2.362,0.544,-76.608
-328.13,-734.38,15914,-2.368,0.544,-76.608
-70.313,-656.25,15977,-2.357,0.538,-76.608
-132.81,-601.56,16148,-2.351,0.544,-76.608
-257.81,-781.25,16211,-2.362,0.544,-76.608
-93.75,-710.94,15664,-2.368,0.544,-76.608
-171.88,-656.25,15805,-2.357,0.544,-76.608
-250,-617.19,16453,-2.357,0.544,-76.608
-62.5,-679.69,16102,-2.362,0.538,-76.608
-171.88,-710.94,15609,-2.368,0.544,-76.608
-359.38,-664.06,16094,-2.357,0.549,-76.608
-7.8125,-687.5,16352,-2.357,0.538,-76.608
-109.38,-656.25,15891,-2.362,0.544,-76.608
-335.94,-742.19,15859,-2.368,0.549,-76.608
-203.13,-695.31,16000,-2.357,0.538,-76.608
-15.625,-562.5,16117,-2.351,0.538,-76.608
-195.31,-679.69,16188,-2.362,0.544,-76.608
-179.69,-742.19,15914,-2.368,0.544,-76.608
-132.81,-664.06,15742,-2.357,0.544,-76.608
-281.25,-578.13,16305,-2.351,0.544,-76.608
-125,-718.75,16297,-2.362,0.538,-76.608
-54.688,-718.75,15633,-2.362,0.544,-76.608
-296.88,-671.88,15813,-2.357,0.549,-76.608
-93.75,-656.25,16359,-2.351,0.538,-76.608
23.438,-664.06,16031,-2.357,0.538,-76.608
-312.5,-734.38,15672,-2.362,0.544,-76.608
-296.88,-718.75,16000,-2.357,0.544,-76.608
-46.875,-601.56,16086,-2.346,0.538,-76.608
-164.06,-617.19,16055,-2.357,0.544,-76.608
-320.31,-781.25,15984,-2.362,0.544,-76.608
-109.38,-695.31,15813,-2.357,0.538,-76.608
-148.44,-617.19,15906,-2.346,0.544,-76.608
-242.19,-640.63,16438,-2.351,0.544,-76.608
-78.125,-687.5,15703,-2.362,0.544,-76.608
-187.5,-625,15680,-2.357,0.544,-76.608
-328.13,-609.38,16328,-2.351,0.544,-76.608
7.8125,-640.63,16266,-2.351,0.538,-76.608
-148.44,-687.5,15719,-2.362,0.544,-76.608
-343.75,-656.25,15930,-2.357,0.544,-76.608
-54.688,-632.81,16156,-2.346,0.538,-76.608
-39.063,-679.69,16031,-2.351,0.538,-76.608
-289.06,-718.75,15977,-2.362,0.544,-76.608
-109.38,-742.19,15828,-2.362,0.538,-76.608
-78.125,-601.56,15898,-2.346,0.538,-76.608
-250,-601.56,16430,-2.346,0.538,-76.608
-101.56,-734.38,16000,-2.357,0.538,-76.608
-132.81,-726.56,15688,-2.357,0.544,-76.608
-304.69,-656.25,16008,-2.351,0.544,-76.608
-54.688,-679.69,16461,-2.351,0.538,-76.608
-70.313,-695.31,15789,-2.357,0.544,-76.608
-281.25,-695.31,15711,-2.362,0.544,-76.608
-210.94,-656.25,16117,-2.351,0.544,-76.608
31.25,-640.63,16141,-2.351,0.538,-76.608
-242.19,-640.63,15891,-2.357,0.544,-76.608
-312.5,-695.31,15938,-2.362,0.544,-76.608
-62.5,-664.06,15945,-2.351,0.538,-76.608
-140.63,-640.63,16164,-2.346,0.544,-76.608
-234.38,-710.94,16203,-2.362,0.544,-76.608
-148.44,-757.81,15688,-2.362,0.544,-76.608
-265.63,-625,15867,-2.351,0.544,-76.608
-210.94,-593.75,16430,-2.351,0.544,-76.608
-46.875,-687.5,16016,-2.357,0.538,-76.608
-203.13,-671.88,15539,-2.357,0.544,-76.608
-335.94,-664.06,16125,-2.351,0.544,-76.608
-23.438,-695.31,16188,-2.351,0.538,-76.608
-101.56,-703.13,15945,-2.357,0.544,-76.608
-398.44,-710.94,15930,-2.362,0.549,-76.608
-23.438,-632.81,15992,-2.357,0.538,-76.608
-179.69,-632.81,16258,-2.351,0.538,-76.608
-195.31,-757.81,16094,-2.357,0.544,-76.608
-39.063,-757.81,15711,-2.368,0.538,-76.608
-203.13,-625,15906,-2.357,0.544,-76.608
-156.25,-601.56,16461,-2.351,0.538,-76.608
7.8125,-703.13,15867,-2.357,0.538,-76.608
-226.56,-695.31,15594,-2.362,0.538,-76.608
-242.19,-625,16164,-2.357,0.544,-76.608
0,-648.44,16313,-2.351,0.533,-76.608
-39.063,-695.31,15938,-2.357,0.538,-76.608
-281.25,-710.94,15695,-2.362,0.544,-76.608
-218.75,-718.75,15992,-2.357,0.538,-76.608
-54.688,-601.56,16148,-2.346,0.538,-76.608
-242.19,-695.31,16039,-2.351,0.544,-76.608
-117.19,-757.81,15773,-2.362,0.544,-76.608
-132.81,-640.63,15766,-2.357,0.538,-76.608
-265.63,-601.56,16352,-2.351,0.538,-76.608
-187.5,-710.94,16094,-2.357,0.538,-76.608
-93.75,-734.38,15586,-2.362,0.538,-76.608
-312.5,-617.19,16008,-2.357,0.544,-76.608
-93.75,-625,16430,-2.351,0.544,-76.608
0,-648.44,15914,-2.351,0.538,-76.608
-210.94,-671.88,15711,-2.362,0.544,-76.608
-187.5,-648.44,16102,-2.357,0.544,-76.608
7.8125,-679.69,16156,-2.351,0.538,-76.608
-85.938,-609.38,16148,-2.351,0.538,-76.608
-328.13,-687.5,15914,-2.362,0.544,-76.608
