x,y,z,roll,pitch,yaw
-156.25,-695.31,16000,-2.686,0.807,-52.531
-171.88,-718.75,16008,-2.686,0.807,-52.531
-187.5,-742.19,16016,-2.686,0.807,-52.531
-320.31,-750,16070,-2.686,0.807,-52.531
1,1,1,1,1,1
-273.44,-804.69,15922,-2.692,0.807,-52.531
-265.63,-757.81,15773,-2.692,0.807,-52.531
-148.44,-757.81,15953,-2.686,0.807,-52.531
-203.13,-757.81,16086,-2.686,0.807,-52.531
-203.13,-718.75,16078,-2.686,0.807,-52.531
-203.13,-781.25,15914,-2.686,0.807,-52.531
-257.81,-796.88,16031,-2.692,0.813,-52.531
-187.5,-796.88,15688,-2.692,0.807,-52.531
-250,-773.44,15891,-2.686,0.813,-52.531
-281.25,-710.94,15930,-2.686,0.807,-52.531
-289.06,-718.75,16258,-2.681,0.813,-52.531
-210.94,-765.63,16086,-2.686,0.813,-52.531
-234.38,-773.44,15945,-2.692,0.807,-52.531
-140.63,-835.94,15766,-2.692,0.813,-52.531
-0,-734.38,15898,-2.692,0.813,-52.531
-328.13,-695.31,16125,-2.686,0.813,-52.531
-250,-671.88,16117,-2.681,0.813,-52.531
-203.13,-695.31,16148,-2.681,0.813,-52.531
-117.19,-734.38,3000,-2.686,0.807,-52.531
-214.84,-785.16,4000,-2.689,0.81,-52.531
-312.5,-835.94,5000,-2.692,0.813,-52.531
-320.31,-789.06,15898,-2.686,0.813,-52.531
-210.94,-750,16027,-2.6835,0.81,-52.531
-101.56,-710.94,16156,-2.681,0.807,-52.531
-148.44,-734.38,16105,-2.6835,0.81,-52.531
-195.31,-757.81,16055,-2.686,0.813,-52.531
-296.88,-781.25,16031,-2.692,0.813,-52.531
-203.13,-828.13,15820,-2.692,0.813,-52.531
-265.63,-757.81,15875,-2.686,0.813,-52.531
-156.25,-710.94,16008,-2.686,0.813,-52.531
-222.66,-714.84,16031,-2.6835,0.813,-52.531
-289.06,-718.75,16055,-2.681,0.813,-52.531
-257.81,-742.19,15844,-2.686,0.813,-52.531
-218.75,-804.69,15813,-2.686,0.813,-52.531
-265.63,-742.19,15898,-2.681,0.813,-52.531
2,2,2,2,2,2
-265.63,-789.06,16133,-2.681,0.813,-52.531
-140.63,-781.25,16086,-2.681,0.813,-52.531
-187.5,-750,16000,-2.681,0.813,-52.531
-125,-820.31,15906,-2.686,0.813,-52.531
-335.94,-718.75,15906,-2.686,0.813,-52.531
-226.56,-796.88,15859,-2.681,0.813,-52.531
