x,y,z,roll,pitch,yaw
-0.034,-0.057,0.996,-3.274,1.818,-166.88
-0.034,-0.057,0.996,-3.274,1.818,-166.88
-0.032,-0.057,0.999,-3.274,1.818,-166.88
-0.032,-0.057,0.999,-3.274,1.818,-166.88
-0.032,-0.057,0.999,-3.274,1.818,-166.88
-0.032,-0.057,0.999,-3.274,1.818,-166.88
-0.035,-0.057,1.001,-3.274,1.818,-166.88
-0.035,-0.057,1.001,-3.274,1.818,-166.88
-0.035,-0.057,1.001,-3.274,1.818,-166.88
-0.035,-0.058,0.995,-3.274,1.818,-166.88
-0.035,-0.058,0.995,-3.274,1.818,-166.88
-0.035,-0.058,0.995,-3.274,1.818,-166.88
-0.035,-0.058,0.995,-3.274,1.818,-166.88
-0.036,-0.057,0.992,-3.274,1.818,-166.88
-0.036,-0.057,0.992,-3.274,1.818,-166.88
-0.036,-0.057,0.992,-3.268,1.824,-166.88
-0.036,-0.057,0.992,-3.268,1.824,-166.88
-0.034,-0.057,1.001,-3.268,1.824,-166.88
-0.034,-0.057,1.001,-3.274,1.824,-166.88
-0.034,-0.057,1.001,-3.274,1.824,-166.88
-0.029,-0.056,0.998,-3.274,1.824,-166.88
-0.029,-0.056,0.998,-3.274,1.824,-166.88
-0.029,-0.056,0.998,-3.274,1.824,-166.88
-0.029,-0.056,0.998,-3.274,1.824,-166.88
-0.034,-0.058,0.992,-3.274,1.824,-166.88
-0.034,-0.058,0.992,-3.274,1.829,-166.88
-0.034,-0.058,0.992,-3.274,1.829,-166.88
-0.031,-0.058,0.993,-3.274,1.829,-166.88
-0.031,-0.058,0.993,-3.274,1.829,-166.88
-0.031,-0.058,0.993,-3.274,1.835,-166.88
-0.031,-0.058,0.993,-3.274,1.835,-166.88
-0.031,-0.057,0.996,-3.274,1.835,-166.88
-0.031,-0.057,0.996,-3.274,1.835,-166.88
-0.031,-0.057,0.996,-3.274,1.835,-166.88
-0.031,-0.057,0.996,-3.274,1.835,-166.88
-0.032,-0.056,1,-3.274,1.835,-166.88
-0.032,-0.056,1,-3.268,1.84,-166.88
