ax,ay,az,gx,gy,gz,mx,my,mz
786,-147,16970,0.002134,0.003201,-0.001067,52,-45,-30
780,-147,16967,0.002134,0.003201,-0.001067,52,-45,-29
793,-155,16967,0.002134,0.003201,-0.001067,52,-45,-30
797,-142,16991,0.001601,0.003201,-0.001067,52,-45,-29
801,-137,17002,0.001601,0.003201,-0.001067,52,-45,-30
808,-145,17012,0.001601,0.003201,-0.001067,51,-45,-30
808,-144,17006,0.001601,0.003201,-0.001067,52,-45,-30
814,-146,17007,0.001601,0.003201,-0.000534,52,-45,-30
814,-143,17003,0.001601,0.003201,-0.000534,51,-45,-30
813,-139,16999,0.001601,0.003201,-0.000534,51,-45,-30
810,-141,16994,0.001601,0.003201,-0.000534,51,-44,-30
807,-153,17001,0.001601,0.003201,-0.000534,52,-45,-30
802,-146,16992,0.001601,0.003201,-0.000534,51,-44,-30
789,-149,16990,0.001601,0.002668,-0.000534,51,-44,-30
789,-148,16997,0.001601,0.002668,-0.000534,51,-44,-30
787,-148,17007,0.001601,0.002668,-0.000534,52,-44,-30
789,-145,17010,0.001601,0.002668,-0.000534,52,-44,-29
794,-148,17014,0.001601,0.002668,-0.000534,52,-44,-29
786,-141,17021,0.001601,0.002668,-0.000534,52,-45,-29
796,-137,17015,0.001601,0.003201,-0.000534,51,-45,-29
801,-139,17025,0.001601,0.003201,-0.000534,52,-45,-29
803,-133,17019,0.001601,0.003201,-0.000534,51,-45,-29
799,-133,17024,0.001601,0.003201,-0.000534,51,-45,-29
801,-145,17012,0.001601,0.003201,-0.000534,51,-45,-29
802,-148,17005,0.001601,0.003201,-0.000534,51,-45,-29
802,-143,17003,0.001601,0.003201,-0.000534,51,-45,-29
811,-149,17003,0.001601,0.003201,-0.000534,51,-44,-29
830,-142,16993,0.001601,0.003201,-0.000534,51,-45,-29
818,-144,16991,0.001601,0.003201,-0.000534,51,-44,-29
824,-146,17000,0.001601,0.003201,-0.000534,52,-45,-30
827,-143,16996,0.002134,0.003201,-0.000534,51,-45,-30
827,-138,17020,0.002134,0.003201,-0.000534,51,-45,-30
821,-134,17021,0.002134,0.003201,-0.001067,51,-45,-30
822,-138,17010,0.002134,0.003201,-0.001067,51,-45,-30
818,-137,17017,0.002134,0.003201,-0.001067,51,-46,-29
796,-147,17029,0.002134,0.003201,-0.001067,51,-46,-29
799,-143,17026,0.002134,0.003201,-0.001067,51,-46,-29
796,-144,17016,0.001601,0.003201,-0.001067,51,-45,-29
791,-152,17008,0.001601,0.003201,-0.001067,51,-46,-30
790,-146,16997,0.001601,0.003201,-0.001067,51,-45,-30
822,-157,16998,0.002134,0.003201,-0.001067,51,-45,-30
823,-158,17023,0.002134,0.003201,-0.001067,51,-45,-29
826,-171,17028,0.002134,0.003201,-0.001067,51,-45,-30
819,-173,17033,0.002134,0.003201,-0.000534,51,-45,-30
815,-180,17030,0.002134,0.003201,-0.000534,52,-45,-30
808,-179,17031,0.002134,0.003201,-0.000534,51,-45,-29
815,-176,17028,0.002134,0.003201,-0.000534,51,-45,-29
818,-182,17030,0.002134,0.003201,-0.000534,51,-45,-29
789,-182,17033,0.002134,0.003201,-0.000534,51,-45,-29
776,-186,17026,0.002134,0.003201,-0.000534,51,-44,-30
772,-176,17004,0.002134,0.003201,-0.000534,51,-45,-30
779,-168,16998,0.002134,0.003201,-0.001067,51,-44,-29
783,-174,16997,0.001601,0.003201,-0.001067,51,-44,-29
820,-174,17002,0.001601,0.003201,-0.001067,51,-45,-30
812,-173,17025,0.001601,0.003735,-0.001067,51,-45,-30
806,-171,17015,0.001601,0.003735,-0.001067,51,-45,-30
817,-164,17014,0.001601,0.003735,-0.001067,51,-45,-30
820,-168,17011,0.001601,0.003735,-0.001067,51,-45,-29
822,-167,17019,0.001601,0.003201,-0.001067,51,-45,-29
819,-175,16994,0.001601,0.003201,-0.001067,51,-45,-29
822,-169,16999,0.002134,0.003201,-0.001067,51,-45,-29
792,-168,16989,0.001601,0.003201,-0.001067,52,-45,-30
799,-171,16975,0.001601,0.003201,-0.001067,52,-45,-30
796,-175,16985,0.001601,0.003201,-0.001067,52,-45,-29
786,-178,16975,0.002134,0.003201,-0.000534,52,-45,-29
801,-176,16982,0.002134,0.003201,-0.000534,52,-45,-29
769,-178,16975,0.002134,0.003201,-0.000534,52,-44,-29
756,-164,16999,0.002134,0.003201,-0.000534,52,-45,-29
757,-168,16997,0.002134,0.003201,-0.000534,51,-45,-29
755,-161,16994,0.002134,0.003201,-0.000534,51,-45,-29
747,-159,16981,0.002134,0.003201,-0.000534,51,-45,-29
756,-159,16985,0.002134,0.003201,-0.000534,51,-45,-29
757,-161,16996,0.002134,0.003201,-0.000534,51,-45,-29
755,-158,16979,0.002134,0.003201,-0.000534,51,-45,-29
783,-160,16983,0.002134,0.003201,-0.000534,51,-45,-29
792,-170,16978,0.002134,0.003201,-0.000534,51,-45,-29
788,-164,16980,0.001601,0.003201,-0.000534,51,-45,-29
795,-172,17013,0.001601,0.003201,-0.000534,51,-44,-29
806,-167,17027,0.001601,0.003201,-0.000534,52,-44,-29
799,-164,17015,0.001601,0.003201,-0.000534,52,-44,-29
804,-153,17014,0.001601,0.003201,-0.000534,52,-44,-29
798,-146,17026,0.001601,0.003201,-0.000534,51,-44,-29
802,-139,17028,0.001601,0.003201,-0.000534,51,-45,-30
770,-141,17017,0.001601,0.003201,-0.000534,51,-45,-30
771,-148,17016,0.001601,0.003201,-0.000534,51,-44,-29
766,-142,16990,0.001601,0.003201,-0.000534,51,-44,-29
768,-149,16992,0.001601,0.003201,-0.000534,51,-45,-30
767,-147,16997,0.001601,0.003201,-0.000534,51,-44,-30
758,-161,17002,0.002134,0.003201,-0.001067,51,-45,-29
753,-167,17003,0.002134,0.003201,-0.001067,51,-44,-30
759,-169,17003,0.002134,0.003201,-0.001067,51,-44,-30
792,-160,17030,0.002134,0.003201,-0.001067,51,-44,-30
798,-149,17019,0.002134,0.003201,-0.001067,51,-44,-30
792,-151,17024,0.002134,0.003201,-0.001067,51,-44,-30
795,-153,17018,0.002134,0.003201,-0.001067,51,-44,-30
800,-144,17021,0.002134,0.003201,-0.001067,51,-44,-30
811,-139,17009,0.002134,0.003201,-0.001067,51,-44,-30
812,-140,17012,0.002134,0.003201,-0.001067,51,-44,-30
809,-140,17023,0.002134,0.003201,-0.001067,51,-44,-29
800,-147,17005,0.002134,0.003201,-0.001067,51,-44,-29
797,-157,17020,0.001601,0.003201,-0.001067,51,-44,-29
804,-157,17010,0.001601,0.003201,-0.001067,51,-44,-30
794,-156,17000,0.001601,0.003201,-0.001067,51,-44,-30
788,-158,16991,0.001601,0.003201,-0.001067,51,-44,-30
775,-158,16999,0.001601,0.003201,-0.001067,52,-44,-30
780,-153,16990,0.001601,0.003201,-0.000534,52,-44,-30
781,-158,16977,0.002134,0.003201,-0.000534,51,-44,-30
791,-148,16965,0.002134,0.003201,-0.000534,51,-44,-30
797,-145,16960,0.002134,0.003201,-0.001067,51,-45,-30
803,-146,16967,0.002134,0.003201,-0.001067,51,-45,-29
810,-147,16988,0.002134,0.003201,-0.001067,51,-45,-29
815,-157,16994,0.002134,0.003201,-0.001067,51,-45,-29
813,-154,16989,0.002134,0.003735,-0.001067,50,-45,-29
820,-157,16992,0.002134,0.003735,-0.001067,51,-45,-29
825,-154,16980,0.002134,0.003201,-0.001067,51,-45,-29
820,-157,16987,0.002134,0.003201,-0.001067,51,-45,-29
811,-159,16975,0.002134,0.003201,-0.001067,51,-44,-29
814,-161,16977,0.002134,0.003201,-0.001067,51,-45,-30
809,-158,16978,0.002134,0.003201,-0.001067,51,-45,-30
810,-156,16977,0.002134,0.003201,-0.001067,51,-45,-30
816,-164,16975,0.002134,0.003201,-0.001067,51,-45,-30
808,-166,16983,0.002134,0.003201,-0.001067,51,-45,-30
800,-163,17000,0.002134,0.003201,-0.001067,51,-45,-30
807,-162,17012,0.002134,0.003201,-0.001067,51,-45,-29
809,-154,17032,0.002134,0.003735,-0.001067,52,-45,-29
800,-161,17026,0.002134,0.003735,-0.001067,52,-45,-29
796,-160,17023,0.002134,0.003735,-0.000534,52,-45,-29
797,-162,17030,0.002134,0.003735,-0.000534,52,-45,-29
804,-159,17025,0.002134,0.004268,-0.000534,52,-45,-29
802,-155,17005,0.001601,0.003735,-0.000534,52,-45,-29
801,-158,17001,0.001601,0.003735,-0.000534,52,-45,-30
803,-166,16989,0.001601,0.003735,-0.000534,52,-45,-30
802,-174,16993,0.001601,0.003735,-0.001067,52,-45,-30
808,-165,16999,0.001601,0.003735,-0.001067,51,-45,-30
810,-161,16985,0.001601,0.003735,-0.001067,51,-45,-29
803,-155,16988,0.001601,0.003735,-0.001067,51,-45,-29
789,-152,17000,0.001601,0.003201,-0.001067,51,-45,-30
797,-153,17023,0.001601,0.003201,-0.001067,51,-45,-29
793,-149,17025,0.002134,0.003201,-0.001067,52,-45,-29
786,-144,17036,0.002134,0.003201,-0.001067,51,-45,-29
780,-137,17027,0.002134,0.003201,-0.001067,52,-44,-29
772,-151,17025,0.002134,0.003201,-0.001067,52,-45,-29
774,-161,17038,0.002134,0.003201,-0.000534,53,-44,-29
771,-174,17042,0.002134,0.003201,-0.000534,52,-44,-29
777,-186,17054,0.002134,0.003201,-0.000534,52,-45,-29
777,-186,17048,0.002134,0.003201,-0.000534,52,-45,-29
787,-188,17051,0.001601,0.003201,-0.000534,52,-45,-29
790,-180,17044,0.002134,0.003201,-0.000534,52,-45,-30
