x,y,z,roll,pitch,yaw
-975,-20,16769,-0.031795,3.5818,135.59
-978,-1,16760,-0.035736,3.5739,135.56
-994,-8,16760,-0.000711,3.6213,135.65
-1004,-10,16749,0.019058,3.6588,135.71
-991,1,16744,0.036931,3.6733,135.76
-995,7,16739,0.00937,3.643,135.7
-999,8,16751,-0.005762,3.6273,135.64
-992,8,16756,-0.010766,3.6162,135.61
-988,-3,16772,-0.021675,3.6079,135.58
-988,5,16807,-0.022112,3.6021,135.56
-974,5,16821,-0.023576,3.5857,135.54
-976,4,16823,-0.023448,3.5763,135.52
-987,-6,16829,-0.029325,3.5781,135.5
-989,21,16841,-0.011391,3.5816,135.49
-991,14,16845,-0.002259,3.5859,135.48
-991,8,16826,0.000897,3.5905,135.47
-992,12,16804,0.006797,3.5963,135.46
-987,15,16784,0.013933,3.5968,135.45
-987,8,16768,0.014732,3.5983,135.45
-977,10,16783,0.01726,3.5919,135.44
-973,25,16783,0.03081,3.5845,135.44
-962,0,16774,0.023204,3.5711,135.43
-965,9,16779,0.024731,3.565,135.43
-963,9,16799,0.024747,3.5581,135.43
-960,8,16816,0.024315,3.5501,135.43
-956,-5,16824,0.014717,3.5409,135.43
-951,3,16826,0.016078,3.5326,135.43
-958,-5,16796,0.010957,3.5308,135.44
-950,-20,16795,-0.002878,3.5233,135.44
-956,-24,16798,-0.059656,3.4806,135.34
-952,-19,16781,-0.091257,3.4527,135.26
-957,-10,16761,-0.10273,3.4421,135.2
-960,-15,16760,-0.070097,3.4807,135.25
-974,2,16756,-0.037212,3.5163,135.29
-974,-1,16748,-0.017957,3.5418,135.32
-964,0,16772,-0.005104,3.5505,135.34
-965,-2,16786,0.001617,3.5556,135.36
-963,-2,16802,0.007998,3.5569,135.37
-966,-11,16805,0.004985,3.5586,135.39
-972,-21,16820,-0.005652,3.5627,135.4
-980,-14,16807,-0.012062,3.5695,135.4
-971,-17,16803,-0.017024,3.5704,135.41
-971,-16,16795,0.018991,3.6096,135.52
-978,-2,16780,0.048691,3.6374,135.6
-978,4,16770,0.069288,3.6527,135.67
-970,11,16752,0.085141,3.6543,135.72
-967,18,16755,0.10133,3.6516,135.78
-956,26,16746,0.11376,3.636,135.81
-952,20,16754,0.11687,3.6183,135.84
-947,6,16769,0.10745,3.5986,135.86
-987,0,16786,0.053103,3.5703,135.78
-988,-16,16808,0.047982,3.5958,135.82
-1003,-22,16799,-0.005522,3.5833,135.75
-1012,-25,16801,-0.04335,3.5862,135.69
-1014,-20,16783,-0.064875,3.5951,135.65
-1009,-29,16777,-0.085229,3.6018,135.61
-992,-16,16769,-0.088953,3.5976,135.58
-998,-7,16757,-0.083173,3.6027,135.56
-962,4,16765,-0.069294,3.5812,135.54
-964,6,16760,-0.095655,3.5274,135.42
-956,5,16760,-0.066961,3.5291,135.43
-960,6,16774,-0.045088,3.5315,135.44
-959,-10,16796,-0.080925,3.4908,135.34
-974,-9,16815,-0.097078,3.48,135.26
-990,-20,16827,-0.07261,3.5275,135.31
-996,-23,16815,-0.060315,3.5651,135.34
-985,-36,16820,-0.063561,3.5831,135.37
-982,-35,16825,-0.067344,3.5928,135.38
-979,-18,16832,-0.059079,3.5968,135.4
-976,-22,16820,-0.058135,3.5969,135.41
