x,y,z,roll,pitch,yaw
-187.5,-718.75,16141,-2.692,0.769,-50.927
-187.5,-695.31,16305,-2.686,0.764,-50.927
-101.56,-695.31,16172,-2.686,0.764,-50.927
-132.81,-726.56,16000,-2.697,0.764,-50.927
-390.63,-859.38,15844,-2.697,0.769,-50.927
-296.88,-804.69,15750,-2.703,0.775,-50.927
-296.88,-796.88,15922,-2.697,0.769,-50.927
-195.31,-664.06,16023,-2.686,0.769,-50.927
-148.44,-687.5,16180,-2.686,0.764,-50.927
-203.13,-718.75,16211,-2.686,0.764,-50.927
-226.56,-835.94,16000,-2.697,0.769,-50.927
-273.44,-859.38,15852,-2.703,0.769,-50.927
-265.63,-867.19,15703,-2.697,0.769,-50.927
-140.63,-687.5,15914,-2.697,0.764,-50.927
-195.31,-679.69,16188,-2.692,0.764,-50.927
-164.06,-671.88,16328,-2.686,0.764,-50.927
-234.38,-671.88,16258,-2.692,0.769,-50.927
-179.69,-757.81,16023,-2.697,0.769,-50.927
-210.94,-867.19,15727,-2.697,0.769,-50.927
-289.06,-796.88,15758,-2.697,0.769,-50.927
-234.38,-757.81,15961,-2.692,0.769,-50.927
-273.44,-687.5,16164,-2.686,0.769,-50.927
-164.06,-687.5,16172,-2.686,0.764,-50.927
-93.75,-781.25,16086,-2.692,0.764,-50.927
-210.94,-773.44,15836,-2.697,0.769,-50.927
-304.69,-789.06,15781,-2.697,0.769,-50.927
-320.31,-820.31,15828,-2.697,0.769,-50.927
-218.75,-742.19,15969,-2.6915,0.769,-50.927
-117.19,-664.06,16109,-2.686,0.769,-50.927
-156.25,-687.5,16164,-2.692,0.764,-50.927
-187.5,-765.63,16203,-2.697,0.769,-50.927
-257.81,-812.5,15898,-2.697,0.769,-50.927
-312.5,-812.5,15672,-2.697,0.769,-50.927
-265.63,-726.56,15898,-2.692,0.769,-50.927
-187.5,-671.88,15984,-2.686,0.769,-50.927
-93.75,-687.5,16258,-2.686,0.764,-50.927
-242.19,-726.56,16188,-2.692,0.764,-50.927
-210.94,-851.56,15859,-2.697,0.769,-50.927
-250,-781.25,15648,-2.703,0.769,-50.927
-257.81,-812.5,15719,-2.697,0.769,-50.927
-250,-718.75,15922,-2.692,0.769,-50.927
-265.63,-664.06,16359,-2.686,0.764,-50.927
-187.5,-703.13,16242,-2.686,0.764,-50.927
-140.63,-765.63,16023,-2.692,0.769,-50.927
-199.22,-777.34,15930,-2.6975,0.769,-50.927
-257.81,-789.06,15836,-2.703,0.769,-50.927
-195.31,-789.06,15906,-2.697,0.769,-50.927
-289.06,-742.19,16086,-2.686,0.769,-50.927
-257.81,-640.63,16039,-2.686,0.764,-50.927
-195.31,-648.44,16109,-2.686,0.764,-50.927
-187.5,-781.25,16133,-2.686,0.764,-50.927
-281.25,-812.5,15953,-2.692,0.769,-50.927
-273.44,-859.38,15805,-2.697,0.769,-50.927
-328.13,-820.31,15813,-2.692,0.769,-50.927
-109.38,-695.31,16063,-2.686,0.769,-50.927
-171.88,-695.31,16180,-2.686,0.769,-50.927
-187.5,-703.13,16414,-2.686,0.769,-50.927
-210.94,-781.25,16000,-2.692,0.769,-50.927
-164.06,-750,15883,-2.692,0.769,-50.927
-203.13,-781.25,15797,-2.697,0.769,-50.927
-242.19,-750,15898,-2.692,0.769,-50.927
-210.94,-726.56,16066,-2.689,0.769,-50.927
-179.69,-703.13,16234,-2.686,0.769,-50.927
-156.25,-710.94,16141,-2.686,0.769,-50.927
-242.19,-804.69,15891,-2.692,0.769,-50.927
-218.75,-750,15734,-2.692,0.769,-50.927
-273.44,-781.25,15852,-2.692,0.769,-50.927
-273.44,-765.63,15961,-2.692,0.769,-50.927
-140.63,-687.5,16016,-2.686,0.769,-50.927
-117.19,-679.69,16078,-2.686,0.769,-50.927
-234.38,-734.38,16070,-2.692,0.769,-50.927
-257.81,-781.25,15969,-2.692,0.769,-50.927
-296.88,-773.44,15813,-2.692,0.769,-50.927
-289.06,-703.13,15898,-2.692,0.769,-50.927
-132.81,-695.31,15867,-2.692,0.769,-50.927
-156.25,-710.94,16078,-2.686,0.769,-50.927
-203.13,-695.31,16297,-2.692,0.769,-50.927
-203.13,-757.81,15820,0.769,-50.927,NaN
-195.31,-750,15789,-2.692,0.769,-50.927
-179.69,-726.56,15914,-2.692,0.769,-50.927
-226.56,-710.94,16047,-2.686,0.769,-50.927
-125,-734.38,16188,-2.686,0.769,-50.927
-234.38,-796.88,16102,-2.692,0.769,-50.927
-257.81,-765.63,15805,-2.697,0.769,-50.927
-179.69,-796.88,15734,-2.697,0.769,-50.927
-273.44,-718.75,15953,-2.692,0.769,-50.927
-179.69,-726.56,16125,-2.686,0.769,-50.927
-257.81,-687.5,16188,-2.681,0.769,-50.927
-140.63,-726.56,16078,-2.686,0.764,-50.927
-148.44,-710.94,16047,-2.692,0.764,-50.927
-273.44,-828.13,15875,-2.692,0.769,-50.927
-195.31,-851.56,15844,-2.697,0.769,-50.927
-281.25,-765.63,15875,-2.692,0.769,-50.927
-265.63,-718.75,15992,-2.686,0.769,-50.927
-117.19,-710.94,15968,-2.681,0.769,-50.927
-171.88,-765.63,16219,-2.686,0.769,-50.927
-234.38,-804.69,16109,-2.692,0.769,-50.927
-328.13,-843.75,15766,-2.692,0.775,-50.927
-218.75,-812.5,15734,-2.692,0.769,-50.927
-148.44,-710.94,16063,-2.686,0.769,-50.927
-312.5,-664.06,16219,-2.686,0.769,-50.927
-117.19,-703.13,16156,-2.686,0.769,-50.927
-125,-750,16195,-2.686,0.769,-50.927
-296.88,-804.69,16031,-2.692,0.769,-50.927
-148.44,-726.56,15656,-2.692,0.769,-50.927
-343.75,-750,15906,-2.692,0.769,-50.927
-328.13,-703.13,16031,-2.686,0.769,-50.927
-117.19,-703.13,16070,-2.681,0.769,-50.927
-210.94,-718.75,16141,-2.686,0.769,-50.927
-179.69,-757.81,15891,-2.686,0.769,-50.927
-132.81,-789.06,15758,-2.692,0.769,-50.927
-281.25,-835.94,10000,-2.692,0.775,-50.927
-367.19,-796.88,15930,-2.692,0.775,-50.927
-109.38,-679.69,15984,-2.686,0.769,-50.927
-171.88,-617.19,16188,-2.681,0.769,-50.927
-187.5,-687.5,16266,-2.681,0.764,-50.927
-148.44,-750,16102,-2.692,0.769,-50.927
-398.44,-789.06,15750,-2.692,0.769,-50.927
-257.81,-820.31,15680,-2.692,0.769,-50.927
-140.63,-742.19,15852,-2.686,0.769,-50.927
-265.63,-710.94,16117,-2.681,0.769,-50.927
-203.13,-671.88,16227,-2.681,0.764,-50.927
-218.75,-742.19,16133,-2.681,0.764,-50.927
-210.94,-765.63,15898,-2.686,0.764,-50.927
-289.06,-765.63,15781,-2.692,0.769,-50.927
-187.5,-773.44,15688,-2.692,0.764,-50.927
-234.38,-750,15906,-2.686,0.764,-50.927
-148.44,-679.69,16359,-2.681,0.764,-50.927
-171.88,-730.47,16211,-2.6835,0.764,-50.927
-195.31,-781.25,16063,-2.686,0.764,-50.927
-257.81,-765.63,15766,-2.692,0.764,-50.927
-304.69,-796.88,15867,-2.692,0.764,-50.927
-281.25,-781.25,16094,-2.692,0.769,-50.927
-242.19,-742.19,16063,-2.681,0.764,-50.927
-171.88,-671.88,16055,-2.681,0.764,-50.927
-195.31,-632.81,16070,-2.681,0.764,-50.927
-226.56,-820.31,16141,-2.686,0.764,-50.927
-328.13,-851.56,15898,-2.692,0.769,-50.927
-281.25,-820.31,15750,-2.692,0.769,-50.927
-203.13,-742.19,15727,-2.686,0.764,-50.927
-187.5,-648.44,16086,-2.681,0.764,-50.927
-156.25,-695.31,16281,-2.681,0.764,-50.927
-203.13,-679.69,16266,-2.681,0.764,-50.927
-171.88,-765.63,16039,-2.686,0.769,-50.927
