x,y,z,roll,pitch,yaw
600,95,16975,0.4245,-1.9981,-135.77
589,111,16976,0.43367,-1.983,-135.76
588,108,16964,0.40446,-1.9376,-135.81
587,109,16947,0.38949,-1.9086,-135.84
589,101,16968,0.41046,-1.9243,-135.82
577,102,16981,0.3899,-1.8911,-135.85
585,111,16981,0.38537,-1.8757,-135.87
594,113,16966,0.42062,-1.9068,-135.84
585,121,16986,0.41495,-1.8848,-135.87
591,114,16993,0.40875,-1.875,-135.89
590,114,16999,0.43946,-1.901,-135.85
594,109,17004,0.4213,-1.8867,-135.88
604,112,16988,0.44668,-1.9195,-135.85
617,109,16987,0.45912,-1.9496,-135.82
612,107,16992,0.49514,-1.9966,-135.76
613,104,17005,0.47918,-1.9926,-135.76
623,104,17001,0.46761,-1.9977,-135.75
615,103,16996,0.45801,-1.9961,-135.75
623,108,17001,0.45446,-2.0024,-135.75
623,110,16993,0.45283,-2.0058,-135.75
614,119,16979,0.45653,-2.0006,-135.75
608,118,16965,0.45887,-1.9927,-135.75
606,124,16974,0.4667,-1.9864,-135.74
610,132,16959,0.47847,-1.9845,-135.74
608,127,16959,0.48342,-1.981,-135.74
609,127,16969,0.48709,-1.9785,-135.74
601,127,16971,0.48984,-1.9706,-135.74
606,127,16966,0.45821,-1.9355,-135.79
610,120,16972,0.43548,-1.9177,-135.83
615,124,16975,0.42556,-1.9122,-135.86
618,111,16972,0.44544,-1.9462,-135.84
613,99,16978,0.44778,-1.9646,-135.82
611,97,16971,0.4132,-1.9439,-135.86
620,95,16947,0.39026,-1.9401,-135.88
631,91,16946,0.40545,-1.9817,-135.86
628,92,16959,0.38056,-1.9754,-135.89
622,97,16941,0.36864,-1.9704,-135.91
620,94,16952,0.3583,-1.9673,-135.93
622,104,16941,0.36121,-1.9688,-135.95
626,113,16941,0.40371,-2.0056,-135.91
619,117,16936,0.43342,-2.023,-135.89
619,125,16940,0.45827,-2.0324,-135.87
620,128,16931,0.47687,-2.0377,-135.86
616,132,16924,0.49217,-2.0369,-135.85
621,132,16950,0.50247,-2.0363,-135.84
627,139,16950,0.51454,-2.0391,-135.83
632,136,16950,0.52059,-2.0438,-135.83
626,128,16940,0.48462,-2.0096,-135.88
637,128,16953,0.4636,-1.9974,-135.91
637,126,16971,0.41727,-1.9606,-136
638,132,16980,0.42856,-1.975,-136.01
639,119,16979,0.42922,-1.9884,-136.02
642,123,16970,0.43294,-2.0016,-136.03
642,120,16967,0.43376,-2.012,-136.05
637,119,16969,0.43399,-2.0169,-136.06
638,117,16973,0.43328,-2.0219,-136.07
629,119,16963,0.46858,-2.0529,-136.02
621,109,16949,0.44713,-2.0311,-136.04
616,98,16939,0.42752,-2.0156,-136.06
612,101,16949,0.41413,-2.0015,-136.07
601,95,16947,0.40148,-1.9847,-136.07
601,91,16959,0.35782,-1.9418,-136.13
599,98,16970,0.33728,-1.9147,-136.17
601,103,16982,0.33041,-1.9001,-136.21
605,97,16994,0.32424,-1.8947,-136.24
610,104,16993,0.32722,-1.8968,-136.26
600,111,17000,0.3362,-1.8925,-136.28
604,114,16995,0.34685,-1.8935,-136.3
607,109,16994,0.3864,-1.93,-136.27
615,106,16982,0.4089,-1.9586,-136.24
606,91,16984,0.37576,-1.9362,-136.28
611,93,16983,0.35814,-1.9289,-136.3
609,93,16973,0.34627,-1.9238,-136.32
607,88,16980,0.33742,-1.9206,-136.34
616,87,16991,0.3985,-1.9909,-136.26
612,89,16992,0.43479,-2.0304,-136.19
619,101,17007,0.42906,-2.0245,-136.19
616,101,17006,0.42505,-2.0181,-136.19
621,108,16984,0.46124,-2.052,-136.13
612,107,16974,0.47975,-2.0632,-136.09
617,103,16959,0.48807,-2.0743,-136.05
628,108,16956,0.46038,-2.0544,-136.07
621,107,16954,0.47446,-2.0676,-136.04
620,104,16953,0.44666,-2.0404,-136.06
619,95,16956,0.45681,-2.057,-136.02
615,106,16956,0.47008,-2.063,-135.99
622,101,16981,0.43786,-2.0345,-136.02
620,101,16982,0.41919,-2.0171,-136.03
616,114,16989,0.41712,-2.0034,-136.05
611,117,16990,0.41951,-1.9907,-136.06
614,122,16978,0.42647,-1.9846,-136.07
625,128,16973,0.43556,-1.9886,-136.08
612,134,16967,0.44712,-1.981,-136.09
612,132,16971,0.45661,-1.9754,-136.1
611,137,16965,0.46935,-1.9721,-136.1
611,141,16971,0.48204,-1.9692,-136.11
622,133,16989,0.51852,-2.006,-136.06
615,127,16979,0.53571,-2.023,-136.02
614,125,16972,0.54338,-2.0315,-135.99
608,129,16981,0.54926,-2.0307,-135.97
611,127,16956,0.5505,-2.0308,-135.95
612,128,16957,0.55063,-2.0301,-135.93
615,130,16953,0.55095,-2.0306,-135.92
615,123,16934,0.54355,-2.0303,-135.91
609,121,16938,0.53564,-2.025,-135.89
614,123,16945,0.53058,-2.0254,-135.88
614,123,16953,0.5259,-2.0249,-135.87
615,117,16970,0.48317,-1.9914,-135.91
621,121,16988,0.45957,-1.9744,-135.95
612,111,16986,0.47382,-1.9934,-135.92
602,103,16988,0.47544,-1.9973,-135.9
611,107,17001,0.44363,-1.9718,-135.93
608,114,16997,0.42922,-1.9549,-135.96
606,118,16996,0.42555,-1.945,-135.97
601,119,16998,0.42534,-1.9353,-135.99
601,120,16982,0.46015,-1.9614,-135.95
600,108,16983,0.47279,-1.9752,-135.92
607,110,16988,0.48064,-1.9876,-135.9
613,127,16950,0.46397,-1.9684,-135.93
612,131,16958,0.4906,-1.9881,-135.9
618,137,16950,0.5117,-2.004,-135.89
620,131,16960,0.52057,-2.0145,-135.87
622,130,16961,0.5248,-2.0222,-135.86
624,133,16954,0.52893,-2.0285,-135.85
631,143,16962,0.50556,-2.0057,-135.89
626,148,16964,0.49639,-1.9894,-135.93
632,137,17001,0.48488,-1.9838,-135.96
634,133,17000,0.47607,-1.9839,-135.98
627,127,16997,0.46564,-1.9813,-136
