x,y,z,roll,pitch,yaw
-335.94,-796.88,15977,-2.719,0.775,-51.405
-265.63,-796.88,16023,-2.719,0.769,-51.405
-281.25,-726.56,15852,-2.714,0.769,-51.405
-109.38,-781.25,16086,-2.708,0.769,-51.405
-156.25,-687.5,16133,-2.708,0.769,-51.405
-234.38,-742.19,16047,-2.714,0.769,-51.405
-171.88,-835.94,15906,-2.719,0.769,-51.405
-312.5,-742.19,15797,-2.719,0.769,-51.405
-140.63,-828.13,15813,-2.714,0.769,-51.405
-265.63,-679.69,16031,-2.714,0.769,-51.405
-195.31,-726.56,16102,-2.711,0.769,-51.405
-125,-773.44,16172,-2.708,0.769,-51.405
-257.81,-796.88,16086,-2.714,0.769,-51.405
-250,-773.44,15695,-2.719,0.775,-51.405
-195.31,-820.31,15906,-2.719,0.769,-51.405
-234.38,-726.56,16039,-2.714,0.769,-51.405
-289.06,-695.31,16141,-2.708,0.769,-51.405
-187.5,-718.75,16141,-2.708,0.769,-51.405
-117.19,-718.75,16125,-2.714,0.769,-51.405
-250,-851.56,16000,-2.714,0.769,-51.405
-226.56,-804.69,15766,-2.719,0.769,-51.405
-328.13,-765.63,15914,-2.714,0.769,-51.405
-226.56,-726.56,15914,-2.708,0.769,-51.405
-179.69,-718.75,16094,-2.708,0.769,-51.405
-148.44,-703.13,16227,-2.708,0.769,-51.405
-210.94,-781.25,16109,-2.714,0.769,-51.405
-289.06,-828.13,15883,-2.714,0.769,-51.405
-257.81,-785.16,15801,-2.714,0.769,-51.405
-226.56,-742.19,15719,-2.714,0.769,-51.405
-140.63,-718.75,16031,-2.708,0.769,-51.405
-257.81,-687.5,16320,-2.703,0.769,-51.405
-203.13,-718.75,16297,-2.708,0.769,-51.405
-195.31,-718.75,16141,-2.714,0.769,-51.405
-203.13,-757.81,15734,-2.714,0.769,-51.405
-257.81,-820.31,15734,-2.719,0.769,-51.405
-265.63,-757.81,15969,-2.714,0.769,-51.405
-281.25,-726.56,16102,-2.708,0.769,-51.405
-164.06,-671.88,16227,-2.703,0.764,-51.405
-148.44,-718.75,16172,-2.703,0.764,-51.405
-164.06,-757.81,15992,-2.714,0.769,-51.405
-210.94,-804.69,15828,-2.714,0.769,-51.405
-242.19,-804.69,15867,-2.714,0.769,-51.405
-234.38,-765.63,16039,-2.708,0.769,-51.405
-187.5,-703.13,15984,-2.703,0.769,-51.405
-132.81,-718.75,16059,-2.703,0.7665,-51.405
-78.125,-734.38,16133,-2.703,0.764,-51.405
-195.31,-804.69,16188,-2.708,0.769,-51.405
-257.81,-812.5,15891,-2.714,0.769,-51.405
-250,-820.31,15711,-2.714,0.769,-51.405
-179.69,-781.25,15898,-2.703,0.769,-51.405
-171.88,-726.56,16078,-2.703,0.769,-51.405
-289.06,-710.94,16211,-2.703,0.769,-51.405
-218.75,-765.63,16008,-2.703,0.769,-51.405
-218.75,-789.06,15875,-2.708,0.769,-51.405
-289.06,-765.63,15727,-2.708,0.769,-51.405
-203.13,-773.44,15875,-2.708,0.769,-51.405
-265.63,-718.75,16070,-2.703,0.769,-51.405
-187.5,-734.38,16102,-2.697,0.769,-51.405
-148.44,-757.81,16156,-2.703,0.769,-51.405
-109.38,-765.63,16031,-2.703,0.769,-51.405
-203.13,-843.75,15852,-2.708,0.769,-51.405
-304.69,-765.63,15867,-2.708,0.769,-51.405
-234.38,-750,15969,-2.703,0.769,-51.405
-210.94,-679.69,15977,-2.697,0.769,-51.405
-148.44,-664.06,16234,-2.697,0.769,-51.405
-101.56,-828.13,16133,-2.703,0.764,-51.405
-382.81,-796.88,16023,-2.703,0.769,-51.405
-242.19,-867.19,15867,-2.708,0.769,-51.405
-281.25,-804.69,15711,-2.708,0.769,-51.405
-203.13,-742.19,15867,-2.703,0.769,-51.405
-85.938,-718.75,16148,-2.697,0.769,-51.405
-218.75,-664.06,16305,-2.697,0.769,-51.405
-203.13,-796.88,16211,-2.708,0.769,-51.405
-320.31,-789.06,15953,-2.714,0.769,-51.405
-250,-812.5,15625,-2.714,0.769,-51.405
-195.31,-796.88,15898,-2.714,0.769,-51.405
-304.69,-695.31,16133,-2.703,0.769,-51.405
-148.44,-773.44,16164,-2.703,0.769,-51.405
-226.56,-664.06,16500,-2.703,0.769,-51.405
-242.19,-781.25,16086,-2.708,0.769,-51.405
-132.81,-796.88,15609,-2.708,0.775,-51.405
-289.06,-804.69,15906,-2.714,0.775,-51.405
-250,-789.06,15914,-2.708,0.775,-51.405
-171.88,-718.75,15977,-2.708,0.775,-51.405
