
726.562500,15796.875000,-2.384,0.549,-75.031 
-304.687500,-687.500000,15851.562500,-2.384,0.555,-75.031 
-187.500000,-687.500000,16406.250000,-2.379,0.555,-75.031 
-39.062500,-703.125000,15960.937500,-2.379,0.549,-75.031 
-125.000000,-718.750000,15851.562500,-2.384,0.549,-75.031 
-265.625000,-710.937500,15914.062500,-2.390,0.555,-75.031 
-39.062500,-656.250000,16132.812500,-2.379,0.549,-75.031 
-54.687500,-726.562500,16046.875000,-2.379,0.549,-75.031 
-226.562500,-757.812500,15929.687500,-2.390,0.555,-75.031 
-156.250000,-679.687500,15859.375000,-2.390,0.555,-75.031 
-101.562500,-617.187500,16031.250000,-2.379,0.555,-75.031 
-117.187500,-703.125000,16328.125000,-2.379,0.555,-75.031 
-132.812500,-757.812500,15789.062500,-2.390,0.555,-75.031 
-195.312500,-640.625000,15617.187500,-2.390,0.555,-75.031 
-242.187500,-601.562500,16281.250000,-2.379,0.555,-75.031 
117.187500,-671.875000,16226.562500,-2.379,0.549,-75.031 
-117.187500,-695.312500,15726.562500,-2.384,0.555,-75.031 
-328.125000,-679.687500,15937.500000,-2.390,0.555,-75.031 
-109.375000,-710.937500,16218.750000,-2.384,0.555,-75.031 
-23.437500,-664.062500,16078.125000,-2.379,0.549,-75.031 
-179.687500,-765.625000,15960.937500,-2.384,0.549,-75.031 
-218.750000,-742.187500,15843.750000,-2.390,0.555,-75.031 
-70.312500,-664.062500,15890.625000,-2.379,0.549,-75.031 
-78.125000,-679.687500,16218.750000,-2.384,0.549,-75.031 
-156.250000,-757.812500,15968.750000,-2.384,0.549,-75.031 
-78.125000,-734.375000,15703.125000,-2.390,0.549,-75.031 
-187.500000,-664.062500,16085.937500,-2.379,0.549,-75.031 
-148.437500,-695.312500,16406.250000,-2.379,0.549,-75.031 
-78.125000,-742.187500,15789.062500,-2.390,0.549,-75.031 
-179.687500,-718.750000,15843.750000,-2.390,0.555,-75.031 
-203.125000,-687.500000,16148.437500,-2.379,0.549,-75.031 
-39.062500,-664.062500,16046.875000,-2.379,0.544,-75.031 
-117.187500,-679.687500,15906.250000,-2.384,0.549,-75.031 
-289.062500,-734.375000,16007.812500,-2.390,0.549,-75.031 
-93.750000,-710.937500,15843.750000,-2.379,0.549,-75.031 
-101.562500,-570.312500,16132.812500,-2.379,0.549,-75.031 
-257.812500,-703.125000,16195.312500,-2.384,0.549,-75.031 
-101.562500,-750.000000,15781.250000,-2.390,0.549,-75.031 
-218.750000,-656.250000,15820.312500,-2.379,0.549,-75.031 
-195.312500,-664.062500,16367.187500,-2.379,0.549,-75.031 
-31.250000,-742.187500,15906.250000,-2.384,0.544,-75.031 
-195.312500,-726.562500,15632.812500,-2.390,0.549,-75.031 
-320.312500,-664.062500,15976.562500,-2.384,0.549,-75.031 
-140.625000,-648.437500,16226.562500,-2.379,0.544,-75.031 
-78.125000,-664.062500,15960.937500,-2.390,0.544,-75.031 
-289.062500,-773.437500,15914.062500,-2.390,0.549,-75.031 
-218.750000,-617.187500,16007.812500,-2.384,0.544,-75.031 
-78.125000,-664.062500,16093.750000,-2.379,0.544,-75.031 
-164.062500,-640.625000,16265.625000,-2.390,0.549,-75.031 
-242.187500,-710.937500,15921.875000,-2.395,0.549,-75.031 
-148.437500,-718.750000,15804.687500,-2.384,0.549,-75.031 
-171.875000,-632.812500,16203.125000,-2.379,0.549,-75.031 
-140.625000,-710.937500,16289.062500,-2.390,0.549,-75.031 
-85.937500,-750.000000,15726.562500,-2.395,0.549,-75.031 
-164.062500,-687.500000,15734.375000,-2.384,0.549,-75.031 
-148.437500,-671.875000,16375.000000,-2.379,0.549,-75.031 
-7.812500,-687.500000,16007.812500,-2.384,0.549,-75.031 
-148.437500,-695.312500,15789.062500,-2.390,0.549,-75.031 
-265.625000,-695.312500,15984.375000,-2.390,0.549,-75.031 
-39.062500,-687.500000,16054.687500,-2.379,0.544,-75.031 
-46.875000,-648.437500,16148.437500,-2.384,0.549,-75.031 
-265.625000,-742.187500,15992.187500,-2.395,0.549,-75.031 
-117.187500,-734.375000,15765.625000,-2.390,0.549,-75.031 
-101.562500,-656.250000,16046.875000,-2.384,0.549,-75.031 
-234.375000,-679.687500,16320.312500,-2.384,0.549,-75.031 
-125.000000,-687.500000,15804.687500,-2.390,0.549,-75.031 
-257.812500,-679.687500,15703.125000,-2.390,0.549,-75.031 
-187.500000,-632.812500,16171.875000,-2.384,0.549,-75.031 
-85.937500,-671.875000,16132.812500,-2.384,0.549,-75.031 
-140.625000,-687.500000,15765.625000,-2.390,0.549,-75.031 
-281.250000,-710.937500,16039.062500,-2.390,0.549,-75.031 
-187.500000,-648.437500,16132.812500,-2.384,0.549,-75.031 
-70.312500,-718.750000,16164.062500,-2.384,0.549,-75.031 
-234.375000,-781.250000,15937.500000,-2.390,0.555,-75.031 
-164.062500,-750.000000,15890.625000,-2.390,0.549,-75.031 
-156.250000,-570.312500,16164.062500,-2.379,0.549,-75.031 
-226.562500,-640.625000,16296.875000,-2.384,0.549,-75.031 
-210.937500,-710.937500,15804.687500,-2.390,0.549,-75.031 
-164.062500,-671.875000,15773.437500,-2.390,0.549,-75.031 
-234.375000,-664.062500,16281.250000,-2.379,0.555,-75.031 
-46.875000,-679.687500,15921.875000,-2.384,0.549,-75.031 
-132.812500,-671.875000,15757.812500,-2.390,0.549,-75.031 
-273.437500,-664.062500,15984.375000,-2.390,0.555,-75.031 
-101.562500,-640.625000,16093.750000,-2.384,0.555,-75.031 
-78.125000,-664.062500,16070.312500,-2.379,0.549,-75.031 
-265.625000,-734.375000,16007.812500,-2.390,0.555,-75.031 
-171.875000,-687.500000,15875.000000,-2.390,0.555,-75.031 
-85.937500,-625.000000,16085.937500,-2.384,0.549,-75.031 
-250.000000,-664.062500,16242.187500,-2.379,0.549,-75.031 
-132.812500,-710.937500,15921.875000,-2.384,0.549,-75.031 
-164.062500,-679.687500,15843.750000,-2.390,0.549,-75.031 
-304.687500,-585.937500,16125.000000,-2.384,0.555,-75.031 
-156.250000,-687.500000,16320.312500,-2.384,0.549,-75.031 
-164.062500,-703.125000,15820.312500,-2.390,0.549,-75.031 
-304.687500,-679.687500,15820.312500,-2.390,0.555,-75.031 
-171.875000,-710.937500,16281.250000,-2.384,0.549,-75.031 
-23.437500,-679.687500,16015.625000,-2.379,0.549,-75.031 
-156.250000,-679.687500,15968.750000,-2.384,0.549,-75.031 
-265.625000,-742.187500,15882.812500,-2.390,0.555,-75.031 
-46.875000,-648.437500,15851.562500,-2.384,0.549,-75.031 
-101.562500,-609.375000,16203.125000,-2.379,0.549,-75.031 
-195.312500,-734.375000,16007.812500,-2.390,0.555,-75.031 
-179.687500,-687.500000,15757.812500,-2.390,0.549,-75.031 
-210.937500,-601.562500,16000.000000,-2.384,0.555,-75.031 
-203.125000,-664.062500,16398.437500,-2.384,0.549,-75.031 
-156.250000,-656.250000,15914.062500,-2.390,0.555,-75.031 
-242.187500,-687.500000,15640.625000,-2.390,0.555,-75.031 
-242.187500,-625.000000,16085.937500,-2.384,0.555,-75.031 
-93.750000,-609.375000,16171.875000,-2.384,0.549,-75.031 
-101.562500,-679.687500,15804.687500,-2.390,0.549,-75.031 
-335.937500,-718.750000,15921.875000,-2.395,0.555,-75.031 
-179.687500,-648.437500,16039.062500,-2.384,0.549,-75.031 
-15.625000,-617.187500,16148.437500,-2.384,0.549,-75.031 
-226.562500,-710.937500,16093.750000,-2.390,0.555,-75.031 
-195.312500,-734.375000,15867.187500,-2.395,0.555,-75.031 
-117.187500,-656.250000,15828.125000,-2.384,0.549,-75.031 
-179.687500,-593.750000,16312.500000,-2.384,0.549,-75.031 
-164.062500,-710.937500,16046.875000,-2.390,0.549,-75.031 
-125.000000,-679.687500,15734.375000,-2.395,0.555,-75.031 
-250.000000,-632.812500,15945.312500,-2.390,0.555,-75.031 
-156.250000,-656.250000,16429.687500,-2.384,0.549,-75.031 
