
-742.187500,15593.750000,-2.379,0.533,-75.558 
-250.000000,-679.687500,15718.750000,-2.379,0.538,-75.564 
-132.812500,-679.687500,16359.375000,-2.368,0.538,-75.564 
0.000000,-687.500000,16046.875000,-2.368,0.533,-75.558 
-171.875000,-679.687500,15648.437500,-2.379,0.533,-75.564 
-289.062500,-718.750000,16031.250000,-2.379,0.538,-75.564 
-46.875000,-632.812500,16039.062500,-2.368,0.533,-75.558 
-187.500000,-640.625000,16171.875000,-2.368,0.533,-75.558 
-257.812500,-742.187500,15992.187500,-2.379,0.533,-75.564 
-70.312500,-695.312500,15648.437500,-2.384,0.533,-75.564 
-125.000000,-625.000000,15898.437500,-2.373,0.533,-75.558 
-132.812500,-679.687500,16468.750000,-2.368,0.533,-75.564 
-54.687500,-710.937500,15765.625000,-2.379,0.533,-75.558 
-164.062500,-695.312500,15570.312500,-2.379,0.533,-75.558 
-289.062500,-687.500000,16343.750000,-2.373,0.538,-75.564 
-54.687500,-710.937500,16226.562500,-2.368,0.527,-75.558 
-70.312500,-679.687500,15718.750000,-2.373,0.527,-75.558 
-375.000000,-718.750000,15976.562500,-2.379,0.538,-75.564 
-85.937500,-632.812500,15953.125000,-2.373,0.533,-75.558 
0.000000,-609.375000,16140.625000,-2.368,0.527,-75.558 
-304.687500,-726.562500,15960.937500,-2.373,0.533,-75.558 
-210.937500,-718.750000,15859.375000,-2.384,0.538,-75.564 
-148.437500,-656.250000,15937.500000,-2.373,0.533,-75.558 
-187.500000,-585.937500,16398.437500,-2.368,0.533,-75.558 
-148.437500,-734.375000,16125.000000,-2.373,0.533,-75.558 
-117.187500,-679.687500,15679.687500,-2.384,0.533,-75.558 
-296.875000,-640.625000,15882.812500,-2.379,0.538,-75.564 
-70.312500,-687.500000,16507.812500,-2.373,0.533,-75.558 
46.875000,-710.937500,15804.687500,-2.373,0.533,-75.558 
-203.125000,-695.312500,15656.250000,-2.384,0.533,-75.564 
-210.937500,-679.687500,16085.937500,-2.379,0.538,-75.564 
62.500000,-664.062500,16148.437500,-2.373,0.527,-75.558 
-109.375000,-687.500000,15968.750000,-2.373,0.533,-75.558 
-312.500000,-757.812500,15906.250000,-2.384,0.538,-75.564 
-101.562500,-687.500000,15820.312500,-2.384,0.533,-75.558 
-78.125000,-593.750000,16210.937500,-2.373,0.527,-75.558 
-187.500000,-687.500000,16296.875000,-2.373,0.533,-75.558 
-109.375000,-703.125000,15710.937500,-2.384,0.527,-75.558 
-148.437500,-640.625000,15695.312500,-2.384,0.533,-75.558 
-179.687500,-617.187500,16539.062500,-2.373,0.533,-75.558 
-54.687500,-718.750000,16062.500000,-2.379,0.527,-75.558 
-210.937500,-726.562500,15695.312500,-2.384,0.527,-75.558 
-351.562500,-640.625000,16046.875000,-2.379,0.533,-75.558 
31.250000,-632.812500,16320.312500,-2.373,0.527,-75.558 
54.687500,-703.125000,16031.250000,-2.373,0.522,-75.558 
-304.687500,-726.562500,15828.125000,-2.384,0.533,-75.558 
-85.937500,-648.437500,15906.250000,-2.384,0.527,-75.558 
0.000000,-625.000000,16039.062500,-2.373,0.522,-75.558 
-171.875000,-718.750000,16242.187500,-2.373,0.527,-75.558 
-109.375000,-765.625000,15835.937500,-2.384,0.527,-75.558 
-78.125000,-648.437500,15703.125000,-2.384,0.527,-75.558 
-218.750000,-632.812500,16265.625000,-2.373,0.527,-75.558 
-101.562500,-742.187500,16304.687500,-2.373,0.527,-75.558 
-39.062500,-664.062500,15687.500000,-2.379,0.527,-75.558 
-320.312500,-679.687500,15828.125000,-2.384,0.533,-75.558 
-132.812500,-664.062500,16382.812500,-2.373,0.533,-75.558 
7.812500,-671.875000,16039.062500,-2.373,0.527,-75.558 
-210.937500,-718.750000,15765.625000,-2.379,0.533,-75.558 
-195.312500,-718.750000,15921.875000,-2.384,0.533,-75.564 
-23.437500,-648.437500,15992.187500,-2.373,0.527,-75.558 
-93.750000,-640.625000,16203.125000,-2.368,0.527,-75.558 
-242.187500,-773.437500,16015.625000,-2.379,0.533,-75.558 
-78.125000,-718.750000,15695.312500,-2.384,0.533,-75.558 
-148.437500,-609.375000,16007.812500,-2.373,0.533,-75.558 
-117.187500,-687.500000,16539.062500,-2.368,0.527,-75.558 
-70.312500,-703.125000,15617.187500,-2.384,0.533,-75.558 
-203.125000,-679.687500,15703.125000,-2.379,0.533,-75.558 
-265.625000,-632.812500,16359.375000,-2.368,0.533,-75.558 
23.437500,-664.062500,16242.187500,-2.373,0.527,-75.558 
-148.437500,-710.937500,15796.875000,-2.379,0.533,-75.558 
-320.312500,-734.375000,15960.937500,-2.379,0.538,-75.564 
-39.062500,-656.250000,16093.750000,-2.368,0.527,-75.558 
0.000000,-609.375000,16132.812500,-2.373,0.533,-75.558 
-210.937500,-726.562500,16000.000000,-2.379,0.533,-75.564 
-78.125000,-742.187500,15750.000000,-2.384,0.533,-75.564 
-101.562500,-656.250000,15882.812500,-2.379,0.533,-75.558 
-242.187500,-664.062500,16398.437500,-2.368,0.533,-75.558 
-109.375000,-789.062500,16046.875000,-2.384,0.527,-75.558 
-93.750000,-757.812500,15585.937500,-2.379,0.533,-75.564 
-296.875000,-656.250000,16085.937500,-2.373,0.538,-75.564 
23.437500,-703.125000,16445.312500,-2.373,0.527,-75.558 
23.437500,-742.187500,15781.250000,-2.384,0.533,-75.558 
-250.000000,-695.312500,15679.687500,-2.384,0.538,-75.564 
-187.500000,-679.687500,16148.437500,-2.379,0.533,-75.558 
46.875000,-640.625000,16132.812500,-2.373,0.533,-75.558 
-218.750000,-695.312500,15976.562500,-2.379,0.533,-75.564 
-226.562500,-789.062500,15898.437500,-2.390,0.538,-75.564 
-101.562500,-687.500000,15765.625000,-2.379,0.533,-75.564 
-85.937500,-593.750000,16234.375000,-2.373,0.538,-75.564 
