x,y,z,roll,pitch,yaw
-171.88,-757.81,15813,-2.395,0.544,-74.877
-203.13,-710.94,15875,-2.39,0.544,-74.877
-171.88,-687.5,16344,-2.384,0.544,-74.877
-70.313,-703.13,15984,-2.39,0.538,-74.877
-109.38,-710.94,15703,-2.395,0.544,-74.877
-257.81,-664.06,15961,-2.39,0.544,-74.877
-125,-671.88,16156,-2.384,0.544,-74.877
-70.313,-656.25,15875,-2.384,0.538,-74.877
-226.56,-726.56,16016,-2.39,0.544,-74.877
-210.94,-664.06,15914,-2.395,0.544,-74.877
-85.938,-640.63,16055,-2.384,0.538,-74.877
-265.63,-656.25,16313,-2.384,0.544,-74.877
-257.81,-695.31,15906,-2.395,0.544,-74.877
-132.81,-656.25,15750,-2.39,0.544,-74.877
-218.75,-648.44,16398,-2.384,0.544,-74.877
-125,-679.69,16148,-2.39,0.544,-74.877
-54.688,-718.75,15867,-2.395,0.544,-74.877
-304.69,-656.25,15945,-2.39,0.549,-74.877
-187.5,-664.06,16289,-2.39,0.544,-74.877
-23.438,-656.25,16055,-2.39,0.544,-74.877
-187.5,-750,15891,-2.395,0.549,-74.877
-218.75,-703.13,15922,-2.39,0.544,-74.877
7.8125,-664.06,15977,-2.384,0.538,-74.877
-109.38,-671.88,16203,-2.39,0.544,-74.877
-234.38,-789.06,15945,-2.395,0.544,-74.877
-78.125,-750,15836,-2.39,0.544,-74.877
-210.94,-585.94,16063,-2.384,0.544,-74.877
-187.5,-664.06,16391,-2.39,0.544,-74.877
-140.63,-710.94,15813,-2.395,0.544,-74.877
-257.81,-664.06,15758,-2.39,0.549,-74.877
-226.56,-648.44,16320,-2.384,0.544,-74.877
-78.125,-695.31,16102,-2.39,0.544,-74.877
-164.06,-710.94,15813,-2.395,0.544,-74.877
-273.44,-687.5,15922,-2.39,0.549,-74.877
-164.06,-617.19,15969,-2.384,0.544,-74.877
-78.125,-609.38,16109,-2.384,0.544,-74.877
-203.13,-742.19,15992,-2.39,0.549,-74.877
-203.13,-710.94,15750,-2.39,0.549,-74.877
-132.81,-648.44,15914,-2.379,0.544,-74.877
