x,y,z,roll,pitch,yaw
-375,-601.56,15477,-2.538,0.588,-76.426
-375,-742.19,16586,-2.532,0.599,-76.426
328.13,-820.31,16125,-2.538,0.577,-76.426
-250,-679.69,15320,-2.538,0.582,-76.426
-562.5,-726.56,16242,-2.538,0.599,-76.426
273.44,-742.19,16234,-2.538,0.582,-76.426
-85.938,-632.81,15602,-2.532,0.577,-76.426
-640.63,-718.75,16133,-2.538,0.593,-76.426
171.88,-835.94,16148,-2.543,0.582,-76.426
-31.25,-679.69,15648,-2.532,0.577,-76.426
-531.25,-710.94,16305,-2.532,0.593,-76.426
70.313,-835.94,16289,-2.543,0.582,-76.426
23.438,-664.06,15352,-2.543,0.577,-76.426
-617.19,-578.13,16117,-2.532,0.593,-76.426
-23.438,-765.63,16594,-2.532,0.588,-76.426
85.938,-703.13,15406,-2.538,0.577,-76.426
-609.38,-632.81,15875,-2.538,0.593,-76.426
-132.81,-757.81,16531,-2.538,0.588,-76.426
179.69,-703.13,15758,-2.532,0.571,-76.426
-578.13,-632.81,15773,-2.532,0.588,-76.426
-281.25,-757.81,16367,-2.538,0.593,-76.426
250,-664.06,15727,-2.538,0.571,-76.426
-421.88,-625,15883,-2.527,0.588,-76.426
-226.56,-796.88,16477,-2.532,0.593,-76.426
250,-757.81,15578,-2.538,0.577,-76.426
-406.25,-656.25,15773,-2.532,0.588,-76.426
-328.13,-765.63,16617,-2.527,0.593,-76.426
273.44,-835.94,15930,-2.538,0.577,-76.426
-414.06,-718.75,15516,-2.532,0.582,-76.432
-429.69,-750,16391,-2.527,0.599,-76.432
281.25,-757.81,16148,-2.527,0.577,-76.432
-281.25,-664.06,15469,-2.527,0.582,-76.432
-531.25,-726.56,16234,-2.532,0.593,-76.432
210.94,-757.81,16109,-2.532,0.571,-76.432
-164.06,-617.19,15656,-2.527,0.588,-76.432
-609.38,-687.5,16211,-2.532,0.588,-76.432
125,-773.44,16094,-2.532,0.577,-76.432
-93.75,-625,15547,-2.521,0.588,-76.432
-562.5,-617.19,16359,-2.521,0.588,-76.432
93.75,-765.63,16258,-2.532,0.571,-76.432
-31.25,-679.69,15336,-2.532,0.582,-76.432
-656.25,-656.25,16070,-2.527,0.593,-76.432
23.438,-742.19,16563,-2.532,0.577,-76.432
62.5,-664.06,15672,-2.532,0.582,-76.432
-562.5,-640.63,15820,-2.532,0.593,-76.432
-93.75,-781.25,16359,-2.532,0.577,-76.432
195.31,-710.94,15867,-2.527,0.582,-76.432
-507.81,-664.06,15891,-2.527,0.593,-76.432
-171.88,-820.31,16391,-2.538,0.582,-76.432
203.13,-734.38,15578,-2.532,0.577,-76.432
-406.25,-625,15945,-2.527,0.593,-76.426
-242.19,-781.25,16453,-2.532,0.588,-76.426
250,-789.06,15633,-2.538,0.582,-76.426
-476.56,-601.56,15719,-2.527,0.599,-76.426
-382.81,-726.56,16602,-2.532,0.588,-76.426
304.69,-757.81,15945,-2.532,0.577,-76.426
-343.75,-640.63,15492,-2.532,0.593,-76.426
-460.94,-679.69,16164,-2.532,0.588,-76.426
289.06,-726.56,16117,-2.532,0.577,-76.426
-226.56,-593.75,15539,-2.527,0.593,-76.426
-476.56,-726.56,16258,-2.538,0.588,-76.426
156.25,-812.5,15984,-2.532,0.577,-76.426
-179.69,-617.19,15773,-2.521,0.588,-76.426
-500,-734.38,16336,-2.527,0.588,-76.426
148.44,-812.5,16211,-2.538,0.571,-76.426
-62.5,-671.88,15375,-2.527,0.588,-76.432
-492.19,-671.88,16250,-2.527,0.588,-76.432
156.25,-796.88,16320,-2.532,0.571,-76.432
54.688,-671.88,15500,-2.532,0.582,-76.432
-632.81,-656.25,15867,-2.532,0.593,-76.432
39.063,-773.44,16594,-2.532,0.571,-76.432
101.56,-679.69,15664,-2.527,0.577,-76.432
-593.75,-679.69,15945,-2.532,0.588,-76.432
-164.06,-765.63,16398,-2.538,0.571,-76.432
109.38,-656.25,15711,-2.527,0.571,-76.432
-546.88,-625,15977,-2.527,0.588,-76.432
-210.94,-804.69,16445,-2.538,0.571,-76.432
125,-750,15492,-2.532,0.571,-76.432
-531.25,-617.19,15828,-2.527,0.588,-76.432
-320.31,-773.44,16594,-2.527,0.571,-76.432
