x,y,z,roll,pitch,yaw
-195.31,-718.75,15641,-2.395,0.544,-76.053
-109.38,-617.19,15625,-2.384,0.544,-76.053
-195.31,-601.56,16297,-2.384,0.544,-76.053
-109.38,-664.06,16008,-2.384,0.544,-76.053
-101.56,-695.31,15852,-2.395,0.544,-76.053
-382.81,-640.63,15836,-2.39,0.549,-76.053
-164.06,-625,16305,-2.379,0.538,-76.053
-117.19,-625,16055,-2.384,0.544,-76.053
-257.81,-687.5,15922,-2.39,0.544,-76.053
-226.56,-671.88,15898,-2.39,0.544,-76.053
-93.75,-578.13,16031,-2.379,0.544,-76.053
-164.06,-656.25,16164,-2.384,0.544,-76.053
-218.75,-742.19,15992,-2.395,0.544,-76.053
-179.69,-687.5,15617,-2.39,0.544,-76.053
-242.19,-585.94,16172,-2.379,0.544,-76.053
-203.13,-664.06,16359,-2.384,0.544,-76.053
-78.125,-718.75,15875,-2.39,0.544,-76.053
-250,-687.5,15680,-2.39,0.549,-76.053
-257.81,-656.25,16289,-2.384,0.544,-76.053
-140.63,-625,16281,-2.384,0.544,-76.053
-171.88,-671.88,15750,-2.39,0.544,-76.053
-343.75,-718.75,16016,-2.39,0.549,-76.053
-164.06,-679.69,16164,-2.384,0.544,-76.053
-46.875,-664.06,16102,-2.384,0.544,-76.053
-257.81,-757.81,15859,-2.395,0.549,-76.053
-54.688,-679.69,15750,-2.39,0.544,-76.053
-78.125,-617.19,16156,-2.384,0.544,-76.053
-179.69,-695.31,16250,-2.384,0.544,-76.053
-109.38,-718.75,15656,-2.395,0.544,-76.053
-187.5,-664.06,15750,-2.395,0.544,-76.053
-179.69,-617.19,16203,-2.384,0.544,-76.053
-31.25,-664.06,16078,-2.384,0.544,-76.053
-164.06,-671.88,15602,-2.39,0.544,-76.053
-281.25,-703.13,15914,-2.39,0.549,-76.053
-78.125,-656.25,16047,-2.384,0.544,-76.053
-85.938,-632.81,15961,-2.379,0.544,-76.053
-195.31,-726.56,15961,-2.39,0.544,-76.053
-171.88,-671.88,15641,-2.395,0.549,-76.053
-93.75,-593.75,16023,-2.384,0.544,-76.053
-226.56,-640.63,16313,-2.379,0.544,-76.053
-125,-726.56,15773,-2.39,0.544,-76.053
-171.88,-703.13,15703,-2.39,0.544,-76.053
-210.94,-609.38,16164,-2.384,0.549,-76.053
-117.19,-671.88,16305,-2.379,0.544,-76.053
-109.38,-703.13,15813,-2.39,0.544,-76.047
-320.31,-718.75,15844,-2.39,0.549,-76.047
-156.25,-632.81,16227,-2.384,0.544,-76.053
-31.25,-617.19,16047,-2.379,0.544,-76.053
-156.25,-703.13,15984,-2.39,0.544,-76.053
-250,-718.75,15813,-2.395,0.549,-76.053
-15.625,-679.69,15961,-2.384,0.544,-76.053
-148.44,-648.44,16180,-2.379,0.544,-76.053
-195.31,-710.94,16156,-2.384,0.544,-76.053
-148.44,-703.13,15633,-2.39,0.544,-76.053
-218.75,-593.75,16078,-2.384,0.544,-76.053
-140.63,-679.69,16461,-2.384,0.544,-76.053
-93.75,-687.5,15906,-2.39,0.544,-76.053
-265.63,-695.31,15688,-2.39,0.549,-76.053
-273.44,-664.06,16250,-2.379,0.549,-76.047
-62.5,-632.81,16094,-2.379,0.544,-76.047
-117.19,-710.94,15945,-2.39,0.544,-76.047
-328.13,-750,15953,-2.39,0.549,-76.047
-85.938,-695.31,15883,-2.384,0.544,-76.047
-85.938,-648.44,16250,-2.379,0.544,-76.047
-242.19,-718.75,16148,-2.384,0.549,-76.053
-187.5,-773.44,15750,-2.39,0.549,-76.053
-93.75,-648.44,15789,-2.379,0.549,-76.047
-171.88,-656.25,16344,-2.379,0.549,-76.047
-15.625,-750,16055,-2.39,0.544,-76.047
-78.125,-703.13,15633,-2.39,0.549,-76.053
-296.88,-687.5,16023,-2.384,0.549,-76.053
-109.38,-703.13,16320,-2.379,0.544,-76.053
-101.56,-710.94,15961,-2.384,0.544,-76.053
-289.06,-734.38,15977,-2.39,0.555,-76.053
-218.75,-687.5,16000,-2.384,0.549,-76.053
39.063,-664.06,16133,-2.379,0.544,-76.053
-187.5,-671.88,16109,-2.384,0.549,-76.053
-203.13,-750,15961,-2.39,0.549,-76.053
-93.75,-695.31,15773,-2.384,0.549,-76.053
-140.63,-625,16242,-2.379,0.549,-76.053
-101.56,-726.56,16219,-2.39,0.549,-76.053
-15.625,-742.19,15703,-2.39,0.549,-76.053
-156.25,-664.06,15836,-2.39,0.549,-76.053
-132.81,-648.44,16367,-2.379,0.549,-76.053
0,-695.31,15945,-2.384,0.549,-76.053
-132.81,-757.81,15820,-2.39,0.555,-76.053
-218.75,-734.38,15828,-2.39,0.555,-76.053
0,-671.88,16039,-2.379,0.549,-76.053
-101.56,-640.63,16227,-2.384,0.549,-76.053
-195.31,-726.56,15867,-2.39,0.549,-76.053
-179.69,-726.56,15836,-2.39,0.549,-76.053
-148.44,-617.19,16063,-2.379,0.549,-76.053
-179.69,-656.25,16344,-2.384,0.549,-76.053
-125,-710.94,15750,-2.39,0.549,-76.053
-148.44,-703.13,15609,-2.39,0.549,-76.053
-148.44,-648.44,16141,-2.379,0.549,-76.053
-39.063,-664.06,16180,-2.384,0.544,-76.053
-85.938,-703.13,15586,-2.39,0.549,-76.053
-257.81,-718.75,15867,-2.39,0.549,-76.053
-70.313,-640.63,16039,-2.379,0.544,-76.053
0,-679.69,16125,-2.379,0.544,-76.053
-195.31,-687.5,15844,-2.39,0.549,-76.053
-195.31,-695.31,15727,-2.39,0.549,-76.053
-125,-625,15828,-2.379,0.544,-76.053
-171.88,-617.19,16211,-2.379,0.544,-76.053
-187.5,-742.19,15922,-2.39,0.544,-76.053
-140.63,-710.94,15656,-2.39,0.544,-76.053
-218.75,-617.19,15945,-2.384,0.544,-76.053
-140.63,-656.25,16383,-2.384,0.544,-76.053
-39.063,-703.13,15758,-2.39,0.544,-76.053
-273.44,-726.56,15758,-2.39,0.544,-76.053
-195.31,-640.63,15914,-2.384,0.544,-76.053
7.8125,-625,16094,-2.384,0.538,-76.053
-117.19,-671.88,15922,-2.39,0.544,-76.053
-265.63,-734.38,15727,-2.395,0.544,-76.053
-132.81,-664.06,15891,-2.384,0.544,-76.053
-164.06,-609.38,16172,-2.384,0.544,-76.053
-218.75,-710.94,16227,-2.39,0.544,-76.053
-195.31,-734.38,15680,-2.395,0.544,-76.053
-179.69,-648.44,15883,-2.384,0.544,-76.053
-179.69,-648.44,16391,-2.384,0.544,-76.053
-46.875,-679.69,16063,-2.39,0.538,-76.053
-171.88,-656.25,15641,-2.395,0.544,-76.053
-304.69,-625,16023,-2.39,0.544,-76.053
-148.44,-687.5,16219,-2.384,0.544,-76.053
-62.5,-710.94,16055,-2.39,0.544,-76.053
-320.31,-710.94,15875,-2.395,0.549,-76.053
-218.75,-695.31,16055,-2.39,0.544,-76.053
-78.125,-617.19,16094,-2.384,0.538,-76.053
-132.81,-671.88,16289,-2.39,0.544,-76.053
-195.31,-734.38,15828,-2.395,0.544,-76.053
-164.06,-687.5,15703,-2.39,0.544,-76.053
-132.81,-640.63,16320,-2.384,0.544,-76.053
-195.31,-750,16195,-2.39,0.544,-76.053
7.8125,-757.81,15758,-2.401,0.544,-76.053
