x,y,z,roll,pitch,yaw
-273.44,-726.56,15805,-2.39,0.505,-76.602
-101.56,-656.25,15844,-2.379,0.505,-76.602
-62.5,-632.81,16328,-2.373,0.505,-76.602
-195.31,-703.13,16227,-2.384,0.505,-76.602
-125,-789.06,15719,-2.39,0.505,-76.602
-187.5,-656.25,15719,-2.379,0.505,-76.602
-210.94,-593.75,16367,-2.373,0.505,-76.602
-15.625,-664.06,16039,-2.379,0.5,-76.602
-226.56,-687.5,15633,-2.384,0.511,-76.602
-265.63,-632.81,15930,-2.379,0.511,-76.602
-117.19,-609.38,16258,-2.373,0.505,-76.602
-125,-632.81,16008,-2.379,0.505,-76.602
-234.38,-734.38,15969,-2.384,0.511,-76.602
-179.69,-687.5,15883,-2.379,0.505,-76.602
-78.125,-609.38,16078,-2.373,0.505,-76.602
-132.81,-671.88,16414,-2.379,0.505,-76.602
-171.88,-742.19,15703,-2.39,0.505,-76.602
-140.63,-687.5,15719,-2.379,0.505,-76.602
-179.69,-617.19,16305,-2.373,0.505,-76.602
-101.56,-687.5,16203,-2.379,0.505,-76.602
-70.313,-718.75,15813,-2.39,0.511,-76.602
-257.81,-679.69,15844,-2.384,0.511,-76.602
-132.81,-601.56,16281,-2.373,0.505,-76.602
-70.313,-648.44,16180,-2.379,0.505,-76.602
-195.31,-703.13,15813,-2.39,0.511,-76.602
-195.31,-710.94,15805,-2.384,0.511,-76.602
-62.5,-664.06,16039,-2.373,0.505,-76.602
-148.44,-640.63,16203,-2.379,0.511,-76.602
-226.56,-710.94,16008,-2.39,0.511,-76.602
-125,-656.25,15672,-2.39,0.511,-76.602
-171.88,-578.13,16063,-2.379,0.511,-76.602
-164.06,-656.25,16352,-2.379,0.511,-76.602
-132.81,-687.5,15867,-2.39,0.511,-76.602
-257.81,-679.69,15594,-2.39,0.516,-76.602
-210.94,-664.06,16203,-2.379,0.511,-76.602
-23.438,-718.75,15961,-2.379,0.511,-76.602
-242.19,-757.81,15734,-2.39,0.511,-76.602
-218.75,-687.5,15883,-2.39,0.516,-76.602
-46.875,-609.38,16109,-2.379,0.511,-76.602
-93.75,-625,16156,-2.379,0.511,-76.602
-304.69,-757.81,15828,-2.395,0.516,-76.602
-179.69,-718.75,15797,-2.395,0.516,-76.602
-140.63,-609.38,16195,-2.384,0.511,-76.602
-171.88,-726.56,16328,-2.379,0.511,-76.602
-78.125,-742.19,15789,-2.395,0.511,-76.602
-179.69,-695.31,15664,-2.395,0.516,-76.602
-148.44,-695.31,16359,-2.39,0.516,-76.602
-39.063,-671.88,16102,-2.384,0.516,-76.602
-109.38,-726.56,15742,-2.395,0.516,-76.602
-304.69,-726.56,15898,-2.395,0.522,-76.602
-54.688,-648.44,16086,-2.39,0.516,-76.602
-62.5,-671.88,16156,-2.384,0.516,-76.602
-242.19,-765.63,15938,-2.395,0.522,-76.602
-140.63,-710.94,15742,-2.401,0.522,-76.602
-101.56,-585.94,16023,-2.39,0.516,-76.602
-132.81,-656.25,16391,-2.384,0.516,-76.602
-109.38,-710.94,15781,-2.395,0.522,-76.602
-195.31,-734.38,15656,-2.401,0.522,-76.602
-210.94,-585.94,16211,-2.395,0.522,-76.602
-85.938,-671.88,16320,-2.384,0.516,-76.602
-23.438,-718.75,15883,-2.395,0.516,-76.602
-304.69,-742.19,15727,-2.401,0.522,-76.602
-171.88,-703.13,16227,-2.395,0.516,-76.602
7.8125,-648.44,16063,-2.39,0.516,-76.602
-148.44,-757.81,15938,-2.395,0.516,-76.602
-234.38,-710.94,15680,-2.401,0.522,-76.602
-85.938,-625,15922,-2.395,0.516,-76.602
-125,-601.56,16266,-2.384,0.516,-76.602
-156.25,-789.06,16094,-2.395,0.516,-76.602
-132.81,-703.13,15680,-2.401,0.516,-76.602
-218.75,-609.38,15969,-2.39,0.516,-76.602
-125,-656.25,16484,-2.39,0.516,-76.602
-7.8125,-734.38,15859,-2.395,0.516,-76.602
-226.56,-710.94,15695,-2.401,0.522,-76.602
-218.75,-687.5,16031,-2.39,0.522,-76.602
