x,y,z,roll,pitch,yaw
-164.06,-703.13,15969,-2.373,0.549,-76.69
-140.63,-679.69,15703,-2.379,0.549,-76.69
-187.5,-664.06,16055,-2.373,0.549,-76.69
-195.31,-601.56,16297,-2.368,0.549,-76.69
-39.063,-703.13,15828,-2.379,0.544,-76.69
-226.56,-679.69,15648,-2.379,0.549,-76.69
-187.5,-617.19,16141,-2.368,0.544,-76.69
-101.56,-656.25,16133,-2.373,0.544,-76.69
-179.69,-687.5,15789,-2.379,0.544,-76.69
-257.81,-671.88,15922,-2.379,0.549,-76.69
-85.938,-617.19,16039,-2.368,0.544,-76.69
-156.25,-601.56,16078,-2.368,0.544,-76.69
-273.44,-695.31,16094,-2.379,0.544,-76.69
-125,-710.94,15773,-2.379,0.544,-76.69
-54.688,-640.63,15852,-2.368,0.544,-76.69
-257.81,-625,16328,-2.368,0.549,-76.69
-148.44,-695.31,15977,-2.373,0.544,-76.69
-171.88,-656.25,15656,-2.379,0.549,-76.69
-250,-617.19,16063,-2.368,0.549,-76.69
-117.19,-648.44,16250,-2.368,0.544,-76.69
0,-664.06,15953,-2.373,0.544,-76.69
-281.25,-734.38,15781,-2.379,0.555,-76.69
-164.06,-703.13,16055,-2.368,0.544,-76.69
-85.938,-609.38,16055,-2.368,0.544,-76.69
-195.31,-648.44,16102,-2.373,0.549,-76.69
-164.06,-726.56,15758,-2.379,0.549,-76.69
-93.75,-671.88,15797,-2.368,0.549,-76.69
-179.69,-562.5,16203,-2.362,0.549,-76.69
-93.75,-671.88,16164,-2.368,0.549,-76.69
-117.19,-710.94,15711,-2.379,0.549,-76.69
-265.63,-671.88,15711,-2.373,0.549,-76.69
-109.38,-648.44,16320,-2.362,0.549,-76.69
-46.875,-695.31,16047,-2.368,0.549,-76.69
-234.38,-695.31,15680,-2.373,0.555,-76.69
-226.56,-687.5,15922,-2.368,0.549,-76.69
-85.938,-640.63,16156,-2.362,0.549,-76.69
-125,-640.63,15992,-2.368,0.549,-76.69
-250,-703.13,16008,-2.379,0.549,-76.69
-148.44,-718.75,15750,-2.373,0.549,-76.69
-109.38,-625,16047,-2.362,0.549,-76.69
-226.56,-640.63,16250,-2.368,0.549,-76.69
-109.38,-695.31,15945,-2.379,0.549,-76.69
-164.06,-664.06,15641,-2.373,0.549,-76.69
-242.19,-609.38,16242,-2.368,0.549,-76.69
-164.06,-687.5,16203,-2.368,0.544,-76.69
-62.5,-679.69,15844,-2.379,0.544,-76.69
-312.5,-679.69,15852,-2.373,0.549,-76.69
-179.69,-703.13,16203,-2.368,0.544,-76.69
-70.313,-632.81,16039,-2.368,0.544,-76.69
-234.38,-703.13,16008,-2.373,0.549,-76.69
-195.31,-695.31,15828,-2.373,0.549,-76.69
-31.25,-664.06,15984,-2.368,0.544,-76.69
-195.31,-609.38,16250,-2.368,0.549,-76.69
-148.44,-703.13,15992,-2.373,0.549,-76.69
-164.06,-703.13,15797,-2.379,0.549,-76.69
-257.81,-656.25,16016,-2.368,0.549,-76.69
-140.63,-664.06,16305,-2.373,0.544,-76.69
-109.38,-703.13,15867,-2.379,0.549,-76.69
-226.56,-695.31,15750,-2.379,0.549,-76.69
-171.88,-625,16133,-2.373,0.544,-76.69
-39.063,-640.63,16141,-2.373,0.544,-76.69
-148.44,-695.31,15844,-2.379,0.549,-76.69
-171.88,-687.5,15930,-2.379,0.549,-76.69
-70.313,-632.81,16055,-2.373,0.544,-76.69
-234.38,-656.25,16086,-2.368,0.544,-76.69
-109.38,-742.19,16000,-2.379,0.544,-76.69
-179.69,-695.31,15711,-2.379,0.544,-76.69
-195.31,-632.81,16117,-2.373,0.544,-76.69
-234.38,-687.5,16297,-2.368,0.544,-76.69
-39.063,-718.75,15805,-2.379,0.544,-76.69
-242.19,-656.25,15703,-2.379,0.549,-76.69
-164.06,-710.94,16297,-2.373,0.544,-76.69
-62.5,-632.81,16023,-2.368,0.544,-76.69
-148.44,-671.88,15867,-2.373,0.544,-76.69
-234.38,-671.88,15914,-2.379,0.549,-76.69
-31.25,-656.25,16086,-2.373,0.544,-76.69
-148.44,-671.88,16117,-2.368,0.544,-76.69
-234.38,-726.56,16039,-2.379,0.544,-76.69
-93.75,-710.94,15789,-2.379,0.544,-76.69
-125,-640.63,16055,-2.373,0.544,-76.69
-250,-632.81,16336,-2.368,0.544,-76.69
-46.875,-742.19,15891,-2.373,0.544,-76.69
-218.75,-695.31,15719,-2.379,0.544,-76.69
-226.56,-640.63,16219,-2.373,0.544,-76.69
-70.313,-625,16313,-2.368,0.538,-76.69
-70.313,-703.13,15852,-2.373,0.544,-76.69
-343.75,-703.13,15922,-2.379,0.544,-76.69
-125,-648.44,16203,-2.373,0.544,-76.69
-62.5,-656.25,16156,-2.368,0.538,-76.69
-195.31,-718.75,16070,-2.373,0.544,-76.69
-179.69,-750,15867,-2.379,0.544,-76.69
-101.56,-640.63,15977,-2.373,0.544,-76.69
-210.94,-640.63,16258,-2.368,0.544,-76.69
-132.81,-726.56,16211,-2.373,0.544,-76.69
-171.88,-742.19,15719,-2.379,0.544,-76.69
-210.94,-656.25,15992,-2.373,0.544,-76.69
-187.5,-632.81,16336,-2.368,0.544,-76.69
-62.5,-664.06,15961,-2.373,0.544,-76.69
-265.63,-718.75,15742,-2.379,0.549,-76.69
-210.94,-656.25,16039,-2.373,0.549,-76.69
-7.8125,-601.56,16133,-2.368,0.544,-76.69
-171.88,-710.94,16023,-2.373,0.549,-76.69
-312.5,-710.94,15984,-2.379,0.549,-76.69
-117.19,-664.06,15852,-2.368,0.544,-76.69
-117.19,-640.63,16219,-2.362,0.549,-76.69
-164.06,-710.94,16172,-2.373,0.549,-76.69
-117.19,-710.94,15742,-2.373,0.544,-76.69
-203.13,-671.88,15844,-2.368,0.544,-76.69
-210.94,-656.25,16297,-2.362,0.544,-76.69
-23.438,-718.75,16047,-2.373,0.544,-76.69
-187.5,-632.81,15695,-2.373,0.549,-76.69
-296.88,-664.06,16078,-2.368,0.549,-76.69
-78.125,-640.63,16203,-2.368,0.544,-76.69
-101.56,-617.19,16047,-2.373,0.544,-76.69
-273.44,-734.38,15922,-2.379,0.549,-76.69
-109.38,-703.13,15953,-2.373,0.544,-76.69
-101.56,-601.56,16148,-2.362,0.544,-76.69
-187.5,-695.31,16180,-2.368,0.544,-76.69
-140.63,-773.44,15969,-2.379,0.544,-76.69
-156.25,-695.31,15695,-2.373,0.544,-76.69
-203.13,-664.06,16266,-2.368,0.544,-76.69
-93.75,-695.31,16281,-2.368,0.544,-76.69
-93.75,-718.75,15805,-2.373,0.544,-76.69
-335.94,-671.88,15852,-2.373,0.549,-76.69
-140.63,-664.06,16227,-2.368,0.544,-76.69
-54.688,-617.19,16031,-2.368,0.544,-76.69
-140.63,-718.75,15875,-2.373,0.544,-76.69
-234.38,-687.5,15891,-2.373,0.544,-76.69
-85.938,-617.19,16039,-2.368,0.544,-76.69
-125,-640.63,16047,-2.368,0.544,-76.69
-195.31,-765.63,16094,-2.379,0.544,-76.69
-171.88,-703.13,15641,-2.373,0.544,-76.69
-164.06,-617.19,16063,-2.368,0.544,-76.69
-187.5,-640.63,16313,-2.368,0.544,-76.69
-7.8125,-726.56,15766,-2.373,0.544,-76.69
-273.44,-718.75,15664,-2.373,0.549,-76.69
-234.38,-695.31,16102,-2.368,0.544,-76.69
-39.063,-695.31,16094,-2.368,0.544,-76.69
-203.13,-695.31,15797,-2.373,0.544,-76.69
-296.88,-710.94,15852,-2.373,0.549,-76.69
-46.875,-656.25,16063,-2.368,0.544,-76.69
-101.56,-609.38,16016,-2.368,0.544,-76.69
-218.75,-687.5,16070,-2.373,0.544,-76.69
-101.56,-671.88,15742,-2.373,0.544,-76.69
-242.19,-601.56,16180,-2.368,0.544,-76.69
-179.69,-648.44,16219,-2.368,0.544,-76.69
-109.38,-742.19,15797,-2.373,0.544,-76.69
-304.69,-710.94,15719,-2.373,0.544,-76.69
-187.5,-609.38,16227,-2.368,0.544,-76.69
-70.313,-640.63,16133,-2.368,0.544,-76.69
-148.44,-710.94,15781,-2.373,0.544,-76.69
-312.5,-656.25,15945,-2.379,0.549,-76.69
-93.75,-656.25,16141,-2.368,0.544,-76.69
-93.75,-640.63,16070,-2.368,0.544,-76.69
-242.19,-703.13,16000,-2.373,0.544,-76.69
-234.38,-734.38,15758,-2.379,0.544,-76.69
-85.938,-554.69,15961,-2.368,0.544,-76.69
-234.38,-617.19,16289,-2.368,0.544,-76.69
-78.125,-734.38,15844,-2.373,0.544,-76.69
