x,y,z,roll,pitch,yaw
-46.875,-625,16180,-2.351,0.505,-77.086
-125,-656.25,16109,-2.351,0.505,-77.086
-210.94,-773.44,15891,-2.362,0.505,-77.086
-132.81,-664.06,15758,-2.362,0.505,-77.086
-109.38,-632.81,16180,-2.351,0.505,-77.086
-101.56,-734.38,16313,-2.351,0.505,-77.086
-70.313,-750,15656,-2.362,0.505,-77.086
-187.5,-710.94,15641,-2.362,0.511,-77.086
-156.25,-601.56,16258,-2.351,0.511,-77.086
46.875,-656.25,16070,-2.351,0.505,-77.086
-132.81,-718.75,15648,-2.362,0.505,-77.086
-218.75,-687.5,15844,-2.362,0.511,-77.086
-54.688,-585.94,16117,-2.357,0.505,-77.086
-62.5,-664.06,16109,-2.351,0.505,-77.086
-203.13,-726.56,15883,-2.362,0.505,-77.086
-109.38,-695.31,15719,-2.362,0.505,-77.086
-109.38,-585.94,16055,-2.351,0.505,-77.086
-218.75,-617.19,16336,-2.357,0.505,-77.086
-140.63,-734.38,15914,-2.368,0.505,-77.086
-140.63,-687.5,15695,-2.368,0.505,-77.086
-187.5,-609.38,16156,-2.357,0.505,-77.086
-78.125,-664.06,16383,-2.357,0.505,-77.086
-78.125,-710.94,15852,-2.368,0.505,-77.086
-203.13,-710.94,15688,-2.368,0.505,-77.086
-179.69,-687.5,16313,-2.357,0.5,-77.086
-31.25,-648.44,16188,-2.357,0.5,-77.086
-148.44,-726.56,15859,-2.368,0.505,-77.086
-218.75,-726.56,15914,-2.368,0.505,-77.086
-78.125,-617.19,15836,-2.357,0.505,-77.086
-101.56,-546.88,16297,-2.357,0.505,-77.086
-179.69,-726.56,16102,-2.368,0.505,-77.086
-140.63,-718.75,15602,-2.368,0.505,-77.086
-179.69,-695.31,15953,-2.357,0.505,-77.086
-132.81,-617.19,16406,-2.357,0.505,-77.086
-70.313,-679.69,15930,-2.368,0.505,-77.086
-265.63,-687.5,15586,-2.368,0.505,-77.086
-210.94,-703.13,16055,-2.362,0.505,-77.086
0,-632.81,16281,-2.357,0.5,-77.086
-101.56,-757.81,15969,-2.368,0.505,-77.086
-273.44,-726.56,15805,-2.373,0.505,-77.086
-78.125,-710.94,16008,-2.362,0.505,-77.086
-23.438,-578.13,16133,-2.357,0.505,-77.086
-179.69,-648.44,16141,-2.368,0.505,-77.086
-93.75,-742.19,15648,-2.373,0.505,-77.086
-164.06,-648.44,15727,-2.362,0.505,-77.086
-148.44,-585.94,16289,-2.357,0.505,-77.086
-125,-703.13,16148,-2.368,0.505,-77.086
-156.25,-750,15602,-2.373,0.505,-77.086
-250,-687.5,15828,-2.362,0.505,-77.086
-70.313,-671.88,16414,-2.357,0.5,-77.086
-31.25,-687.5,16000,-2.362,0.505,-77.086
-210.94,-812.5,15719,-2.373,0.505,-77.086
-187.5,-742.19,15938,-2.362,0.505,-77.086
0,-648.44,16063,-2.357,0.505,-77.086
-117.19,-640.63,16102,-2.368,0.505,-77.086
-218.75,-726.56,15906,-2.373,0.505,-77.086
-93.75,-648.44,15648,-2.362,0.505,-77.086
-109.38,-632.81,16180,-2.357,0.505,-77.086
-62.5,-679.69,16281,-2.362,0.505,-77.086
-39.063,-757.81,15633,-2.373,0.505,-77.086
-179.69,-695.31,15688,-2.368,0.505,-77.086
-195.31,-625,16344,-2.357,0.505,-77.086
-39.063,-687.5,16070,-2.362,0.5,-77.086
-171.88,-742.19,15680,-2.373,0.505,-77.086
-312.5,-718.75,15875,-2.368,0.505,-77.086
-78.125,-632.81,16141,-2.362,0.5,-77.086
-78.125,-625,16148,-2.362,0.5,-77.086
-226.56,-726.56,15938,-2.373,0.505,-77.086
-156.25,-757.81,15852,-2.368,0.505,-77.086
-140.63,-632.81,16000,-2.362,0.505,-77.086
-148.44,-656.25,16266,-2.362,0.505,-77.086
-117.19,-757.81,15883,-2.373,0.505,-77.086
-195.31,-710.94,15625,-2.373,0.505,-77.086
-265.63,-625,16156,-2.362,0.505,-77.086
-62.5,-687.5,16367,-2.368,0.505,-77.086
-109.38,-718.75,15750,-2.373,0.505,-77.086
-257.81,-710.94,15867,-2.373,0.511,-77.086
-156.25,-648.44,16266,-2.362,0.505,-77.086
-46.875,-640.63,16141,-2.368,0.505,-77.086
-171.88,-726.56,15906,-2.373,0.505,-77.086
-234.38,-726.56,15758,-2.373,0.505,-77.086
-70.313,-578.13,15969,-2.362,0.505,-77.086
-101.56,-617.19,16305,-2.368,0.505,-77.086
-156.25,-742.19,15961,-2.379,0.505,-77.086
-171.88,-726.56,15680,-2.373,0.505,-77.086
-164.06,-640.63,16031,-2.362,0.505,-77.086
-125,-687.5,16438,-2.362,0.5,-77.086
-39.063,-734.38,15820,-2.373,0.5,-77.086
-226.56,-742.19,15570,-2.379,0.505,-77.086
-132.81,-664.06,16094,-2.368,0.505,-77.086
0,-632.81,16148,-2.368,0.5,-77.086
-109.38,-757.81,15891,-2.379,0.505,-77.086
-242.19,-726.56,15773,-2.379,0.505,-77.086
-46.875,-656.25,15977,-2.368,0.5,-77.086
-101.56,-554.69,16117,-2.362,0.5,-77.086
-109.38,-671.88,16141,-2.373,0.5,-77.086
-117.19,-742.19,15586,-2.379,0.5,-77.086
-148.44,-671.88,15820,-2.368,0.505,-77.086
-156.25,-632.81,16414,-2.362,0.5,-77.086
-39.063,-679.69,16016,-2.373,0.5,-77.086
-140.63,-742.19,15672,-2.379,0.505,-77.086
-281.25,-640.63,15906,-2.368,0.505,-77.086
-39.063,-593.75,16414,-2.362,0.494,-77.086
-78.125,-679.69,15898,-2.368,0.5,-77.086
-234.38,-750,15891,-2.373,0.5,-77.086
-203.13,-679.69,15891,-2.368,0.5,-77.086
-7.8125,-578.13,16133,-2.362,0.494,-77.086
-148.44,-734.38,16195,-2.368,0.5,-77.086
-156.25,-781.25,15781,-2.379,0.5,-77.086
-101.56,-648.44,15594,-2.368,0.5,-77.086
-132.81,-570.31,16414,-2.357,0.5,-77.086
-132.81,-664.06,16211,-2.368,0.5,-77.086
-125,-718.75,15703,-2.379,0.5,-77.086
-234.38,-640.63,16086,-2.368,0.505,-77.086
-46.875,-656.25,16367,-2.362,0.5,-77.086
-78.125,-679.69,15828,-2.368,0.5,-77.086
-312.5,-726.56,15742,-2.379,0.505,-77.086
-93.75,-625,16102,-2.373,0.5,-77.086
-78.125,-562.5,16172,-2.362,0.5,-77.086
-179.69,-687.5,16102,-2.368,0.5,-77.086
-179.69,-750,15742,-2.379,0.505,-77.086
-171.88,-609.38,15797,-2.373,0.5,-77.086
-203.13,-601.56,16508,-2.362,0.5,-77.086
-117.19,-687.5,16070,-2.368,0.5,-77.086
-125,-718.75,15742,-2.379,0.5,-77.086
-289.06,-617.19,15898,-2.373,0.505,-77.086
-78.125,-625,16430,-2.362,0.5,-77.086
0,-656.25,16008,-2.368,0.5,-77.086
-242.19,-710.94,15703,-2.379,0.5,-77.086
-242.19,-703.13,15930,-2.373,0.505,-77.086
-62.5,-601.56,16289,-2.362,0.5,-77.086
-125,-671.88,16039,-2.368,0.5,-77.086
-312.5,-750,15891,-2.373,0.505,-77.086
-156.25,-695.31,15875,-2.373,0.5,-77.086
-226.56,-593.75,16227,-2.362,0.5,-77.086
-148.44,-679.69,16344,-2.362,0.5,-77.086
-148.44,-718.75,15766,-2.373,0.5,-77.086
-250,-625,15672,-2.373,0.5,-77.086
-242.19,-585.94,16492,-2.362,0.5,-77.086
-78.125,-671.88,16102,-2.362,0.5,-77.086
-148.44,-695.31,15758,-2.373,0.5,-77.086
-296.88,-617.19,16016,-2.373,0.505,-77.086
-148.44,-609.38,16289,-2.362,0.5,-77.086
-140.63,-625,16117,-2.362,0.5,-77.086
-265.63,-734.38,15953,-2.373,0.505,-77.086
-164.06,-718.75,15813,-2.373,0.505,-77.086
-70.313,-609.38,16133,-2.362,0.5,-77.086
-195.31,-593.75,16289,-2.362,0.5,-77.086
-156.25,-703.13,15820,-2.373,0.5,-77.086
-156.25,-695.31,15711,-2.379,0.5,-77.086
-226.56,-585.94,16133,-2.368,0.505,-77.086
-93.75,-632.81,16391,-2.362,0.5,-77.086
-85.938,-726.56,15898,-2.368,0.5,-77.086
-304.69,-687.5,15727,-2.373,0.505,-77.086
-171.88,-640.63,16297,-2.368,0.505,-77.086
