x,y,z,roll,pitch,yaw
-179.69,-640.63,16250,-2.395,0.549,-74.581
-39.063,-656.25,16008,-2.395,0.549,-74.581
-78.125,-718.75,15875,-2.401,0.549,-74.581
-273.44,-703.13,15922,-2.401,0.555,-74.581
-85.938,-632.81,15984,-2.395,0.549,-74.581
-101.56,-640.63,16109,-2.395,0.549,-74.581
-218.75,-695.31,16047,-2.401,0.549,-74.581
-125,-703.13,15758,-2.401,0.549,-74.581
-156.25,-601.56,15867,-2.39,0.549,-74.581
-210.94,-679.69,16414,-2.395,0.549,-74.581
-70.313,-703.13,15844,-2.401,0.549,-74.581
-109.38,-710.94,15656,-2.401,0.549,-74.581
-250,-648.44,16180,-2.395,0.549,-74.581
-46.875,-718.75,16273,-2.395,0.544,-74.581
-31.25,-648.44,15867,-2.401,0.549,-74.581
-273.44,-703.13,15938,-2.401,0.555,-74.581
-132.81,-679.69,16141,-2.395,0.544,-74.581
-31.25,-640.63,16156,-2.39,0.544,-74.581
-203.13,-750,16086,-2.401,0.549,-74.581
-203.13,-742.19,15805,-2.401,0.549,-74.581
-148.44,-585.94,16016,-2.39,0.549,-74.581
-156.25,-671.88,16227,-2.39,0.549,-74.581
-140.63,-710.94,15734,-2.401,0.549,-74.581
-203.13,-695.31,15586,-2.401,0.549,-74.581
-203.13,-593.75,16188,-2.395,0.549,-74.581
-140.63,-656.25,16164,-2.39,0.549,-74.581
-70.313,-718.75,15781,-2.395,0.549,-74.581
-328.13,-671.88,15883,-2.401,0.549,-74.581
-203.13,-664.06,16141,-2.395,0.549,-74.581
-46.875,-625,16078,-2.39,0.544,-74.581
-242.19,-687.5,15984,-2.395,0.549,-74.581
-234.38,-695.31,15828,-2.401,0.549,-74.581
-78.125,-609.38,15828,-2.395,0.549,-74.581
-156.25,-640.63,16367,-2.39,0.549,-74.581
-195.31,-695.31,16023,-2.395,0.549,-74.581
-78.125,-710.94,15680,-2.401,0.549,-74.581
-257.81,-625,16086,-2.395,0.549,-74.581
-156.25,-656.25,16484,-2.39,0.549,-74.581
-7.8125,-671.88,15820,-2.395,0.549,-74.581
-250,-718.75,15852,-2.406,0.549,-74.581
-226.56,-656.25,16133,-2.401,0.555,-74.581
0,-664.06,16109,-2.395,0.549,-74.581
-117.19,-710.94,15922,-2.401,0.549,-74.581
-289.06,-734.38,15883,-2.406,0.555,-74.581
-109.38,-625,15836,-2.401,0.555,-74.581
-132.81,-601.56,16211,-2.39,0.549,-74.581
-203.13,-710.94,16156,-2.395,0.555,-74.581
-125,-726.56,15648,-2.406,0.555,-74.581
-171.88,-671.88,15797,-2.401,0.555,-74.581
-164.06,-679.69,16352,-2.395,0.555,-74.581
-39.063,-710.94,15898,-2.395,0.555,-74.581
-156.25,-703.13,15625,-2.406,0.555,-74.581
-289.06,-687.5,16023,-2.401,0.56,-74.581
-125,-640.63,16242,-2.395,0.555,-74.581
-15.625,-687.5,15945,-2.395,0.549,-74.581
-351.56,-695.31,15938,-2.401,0.555,-74.581
-203.13,-648.44,15914,-2.401,0.555,-74.581
-46.875,-640.63,16000,-2.39,0.549,-74.581
-218.75,-625,16195,-2.395,0.555,-74.581
-320.31,-726.56,15813,-2.401,0.555,-74.581
-164.06,-671.88,15688,-2.401,0.555,-74.581
-195.31,-601.56,16281,-2.39,0.555,-74.581
-140.63,-726.56,16164,-2.395,0.555,-74.581
-101.56,-695.31,15664,-2.401,0.555,-74.581
-312.5,-601.56,15852,-2.395,0.56,-74.581
-195.31,-664.06,16297,-2.39,0.555,-74.581
-78.125,-664.06,15891,-2.395,0.555,-74.581
-210.94,-695.31,15875,-2.401,0.555,-74.581
-265.63,-695.31,15867,-2.395,0.555,-74.581
-78.125,-593.75,16031,-2.39,0.549,-74.581
-156.25,-648.44,16016,-2.39,0.555,-74.581
-265.63,-734.38,15992,-2.401,0.555,-74.581
-164.06,-632.81,15688,-2.395,0.555,-74.581
-140.63,-617.19,16008,-2.39,0.555,-74.581
-171.88,-695.31,16375,-2.395,0.555,-74.581
-164.06,-718.75,15742,-2.401,0.555,-74.581
-210.94,-679.69,15789,-2.395,0.555,-74.581
-265.63,-625,16172,-2.39,0.555,-74.581
-62.5,-679.69,16180,-2.395,0.549,-74.581
-171.88,-679.69,15781,-2.401,0.555,-74.581
-304.69,-695.31,15977,-2.401,0.555,-74.581
-109.38,-664.06,16078,-2.39,0.549,-74.581
-46.875,-648.44,16141,-2.395,0.549,-74.581
-234.38,-734.38,16016,-2.401,0.555,-74.581
-187.5,-718.75,15867,-2.401,0.555,-74.581
-78.125,-593.75,15844,-2.39,0.549,-74.581
-156.25,-703.13,16430,-2.395,0.555,-74.581
-156.25,-687.5,15898,-2.401,0.549,-74.581
-164.06,-679.69,15656,-2.401,0.555,-74.581
-257.81,-609.38,16125,-2.395,0.555,-74.581
-156.25,-648.44,16328,-2.395,0.549,-74.581
-78.125,-703.13,15836,-2.401,0.549,-74.581
-320.31,-703.13,15906,-2.401,0.555,-74.581
-226.56,-648.44,16195,-2.395,0.549,-74.581
-62.5,-617.19,16070,-2.39,0.549,-74.581
-171.88,-742.19,16047,-2.401,0.549,-74.581
-257.81,-742.19,15875,-2.401,0.549,-74.581
-101.56,-648.44,15828,-2.395,0.549,-74.581
-195.31,-609.38,16273,-2.39,0.549,-74.581
-234.38,-703.13,16141,-2.401,0.549,-74.581
-78.125,-703.13,15695,-2.401,0.549,-74.581
-265.63,-609.38,15891,-2.395,0.549,-74.581
-218.75,-656.25,16359,-2.395,0.549,-74.581
-62.5,-671.88,15898,-2.401,0.549,-74.581
-164.06,-687.5,15688,-2.401,0.555,-74.581
-335.94,-679.69,15938,-2.395,0.549,-74.581
-54.688,-671.88,16008,-2.395,0.549,-74.581
-195.31,-734.38,15914,-2.401,0.549,-74.581
-187.5,-742.19,15867,-2.406,0.555,-74.581
-39.063,-648.44,15883,-2.395,0.549,-74.581
