x,y,z,roll,pitch,yaw
-665,324,16747,1.2138,2.2717,-114.21
-662,302,16746,1.2042,2.2872,-114.13
-645,266,16711,1.1616,2.3114,-114.12
-628,249,16692,1.1159,2.3179,-114.12
-621,226,16686,1.0632,2.3181,-114.11
-606,225,16707,1.0199,2.3079,-114.1
-591,228,16723,0.99728,2.2672,-114.04
-576,279,16745,0.99997,2.2618,-114.09
-562,272,16750,1.0131,2.2105,-114.03
-561,281,16770,1.0266,2.1755,-113.99
-562,302,16801,1.0507,2.1513,-113.95
-578,318,16819,1.08,2.1463,-113.93
-583,343,16820,1.1206,2.1477,-113.91
-601,352,16814,1.1585,2.1651,-113.89
-604,355,16815,1.19,2.1819,-113.88
-609,329,16807,1.1954,2.1996,-113.87
-625,337,16781,1.2058,2.2262,-113.86
-626,334,16755,1.212,2.2487,-113.85
-633,326,16729,1.1972,2.3048,-113.94
-623,307,16707,1.19,2.3013,-113.91
-617,276,16701,1.1606,2.2964,-113.89
-592,269,16696,1.1318,2.2756,-113.87
-583,267,16711,1.107,2.2537,-113.85
-574,263,16714,1.0839,2.2311,-113.84
-558,281,16750,1.0633,2.2353,-113.94
-552,284,16770,1.0518,2.2275,-114.01
-555,289,16787,1.0482,2.2185,-114.07
-565,316,16794,1.0668,2.2151,-114.12
-573,346,16808,1.1046,2.2136,-114.16
-595,359,16819,1.1444,2.2262,-114.19
-608,364,16804,1.1804,2.2441,-114.22
-619,369,16800,1.2131,2.2646,-114.24
-632,341,16784,1.2191,2.2892,-114.26
-648,350,16776,1.2311,2.3189,-114.27
-651,345,16744,1.238,2.3441,-114.28
-647,320,16737,1.2186,2.3755,-114.33
-638,296,16708,1.188,2.3901,-114.37
-619,274,16703,1.1559,2.3694,-114.36
-602,257,16694,1.1178,2.342,-114.34
-589,251,16690,1.0831,2.312,-114.34
-572,253,16704,1.0568,2.2765,-114.33
-555,234,16709,1.0226,2.2357,-114.32
-537,231,16739,0.99189,2.1918,-114.32
-528,246,16766,0.9783,2.1508,-114.33
-536,266,16790,0.9818,2.1246,-114.33
-543,288,16795,0.99445,2.1239,-114.38
-564,309,16804,1.0203,2.1379,-114.42
-581,317,16813,1.0474,2.1585,-114.45
-602,317,16804,1.0698,2.188,-114.48
-616,334,16784,1.1078,2.2046,-114.45
-627,343,16775,1.1437,2.2275,-114.43
-630,333,16757,1.1575,2.2645,-114.46
-625,311,16735,1.1602,2.2728,-114.43
-633,283,16708,1.1415,2.2873,-114.41
-625,272,16700,1.1334,2.2601,-114.29
-604,259,16714,1.0919,2.2798,-114.35
-581,256,16700,1.0592,2.2746,-114.39
-563,270,16730,1.0515,2.2385,-114.38
-554,263,16729,1.0396,2.2051,-114.37
-553,261,16741,1.0282,2.1791,-114.36
-549,274,16760,1.0282,2.156,-114.36
-554,302,16800,1.0481,2.1399,-114.36
-563,313,16818,1.0712,2.1339,-114.36
-578,332,16815,1.1031,2.1407,-114.36
-605,348,16822,1.1398,2.1656,-114.36
-623,330,16782,1.1626,2.1844,-114.31
-639,344,16775,1.1831,2.2286,-114.32
-660,359,16784,1.2107,2.2785,-114.32
-668,356,16778,1.2307,2.3227,-114.32
-663,335,16741,1.2319,2.3539,-114.32
-658,323,16723,1.2244,2.3747,-114.32
-656,305,16709,1.2057,2.391,-114.32
-630,282,16702,1.1892,2.3506,-114.21
-628,275,16729,1.1525,2.3581,-114.23
-613,261,16744,1.1289,2.317,-114.14
-585,249,16717,1.0991,2.2697,-114.07
-575,248,16723,1.0577,2.2638,-114.12
-571,258,16746,1.0338,2.2525,-114.16
-564,269,16770,1.0388,2.2019,-114.09
-572,280,16785,1.0544,2.1588,-113.99
-598,303,16810,1.0589,2.1987,-114.06
-597,319,16799,1.0916,2.1909,-114.01
-612,334,16788,1.1119,2.2331,-114.07
-633,348,16787,1.1402,2.277,-114.12
-652,358,16798,1.1712,2.3213,-114.16
-662,353,16795,1.1932,2.3604,-114.19
-678,343,16771,1.2046,2.4011,-114.21
-667,321,16753,1.2136,2.3909,-114.12
-649,291,16729,1.1812,2.41,-114.15
-644,266,16731,1.1386,2.4185,-114.18
-604,255,16734,1.098,2.3935,-114.2
-595,239,16738,1.0612,2.3513,-114.17
-574,223,16724,1.0197,2.3041,-114.15
-569,224,16734,0.98033,2.2799,-114.18
-563,229,16752,0.95522,2.2544,-114.21
-564,250,16790,0.95112,2.233,-114.23
-570,279,16805,0.96943,2.2193,-114.24
-572,300,16815,0.99937,2.2092,-114.26
-607,310,16828,1.0436,2.1926,-114.17
-611,326,16829,1.0873,2.1887,-114.1
-634,345,16844,1.1332,2.2068,-114.04
-633,353,16842,1.1643,2.2435,-114.05
-650,353,16853,1.1974,2.2646,-114.01
-658,340,16807,1.1986,2.3241,-114.07
-648,321,16796,1.1945,2.3424,-114.08
-644,306,16779,1.1793,2.3552,-114.08
-632,276,16754,1.1393,2.3698,-114.13
-625,289,16751,1.1206,2.3727,-114.16
-608,267,16741,1.0918,2.3594,-114.19
-595,251,16719,1.0582,2.3385,-114.21
-573,246,16727,1.0287,2.3045,-114.23
-555,250,16751,1.0085,2.2634,-114.24
-556,265,16749,1.0038,2.2317,-114.26
-556,285,16786,1.0146,2.207,-114.27
-578,316,16811,1.0456,2.2031,-114.28
