"number"	"remark"	"time"	"ax"	"ay"	"az"	"gx"	"gy"	"gz"	"mx"	"my"	"mz"	"roll"	"yaw"	"pitch"
"1740471280000001"	"      "	"2025/02/25 14;49;37"	"-140.625"	"-398.438"	"15976.6"	"0"	"0"	"0"	"-2741"	"8735"	"-21075"	"-1.467"	"0.505"	"-18.243"
"1740471280000002"	"      "	"2025/02/25 14;49;37"	"-117.188"	"-398.438"	"16015.6"	"0"	"0"	"0"	"-2744"	"8727"	"-21038"	"-1.467"	"0.505"	"-18.243"
"1740471280000003"	"      "	"2025/02/25 14;49;37"	"-156.25"	"-406.25"	"16015.6"	"0"	"0"	"0"	"-2733"	"8738"	"-21113"	"-1.467"	"0.505"	"-18.243"
"1740471280000004"	"      "	"2025/02/25 14;49;37"	"-156.25"	"-414.062"	"15937.5"	"0"	"0"	"0"	"-2733"	"8713"	"-21095"	"-1.467"	"0.505"	"-18.243"
"1740471280000005"	"      "	"2025/02/25 14;49;37"	"-148.438"	"-445.312"	"16000"	"0"	"0"	"0"	"-2733"	"8709"	"-21121"	"-1.467"	"0.505"	"-18.243"
"1740471280000006"	"      "	"2025/02/25 14;49;37"	"-140.625"	"-398.438"	"16000"	"0"	"0"	"0"	"-2744"	"8714"	"-21127"	"-1.467"	"0.505"	"-18.243"
"1740471280000007"	"      "	"2025/02/25 14;49;37"	"-156.25"	"-429.688"	"15960.9"	"0"	"0"	"0"	"-2744"	"8708"	"-21085"	"-1.467"	"0.505"	"-18.243"
"1740471280000008"	"      "	"2025/02/25 14;49;37"	"-148.438"	"-429.688"	"15992.2"	"0"	"0"	"0"	"-2742"	"8700"	"-21036"	"-1.467"	"0.505"	"-18.243"
"1740471280000009"	"      "	"2025/02/25 14;49;37"	"-148.438"	"-429.688"	"16031.2"	"0"	"0"	"0"	"-2746"	"8721"	"-21032"	"-1.467"	"0.505"	"-18.243"
"1740471280000010"	"      "	"2025/02/25 14;49;37"	"-156.25"	"-429.688"	"15984.4"	"0"	"0"	"0"	"-2740"	"8723"	"-21062"	"-1.467"	"0.505"	"-18.243"
"1740471280000011"	"  9.42"	"2025/02/25 14;49;38"	"-195.312"	"-414.062"	"15976.6"	"0"	"0"	"0"	"-2750"	"8707"	"-21018"	"-1.467"	"0.505"	"-18.243"
"1740471280000012"	"  9.42"	"2025/02/25 14;49;38"	"-132.812"	"-382.812"	"16023.4"	"0"	"0"	"0"	"-2740"	"8705"	"-21001"	"-1.467"	"0.505"	"-18.243"
"1740471280000013"	"  9.42"	"2025/02/25 14;49;38"	"-132.812"	"-414.062"	"16007.8"	"0"	"0"	"0"	"-2738"	"8706"	"-21077"	"-1.467"	"0.505"	"-18.243"
"1740471280000014"	"  9.42"	"2025/02/25 14;49;38"	"-148.438"	"-390.625"	"16007.8"	"0"	"0"	"0"	"-2741"	"8715"	"-21097"	"-1.467"	"0.505"	"-18.243"
"1740471280000015"	"  9.42"	"2025/02/25 14;49;38"	"-132.812"	"-390.625"	"15992.2"	"0"	"0"	"0"	"-2744"	"8716"	"-21103"	"-1.467"	"0.505"	"-18.243"
"1740471280000016"	"  9.42"	"2025/02/25 14;49;38"	"-132.812"	"-421.875"	"15984.4"	"0"	"0"	"0"	"-2727"	"8710"	"-21128"	"-1.467"	"0.505"	"-18.243"
"1740471280000017"	"  9.42"	"2025/02/25 14;49;38"	"-117.188"	"-429.688"	"16031.2"	"0"	"0"	"0"	"-2729"	"8713"	"-21071"	"-1.467"	"0.505"	"-18.243"
"1740471280000018"	"  9.42"	"2025/02/25 14;49;38"	"-101.562"	"-367.188"	"16007.8"	"0"	"0"	"0"	"-2730"	"8716"	"-21086"	"-1.467"	"0.505"	"-18.243"
"1740471280000019"	"  9.42"	"2025/02/25 14;49;38"	"-148.438"	"-406.25"	"15976.6"	"0"	"0"	"0"	"-2745"	"8716"	"-21072"	"-1.467"	"0.505"	"-18.243"
"1740471280000020"	"  9.42"	"2025/02/25 14;49;38"	"-164.062"	"-375"	"15992.2"	"0"	"0"	"0"	"-2745"	"8720"	"-21113"	"-1.467"	"0.505"	"-18.243"
"1740471280000021"	"  9.42"	"2025/02/25 14;49;39"	"-156.25"	"-375"	"16023.4"	"0"	"0"	"0"	"-2734"	"8712"	"-21042"	"-1.467"	"0.505"	"-18.243"
"1740471280000022"	" 10.08"	"2025/02/25 14;49;39"	"-156.25"	"-414.062"	"15960.9"	"0"	"0"	"0"	"-2740"	"8722"	"-21008"	"-1.461"	"0.505"	"-18.243"
