x,y,z
-5.5247,59.075,-27.087
-12.231,37.977,-22.567
-9.462,14.79,-5.4919
-14.423,7.3513,3.921
-8.7401,-0.67198,-4.1767
-6.0071,-8.4985,-0.18361
-6.8786,-18.912,-1.0337
-4.8609,-11.704,12.981
-8.032,-16.966,5.2386
-4.1253,-17.373,7.1539
-5.4759,-17.725,-54.743
1.294,-19.066,-73.032
-3.8713,-21.561,-53.71
-4.3085,-15.398,-52.609
-1.0074,7.8716,-43.707
1.8728,18.055,-53.845
9.694,27.297,-53.3
7.7884,13.809,-56.271
8.821,28.794,-9.4226
10.44,33.637,6.3734
7.9248,37.083,6.3641
5.3359,36.135,6.4049
6.0303,35.375,9.2737
-4.0695,27.785,10.743
-10.175,29.999,17.101
-4.4204,-4.6756,22.998
-8.7313,-0.44754,23.259
-13.896,-17.724,13.629
-12.771,-30.194,13.721
-0.57199,-29.38,15.166
4.3499,-30.03,-1.1227
0.6759,-31,-10.988
30.852,-35.478,-7.6467
18.819,-3.4902,-3.4279
14.551,-13.009,-22.444
12.168,-12.63,-21.497
11.592,11.288,-27.632
4.2523,18.764,-19.383
4.008,20.221,-12.412
10.04,24.803,-15.797
-17.689,28.642,-21.454
-7.0793,0.57273,-40.705
-1.1655,-1.5746,-14.888
-1.9572,-2.254,-6.8063
-0.49156,-1.853,-2.8485
1.957,-3.952,-11.96
-3.1918,6.0351,-18.761
-0.10795,10.11,-9.8998
-4.3921,12.771,-10.692
-8.6499,32.243,23.518
-10.07,26.569,-2.3055
-8.7556,24.05,1.7556
-8.385,19.75,4.8571
-7.2874,20.396,16.907
-16.039,10.747,26.516
-16.261,9.8043,37.746
-6.1962,2.6122,35.412
-1.2597,-13.792,7.1957
-1.4406,-15.718,39.234
-3.6501,-2.9402,38.37
-2.2596,-17.597,30.335
-1.2664,-19.093,11.284
-13.34,-25.255,16.978
-8.0449,-48.66,-0.16184
-7.0215,-45.917,0.89398
-5.7985,-43.839,12.936
-0.10499,-36.556,11.69
1.5164,-35.179,10.601
2.3592,-36.855,13.547
-3.7451,-39.818,21.887
20.232,-32.968,14.58
11.375,-5.914,20.765
12.499,-6.9489,13.546
7.5697,-4.7226,23.66
0.9158,-5.2409,14.921
3.0336,13.774,9.7748
4.6592,33.177,-1.4113
5.1285,19.096,-1.4655
2.6943,6.0214,0.6261
5.3428,-0.074817,3.4539
-3.5663,17.636,7.8612
-8.3479,17.901,-11.834
-8.2782,-3.6997,-8.6878
-1.2587,-12.414,-9.9385
5.8369,-15.278,-5.2883
5.1765,-14.513,-5.3337
8.3181,10.781,-8.5984
-1.2978,21.685,-6.191
-0.81613,29.784,7.7868
8.4827,19.799,14.31
13.121,35.449,4.8769
9.6737,47.571,-1.1593
-3.4605,36.886,-4.5725
3.3552,33.961,1.0839
-3.2673,29.852,-0.61844
4.6849,23.557,9.9855
6.2115,-6.0222,8.8603
4.849,-21.105,12.837
-1.6127,-28.534,37.139
-3.4056,-36.138,34.249
4.0144,-35.432,22.88
2.3849,-36.738,18.915
3.0127,-38.46,21.858
4.6078,-37.621,13.733
7.5374,-30.859,-5.4956
3.7314,-8.1199,-4.3679
-0.17442,4.9144,-20.196
0.0055727,14.101,-4.177
-12.058,0.1854,26.536
-7.6752,14.452,27.455
10.773,26.816,39.553
7.1184,28.249,37.629
1.742,28.064,54.864
1.745,7.9639,52.901
4.7793,-6.201,46.748
7.4663,-18.187,41.57
8.194,-17.076,14.431
4.0795,-18.176,18.548
-22.959,-34.5,-7.0782
-23.589,-44.635,-6.7574
-16.061,-26.807,-21.847
-18.48,-17.857,-33.506
-15.998,-8.4061,-24.389
-15.554,3.0897,-28.202
-6.0164,-4.119,-21.528
-3.1735,-2.4826,-22.609
8.2742,7.8745,-6.1952
2.1677,27.755,-7.9967
-0.97607,27.179,-6.8453
0.084615,9.0725,-9.8597
6.2236,18.19,-17.22
6.3372,20.057,-4.2956
3.4423,12.104,-10.215
3.9276,-2.7701,-3.263
-0.96373,-12.698,-13.047
6.1913,-23.863,-8.42
10.296,-2.5477,-11.722
13.384,11.367,-4.0052
3.6624,15.813,-10.63
-1.0976,14.785,-18.416
0.54744,13.166,-5.472
-4.4415,19.152,-22.243
-1.1227,13.506,-7.3366
4.77,-0.48223,-16.646
0.28797,-11.356,1.5568
6.4824,2.2584,0.20815
8.7899,-13.51,10.02
11.067,-12.39,8.7738
5.7038,-10.071,3.9155
8.5519,-15.734,4.6904
5.8576,-7.6322,-2.2794
2.5213,-16.134,-6.1775
-0.95517,-19.9,-7.024
-9.6725,-14.187,-6.5416
-5.4561,-11.805,14.371
-7.3121,6.0026,9.534
-1.3283,14.774,15.3
-6.9691,21.926,22.619
-6.7023,22.877,4.678
-12.633,30.236,6.0674
-4.7139,16.385,34.848
0.20333,-5.1038,44.671
-2.6197,-15.956,26.809
-1.3195,-17.46,30.771
-2.2066,-24.846,33.838
2.8613,-26.992,26.579
4.77,-21.134,41.445
10.958,-19.564,49.048
2.865,-17.017,-2.6958
-5.5809,-12.436,-18.287
1.7849,-3.7089,-6.611
2.7145,-4.5717,-13.692
-10.154,-1.8256,-47.049
-10.388,-2.0598,0.13784
-6.2103,14.954,4.0315
18.279,18.311,-51.284
2.3364,24.148,-86.682
-14.762,27.53,-91.778
-18.571,17.292,-91.33
-20.092,18.189,25.106
-5.7166,14.876,13.565
-13.296,18.555,-126.07
-20.285,-3.4964,-194.51
-77.29,5.5326,-90.778
-60.02,13.852,-37.541
643.44,-73.988,316.5
616.7,-239.04,206.32
702.36,-476.22,263.27
347.59,-923.43,392.91
-21.936,-480.79,131.15
460.65,-630.14,399.08
578.78,-418.87,647.53
531.53,-722.09,595.93
-401.01,-38.762,217.33
-300.29,652.27,353.47
-1073,1596.2,227.95
-1302.3,2475.3,3.5059
-2215.6,2709.8,694.27
-2943.9,3171.6,-4.9731
-3413.6,3145.8,-66.478
-3582.8,4107.1,-557.78
-3652,3850.1,-1140.9
-3577.2,3218.3,-2113.9
-2372.6,2446.6,-2331
-1939.3,1944.1,-2159.4
-1484.8,1273.8,-1733.2
-1390.7,979.04,-1665.1
-954.42,313.52,-1350.9
-1099.4,58.434,-267.23
-812.61,118.43,583.61
-191.27,218.47,893.66
84.064,47.892,225.62
903.59,-769.21,-1076.6
1458.6,-1355.1,-2255.8
1931.3,-1622.1,-3730.6
1916.9,-1437.9,-4333.2
2034.3,-1216.1,-4836.3
1963.7,-940.01,-5254.7
1963.3,-852.11,-5251.3
1860.7,-636.94,-5338.7
2030.2,-580.02,-4863.8
2519,-641.61,-4449.5
3083.8,-1108.9,-3826.4
3522.8,-1775.9,-2429.9
4107.7,-2962.6,-1244.9
5381.2,-4842.3,-241.81
6129,-6343.1,789.25
6220.8,-7874.1,858.74
6035.3,-8600.2,503.4
5480.6,-8648.1,462.55
4681.6,-7874.6,189.1
3542.8,-5957.7,226.54
2823.9,-3792.2,168.69
2033.4,-1342.1,-501.85
1212.3,291.1,-1426.2
487.32,2087,-3007.1
-504.97,2875.2,-4299.2
-1216.2,3024.1,-5547.5
-1183.2,2309.1,-6199.5
-598.04,1701.9,-6163.5
-509.09,866.05,-5635.1
-717.65,647.23,-5089.6
-901.24,628.64,-4199.7
-1878.2,1230.1,-2753.1
-2474.8,1634.4,-1906.1
-3488.5,1865,-1383.8
-4220.9,2066.9,-1265
-4430.7,1550.8,-1172.3
-4310.5,1170.5,-732.67
-5115.2,1449.5,610.99
-4499,603.62,1610.4
-3109.9,-1645.4,2365
-1948.4,-2906.9,1533.3
-564.75,-4454.2,1642.9
815.79,-5726.9,928.97
1886.9,-6240.8,309.99
2870.7,-6230.9,-172.42
3671.2,-5344.4,-2100
3746.1,-3662.1,-2972.6
3875.2,-1668.1,-3066.4
4282.6,-995.9,-3615.6
3695.8,1000.2,-4396.6
2862.5,2320.3,-5029.1
1911.2,2984.2,-5745.8
671.91,3547.4,-6144.9
-764.2,3707.2,-6263.4
-2088.5,3538.7,-5563
-3348.3,3174.5,-5151.7
-4376.7,2475.4,-4961.6
-5140.6,1733,-3992.9
-5722.9,1429.1,-3487.4
-6187.8,1319.4,-1901.9
-6191.9,1291.1,-341.2
-5645,1026.1,1156.1
-4014,528.13,1801.1
-2820.5,105.36,2092.5
-1565.8,-127.15,1756.9
-778.66,-300.98,2808.4
669.37,-1107.1,2953.8
1620.3,-1668.4,4110.3
3002.2,-2387.2,6102
4123.9,-2678.7,7418.7
4612.7,-2375.9,8071.4
4785.6,-1837.2,8327
4381.6,-925.19,8493.1
3451.8,195.45,6686.9
2552,1543.6,6156.2
1236.7,2156.9,4117.8
69.519,1967.1,1736
-1049.9,1294.1,-656.37
-1631.5,283.44,-2478.7
-1696.9,-241.09,-3907.6
-1002.5,-727.74,-5140.3
-200.7,-926.78,-6051.5
681.56,-1139.4,-6849.2
1781.4,-1442.2,-7116.7
1689.4,-801.54,-7062
1847.7,-823.42,-6536.4
1341.7,-841.52,-4430.2
1015.1,-1166.9,-3134.8
-4.0914,-1365.3,-1954
-698.85,-1620.1,-1227.5
-1319.6,-1852.6,-458.04
-1955.3,-1706.9,302.88
-1918.7,-2075.5,862.56
-2698.5,-2566.1,566.01
-2504.6,-2160.2,268.29
-2572.4,-1993.4,140.08
-1861.3,-1648.9,-308.23
-1943,-1600.4,-83.161
-1652.3,-1415.7,22.153
-1439.7,-1196,-6.1608
-1024.3,-1263.1,-207.34
-342.42,-328.09,232.85
9.7535,-484.02,91.621
190.45,-593.5,-96.314
-61.124,-694.38,72.044
74.551,-552.86,-37.085
213,-647.69,-51.505
86.169,-707.67,-40.284
29.387,-681.33,-46.706
90.201,-751.57,-29.339
11.377,-710.8,4.2914
13.766,-623.22,13.638
61.733,-561.21,-21.261
203.17,-535.89,4.7203
62.511,-347.71,7.6424
131.85,-301.51,13.068
176.36,-266.74,1.3278
85.268,-200.55,-30.824
15.329,-159.76,-17.39
-15.268,-27.348,-24.48
-70.767,-9.4874,-31.851
-19.085,-14.076,-35.619
-11.871,-13.597,-34.61
-30.454,-7.656,-59.274
-66.622,37.125,-53.681
-9.8941,5.684,-37.504
-34.8,4.9162,-37.203
-27.837,-102.15,-39.331
48.203,-118.03,-30.608
33.5,-130.51,-31.695
12.331,-138.04,-12.222
43.746,-151.72,28.693
-15.698,-157.63,46.008
-61.902,-133.2,42.663
-35.725,-136.96,34.797
-28.298,-130.24,45.827
6.8963,-123.32,30.438
-52.494,-98.35,23.962
-23.825,-94.356,25.133
-22.347,-85.691,18.295
12.256,-67.618,2.6074
7.4831,-45.528,-10.338
-0.61228,-27.289,-10.055
-1.9293,-16.399,-20.178
-23.659,-28.931,-8.3043
32.05,-48.554,-4.4878
15.026,-27.463,-1.2039
-16.071,-35.159,-9.8489
-8.5698,-36.916,-5.0828
-6.9501,-36.63,0.92743
3.4173,-34.487,-3.554
-2.1407,-33.815,5.6838
-0.40157,-37.521,-17.444
-5.6865,-34.222,-26.182
-4.4242,-38.803,-28.201
-4.4153,-38.049,-35.155
-4.1576,-32.448,-35.099
-4.3666,-24.579,-22.006
-14.109,-24.249,-14.42
-5.083,-17.306,-24.722
18.695,-11.512,-3.9047
10.437,-8.9097,10.323
12.064,-1.7219,-17.894
11.215,1.1522,-13.981
9.3903,0.69675,-22.025
11.301,-6.4225,-24.259
12.402,-10.403,-13.457
6.7272,-13.587,-11.32
-22.996,-10.57,-13.84
-11.969,-9.8431,-23.14
-15.029,-8.4919,-4.8083
-12.593,-5.853,-6.7455
-12.564,3.3928,6.44
-14.064,8.5452,-3.3122
-11.189,12.106,-10.277
-12.352,15.188,-25.064
9.0175,13.139,-6.0484
6.4439,14.932,-3.0058
8.7883,11.847,-35.239
8.2314,6.2392,-20.315
