x,y,z,roll,pitch,yaw
1744,-29,16969,-0.017337,-5.5808,-160.33
1746,-26,16960,0.021656,-5.6013,-160.25
1759,7,16967,0.01941,-5.6056,-160.28
1762,7,16967,0.020191,-5.612,-160.3
1764,-3,16961,0.015475,-5.6181,-160.32
1767,1,16976,-0.001456,-5.6189,-160.37
1776,12,16976,-0.000445,-5.6277,-160.4
1778,19,16979,0.008638,-5.6369,-160.44
1781,19,16985,0.018057,-5.6466,-160.47
1784,21,16998,0.030433,-5.6567,-160.49
1778,7,16989,0.031148,-5.6613,-160.51
1782,6,16999,0.032568,-5.6677,-160.53
1778,12,17001,0.084791,-5.6865,-160.46
1773,8,16989,0.11387,-5.6952,-160.4
1767,-2,16983,0.1231,-5.6959,-160.36
1768,-12,16982,0.13558,-5.7018,-160.29
1763,-6,16974,0.12501,-5.6936,-160.27
1756,-12,16975,0.1124,-5.6815,-160.25
1763,-2,16990,0.10874,-5.677,-160.23
1755,-2,16971,0.10447,-5.6687,-160.21
1753,-9,16976,0.094966,-5.6599,-160.2
1755,-5,16987,0.088193,-5.6529,-160.19
1775,-10,16992,0.078865,-5.6612,-160.18
1781,-6,16988,0.073997,-5.6722,-160.17
1777,-14,16996,0.063741,-5.6771,-160.16
1780,-12,16994,0.056971,-5.6832,-160.15
1765,-13,16982,0.050603,-5.678,-160.15
1770,-12,16992,0.046238,-5.6767,-160.14
1775,-9,16983,0.044751,-5.6799,-160.14
1770,-14,16975,0.039539,-5.6807,-160.13
1755,-8,16969,0.039686,-5.6709,-160.13
1749,-11,16978,0.037444,-5.6582,-160.12
1744,-2,16975,0.043806,-5.6454,-160.12
1740,1,16972,0.050313,-5.6325,-160.11
1742,2,16986,0.055582,-5.6212,-160.11
1750,4,16981,0.015063,-5.602,-160.19
1751,3,16975,-0.008031,-5.5915,-160.25
1747,4,16992,-0.002171,-5.5873,-160.28
1751,0,17008,-0.000279,-5.5863,-160.29
1754,7,17003,-0.008515,-5.5829,-160.34
1761,11,17012,-0.007823,-5.5855,-160.38
1761,11,17005,0.011252,-5.5952,-160.39
1771,14,16999,0.011169,-5.6043,-160.42
1762,15,17006,0.060756,-5.622,-160.37
1765,20,17015,0.049772,-5.6183,-160.41
1773,24,16998,0.048523,-5.6239,-160.45
1773,22,16992,0.049205,-5.6298,-160.48
1769,23,16997,0.052964,-5.6322,-160.51
1767,18,16992,0.054288,-5.6336,-160.53
1769,15,17008,0.040367,-5.6301,-160.58
1764,9,17008,0.046074,-5.631,-160.59
1768,7,17010,0.049579,-5.6347,-160.59
1762,2,17001,0.05075,-5.6346,-160.6
1765,7,17008,0.055568,-5.6363,-160.6
1761,11,17011,0.062284,-5.6346,-160.6
1765,8,17009,0.065369,-5.6362,-160.61
1759,12,16998,0.070805,-5.6341,-160.61
1752,18,16989,0.079475,-5.628,-160.62
1746,21,16996,0.088397,-5.6184,-160.62
1741,12,17000,0.088852,-5.607,-160.62
1746,16,17016,0.090906,-5.6,-160.63
1742,12,17008,0.13609,-5.6089,-160.55
1747,13,16998,0.11665,-5.6005,-160.57
1746,44,17006,0.12677,-5.5935,-160.58
1751,41,17021,0.13349,-5.5908,-160.6
1763,29,17019,0.13111,-5.5979,-160.61
1763,29,17008,0.13041,-5.6046,-160.62
1762,41,17006,0.14113,-5.6102,-160.63
1757,44,17014,0.15166,-5.6104,-160.64
1756,38,17017,0.15561,-5.6097,-160.64
1751,36,17029,0.15759,-5.6048,-160.65
1749,-27,17015,0.1139,-5.6006,-160.65
1746,-25,17015,0.083513,-5.5961,-160.65
1743,-16,17017,0.084109,-5.5966,-160.61
1748,-14,17021,0.065156,-5.5934,-160.61
