x,y,z
-4.4694,7.5272,-25.069
-4.3056,16.538,-33.82
-3.2754,-18.806,-25.565
-4.3818,-18.922,-25.261
-8.0075,-11.049,-31.03
-6.2059,-19.886,-15.805
-8.6022,-32.045,-14.908
-6.2069,-35.69,-11.707
-6.6997,-32.845,-5.4217
-6.0439,-30.797,7.8318
-4.7151,-15.219,-1.7156
-6.2236,-14.204,8.6402
-0.14273,-2.0914,10.263
1.6546,11.834,-2.1784
2.6357,25.636,-8.769
-1.3762,38.654,-9.6896
3.3424,30.598,-18.134
5.8277,33.872,-17.85
3.1422,21.134,-2.2149
6.9769,21.104,-21.921
5.4257,24.989,-17.159
4.6399,18.327,-6.0143
-12.053,14.679,0.94263
-13.107,8.4899,-2.4199
-8.9302,15.261,5.149
-8.8511,11.01,3.4708
2.9187,14.303,-9.9603
-0.4182,10.653,0.48639
-3.8665,5.7417,-7.9671
-0.87893,10.473,-16.423
11.882,8.7475,-23.886
13.98,11.983,-15.538
17.217,5.5857,-19.027
17.438,4.5104,-22.419
13.496,3.6951,-8.3043
4.8986,-14.193,-12.517
2.4126,-21.201,-18.408
6.2741,-18.986,-1.8844
2.168,-15.597,14.428
1.0944,-25.929,9.7368
-2.6654,-31.231,19.379
-2.4887,-25.139,12.432
-8.8656,-30.566,7.4527
0.61957,-12.712,13.572
0.34556,-21.504,22.821
-5.7082,-28.24,6.6993
-5.3606,-25.731,0.73674
-0.53127,-23.841,5.3255
-0.53331,-18.093,0.15099
-1.5709,-19.559,16.261
0.81232,-10.545,15.768
-2.7266,-8.5664,18.154
0.26576,-1.835,8.6039
-0.23941,-5.791,15.871
3.9802,-6.4287,18.464
-0.8127,-3.9514,16.865
4.0069,-4.7993,5.3299
9.1685,-6.6155,-4.3153
12.863,-5.6803,2.054
11.684,3.5953,5.5174
7.6079,-1.3916,21.926
7.3549,16.858,13.562
1.6392,7.6669,4.0973
10.652,-18.809,12.016
4.8945,-15.474,27.422
-8.3102,-8.1391,26.585
-7.3627,-8.0353,15.648
-2.1067,-15.522,13.597
3.3291,-13.44,21.077
1.9655,-6.3076,23.948
5.5134,-2.2681,35.389
-11.655,44.682,21.133
-6.4502,34.826,20.867
-0.39433,27.549,22.578
-3.089,18.518,27.057
-1.3252,13.147,12.934
-7.0332,9.599,-4.3869
-12.659,4.7257,-6.4782
-10.158,2.6625,-9.4502
-0.23572,-20.112,-8.4274
-3.2567,-8.8998,-2.3604
-4.6815,-6.5767,-7.1322
0.86889,10.123,-11.109
-0.49791,21.865,5.6953
