x,y,z
-23.007,-6.06,-15.22
-24.007,-4.06,-11.22
-15.007,-8.06,-7.22
-23.007,-11.06,-17.22
-21.007,-10.06,-13.22
-12.007,-16.06,-8.22
-24.007,-15.06,-17.22
-17.007,-10.06,-26.22
-18.007,-2.06,-19.22
-16.007,0.94,-37.22
-21.007,1.94,-34.22
-15.007,9.94,-19.22
-20.007,10.94,-21.22
-16.007,7.94,-23.22
-3.0067,19.94,-15.22
-2.0067,16.94,-6.22
-0.0066667,17.94,7.78
-4.0067,14.94,13.78
-9.0067,4.94,14.78
-4.0067,1.94,19.78
-6.0067,-3.06,18.78
-19.007,11.94,30.78
-24.007,0.94,44.78
-29.007,-12.06,41.78
-24.007,-11.06,40.78
-5.0067,-9.06,36.78
4.9933,-5.06,33.78
0.99333,-10.06,11.78
2.9933,-17.06,17.78
2.9933,-24.06,-12.22
6.9933,-18.06,-14.22
3.9933,-7.06,-15.22
-4.0067,-14.06,-13.22
-10.007,-14.06,-11.22
-5.0067,-10.06,-3.22
2.9933,-7.06,0.78
10.993,-12.06,-11.22
11.993,-9.06,4.78
8.9933,-20.06,-12.22
13.993,-17.06,-2.22
17.993,-6.06,-18.22
16.993,-9.06,-17.22
9.9933,-6.06,-25.22
8.9933,-4.06,-19.22
-2.0067,3.94,-16.22
6.9933,1.94,-14.22
2.9933,9.94,-1.22
-4.0067,1.94,-9.22
-12.007,-0.06,-5.22
-5.0067,3.94,-6.22
-3.0067,-0.06,4.78
-6.0067,-6.06,-4.22
-9.0067,-6.06,0.78
-17.007,-2.06,-0.22
-14.007,1.94,-11.22
-10.007,-5.06,-13.22
-0.0066667,-7.06,-0.22
-1.0067,-7.06,8.78
-0.0066667,-3.06,8.78
-7.0067,6.94,12.78
2.9933,3.94,3.78
2.9933,-4.06,20.78
4.9933,-9.06,36.78
5.9933,-7.06,40.78
-2.0067,-2.06,27.78
-10.007,-1.06,29.78
-21.007,-2.06,10.78
-15.007,-4.06,14.78
-21.007,3.94,6.78
-16.007,9.94,-13.22
-14.007,18.94,-17.22
-15.007,30.94,-21.22
-9.0067,12.94,-8.22
-7.0067,7.94,-17.22
-3.0067,1.94,-9.22
-10.007,0.94,-5.22
-4.0067,-4.06,2.78
1.9933,-13.06,9.78
4.9933,-16.06,7.78
13.993,14.94,6.78
21.993,26.94,-9.22
16.993,24.94,-10.22
19.993,28.94,-11.22
31.993,30.94,-13.22
24.993,31.94,3.78
21.993,35.94,-2.22
25.993,38.94,-16.22
14.993,5.94,-5.22
3.9933,-2.06,6.78
8.9933,5.94,-3.22
1.9933,2.94,9.78
-4.0067,-0.06,5.78
3.9933,-0.06,-8.22
-5.0067,0.94,0.78
-7.0067,-10.06,15.78
2.9933,-12.06,18.78
8.9933,-10.06,13.78
13.993,-12.06,22.78
24.993,-10.06,8.78
25.993,-8.06,1.78
28.993,-8.06,-13.22
31.993,-6.06,-5.22
30.993,4.94,-15.22
22.993,5.94,-37.22
25.993,12.94,-44.22
14.993,14.94,-43.22
10.993,12.94,-35.22
10.993,11.94,-36.22
14.993,10.94,-11.22
15.993,9.94,-28.22
9.9933,2.94,-26.22
9.9933,-4.06,-18.22
1.9933,3.94,-14.22
8.9933,-1.06,-4.22
8.9933,-4.06,-10.22
2.9933,-6.06,-18.22
-10.007,-4.06,-19.22
-5.0067,-4.06,-3.22
-0.0066667,-7.06,-9.22
7.9933,6.94,-17.22
10.993,-2.06,-11.22
3.9933,-4.06,-27.22
7.9933,1.94,-47.22
9.9933,1.94,-35.22
13.993,3.94,-43.22
4.9933,9.94,-42.22
-3.0067,3.94,-32.22
-0.0066667,-7.06,-12.22
0.99333,-8.06,-25.22
-1.0067,-9.06,-7.22
-1.0067,-3.06,9.78
3.9933,-7.06,14.78
3.9933,-10.06,8.78
-2.0067,-13.06,-2.22
5.9933,-11.06,3.78
-3.0067,-14.06,0.78
-6.0067,-10.06,11.78
-1.0067,-8.06,-4.22
2.9933,-8.06,-8.22
4.9933,-4.06,24.78
4.9933,-8.06,48.78
7.9933,-0.06,61.78
6.9933,10.94,57.78
4.9933,6.94,65.78
-4.0067,4.94,72.78
-1.0067,13.94,93.78
-21.007,3.94,110.78
-27.007,1.94,61.78
-29.007,7.94,48.78
-28.007,-0.06,26.78
-33.007,-10.06,16.78
-31.007,-8.06,10.78
-24.007,0.94,-1.22
-23.007,-2.06,-30.22
-19.007,-1.06,-46.22
-14.007,1.94,-36.22
-18.007,-2.06,-43.22
-18.007,-4.06,-25.22
-14.007,1.94,-28.22
-20.007,0.94,-24.22
-12.007,-10.06,-23.22
-14.007,-14.06,-16.22
-5.0067,-12.06,-5.22
-7.0067,-6.06,14.78
2.9933,-6.06,18.78
3.9933,-8.06,4.78
12.993,1.94,13.78
21.993,1.94,8.78
19.993,7.94,17.78
17.993,-0.06,41.78
18.993,1.94,32.78
20.993,-0.06,7.78
14.993,-4.06,8.78
25.993,-2.06,9.78
13.993,-10.06,22.78
10.993,-3.06,30.78
5.9933,-9.06,31.78
1.9933,-3.06,10.78
-3.0067,-1.06,15.78
-3.0067,1.94,34.78
-0.0066667,11.94,27.78
-6.0067,8.94,33.78
-5.0067,16.94,13.78
-13.007,19.94,-1.22
-7.0067,24.94,0.78
-0.0066667,30.94,4.78
2.9933,30.94,10.78
5.9933,25.94,3.78
6.9933,17.94,7.78
-2.0067,24.94,18.78
1.9933,15.94,31.78
4.9933,12.94,38.78
-0.0066667,-0.06,27.78
-5.0067,-4.06,25.78
-6.0067,4.94,16.78
-11.007,-0.06,7.78
-20.007,4.94,9.78
-15.007,2.94,2.78
-18.007,28.94,-16.22
-34.007,15.94,-27.22
-47.007,27.94,-22.22
-51.007,23.94,-32.22
-49.007,17.94,-23.22
-50.007,25.94,-31.22
-52.007,28.94,-35.22
-28.007,26.94,-41.22
-27.007,-1.06,-25.22
-2.0067,10.94,-17.22
1.9933,4.94,-24.22
2.9933,1.94,-12.22
2.9933,-7.06,-21.22
6.9933,-15.06,-12.22
12.993,-16.06,-3.22
-5.0067,-21.06,5.78
-8.0067,-15.06,13.78
-16.007,-18.06,19.78
-4.0067,-18.06,29.78
0.99333,-7.06,32.78
5.9933,-11.06,33.78
1.9933,-13.06,33.78
6.9933,-16.06,38.78
4.9933,-13.06,27.78
18.993,-7.06,4.78
56.993,-10.06,2.78
130.99,28.94,-13.22
297.99,41.94,-17.22
418.99,-56.06,-89.22
620.99,-16.06,-73.22
905.99,-26.06,-151.22
1259,27.94,-221.22
1534,27.94,-117.22
1841,98.94,-39.22
2196,58.94,5.78
2475,99.94,-22.22
2810,160.94,121.78
3458,139.94,-210.22
3779,384.94,-30.22
3892,293.94,-13.22
3882,336.94,-165.22
4190,320.94,-359.22
4191,497.94,-352.22
3709,377.94,-182.22
2809,566.94,241.78
1785,540.94,712.78
834.99,139.94,820.78
-165.01,-3.06,845.78
-1043,-58.06,1003.8
-2204,-142.06,1191.8
-3146,-368.06,1153.8
-3907,-284.06,1151.8
-3786,-373.06,624.78
-3993,-315.06,406.78
-4076,-125.06,159.78
-4076,55.94,226.78
-3987,158.94,192.78
-3545,253.94,122.78
-3012,297.94,114.78
-2208,281.94,-27.22
-1901,222.94,9.78
-1508,180.94,71.78
-1083,152.94,108.78
-554.01,143.94,65.78
-31.007,45.94,2.78
38.993,-5.06,-9.22
15.993,-5.06,-2.22
15.993,-5.06,-5.22
22.993,-2.06,-7.22
22.993,-6.06,-3.22
14.993,-1.06,-16.22
13.993,7.94,-5.22
3.9933,5.94,1.78
1.9933,1.94,26.78
9.9933,34.94,9.78
-25.007,30.94,-84.22
9.9933,20.94,-124.22
45.993,97.94,-107.22
111.99,86.94,-146.22
84.993,100.94,-141.22
82.993,105.94,-169.22
68.993,116.94,-160.22
38.993,83.94,-182.22
92.993,119.94,-95.22
44.993,122.94,-68.22
-10.007,50.94,-69.22
-72.007,65.94,-25.22
