x,y,z,roll,pitch,yaw
-631,369,16765,1.4049,2.3305,-99.562
-644,369,16762,1.4057,2.346,-99.562
-650,371,16767,1.4011,2.4094,-99.677
-659,363,16766,1.3934,2.4551,-99.766
-665,365,16771,1.3894,2.4887,-99.84
-676,357,16787,1.3811,2.5161,-99.898
-674,349,16788,1.3704,2.5294,-99.939
-677,346,16788,1.3604,2.5385,-99.971
-670,344,16775,1.3509,2.5401,-100
-661,347,16783,1.3547,2.4845,-99.904
-647,354,16776,1.3616,2.4351,-99.812
-650,356,16794,1.3659,2.4136,-99.761
-644,363,16787,1.3665,2.4418,-99.834
-632,375,16785,1.3851,2.3967,-99.759
-637,378,16777,1.4009,2.372,-99.701
-632,382,16796,1.4151,2.3534,-99.656
-631,384,16798,1.4271,2.3418,-99.621
-631,391,16793,1.4402,2.3433,-99.613
-644,388,16793,1.4481,2.3546,-99.606
-648,380,16780,1.4487,2.3669,-99.6
-655,369,16783,1.441,2.3818,-99.595
-658,355,16773,1.4248,2.3958,-99.589
-654,358,16782,1.415,2.4015,-99.58
-659,359,16768,1.4074,2.4126,-99.575
-650,364,16761,1.4046,2.4129,-99.567
-646,358,16760,1.397,2.4113,-99.564
-644,360,16763,1.3925,2.4103,-99.562
-643,362,16756,1.3905,2.4077,-99.56
-631,364,16743,1.3905,2.3974,-99.56
-638,365,16752,1.3926,2.396,-99.559
-636,369,16749,1.4054,2.3402,-99.422
-630,355,16752,1.4042,2.3008,-99.312
-642,352,16751,1.3915,2.3365,-99.346
-650,352,16747,1.3821,2.367,-99.37
-646,356,16739,1.3772,2.3932,-99.407
-651,365,16757,1.3811,2.4115,-99.431
-663,373,16751,1.3971,2.3878,-99.335
-656,377,16760,1.4121,2.369,-99.255
-653,365,16758,1.4057,2.4063,-99.313
-657,373,16758,1.4149,2.3864,-99.24
-650,375,16766,1.4151,2.4181,-99.299
-643,378,16778,1.4189,2.4305,-99.339
-643,371,16783,1.4171,2.4367,-99.371
-637,365,16772,1.412,2.4349,-99.397
-630,364,16798,1.4056,2.4257,-99.418
-629,369,16805,1.4044,2.4163,-99.436
-635,376,16795,1.4089,2.414,-99.451
-641,374,16797,1.4103,2.4174,-99.468
-638,372,16800,1.4108,2.4145,-99.478
-638,365,16776,1.4058,2.4128,-99.492
-638,366,16774,1.4027,2.4119,-99.503
-634,367,16764,1.4022,2.4059,-99.507
-633,360,16750,1.3961,2.4026,-99.516
-638,341,16737,1.3775,2.4036,-99.524
-636,340,16739,1.3631,2.4002,-99.526
-627,350,16737,1.3585,2.3928,-99.531
-625,350,16734,1.3469,2.4318,-99.653
-623,345,16745,1.3357,2.4504,-99.75
-625,344,16755,1.328,2.4572,-99.823
-627,341,16770,1.3204,2.4579,-99.881
-635,343,16762,1.3168,2.4587,-99.929
-632,359,16754,1.3278,2.4456,-99.947
-633,358,16769,1.3356,2.4348,-99.962
-639,345,16769,1.34,2.3835,-99.861
-647,344,16760,1.3414,2.3585,-99.782
-658,351,16762,1.348,2.3535,-99.719
-659,358,16772,1.3563,2.3623,-99.688
-648,360,16761,1.3716,2.316,-99.545
-642,362,16771,1.3831,2.2885,-99.432
