x,y,z,roll,pitch,yaw
566,127,16941,0.43355,-1.7566,-135.89
572,117,16959,0.42328,-1.7591,-135.91
564,125,16947,0.4233,-1.7576,-135.93
568,125,16960,0.4249,-1.7607,-135.95
575,116,16983,0.42065,-1.7702,-135.96
578,118,16983,0.42102,-1.782,-135.98
581,126,16961,0.42765,-1.7944,-135.99
590,126,16967,0.43281,-1.8105,-136
582,122,16965,0.43385,-1.8173,-136.02
579,128,16957,0.4075,-1.792,-136.07
578,121,16981,0.42105,-1.8086,-136.08
544,122,16971,0.4641,-1.8278,-136.03
540,143,16984,0.4409,-1.7703,-136.09
541,130,16998,0.45414,-1.7648,-136.09
547,125,17002,0.49236,-1.7953,-136.04
551,131,17014,0.52065,-1.8161,-136.01
561,132,17000,0.57032,-1.8647,-135.93
563,143,16993,0.57326,-1.8612,-135.92
573,148,16973,0.57708,-1.864,-135.91
605,150,16981,0.58044,-1.8898,-135.9
607,137,16983,0.57153,-1.9093,-135.9
609,137,16969,0.56382,-1.9256,-135.9
605,133,16968,0.52323,-1.905,-135.94
596,125,16964,0.49082,-1.8875,-135.97
587,115,16961,0.46356,-1.8726,-136
582,99,16964,0.43493,-1.8614,-136.02
575,100,16971,0.41697,-1.851,-136.04
570,96,16965,0.40275,-1.842,-136.05
565,101,16969,0.39611,-1.8321,-136.06
572,101,16948,0.39272,-1.8315,-136.07
573,99,16963,0.42305,-1.865,-136.03
578,106,16962,0.44615,-1.8893,-135.99
574,111,16973,0.4628,-1.8987,-135.97
579,122,16981,0.4485,-1.8768,-135.99
575,121,16978,0.4391,-1.8593,-136.01
580,119,16996,0.43456,-1.853,-136.03
580,103,16984,0.42118,-1.85,-136.04
580,111,17017,0.41821,-1.8487,-136.05
581,110,17011,0.41618,-1.8495,-136.06
571,106,16995,0.37858,-1.8116,-136.12
570,104,16973,0.38876,-1.8209,-136.11
565,99,16970,0.35923,-1.7923,-136.16
563,93,16970,0.33838,-1.7748,-136.2
554,102,16967,0.33225,-1.7581,-136.23
550,122,16971,0.3468,-1.7467,-136.25
546,118,16934,0.35719,-1.7373,-136.28
543,130,16942,0.37566,-1.7291,-136.3
546,129,16957,0.45643,-1.7896,-136.22
545,132,16970,0.47483,-1.7901,-136.21
544,126,16974,0.51531,-1.8207,-136.15
547,130,16989,0.54182,-1.8386,-136.11
549,138,16981,0.59571,-1.8797,-136.03
547,132,16981,0.6208,-1.8979,-135.96
541,137,17009,0.60437,-1.8684,-135.95
545,135,17010,0.59178,-1.8499,-135.94
542,138,17011,0.58488,-1.8339,-135.93
547,140,17019,0.58115,-1.8251,-135.92
544,148,17023,0.55031,-1.7834,-135.95
551,152,17008,0.53582,-1.7626,-135.98
562,138,17015,0.51822,-1.758,-136
573,140,17004,0.54332,-1.7988,-135.97
584,134,17007,0.51941,-1.8007,-135.99
574,122,17001,0.49505,-1.7981,-136.01
574,115,16998,0.47386,-1.799,-136.03
580,113,16998,0.45809,-1.8063,-136.04
583,108,16986,0.47818,-1.848,-136
576,106,16988,0.51847,-1.9012,-135.92
574,105,16986,0.50563,-1.8985,-135.91
577,98,16991,0.49036,-1.8984,-135.9
573,104,17002,0.51555,-1.9274,-135.84
571,114,17011,0.53504,-1.9411,-135.79
571,118,17006,0.54633,-1.9451,-135.75
565,127,17006,0.55926,-1.9415,-135.71
563,134,17013,0.57116,-1.9338,-135.68
569,125,17021,0.56982,-1.9294,-135.65
566,122,17015,0.53261,-1.8921,-135.68
554,134,17018,0.48438,-1.8274,-135.74
543,134,16996,0.45881,-1.7809,-135.79
