x,y,z,roll,pitch,yaw
-964,-158,16704,-0.5999,3.4856,132.24
-960,-171,16699,-0.59146,3.5065,132.26
-963,-163,16708,-0.58073,3.5227,132.27
-960,-156,16709,-0.56865,3.53,132.28
-963,-162,16715,-0.56462,3.538,132.28
-969,-163,16739,-0.56125,3.5469,132.29
-968,-148,16759,-0.548,3.5517,132.29
-970,-155,16766,-0.54336,3.5559,132.29
-973,-169,16777,-0.54776,3.5616,132.3
-964,-158,16780,-0.54354,3.5589,132.3
-965,-161,16766,-0.5429,3.5577,132.31
-968,-172,16757,-0.55082,3.5591,132.31
-963,-173,16760,-0.55538,3.5586,132.32
-959,-180,16774,-0.56597,3.5542,132.33
-960,-182,16759,-0.57602,3.552,132.34
-955,-183,16758,-0.58338,3.5463,132.34
-949,-176,16750,-0.58807,3.5353,132.34
-955,-187,16743,-0.59954,3.5317,132.34
-946,-190,16735,-0.60906,3.5229,132.35
-944,-191,16737,-0.61692,3.5148,132.35
-946,-190,16734,-0.61979,3.5126,132.36
-949,-184,16742,-0.61805,3.5122,132.37
-951,-178,16739,-0.61522,3.5105,132.37
-952,-167,16738,-0.60498,3.5099,132.37
-950,-171,16744,-0.60016,3.5073,132.37
-963,-173,16756,-0.59783,3.5143,132.37
-970,-176,16764,-0.64449,3.4733,132.25
-969,-179,16761,-0.67361,3.4514,132.16
-976,-176,16743,-0.68721,3.4481,132.09
-972,-166,16738,-0.68543,3.4484,132.02
-960,-165,16757,-0.67937,3.4434,131.97
-956,-169,16758,-0.67432,3.44,131.93
-965,-170,16777,-0.66827,3.4462,131.9
-964,-174,16771,-0.66455,3.4528,131.86
-961,-174,16770,-0.61386,3.5084,131.96
-956,-177,16770,-0.5885,3.5351,132.01
-949,-186,16796,-0.5348,3.5932,132.17
-953,-195,16811,-0.51225,3.6267,132.29
-966,-203,16786,-0.51007,3.6534,132.39
-972,-202,16782,-0.51482,3.6709,132.47
-970,-192,16765,-0.5169,3.6779,132.53
-962,-185,16761,-0.51787,3.6727,132.59
-970,-185,16764,-0.52204,3.6706,132.64
-973,-172,16767,-0.51861,3.6678,132.68
-975,-172,16765,-0.56774,3.6125,132.59
-979,-178,16760,-0.59671,3.5859,132.54
