x,y,z,roll,pitch,yaw
785,195,17110,0.76661,-2.3847,-90.457
778,199,17095,0.7709,-2.3778,-90.456
779,187,17104,0.76535,-2.3709,-90.455
781,178,17100,0.75426,-2.3677,-90.454
781,177,17112,0.74623,-2.3653,-90.453
796,170,17112,0.73489,-2.3746,-90.451
790,167,17109,0.72367,-2.3729,-90.452
798,164,17112,0.71269,-2.3777,-90.452
801,162,17110,0.70273,-2.3829,-90.454
801,159,17112,0.69132,-2.313,-90.492
806,167,17103,0.68875,-2.2817,-90.521
808,175,17094,0.69361,-2.336,-90.513
808,176,17085,0.69831,-2.3731,-90.509
792,209,17103,0.72564,-2.3816,-90.509
797,214,17110,0.75052,-2.39,-90.508
791,214,17111,0.76999,-2.3906,-90.507
785,214,17095,0.78538,-2.387,-90.507
788,215,17103,0.79808,-2.3866,-90.506
772,215,17097,0.80809,-2.3748,-90.505
762,210,17103,0.81111,-2.3608,-90.503
761,211,17113,0.81389,-2.3504,-90.501
753,178,17075,0.79256,-2.3394,-90.497
755,180,17061,0.77616,-2.2608,-90.528
757,181,17060,0.76436,-2.2171,-90.551
756,186,17067,0.75883,-2.1916,-90.57
750,193,17074,0.7596,-2.1732,-90.586
752,191,17074,0.75882,-2.1648,-90.6
752,186,17081,0.75456,-2.1606,-90.613
760,191,17073,0.75486,-2.1637,-90.623
781,193,17096,0.75636,-2.1809,-90.633
779,196,17103,0.75959,-2.192,-90.645
782,203,17103,0.76735,-2.2044,-90.656
787,208,17103,0.77765,-2.2875,-90.634
799,201,17087,0.78075,-2.3452,-90.619
803,200,17094,0.7825,-2.3847,-90.608
806,212,17095,0.79277,-2.4107,-90.601
803,211,17098,0.80002,-2.4236,-90.597
791,210,17105,0.80471,-2.4177,-90.595
800,210,17098,0.80845,-2.4206,-90.592
798,201,17095,0.80461,-2.4215,-90.59
796,191,17095,0.79467,-2.4197,-90.588
789,193,17105,0.78796,-2.4124,-90.586
781,185,17110,0.77689,-2.4018,-90.583
781,186,17106,0.769,-2.3969,-90.58
783,167,17097,0.74946,-2.396,-90.575
787,181,17088,0.74405,-2.3977,-90.571
779,177,17107,0.73678,-2.3921,-90.568
783,187,17122,0.73819,-2.3908,-90.565
791,191,17129,0.74213,-2.3953,-90.561
787,193,17126,0.74667,-2.3949,-90.559
790,202,17125,0.75672,-2.3966,-90.556
794,188,17131,0.75445,-2.4001,-90.554
782,196,17144,0.75833,-2.3915,-90.552
780,183,17145,0.752,-2.3846,-90.549
774,188,17129,0.75085,-2.3764,-90.547
769,174,17128,0.73851,-2.2956,-90.579
764,170,17130,0.72629,-2.2455,-90.603
759,172,17121,0.71842,-2.2124,-90.622
765,172,17117,0.7124,-2.1998,-90.637
757,185,17098,0.71725,-2.1883,-90.652
762,188,17108,0.72319,-2.1858,-90.665
759,195,17110,0.73289,-2.1831,-90.677
764,193,17123,0.73894,-2.1855,-90.688
790,189,17108,0.74172,-2.2808,-90.664
791,185,17090,0.74109,-2.338,-90.649
801,178,17096,0.73538,-2.3785,-90.638
803,175,17107,0.72859,-2.4033,-90.63
811,172,17119,0.71956,-2.3495,-90.66
813,181,17104,0.71935,-2.3213,-90.684
816,181,17117,0.72039,-2.3815,-90.67
820,182,17112,0.72216,-2.4207,-90.662
795,192,17132,0.73025,-2.4244,-90.657
800,201,17131,0.74307,-2.4298,-90.653
799,204,17119,0.75566,-2.4332,-90.65
795,207,17107,0.76779,-2.4325,-90.647
792,198,17112,0.77074,-2.4294,-90.644
786,191,17108,0.76803,-2.423,-90.64
785,188,17102,0.76399,-2.4214,-90.634
783,177,17103,0.75288,-2.4185,-90.628
785,180,17071,0.7464,-2.4157,-90.624
784,177,17089,0.73903,-2.4124,-90.62
787,174,17100,0.73072,-2.411,-90.616
781,166,17088,0.71852,-2.406,-90.611
778,174,17091,0.71473,-2.4004,-90.607
783,173,17096,0.71101,-2.4001,-90.603
781,172,17094,0.70739,-2.3982,-90.598
781,175,17103,0.70666,-2.3964,-90.594
781,174,17118,0.70525,-2.3945,-90.59
780,170,17116,0.70146,-2.3954,-90.584
774,174,17117,0.70137,-2.3911,-90.579
778,185,17122,0.7092,-2.3908,-90.574
782,184,17108,0.71472,-2.3934,-90.569
783,192,17111,0.72461,-2.3922,-90.566
790,197,17108,0.73745,-2.3962,-90.563
785,192,17100,0.74396,-2.3951,-90.56
784,194,17095,0.75054,-2.3935,-90.558
782,204,17099,0.76289,-2.3908,-90.555
778,199,17099,0.76896,-2.386,-90.553
785,199,17105,0.77202,-2.3846,-90.551
751,200,17110,0.77528,-2.362,-90.548
746,187,17103,0.76882,-2.3452,-90.542
