x,y,z,roll,pitch,yaw
-25.046,-209.51,17384,-0.13007,-3.5274,136.59
-25.545,-195.87,17399,-0.11422,-3.5129,136.49
-25.737,-184.46,17387,-0.10006,-3.4999,136.39
-26.481,-182.66,17383,-0.080402,-3.4822,136.3
-20.457,-177.29,17381,-0.063231,-3.4591,136.22
-18.671,-168.87,17376,-0.048491,-3.4359,136.13
-23.097,-169.44,17375,-0.026509,-3.4111,136.05
-21.558,-163.94,17378,-0.006168,-3.3857,135.98
-16.313,-163.7,17383,0.013482,-3.3542,135.9
-21.253,-154.87,17370,0.033387,-3.3285,135.83
-18.338,-148.26,17378,0.049483,-3.3027,135.76
-21.465,-140.25,17391,0.064814,-3.2814,135.69
-26.504,-129.86,17384,0.08134,-3.2671,135.63
-22.74,-123.79,17392,0.094633,-3.251,135.56
-24.28,-112.53,17401,0.10457,-3.24,135.5
-25.005,-101.83,17399,0.11178,-3.2307,135.44
-24.304,-90.906,17385,0.12611,-3.2132,135.4
-22.889,-89.565,17379,0.12943,-3.2049,135.34
-25.356,-84.507,17366,0.1457,-3.1867,135.3
-28.041,-73.08,17365,0.15647,-3.1773,135.26
-35.828,-74.414,17359,0.16511,-3.1801,135.21
-45.432,-77.87,17374,0.18412,-3.1829,135.16
-42.075,-78.384,17374,0.20401,-3.1823,135.12
-40.44,-71.737,17378,0.22008,-3.1833,135.07
-37.434,-66.087,17384,0.23366,-3.1828,135.03
-33.645,-58.018,17400,0.24135,-3.1832,134.99
-36.365,-59.482,17412,0.25453,-3.1815,134.96
-27.189,-56.754,17407,0.26263,-3.1712,134.92
-22.068,-52.151,17423,0.26532,-3.1597,134.89
-18.364,-49.79,17412,0.26647,-3.145,134.86
-26.148,-46.957,17397,0.26173,-3.1464,134.82
-27.15,-47.12,17386,0.2724,-3.1333,134.79
-37.64,-46.146,17384,0.29964,-3.117,134.77
-35.104,-41.411,17379,0.31999,-3.1061,134.75
-28.008,-21.991,17375,0.32241,-3.1043,134.73
-39.138,-24.184,17380,0.33734,-3.1059,134.71
-36.268,-25.173,17383,0.35162,-3.1045,134.69
-36.86,-20.758,17383,0.36376,-3.106,134.67
-29.904,-18.929,17390,0.37098,-3.1035,134.65
-27.104,-18.91,17417,0.37698,-3.0984,134.64
-20.811,-26.125,17428,0.37151,-3.0951,134.61
-22.606,-25.367,17419,0.36925,-3.0908,134.59
-21.462,-27.736,17421,0.36971,-3.0823,134.57
-20.94,-30.005,17411,0.37248,-3.0707,134.55
-17.952,-20.717,17410,0.36804,-3.0626,134.52
-16.648,-12.959,17411,0.35935,-3.0571,134.51
-22.283,-12.833,17398,0.36644,-3.0428,134.5
-23.847,-6.1991,17385,0.35858,-3.0458,134.48
-28.189,-2.4477,17378,0.35385,-3.0513,134.46
-30.145,-6.7858,17384,0.35558,-3.0526,134.45
-30.256,-10.123,17383,0.36082,-3.0506,134.43
-23.927,-6.7096,17390,0.36037,-3.046,134.42
-31.254,-12.614,17380,0.36926,-3.0415,134.41
-33.797,-4.6053,17379,0.37517,-3.0433,134.39
-30.563,0.009691,17386,0.37678,-3.0453,134.38
-25.766,-6.1313,17398,0.38025,-3.0391,134.37
-28.68,-0.19359,17396,0.38381,-3.0385,134.36
-23.257,3.217,17404,0.39109,-3.0251,134.36
-23.031,5.3359,17381,0.39703,-3.0148,134.36
-28.616,4.8118,17375,0.38274,-3.0306,134.34
-23.899,8.3126,17394,0.37842,-3.0299,134.33
-30.498,-0.75938,17374,0.38526,-3.0264,134.32
-28.919,-10.424,17382,0.38629,-3.0249,134.3
-27.176,-0.30374,17367,0.38107,-3.0276,134.29
-40.647,20.591,17381,0.37402,-3.0504,134.29
-18.579,-6.3589,17378,0.37068,-3.0398,134.35
-23.925,5.2061,17400,0.37778,-3.0229,134.42
-23.981,1.1845,17415,0.37798,-3.0129,134.5
-11.743,-22.591,17402,0.37843,-2.9872,134.56
-21.999,1.9176,17399,0.35181,-3.0053,134.6
4.3629,-35.727,17412,0.34268,-2.9742,134.63
66.167,-32.753,17445,0.26659,-2.9365,134.63
42.793,-51.048,17473,0.2059,-2.9108,134.52
50.8,-102.96,17566,0.1258,-2.875,134.26
-83.434,-50.358,17732,-0.029258,-2.9659,133.89
-124.99,-76.117,17914,-0.37816,-3.0853,133.51
-34.354,-159.08,17957,-1.1341,-3.241,133.23
55.621,-212.08,17886,-2.3364,-3.4857,133.12
-67.431,-205.49,17826,-3.8332,-3.981,133.14
-162.28,-218.13,17711,-5.5336,-4.6931,133.35
-209.37,-208.42,17648,-7.4157,-5.6008,133.83
-280.96,-42.865,17473,-9.5217,-6.8235,134.7
-136.67,4.4708,17227,-11.796,-8.0809,135.95
-99.287,183.63,16913,-14.123,-9.4792,137.51
-206.94,514.27,16758,-16.317,-11.092,139.28
