x,y,z,roll,pitch,yaw
1734,3,16955,0.01291,-5.6632,172.85
1729,7,16958,-0.059646,-5.6652,172.76
1730,3,16956,-0.10252,-5.6654,172.68
1729,-2,16947,-0.045239,-5.6532,172.71
1724,-3,16948,-0.009815,-5.6425,172.73
1735,-2,16940,0.012959,-5.6434,172.75
1744,-5,16943,0.026318,-5.6493,172.76
1744,-5,16938,0.033198,-5.6548,172.77
1752,-1,16930,0.040905,-5.6655,172.78
1751,0,16923,0.046149,-5.6754,172.79
1752,2,16933,0.13332,-5.6736,172.88
1752,3,16939,0.10087,-5.6823,172.87
1761,3,16929,0.079946,-5.6958,172.86
1765,3,16934,0.1483,-5.7003,172.95
1765,-1,16951,0.10087,-5.7143,172.93
1763,-9,16958,0.063498,-5.7224,172.91
1765,-14,16969,0.035841,-5.7286,172.9
1775,-9,16985,0.021556,-5.7391,172.89
1773,-14,16976,0.008894,-5.7463,172.89
1771,-12,16979,0.003167,-5.7499,172.89
1774,-9,17010,0.000597,-5.7526,172.89
1771,-17,17008,-0.00423,-5.7525,172.89
1766,-9,17000,-0.001745,-5.7493,172.89
1762,-2,16996,0.005028,-5.7444,172.88
1753,3,16995,0.013355,-5.7341,172.88
1739,-6,16974,0.012606,-5.7177,172.88
1752,-2,16981,0.01501,-5.7136,172.88
1754,-2,16976,0.016825,-5.7122,172.88
1753,-1,16974,0.018996,-5.7106,172.87
1758,9,16978,0.027956,-5.7126,172.87
1753,2,16959,0.029182,-5.7135,172.87
1761,2,16971,0.018434,-5.7204,172.86
1771,-5,16976,0.007541,-5.7323,172.85
1776,-1,16993,0.004125,-5.7437,172.84
1768,-5,16990,-0.000215,-5.7469,172.83
1772,-4,16988,-0.001814,-5.7523,172.83
1778,-9,16971,-0.005985,-5.762,172.82
1774,-10,16969,-0.008928,-5.7668,172.82
1774,-14,16987,-0.013354,-5.7691,172.82
1777,-17,16981,-0.018223,-5.772,172.82
1773,-13,16960,-0.018411,-5.7728,172.81
1770,-13,16958,-0.018355,-5.7715,172.81
1768,-1,16942,-0.009438,-5.7701,172.81
1764,2,16948,0.009383,-5.7645,172.82
1746,6,16957,0.024255,-5.7469,172.82
1751,12,16941,0.038062,-5.7381,172.83
1760,22,16943,0.054419,-5.7378,172.83
1754,31,16950,0.072134,-5.7329,172.83
1755,28,16966,0.083665,-5.7288,172.82
1757,34,16958,0.096201,-5.7277,172.82
1760,28,16986,0.1008,-5.727,172.82
1758,34,16989,0.10874,-5.7248,172.81
1767,20,16983,0.10446,-5.7301,172.81
1755,11,16989,0.095397,-5.725,172.81
1755,11,16978,0.089336,-5.7217,172.8
1758,1,16977,0.077975,-5.7198,172.81
1756,4,16976,0.061844,-5.7182,172.79
1761,-1,16984,0.048256,-5.7195,172.79
1754,-9,16975,0.033949,-5.716,172.78
1750,-10,16974,0.023904,-5.7101,172.78
1754,0,16969,0.024566,-5.7101,172.78
1759,-1,16982,0.024583,-5.7127,172.77
1758,-11,16975,0.10165,-5.7046,172.86
1752,15,16972,0.16365,-5.6962,172.94
1746,14,16974,0.19771,-5.6868,172.99
1744,21,16968,0.13594,-5.6898,172.95
1754,30,16960,0.10491,-5.6985,172.91
1753,22,16962,0.081577,-5.7036,172.89
1750,24,16970,0.069978,-5.7042,172.87
1755,28,16983,0.067279,-5.7069,172.85
1753,33,17005,-0.012427,-5.7169,172.74
1755,-18,17000,-0.008968,-5.7128,172.74
1759,-18,17000,0.002969,-5.7114,172.76
1756,-19,17006,0.008622,-5.708,172.78
1753,-17,17019,0.012437,-5.7025,172.79
1755,-14,17030,0.015935,-5.699,172.8
1749,-9,17031,0.010523,-5.6934,172.79
