x,y,z,roll,pitch,yaw
794,194,17062,0.67864,-2.4262,-142.88
798,196,17075,0.67788,-2.4321,-142.87
785,196,17079,0.67405,-2.4248,-142.86
783,198,17072,0.67232,-2.4176,-142.85
777,207,17063,0.67729,-2.4077,-142.84
776,214,17072,0.64453,-2.3677,-142.9
784,208,17082,0.62255,-2.3479,-142.94
777,207,17049,0.65153,-2.3636,-142.91
775,192,17076,0.65851,-2.37,-142.89
773,199,17062,0.66667,-2.3722,-142.87
779,193,17077,0.62546,-2.3453,-142.92
779,194,17078,0.60135,-2.3297,-142.96
784,193,17084,0.62773,-2.3557,-142.92
785,191,17073,0.64022,-2.3731,-142.9
782,196,17070,0.6501,-2.3819,-142.88
782,192,17084,0.65223,-2.3864,-142.86
782,190,17087,0.61153,-2.3591,-142.91
790,188,17097,0.58365,-2.3472,-142.94
793,206,17096,0.58181,-2.3454,-142.97
790,202,17093,0.58003,-2.3439,-143
790,207,17086,0.58596,-2.3445,-143.02
785,204,17099,0.58972,-2.3421,-143.04
780,211,17099,0.59916,-2.3377,-143.05
787,215,17118,0.64141,-2.3628,-143.02
784,223,17112,0.71501,-2.4072,-142.93
777,223,17124,0.75945,-2.4264,-142.87
785,204,17129,0.77168,-2.4418,-142.81
790,203,17117,0.74384,-2.4283,-142.82
787,200,17122,0.72213,-2.4172,-142.82
784,197,17125,0.70452,-2.4089,-142.81
780,195,17135,0.68701,-2.3986,-142.81
775,191,17117,0.67503,-2.3898,-142.8
775,190,17124,0.6636,-2.3802,-142.8
783,196,17118,0.65967,-2.3806,-142.79
778,210,17103,0.6666,-2.3762,-142.79
775,208,17113,0.66991,-2.3698,-142.79
778,200,17108,0.66654,-2.3669,-142.78
779,201,17121,0.66452,-2.3649,-142.78
785,199,17098,0.66158,-2.3684,-142.77
812,211,17102,0.66765,-2.3903,-142.77
812,205,17090,0.66672,-2.4067,-142.77
806,201,17063,0.66266,-2.4156,-142.77
806,193,17065,0.65356,-2.4225,-142.77
813,194,17059,0.64746,-2.4334,-142.77
