x,y,z,roll,pitch,yaw
-686,-124,16774,-0.51655,2.4783,130.87
-671,-122,16782,-0.57884,2.3903,130.68
-666,-120,16786,-0.61037,2.3364,130.52
-665,-129,16784,-0.58758,2.3562,130.51
-667,-127,16786,-0.53315,2.414,130.59
-672,-127,16782,-0.49845,2.4524,130.65
-674,-126,16783,-0.4749,2.4786,130.71
-664,-130,16759,-0.46396,2.4859,130.75
-660,-125,16773,-0.4545,2.4864,130.78
-661,-121,16772,-0.44635,2.485,130.81
-661,-116,16762,-0.43657,2.4836,130.83
-672,-122,16756,-0.43667,2.4887,130.85
-675,-127,16740,-0.44024,2.4939,130.86
-675,-134,16744,-0.45055,2.4969,130.87
-670,-141,16761,-0.46277,2.4959,130.88
-662,-137,16777,-0.46958,2.4884,130.89
-661,-147,16781,-0.48246,2.4814,130.9
-666,-143,16775,-0.48973,2.4797,130.91
-679,-142,16778,-0.53089,2.4456,130.82
-691,-136,16774,-0.55153,2.4362,130.75
-689,-137,16790,-0.56163,2.4346,130.69
-680,-136,16799,-0.52951,2.472,130.75
-675,-131,16779,-0.50572,2.4926,130.79
-676,-119,16792,-0.48164,2.5036,130.82
-675,-101,16776,-0.45374,2.5073,130.84
-673,-106,16763,-0.43762,2.5054,130.86
-678,-110,16760,-0.4292,2.5063,130.87
-670,-122,16763,-0.43382,2.4999,130.88
-661,-136,16771,-0.44799,2.4876,130.88
-659,-122,16772,-0.44716,2.4767,130.89
-663,-108,16794,-0.43634,2.4702,130.9
-657,-117,16774,-0.43517,2.4605,130.91
-658,-134,16761,-0.44707,2.4554,130.91
-654,-139,16780,-0.49574,2.4059,130.82
-646,-149,16786,-0.53324,2.3704,130.75
-644,-136,16803,-0.54706,2.3462,130.7
-643,-112,16807,-0.53612,2.3311,130.66
-648,-116,16822,-0.52783,2.3271,130.62
-651,-126,16806,-0.5267,2.3291,130.59
-677,-121,16796,-0.52048,2.352,130.57
-682,-120,16820,-0.51398,2.3738,130.55
-698,-113,16821,-0.46673,2.4455,130.62
-686,-107,16830,-0.43303,2.4852,130.68
-673,-104,16837,-0.36738,2.5482,130.83
-680,-107,16839,-0.37131,2.5406,130.84
-680,-109,16833,-0.37748,2.5346,130.84
-688,-113,16831,-0.34322,2.5835,130.96
-678,-125,16844,-0.37649,2.5555,130.94
-681,-121,16844,-0.39707,2.5387,130.93
-663,-116,16853,-0.4094,2.5139,130.93
-667,-116,16847,-0.45363,2.4571,130.83
-664,-126,16835,-0.4498,2.4627,130.85
-658,-134,16839,-0.49155,2.4187,130.77
-670,-129,16836,-0.51372,2.4013,130.71
-671,-141,16835,-0.53388,2.3938,130.66
-665,-147,16832,-0.55044,2.388,130.62
-655,-150,16838,-0.56264,2.3808,130.59
-659,-151,16839,-0.57052,2.3809,130.56
-661,-145,16838,-0.57059,2.3845,130.54
-665,-141,16839,-0.56653,2.3916,130.52
-683,-137,16817,-0.55976,2.4119,130.51
-688,-147,16815,-0.52668,2.4741,130.59
-693,-143,16821,-0.50518,2.5177,130.65
-683,-131,16824,-0.4426,2.5858,130.81
-679,-130,16832,-0.40585,2.6197,130.93
-681,-124,16823,-0.38209,2.6372,131.03
-692,-129,16798,-0.3744,2.6515,131.11
-707,-136,16800,-0.37758,2.6687,131.18
-709,-145,16811,-0.39132,2.6779,131.24
-701,-145,16805,-0.4056,2.674,131.29
-687,-142,16794,-0.41732,2.6565,131.33
-691,-144,16802,-0.42787,2.6452,131.36
-694,-134,16790,-0.43222,2.6353,131.39
-698,-143,16768,-0.44376,2.6296,131.42
-696,-142,16772,-0.45314,2.6223,131.44
-692,-133,16768,-0.45482,2.6126,131.46
-673,-130,16760,-0.49718,2.5435,131.36
-661,-121,16769,-0.51655,2.4901,131.29
-656,-116,16778,-0.5203,2.4516,131.24
-654,-106,16765,-0.51147,2.4254,131.2
-664,-105,16766,-0.53808,2.3738,131.07
-671,-105,16767,-0.54905,2.35,130.97
-664,-115,16768,-0.55782,2.3331,130.88
-659,-119,16766,-0.56187,2.323,130.81
-655,-112,16787,-0.55525,2.3168,130.76
-654,-109,16789,-0.50191,2.3638,130.82
-660,-108,16782,-0.50658,2.3509,130.76
-663,-121,16790,-0.47485,2.3947,130.82
-660,-140,16769,-0.47083,2.4199,130.87
-655,-149,16774,-0.47753,2.432,130.9
-651,-137,16787,-0.476,2.4358,130.92
-641,-132,16789,-0.47286,2.4293,130.95
-645,-128,16777,-0.46875,2.4275,130.96
-655,-139,16765,-0.47488,2.4324,130.98
-665,-136,16773,-0.47835,2.4423,130.99
-673,-134,16761,-0.48065,2.4552,131
-677,-136,16759,-0.5248,2.4191,130.9
-666,-134,16764,-0.51367,2.4342,130.92
-669,-131,16773,-0.50577,2.4461,130.93
-678,-122,16779,-0.53017,2.4185,130.84
-687,-122,16774,-0.54272,2.4113,130.77
-682,-115,16768,-0.50507,2.4498,130.81
-674,-136,16759,-0.49533,2.4694,130.84
-671,-142,16769,-0.49455,2.4793,130.86
-668,-129,16787,-0.48589,2.4825,130.88
