x,y,z,roll,pitch,yaw
776,206,17066,0.81623,-2.3072,-93.75
776,200,17075,0.80852,-2.3187,-93.748
769,207,17086,0.80049,-2.2485,-93.781
756,212,17084,0.79933,-2.2019,-93.807
760,205,17080,0.79916,-2.2506,-93.791
756,194,17080,0.78532,-2.2042,-93.816
755,170,17076,0.75792,-2.179,-93.835
755,168,17070,0.74045,-2.2378,-93.816
749,176,17080,0.73174,-2.2677,-93.801
747,176,17080,0.72452,-2.2834,-93.789
752,167,17060,0.71227,-2.2964,-93.779
761,163,17061,0.69966,-2.3101,-93.772
754,167,17068,0.69268,-2.313,-93.765
760,163,17075,0.68453,-2.3214,-93.758
764,198,17087,0.70324,-2.3285,-93.753
769,201,17073,0.71974,-2.3332,-93.75
772,191,17057,0.72547,-2.3368,-93.747
774,201,17055,0.73716,-2.3417,-93.745
776,200,17065,0.74544,-2.3454,-93.743
771,205,17057,0.75701,-2.3441,-93.742
772,211,17050,0.77048,-2.344,-93.741
767,215,17040,0.784,-2.3403,-93.74
769,207,17031,0.7889,-2.3395,-93.738
765,201,17044,0.7886,-2.337,-93.735
762,207,17067,0.79246,-2.3323,-93.731
756,206,17061,0.7949,-2.3249,-93.727
758,209,17061,0.79872,-2.3185,-93.725
758,204,17079,0.79799,-2.3137,-93.722
749,203,17082,0.79704,-2.3084,-93.718
747,209,17087,0.80007,-2.2985,-93.715
744,212,17082,0.80442,-2.2873,-93.714
749,210,17088,0.80644,-2.2837,-93.711
753,206,17080,0.80523,-2.2843,-93.708
758,210,17099,0.80731,-2.2904,-93.704
750,211,17081,0.80973,-2.2885,-93.701
748,216,17080,0.81526,-2.2857,-93.698
758,220,17073,0.82223,-2.2881,-93.696
769,218,17069,0.8277,-2.2974,-93.694
775,211,17073,0.8253,-2.3071,-93.693
783,221,17083,0.83046,-2.3184,-93.693
781,227,17080,0.83336,-2.2522,-93.73
773,221,17067,0.83252,-2.2095,-93.759
776,215,17087,0.82838,-2.19,-93.782
779,211,17087,0.82263,-2.1823,-93.803
778,204,17105,0.81312,-2.178,-93.821
770,198,17103,0.80617,-2.2406,-93.805
768,194,17100,0.79711,-2.2747,-93.794
767,194,17080,0.78976,-2.2947,-93.786
764,187,17076,0.77872,-2.3043,-93.78
767,187,17086,0.76987,-2.3117,-93.776
774,194,17085,0.76645,-2.3211,-93.772
782,194,17071,0.76376,-2.3327,-93.77
779,195,17052,0.76239,-2.3382,-93.768
785,203,17066,0.76833,-2.3467,-93.766
797,211,17076,0.77914,-2.3647,-93.763
790,210,17084,0.78664,-2.3699,-93.762
797,213,17083,0.79316,-2.3781,-93.763
805,218,17075,0.80332,-2.389,-93.764
800,220,17082,0.81253,-2.3918,-93.766
797,215,17083,0.81609,-2.3914,-93.768
800,223,17082,0.8241,-2.3887,-93.772
795,218,17078,0.82691,-2.3838,-93.777
790,216,17076,0.82776,-2.3776,-93.782
818,226,17077,0.83568,-2.3944,-93.784
816,219,17083,0.83658,-2.4032,-93.788
812,211,17082,0.83176,-2.409,-93.791
813,210,17080,0.82724,-2.4136,-93.794
808,217,17092,0.82302,-2.3408,-93.833
809,214,17113,0.82399,-2.3701,-93.828
797,215,17116,0.82475,-2.3774,-93.828
791,218,17105,0.82752,-2.3779,-93.829
771,212,17092,0.82547,-2.3642,-93.829
768,217,17082,0.82919,-2.354,-93.828
765,229,17074,0.84097,-2.3458,-93.827
764,225,17061,0.8475,-2.3401,-93.825
759,224,17056,0.85199,-2.3345,-93.822
759,222,17043,0.85277,-2.3297,-93.819
768,222,17056,0.85363,-2.3355,-93.815
765,215,17072,0.84866,-2.333,-93.812
756,209,17098,0.84022,-2.324,-93.809
759,214,17114,0.83717,-2.3201,-93.805
764,202,17114,0.82615,-2.3195,-93.801
765,195,17130,0.81233,-2.3192,-93.797
773,185,17132,0.79461,-2.3276,-93.792
781,184,17137,0.77953,-2.3351,-93.788
785,186,17132,0.77389,-2.4187,-93.748
785,184,17119,0.76277,-2.3956,-93.752
789,187,17106,0.75662,-2.3853,-93.755
783,184,17104,0.74979,-2.375,-93.756
774,189,17105,0.7476,-2.3577,-93.758
772,198,17114,0.75286,-2.3485,-93.758
775,208,17120,0.76447,-2.3466,-93.757
765,209,17105,0.77386,-2.3351,-93.757
761,206,17069,0.77948,-2.3263,-93.757
758,210,17071,0.7868,-2.3186,-93.754
754,206,17079,0.7897,-2.3104,-93.753
752,201,17073,0.78848,-2.3039,-93.75
759,205,17077,0.79101,-2.3094,-93.745
763,213,17071,0.79285,-2.2376,-93.778
730,207,17058,0.7912,-2.173,-93.804
727,208,17067,0.79155,-2.1334,-93.823
732,204,17088,0.78789,-2.1137,-93.838
736,202,17085,0.78393,-2.106,-93.85
736,196,17092,0.77628,-2.0997,-93.862
740,198,17079,0.77199,-2.1002,-93.874
747,193,17080,0.76652,-2.1066,-93.884
737,187,17069,0.75797,-2.1061,-93.895
758,189,17068,0.75313,-2.1245,-93.904
760,188,17073,0.75373,-2.2142,-93.877
762,199,17064,0.7607,-2.2638,-93.862
765,200,17069,0.76679,-2.2994,-93.85
770,205,17046,0.77492,-2.323,-93.842
771,211,17055,0.78525,-2.337,-93.836
765,206,17044,0.78956,-2.341,-93.83
766,204,17035,0.79149,-2.3439,-93.825
774,203,17032,0.79224,-2.351,-93.82
776,196,17034,0.78756,-2.3564,-93.814
771,194,17040,0.78232,-2.3554,-93.809
773,189,17051,0.77449,-2.357,-93.804
770,189,17054,0.76829,-2.3554,-93.799
776,195,17056,0.76244,-2.2871,-93.83
772,211,17069,0.77043,-2.2448,-93.854
782,210,17057,0.78216,-2.3026,-93.838
783,219,17071,0.7967,-2.3337,-93.83
774,223,17065,0.8121,-2.3441,-93.824
775,215,17061,0.81832,-2.3505,-93.821
779,215,17045,0.82318,-2.3576,-93.817
776,215,17047,0.82692,-2.3592,-93.815
772,219,17047,0.83181,-2.3494,-93.818
782,219,17051,0.83572,-2.3506,-93.819
780,224,17072,0.8422,-2.3493,-93.821
779,216,17063,0.84186,-2.3511,-93.819
785,218,17061,0.84303,-2.3564,-93.817
782,228,17066,0.84961,-2.3572,-93.817
774,234,17081,0.85346,-2.2796,-93.851
801,239,17081,0.86136,-2.2545,-93.878
808,231,17095,0.86729,-2.3177,-93.866
807,216,17093,0.86035,-2.3545,-93.86
808,209,17103,0.84386,-2.3053,-93.892
808,217,17103,0.8376,-2.2781,-93.919
812,217,17108,0.83352,-2.2693,-93.941
803,211,17102,0.8263,-2.2596,-93.961
806,203,17091,0.8206,-2.3318,-93.943
779,198,17094,0.81195,-2.3579,-93.93
764,189,17082,0.79808,-2.3595,-93.921
755,196,17081,0.79224,-2.3535,-93.913
745,195,17074,0.78703,-2.3436,-93.905
755,184,17082,0.775,-2.344,-93.896
755,187,17073,0.76778,-2.3439,-93.888
772,187,17090,0.76195,-2.3549,-93.88
775,189,17093,0.75807,-2.3598,-93.875
777,192,17088,0.75717,-2.3641,-93.871
782,189,17077,0.75431,-2.3703,-93.868
782,195,17067,0.75641,-2.3743,-93.866
