ax,ay,az,gx,gy,gz,mx,my,mz
1063,245,16660,0.001067,0.003735,-0.002134,-13,9,-51
1066,240,16666,0.001067,0.003735,-0.002134,-13,9,-51
1076,244,16668,0.001067,0.003735,-0.002134,-13,9,-51
1074,249,16674,0.001067,0.003735,-0.002134,-13,9,-51
1067,246,16665,0.001067,0.003735,-0.002134,-13,9,-51
1076,252,16633,0.001067,0.003735,-0.002134,-13,9,-51
1079,253,16654,0.000534,0.003735,-0.001601,-13,9,-51
1075,257,16653,0.000534,0.003735,-0.001601,-12,9,-51
1070,267,16643,0.000534,0.003735,-0.001601,-13,9,-51
1062,272,16634,0.000534,0.004268,-0.001601,-12,8,-51
1052,270,16630,0.001067,0.003735,-0.001601,-12,9,-51
1026,269,16630,0.001067,0.003735,-0.001601,-13,8,-51
1040,277,16643,0.001067,0.003735,-0.001601,-13,8,-51
1036,270,16645,0.001067,0.003735,-0.001601,-13,9,-51
1044,274,16604,0.001067,0.003735,-0.002134,-13,9,-51
1042,274,16609,0.001067,0.003735,-0.002134,-13,9,-51
1043,258,16616,0.001067,0.003735,-0.002134,-13,9,-51
1048,254,16620,0.001067,0.003735,-0.002134,-13,9,-51
1052,252,16629,0.001067,0.003735,-0.002134,-13,9,-51
1078,257,16631,0.001067,0.003735,-0.002134,-13,9,-51
1067,246,16619,0.001067,0.003735,-0.002134,-13,9,-51
1064,253,16616,0.001067,0.003735,-0.002134,-13,8,-50
1064,251,16636,0.001067,0.003735,-0.002134,-13,8,-51
1076,257,16627,0.001067,0.003735,-0.002134,-13,8,-51
1077,268,16622,0.001067,0.004268,-0.002134,-13,8,-51
1074,264,16614,0.001067,0.004268,-0.002134,-13,8,-51
1064,263,16608,0.001601,0.003735,-0.002134,-13,8,-50
1061,264,16613,0.001067,0.003735,-0.002134,-13,8,-50
1068,271,16619,0.001067,0.003735,-0.002134,-12,8,-50
1065,274,16632,0.001067,0.003735,-0.002134,-12,8,-50
1059,278,16640,0.001067,0.003735,-0.001601,-12,8,-50
1057,273,16659,0.001067,0.003735,-0.001601,-12,8,-51
1059,263,16655,0.001067,0.003735,-0.001601,-12,8,-51
1062,266,16652,0.001067,0.003735,-0.001601,-12,8,-50
1067,262,16650,0.001067,0.003735,-0.001601,-12,8,-50
1069,256,16651,0.001067,0.003735,-0.001601,-12,8,-50
1067,253,16663,0.001067,0.003735,-0.002134,-13,8,-50
1067,250,16660,0.001067,0.003735,-0.002134,-13,8,-50
1075,245,16660,0.000534,0.003735,-0.002134,-13,8,-50
1077,241,16652,0.000534,0.003735,-0.002134,-13,8,-50
1071,249,16655,0.000534,0.003735,-0.002134,-13,8,-50
1063,249,16646,0.000534,0.003735,-0.002134,-13,8,-50
1073,259,16647,0.000534,0.003735,-0.002134,-13,8,-50
1073,268,16644,0.000534,0.003201,-0.002134,-13,8,-50
1068,270,16646,0.001067,0.003735,-0.002134,-13,8,-50
1075,268,16628,0.001067,0.003735,-0.002134,-13,8,-51
1066,272,16616,0.001067,0.003735,-0.002134,-13,8,-51
1063,268,16610,0.001067,0.003735,-0.002134,-13,8,-51
1070,268,16598,0.001067,0.003735,-0.002134,-14,8,-51
1073,266,16604,0.001067,0.003735,-0.002134,-14,8,-51
1068,264,16609,0.001067,0.003735,-0.001601,-14,8,-51
1066,261,16614,0.001067,0.003735,-0.001601,-14,9,-51
1066,260,16589,0.001067,0.003735,-0.001601,-14,8,-52
1063,260,16603,0.001067,0.003735,-0.001601,-13,8,-51
1060,263,16598,0.001067,0.003735,-0.001601,-13,8,-51
1048,263,16609,0.001067,0.003735,-0.001601,-13,8,-51
1041,267,16603,0.001067,0.003735,-0.001601,-13,8,-52
1047,262,16617,0.001067,0.003735,-0.002134,-13,8,-51
1040,258,16618,0.001067,0.003735,-0.002134,-13,7,-51
1040,252,16610,0.001067,0.003735,-0.002134,-13,7,-51
1046,249,16606,0.001067,0.003735,-0.002134,-13,7,-51
1045,251,16597,0.001067,0.003735,-0.002134,-13,7,-51
1050,247,16600,0.000534,0.003735,-0.001601,-13,7,-51
1062,252,16598,0.000534,0.003735,-0.001601,-14,7,-51
1059,247,16611,0.000534,0.003735,-0.001601,-14,8,-51
1061,246,16604,0.000534,0.003735,-0.001601,-14,8,-51
1067,243,16606,0.000534,0.003735,-0.001601,-14,8,-51
1069,248,16617,0.000534,0.003735,-0.001601,-13,8,-51
1064,250,16631,0.000534,0.003735,-0.001601,-13,8,-51
1058,244,16636,0.000534,0.003735,-0.001601,-13,8,-51
1056,249,16641,0.000534,0.003735,-0.001601,-14,8,-50
1046,242,16641,0.000534,0.003735,-0.001601,-13,9,-50
1049,244,16652,0.000534,0.003735,-0.001601,-13,9,-51
1042,246,16640,0.001067,0.003735,-0.001601,-13,9,-50
1047,256,16642,0.001067,0.003735,-0.001601,-13,9,-50
1040,255,16629,0.001067,0.003735,-0.001601,-13,9,-50
1040,257,16618,0.001067,0.003735,-0.002134,-14,9,-51
1049,262,16624,0.001067,0.003735,-0.002134,-13,9,-51
1055,262,16634,0.001067,0.003735,-0.001601,-13,9,-51
1062,267,16633,0.001067,0.003735,-0.002134,-13,9,-50
1066,274,16631,0.001067,0.003735,-0.002134,-13,9,-50
1069,281,16636,0.001067,0.003735,-0.001601,-13,8,-50
1064,276,16621,0.001067,0.003735,-0.002134,-13,8,-50
1075,276,16629,0.001067,0.003735,-0.002134,-13,8,-50
1079,271,16642,0.001067,0.003735,-0.002134,-13,8,-50
1078,269,16625,0.001067,0.003735,-0.002134,-13,8,-50
1075,271,16615,0.000534,0.003201,-0.002134,-13,8,-51
1077,268,16621,0.000534,0.003735,-0.002134,-14,8,-51
1073,288,16624,0.000534,0.003735,-0.002134,-14,9,-51
1066,278,16630,0.000534,0.003735,-0.002134,-14,8,-52
1062,286,16643,0.000534,0.003735,-0.001601,-14,8,-52
1064,256,16643,0.000534,0.003201,-0.001601,-14,8,-52
1059,256,16637,0.000534,0.003201,-0.001601,-14,8,-52
1062,254,16633,0.000534,0.003201,-0.002134,-13,9,-52
1065,251,16634,0.000534,0.003735,-0.002134,-13,8,-51
1058,258,16621,0.000534,0.003735,-0.002134,-13,8,-51
1055,226,16626,0.001067,0.003735,-0.002134,-13,8,-50
1053,238,16621,0.001067,0.003735,-0.002134,-13,8,-50
1050,232,16607,0.000534,0.003735,-0.002134,-12,8,-50
1044,257,16608,0.000534,0.003735,-0.002134,-12,8,-50
1056,262,16589,0.000534,0.003735,-0.002134,-13,8,-50
1048,269,16609,0.000534,0.003735,-0.002134,-13,8,-50
1043,264,16601,0.000534,0.003201,-0.002134,-13,9,-50
1043,261,16607,0.000534,0.003201,-0.001601,-13,9,-51
1047,263,16608,0.000534,0.003201,-0.002134,-13,9,-51
1064,261,16610,0.000534,0.003735,-0.002134,-13,9,-51
1072,265,16622,0.001067,0.003735,-0.002134,-13,9,-51
1074,263,16632,0.001067,0.003735,-0.002134,-13,9,-51
1069,268,16647,0.001067,0.003735,-0.002134,-13,9,-51
1068,264,16650,0.001067,0.003735,-0.002134,-13,9,-51
1067,267,16666,0.001067,0.003735,-0.002134,-14,9,-51
1069,266,16667,0.001067,0.004268,-0.002134,-14,9,-51
1067,269,16651,0.001067,0.003735,-0.002134,-13,9,-51
