x,y,z,roll,pitch,yaw
680,-40,17186,0.046964,-2.1966,-151.68
678,-35,17188,0.049184,-2.1782,-151.67
672,-32,17188,0.051122,-2.1585,-151.66
668,-36,17198,0.087394,-2.1606,-151.62
667,-34,17182,0.10937,-2.1562,-151.58
669,-30,17173,0.12556,-2.1529,-151.55
690,-39,17185,0.1274,-2.1627,-151.52
682,-41,17199,0.054422,-2.1245,-151.55
690,-46,17210,0.006877,-2.1071,-151.57
700,-44,17184,-0.020715,-2.1058,-151.59
702,-50,17189,-0.003921,-2.1295,-151.57
697,-53,17180,-0.036031,-2.1211,-151.59
692,-63,17189,-0.024654,-2.1346,-151.57
689,-60,17182,-0.017315,-2.1412,-151.55
693,-50,17186,-0.043718,-2.1276,-151.57
693,-51,17166,-0.061465,-2.1203,-151.58
686,-40,17154,0.007033,-2.1502,-151.53
688,-53,17171,0.037892,-2.1671,-151.5
681,-40,17151,0.063678,-2.1715,-151.47
689,-29,17152,0.048048,-2.1565,-151.47
702,-28,17172,-0.030068,-2.1179,-151.53
702,-36,17183,-0.01124,-2.1335,-151.52
705,-32,17171,-0.067024,-2.1087,-151.57
702,-58,17182,-0.11849,-2.0911,-151.61
706,-67,17190,-0.15485,-2.0856,-151.64
705,-54,17187,-0.16557,-2.0852,-151.67
705,-58,17192,-0.17324,-2.0867,-151.69
707,-65,17207,-0.1825,-2.0898,-151.71
707,-72,17197,-0.19092,-2.0947,-151.73
707,-65,17204,-0.19028,-2.0995,-151.75
697,-65,17218,-0.15093,-2.1167,-151.73
707,-43,17208,-0.11113,-2.1339,-151.72
711,-38,17201,-0.082702,-2.147,-151.72
716,-40,17195,-0.06627,-2.1586,-151.71
721,-39,17184,-0.055381,-2.1702,-151.71
712,-47,17172,-0.054507,-2.1736,-151.71
716,-36,17170,-0.046101,-2.1791,-151.72
717,-42,17160,-0.044954,-2.1838,-151.72
724,-42,17165,-0.044187,-2.1923,-151.72
720,-35,17180,-0.04027,-2.1955,-151.72
712,-36,17182,-0.038287,-2.192,-151.73
712,-36,17174,-0.036489,-2.1896,-151.73
713,-36,17176,-0.034887,-2.1885,-151.73
727,-31,17179,-0.029909,-2.1977,-151.74
717,-36,17176,-0.030453,-2.1973,-151.74
718,-35,17182,-0.02973,-2.1977,-151.74
716,-38,17173,-0.031047,-2.1956,-151.75
719,-38,17173,0.039662,-2.2348,-151.69
721,-39,17181,0.077791,-2.2574,-151.65
714,-45,17197,0.094243,-2.2646,-151.62
710,-39,17216,0.10803,-2.2649,-151.59
706,-43,17208,0.072204,-2.2385,-151.6
715,-45,17204,0.050192,-2.2285,-151.59
710,-40,17202,0.037809,-2.2179,-151.59
708,-36,17198,0.032783,-2.2092,-151.59
713,-49,17191,0.020205,-2.2066,-151.58
723,-49,17170,0.012876,-2.2138,-151.58
724,-42,17162,0.011839,-2.2202,-151.57
734,-51,17159,0.003629,-2.232,-151.56
730,-55,17164,-0.006067,-2.2395,-151.56
725,-50,17173,-0.010004,-2.2415,-151.55
735,-52,17160,-0.014811,-2.2491,-151.54
739,-51,17174,-0.01829,-2.2586,-151.54
731,-43,17169,0.021875,-2.2811,-151.5
731,-42,17176,0.045171,-2.2935,-151.47
735,-39,17175,0.059725,-2.3029,-151.45
725,-33,17163,0.071127,-2.3011,-151.43
720,-29,17159,0.078229,-2.2936,-151.41
720,-33,17153,0.077639,-2.2869,-151.4
719,-32,17169,0.039322,-2.2593,-151.41
714,-38,17158,0.012265,-2.2384,-151.43
722,-38,17163,-0.07313,-2.1933,-151.49
719,-30,17151,-0.11524,-2.1663,-151.54
709,-35,17148,-0.14238,-2.1432,-151.58
719,-38,17153,-0.15773,-2.1365,-151.61
724,-26,17145,-0.15474,-2.1384,-151.64
726,-22,17144,-0.14717,-2.1427,-151.67
723,-37,17140,-0.15161,-2.1458,-151.7
738,-36,17153,-0.11383,-2.1805,-151.7
737,-39,17148,-0.092972,-2.2035,-151.7
732,-46,17162,-0.085223,-2.214,-151.7
730,-44,17170,-0.009535,-2.2582,-151.65
723,-46,17163,0.034212,-2.2793,-151.61
723,-57,17173,-0.018613,-2.2523,-151.63
721,-54,17170,-0.048242,-2.2349,-151.65
719,-40,17172,-0.055584,-2.223,-151.66
703,-40,17172,-0.058711,-2.2035,-151.67
701,-45,17183,-0.062328,-2.1864,-151.68
699,-43,17173,-0.061595,-2.1745,-151.69
707,-38,17171,-0.056217,-2.1716,-151.69
703,-42,17180,-0.054832,-2.1669,-151.7
699,-43,17185,-0.091651,-2.1404,-151.73
700,-39,17205,-0.10885,-2.1243,-151.76
697,-42,17189,-0.11916,-2.113,-151.78
696,-49,17181,-0.12836,-2.1057,-151.8
689,-43,17174,-0.12799,-2.097,-151.82
694,-45,17194,-0.12703,-2.0942,-151.84
693,-45,17191,-0.12478,-2.0923,-151.85
695,-33,17184,-0.043861,-2.1293,-151.81
699,-35,17165,0.041034,-2.1746,-151.75
700,-42,17153,0.086441,-2.2029,-151.7
706,-39,17152,0.043296,-2.1837,-151.71
713,-30,17147,0.023426,-2.1793,-151.73
718,-24,17155,0.015706,-2.1811,-151.74
707,-25,17139,0.010498,-2.1745,-151.74
707,-32,17135,0.001581,-2.1704,-151.75
699,-33,17119,-0.005814,-2.162,-151.76
693,-31,17138,-0.008262,-2.1516,-151.76
686,-40,17135,-0.015352,-2.1393,-151.76
680,-39,17154,-0.018314,-2.1257,-151.77
682,-37,17155,-0.017868,-2.1172,-151.77
675,-41,17152,-0.018385,-2.1059,-151.77
678,-35,17153,-0.013686,-2.0996,-151.77
675,-37,17149,0.057887,-2.1308,-151.71
682,-42,17174,0.095647,-2.1513,-151.67
688,-34,17168,0.12157,-2.1667,-151.63
689,-19,17143,0.14554,-2.1763,-151.6
689,-19,17128,0.15821,-2.1809,-151.57
678,-18,17135,0.16466,-2.174,-151.55
675,-22,17138,0.1646,-2.166,-151.52
677,-26,17150,0.089907,-2.1218,-151.56
674,-25,17151,0.047487,-2.0925,-151.58
678,-30,17159,0.019152,-2.0768,-151.59
681,-42,17160,-0.043933,-2.0494,-151.64
686,-49,17159,-0.085975,-2.0382,-151.67
696,-48,17145,-0.11114,-2.0408,-151.7
703,-48,17130,-0.12577,-2.0512,-151.72
707,-48,17123,-0.13412,-2.064,-151.74
710,-45,17123,-0.13642,-2.0774,-151.76
721,-45,17137,-0.13695,-2.096,-151.78
719,-35,17130,-0.12834,-2.1104,-151.8
717,-20,17127,-0.11099,-2.1202,-151.81
710,-24,17150,-0.063431,-2.142,-151.8
699,-20,17177,0.038662,-2.1847,-151.74
701,-29,17193,0.091108,-2.2073,-151.69
702,-26,17217,0.12305,-2.2188,-151.65
703,-29,17203,0.13829,-2.2261,-151.62
692,-32,17186,0.14304,-2.2217,-151.59
696,-28,17167,0.14678,-2.2202,-151.57
678,-34,17156,0.14272,-2.2049,-151.54
682,1,17159,0.12623,-2.1746,-151.55
691,-9,17156,0.11047,-2.1597,-151.56
689,-3,17161,0.036012,-2.1111,-151.62
688,-1,17141,-0.005777,-2.0816,-151.66
681,0,17149,-0.027155,-2.0575,-151.7
