x,y,z,roll,pitch,yaw
2358,233,17039,0.95849,-7.6231,-106.1
2327,241,17047,0.95586,-7.6063,-106.09
2314,286,17034,0.98663,-7.5852,-106.09
2280,278,17045,1.0048,-7.5433,-106.08
2270,252,17033,1.0007,-7.5058,-106.07
2266,251,17038,0.99723,-7.4742,-106.06
2268,256,17038,0.99838,-7.4517,-106.05
2270,253,17036,0.99716,-7.4357,-106.04
2270,253,17046,0.99604,-7.422,-106.03
2266,258,17038,0.99878,-7.4089,-106.02
2268,249,17046,0.99423,-7.3989,-106
2298,249,17049,0.99054,-7.4118,-105.99
2313,266,17062,0.99937,-7.4297,-105.99
2291,278,17044,1.0147,-7.428,-105.99
2278,253,17039,1.0085,-7.4175,-105.98
2283,251,17034,0.99775,-7.3971,-106
2277,260,17027,0.99695,-7.3811,-106.02
2276,259,17038,0.99621,-7.3693,-106.04
2281,263,17020,1.0036,-7.3836,-106.02
2275,258,17019,1.005,-7.3881,-106
2276,260,17011,1.0073,-7.3914,-105.99
2313,247,17018,0.98252,-7.362,-106.08
2316,268,17024,0.99773,-7.4069,-106.05
2300,265,17027,0.99414,-7.3855,-106.1
2296,266,17046,1.0097,-7.4257,-106.05
2287,267,17044,1.0161,-7.4276,-106.03
2284,260,17050,1.0156,-7.4248,-106.02
2301,266,17038,1.0194,-7.4349,-106.01
2294,267,17048,1.0226,-7.4352,-106
2288,270,17042,1.027,-7.431,-106
2288,273,17043,1.0326,-7.4271,-105.99
2286,292,17063,1.0503,-7.4203,-105.99
2288,280,17045,1.0557,-7.4178,-105.99
2310,268,17032,1.0512,-7.4324,-105.98
2321,270,17024,1.0494,-7.459,-105.97
2315,244,17018,1.0286,-7.4734,-105.95
2318,245,17019,1.0126,-7.4855,-105.95
2317,241,17021,0.99683,-7.493,-105.94
2312,253,17028,0.99103,-7.4863,-105.95
2320,246,17021,0.98167,-7.4887,-105.95
2331,251,17007,0.97826,-7.5004,-105.96
2321,250,17003,0.97486,-7.5026,-105.96
2326,250,17005,0.97228,-7.5082,-105.96
2331,287,17014,0.97822,-7.4506,-106.08
2325,288,17011,0.99242,-7.4319,-106.14
2311,303,17010,1.0163,-7.4138,-106.2
2317,301,17012,1.0351,-7.409,-106.24
2321,299,17000,1.0448,-7.3963,-106.31
2309,300,16999,1.057,-7.3922,-106.35
2314,305,17001,1.0713,-7.396,-106.38
2308,304,17005,1.0824,-7.397,-106.42
2290,297,17011,1.0867,-7.3868,-106.44
2293,291,17006,1.0817,-7.3673,-106.49
2296,275,17000,1.0678,-7.3603,-106.53
2327,268,16986,1.0548,-7.3826,-106.56
2332,293,16990,1.0681,-7.422,-106.56
2333,300,17000,1.0994,-7.5071,-106.47
2334,292,17008,1.0975,-7.5035,-106.5
2331,291,17003,1.1127,-7.5584,-106.42
2336,299,17007,1.1437,-7.6521,-106.28
2338,300,17008,1.1469,-7.6497,-106.25
2349,311,17014,1.177,-7.7271,-106.11
2317,321,17015,1.203,-7.7455,-106
2318,288,17033,1.18,-7.6908,-106
2320,288,17035,1.1585,-7.6366,-106.03
2324,304,17037,1.1546,-7.6023,-106.04
2317,310,17039,1.1569,-7.5736,-106.05
2307,308,17001,1.1393,-7.4849,-106.16
2309,309,16992,1.1317,-7.4416,-106.24
2301,294,17000,1.1124,-7.3934,-106.32
2315,291,17000,1.1048,-7.3938,-106.36
2319,291,16993,1.1167,-7.4582,-106.3
2321,289,16987,1.1219,-7.5012,-106.25
2306,290,16980,1.1249,-7.5182,-106.22
2311,280,16975,1.1189,-7.5329,-106.19
2334,273,16991,1.1079,-7.556,-106.17
2340,270,16991,1.1124,-7.6326,-106.05
2344,278,16985,1.1014,-7.624,-106.06
2336,271,16994,1.1043,-7.6693,-105.97
2330,274,16987,1.1075,-7.698,-105.88
2322,277,17006,1.1075,-7.6955,-105.83
2322,268,17002,1.0996,-7.6875,-105.78
2324,274,17023,1.0907,-7.6607,-105.76
2321,271,17039,1.0694,-7.5952,-105.81
2320,278,17049,1.0555,-7.5345,-105.88
2324,284,17045,1.0545,-7.5085,-105.92
2337,280,17025,1.0524,-7.5042,-105.95
2338,279,17025,1.0509,-7.5044,-105.97
2337,281,17025,1.0518,-7.506,-105.99
2340,278,17033,1.0507,-7.5105,-106.01
2346,274,17020,1.0305,-7.4639,-106.11
2344,284,17005,1.026,-7.442,-106.2
2343,289,17014,1.0286,-7.4327,-106.27
2336,289,17031,1.0513,-7.4905,-106.23
2310,293,17047,1.0676,-7.5001,-106.21
2299,293,17052,1.0814,-7.5043,-106.18
2310,285,17038,1.09,-7.5294,-106.13
2313,279,17030,1.0878,-7.5298,-106.11
2310,292,17033,1.0951,-7.5263,-106.1
2307,281,17035,1.0891,-7.5123,-106.11
2300,282,17025,1.0856,-7.4985,-106.11
2293,270,17005,1.0761,-7.4856,-106.1
2294,267,17006,1.0667,-7.4754,-106.1
2303,275,17014,1.0652,-7.4736,-106.1
2303,283,17013,1.0698,-7.4722,-106.1
2304,291,17023,1.0776,-7.4705,-106.1
2298,278,17021,1.0756,-7.465,-106.09
2304,285,17016,1.0793,-7.4655,-106.09
2310,286,17016,1.0833,-7.4777,-106.08
2303,293,17021,1.0909,-7.4798,-106.07
2302,289,17031,1.0935,-7.4784,-106.06
