x,y,z
-14.04,-20.273,2.7333
-25.04,-4.2733,3.7333
-26.04,-7.2733,-8.2667
-27.04,-6.2733,-25.267
-25.04,-14.273,-4.2667
-37.04,-13.273,8.7333
-29.04,-4.2733,8.7333
-20.04,-2.2733,-6.2667
-29.04,5.7267,13.733
-23.04,-1.2733,20.733
-24.04,-1.2733,26.733
-20.04,-6.2733,31.733
-10.04,-3.2733,15.733
2.96,-6.2733,14.733
-2.04,-8.2733,19.733
-1.04,-11.273,32.733
8.96,-11.273,28.733
0.96,-12.273,23.733
8.96,-7.2733,28.733
8.96,-5.2733,20.733
-0.04,3.7267,6.7333
-6.04,2.7267,-7.2667
-8.04,8.7267,1.7333
-4.04,16.727,-13.267
-6.04,11.727,-13.267
-5.04,11.727,-3.2667
-13.04,11.727,-1.2667
-8.04,11.727,-6.2667
-4.04,4.7267,-0.26667
0.96,8.7267,2.7333
3.96,-4.2733,-0.26667
-1.04,-16.273,5.7333
-3.04,-18.273,-1.2667
5.96,-20.273,-25.267
16.96,-24.273,-26.267
13.96,-23.273,-13.267
7.96,-18.273,-31.267
5.96,-21.273,-20.267
7.96,-11.273,-31.267
11.96,-2.2733,-31.267
4.96,1.7267,-36.267
4.96,9.7267,-32.267
5.96,12.727,-41.267
1.96,16.727,-48.267
6.96,16.727,-22.267
12.96,23.727,-22.267
17.96,20.727,-22.267
11.96,12.727,-32.267
22.96,12.727,-19.267
22.96,10.727,-1.2667
23.96,16.727,7.7333
24.96,3.7267,6.7333
27.96,7.7267,-2.2667
27.96,4.7267,-5.2667
22.96,3.7267,-3.2667
23.96,1.7267,0.73333
14.96,3.7267,-9.2667
6.96,-6.2733,-23.267
1.96,-17.273,-33.267
-2.04,-14.273,-23.267
-13.04,-20.273,-25.267
-13.04,-24.273,-13.267
-15.04,-17.273,-2.2667
-13.04,-12.273,9.7333
-9.04,-18.273,21.733
-4.04,-11.273,20.733
-14.04,-4.2733,27.733
-10.04,-1.2733,22.733
-7.04,-6.2733,21.733
0.96,-9.2733,9.7333
-8.04,-24.273,11.733
-3.04,-22.273,10.733
-5.04,-22.273,0.73333
-7.04,-27.273,7.7333
1.96,-28.273,18.733
-2.04,-26.273,19.733
4.96,-14.273,34.733
1.96,-14.273,33.733
6.96,-7.2733,11.733
-2.04,-8.2733,1.7333
2.96,-12.273,-13.267
13.96,-7.2733,-16.267
6.96,-8.2733,-18.267
5.96,-11.273,-19.267
4.96,-20.273,-16.267
0.96,-9.2733,-16.267
7.96,-14.273,8.7333
5.96,-14.273,9.7333
1.96,-1.2733,16.733
-3.04,1.7267,17.733
-0.04,6.7267,5.7333
10.96,12.727,0.73333
-2.04,18.727,-5.2667
-2.04,16.727,-1.2667
-3.04,21.727,-7.2667
-3.04,25.727,-1.2667
7.96,17.727,16.733
0.96,11.727,6.7333
-0.04,9.7267,-0.26667
-6.04,13.727,8.7333
-3.04,11.727,-16.267
-2.04,12.727,-15.267
0.96,14.727,-19.267
0.96,7.7267,-38.267
-5.04,5.7267,-34.267
-0.04,7.7267,-27.267
-0.04,7.7267,-19.267
0.96,1.7267,-2.2667
6.96,5.7267,15.733
-2.04,-4.2733,13.733
-12.04,-12.273,15.733
-3.04,-8.2733,28.733
-6.04,-1.2733,24.733
-8.04,2.7267,23.733
-13.04,3.7267,25.733
-13.04,4.7267,9.7333
-14.04,-7.2733,10.733
-7.04,-5.2733,15.733
-1.04,11.727,-22.267
-2.04,15.727,-14.267
3.96,21.727,-22.267
5.96,15.727,-12.267
7.96,14.727,-11.267
9.96,17.727,-18.267
16.96,27.727,-10.267
11.96,32.727,-8.2667
17.96,21.727,28.733
19.96,17.727,27.733
12.96,11.727,24.733
8.96,14.727,24.733
14.96,10.727,28.733
21.96,8.7267,37.733
12.96,0.72667,32.733
12.96,0.72667,19.733
7.96,-0.27333,23.733
4.96,-2.2733,25.733
4.96,-2.2733,14.733
