x,y,z,roll,pitch,yaw
595,125,17128,0.50152,-1.9571,-119.65
598,129,17131,0.50824,-1.9535,-119.64
602,120,17119,0.50573,-1.9516,-119.64
613,120,17120,0.48586,-1.927,-119.66
622,110,17140,0.48454,-1.9512,-119.66
609,95,17146,0.47074,-1.9572,-119.65
620,88,17157,0.45626,-1.9719,-119.65
614,101,17168,0.47144,-2.0091,-119.64
618,90,17154,0.46997,-2.0317,-119.62
620,93,17146,0.46887,-2.0473,-119.61
611,93,17149,0.46782,-2.0525,-119.6
594,93,17157,0.46489,-2.0405,-119.6
586,106,17133,0.47423,-2.0296,-119.59
584,109,17135,0.48235,-2.0175,-119.58
576,113,17125,0.49188,-2.0029,-119.57
571,105,17125,0.49529,-1.9907,-119.56
573,117,17132,0.50694,-1.9832,-119.55
564,117,17130,0.51436,-1.9679,-119.54
575,113,17122,0.50007,-1.9337,-119.54
587,119,17121,0.49672,-1.9218,-119.54
590,112,17117,0.49021,-1.9168,-119.55
594,116,17117,0.48873,-1.9171,-119.55
603,119,17131,0.48972,-1.9235,-119.55
609,124,17110,0.49369,-1.9339,-119.55
606,121,17106,0.4937,-1.9383,-119.55
608,120,17108,0.49269,-1.9427,-119.55
603,134,17122,0.503,-1.9439,-119.55
601,134,17130,0.51053,-1.9423,-119.55
603,134,17133,0.51626,-1.9421,-119.56
609,125,17132,0.51409,-1.946,-119.56
597,125,17125,0.51224,-1.9389,-119.56
600,133,17123,0.51722,-1.9367,-119.56
596,135,17130,0.54024,-1.9632,-119.54
597,127,17128,0.53238,-1.949,-119.55
591,131,17127,0.5307,-1.9363,-119.55
593,126,17120,0.52696,-1.93,-119.55
590,131,17118,0.52705,-1.922,-119.55
586,137,17089,0.5323,-1.9148,-119.55
589,138,17086,0.53752,-1.9121,-119.55
592,127,17089,0.53365,-1.9121,-119.55
603,130,17080,0.51487,-1.8891,-119.57
599,142,17074,0.53026,-1.9056,-119.57
604,137,17072,0.53667,-1.9185,-119.57
601,139,17055,0.51017,-1.8692,-119.59
612,141,17043,0.49565,-1.8496,-119.62
612,136,17075,0.48354,-1.8388,-119.64
620,136,17065,0.47774,-1.8402,-119.65
615,140,17071,0.49387,-1.8683,-119.66
596,125,17070,0.47468,-1.8405,-119.68
607,119,17082,0.49049,-1.8883,-119.67
610,117,17064,0.49671,-1.9198,-119.66
612,120,17079,0.50199,-1.9424,-119.66
613,120,17094,0.52165,-1.9894,-119.64
615,129,17088,0.51907,-1.9856,-119.64
605,128,17108,0.51667,-1.9772,-119.64
