x,y,z,roll,pitch,yaw
610,112,16966,0.51118,-2.0344,-118.87
614,106,16989,0.51089,-2.0481,-118.86
617,111,16980,0.51287,-2.0585,-118.85
615,113,16992,0.51455,-2.064,-118.84
628,122,17004,0.5202,-2.0736,-118.83
625,119,17012,0.5212,-2.0765,-118.83
626,117,17023,0.51998,-2.0783,-118.82
631,122,17026,0.52233,-2.0827,-118.82
629,115,17018,0.51852,-2.0838,-118.81
613,108,17006,0.5104,-2.0731,-118.81
618,101,17012,0.49983,-2.07,-118.8
623,100,17027,0.4912,-2.0715,-118.8
622,101,17049,0.45587,-2.0185,-118.82
616,112,17047,0.426,-1.955,-118.85
625,123,17029,0.436,-1.9546,-118.87
622,121,17041,0.42597,-1.9229,-118.89
611,124,17047,0.42307,-1.8951,-118.92
623,136,17049,0.43268,-1.8878,-118.94
619,148,17073,0.47899,-1.9332,-118.93
618,155,17042,0.51622,-1.9608,-118.93
621,154,17015,0.54116,-1.9786,-118.93
624,137,17018,0.56213,-2.0195,-118.92
608,123,17019,0.56254,-2.0319,-118.91
605,124,16996,0.56239,-2.0376,-118.9
611,115,16992,0.55493,-2.0451,-118.89
603,114,16993,0.54772,-2.0439,-118.88
605,114,16979,0.54344,-2.0471,-118.87
607,100,16978,0.52813,-2.048,-118.86
597,103,16990,0.52127,-2.0437,-118.85
600,120,16970,0.49813,-1.9883,-118.87
601,130,16969,0.49317,-1.9564,-118.89
609,137,16967,0.49755,-1.9429,-118.9
607,156,16962,0.51619,-1.9334,-118.91
610,161,16961,0.53482,-1.929,-118.92
608,150,16962,0.55608,-1.953,-118.92
600,165,16974,0.56452,-1.9315,-118.93
602,162,16956,0.57085,-1.9198,-118.94
601,156,16965,0.57244,-1.9115,-118.95
596,163,16961,0.57977,-1.9033,-118.96
588,157,16968,0.58177,-1.8921,-118.97
592,147,16971,0.57712,-1.8881,-118.98
587,138,16981,0.56765,-1.8825,-118.98
592,152,16981,0.57147,-1.8837,-118.99
591,145,17004,0.56922,-1.8832,-118.99
587,130,17022,0.55679,-1.8802,-119
588,134,17025,0.55088,-1.8802,-119
594,124,17035,0.53935,-1.8864,-119.01
598,122,17052,0.52894,-1.8941,-119.01
600,122,17057,0.52076,-1.9014,-119.01
602,126,17061,0.51717,-1.9084,-119.02
588,121,17048,0.51058,-1.9037,-119.02
597,126,17035,0.50988,-1.9068,-119.02
594,140,17028,0.5195,-1.9071,-119.03
598,140,17022,0.52686,-1.9099,-119.03
599,134,17020,0.52943,-1.9124,-119.04
596,137,17000,0.56261,-1.9655,-119.01
603,139,16998,0.58523,-2.0017,-118.99
610,135,16979,0.59586,-2.0276,-118.98
616,124,16985,0.60916,-2.076,-118.95
615,117,16980,0.59204,-2.0722,-118.94
620,108,16965,0.54361,-2.0218,-118.97
621,102,16969,0.50796,-1.995,-118.98
620,106,16957,0.51617,-2.0338,-118.97
613,97,16958,0.48309,-1.9992,-118.98
602,97,16968,0.46171,-1.9736,-118.99
598,105,16968,0.48294,-2.0094,-118.97
604,117,16975,0.50393,-2.0335,-118.95
608,119,16974,0.51853,-2.0493,-118.94
609,123,16988,0.53048,-2.0577,-118.93
601,128,16993,0.54187,-2.0555,-118.92
605,136,17012,0.55577,-2.0548,-118.91
607,139,17018,0.56784,-2.0538,-118.9
610,132,17021,0.57141,-2.0522,-118.89
617,129,17043,0.57155,-2.0548,-118.88
601,125,17027,0.55398,-2.0209,-118.89
600,126,17023,0.57454,-2.0528,-118.86
599,134,17025,0.59225,-2.0692,-118.84
601,131,17030,0.59964,-2.0781,-118.82
599,128,17013,0.57277,-2.0281,-118.83
602,131,17000,0.55917,-2.0008,-118.84
603,138,16975,0.55655,-1.9859,-118.84
600,132,16973,0.56437,-1.9985,-118.83
608,130,16977,0.56734,-2.011,-118.82
611,131,16992,0.56892,-2.02,-118.81
619,119,16990,0.5604,-2.031,-118.8
