ax,ay,az,gx,gy,gz,mx,my,mz
1043,263,16578,0.054421,0.3612,-0.11418,50,37,-23
1043,259,16567,0.054421,0.3612,-0.11418,50,37,-23
1037,293,16577,0.054421,0.3612,-0.11418,50,37,-23
1043,295,16594,0.054421,0.3612,-0.11418,50,37,-23
1046,299,16612,0.054421,0.3612,-0.11418,50,37,-23
1048,300,16620,0.054421,0.3612,-0.11418,49,37,-24
1055,290,16655,0.054421,0.3612,-0.11418,50,37,-24
1063,281,16682,0.054421,0.3612,-0.11418,50,37,-24
1053,277,16688,0.054421,0.3612,-0.11418,50,37,-23
1059,271,16698,0.054421,0.3612,-0.11418,50,37,-24
1063,239,16685,0.054421,0.3612,-0.11418,50,37,-24
1063,238,16664,0.054421,0.3612,-0.11418,50,37,-24
1054,227,16657,0.054421,0.3612,-0.11418,50,37,-24
1052,229,16631,0.054421,0.3612,-0.11418,50,37,-24
1044,228,16629,0.054421,0.3612,-0.11418,50,37,-24
1039,225,16607,0.054421,0.3612,-0.11418,50,36,-24
1045,221,16618,0.054421,0.36067,-0.11418,50,36,-24
1044,221,16617,0.054421,0.36067,-0.11418,50,37,-24
1043,223,16615,0.054421,0.3612,-0.11418,50,37,-24
1046,226,16627,0.054421,0.3612,-0.11418,50,37,-24
1044,202,16629,0.054421,0.3612,-0.11418,49,37,-24
1044,199,16645,0.054421,0.3612,-0.11418,50,37,-23
1051,201,16644,0.054421,0.3612,-0.11418,49,37,-23
1052,216,16649,0.054421,0.3612,-0.11418,49,37,-23
1051,223,16654,0.054421,0.3612,-0.11418,49,37,-23
1055,219,16640,0.054421,0.3612,-0.11418,49,37,-23
1053,215,16643,0.053887,0.3612,-0.11418,49,37,-23
1054,221,16640,0.053887,0.3612,-0.11418,49,36,-23
1056,253,16633,0.054421,0.3612,-0.11418,49,37,-23
1060,250,16640,0.054421,0.3612,-0.11418,49,37,-23
1056,261,16646,0.054421,0.3612,-0.11418,50,37,-23
1058,253,16634,0.054421,0.36067,-0.11418,49,36,-23
1064,257,16615,0.054421,0.36067,-0.11418,50,36,-23
1052,260,16644,0.054421,0.36067,-0.11418,49,36,-23
1051,255,16644,0.054421,0.36067,-0.11364,50,37,-22
1043,247,16651,0.054421,0.36067,-0.11364,50,37,-22
1046,242,16648,0.054421,0.36067,-0.11418,50,36,-22
1044,254,16636,0.054421,0.3612,-0.11418,50,36,-23
1073,254,16631,0.054421,0.3612,-0.11418,49,36,-23
1069,259,16617,0.054421,0.3612,-0.11364,50,36,-23
1066,257,16609,0.054421,0.3612,-0.11364,49,37,-23
1075,251,16588,0.054421,0.3612,-0.11364,49,37,-23
1081,261,16605,0.054421,0.3612,-0.11364,50,37,-23
1083,237,16604,0.054421,0.3612,-0.11418,50,37,-24
1081,240,16617,0.054421,0.3612,-0.11418,49,37,-23
1089,236,16620,0.054421,0.3612,-0.11418,49,37,-23
1060,224,16610,0.054421,0.36067,-0.11418,49,37,-23
1061,214,16624,0.054421,0.3612,-0.11418,50,37,-23
1062,208,16622,0.054421,0.3612,-0.11418,50,37,-23
1061,208,16620,0.054421,0.36067,-0.11418,50,37,-23
1063,196,16595,0.054421,0.36067,-0.11418,50,37,-23
1061,224,16585,0.054421,0.36067,-0.11418,50,36,-23
1066,225,16584,0.054421,0.36067,-0.11418,50,36,-24
1053,222,16582,0.053887,0.36067,-0.11418,50,36,-24
1057,227,16577,0.054421,0.3612,-0.11418,50,36,-24
1064,223,16594,0.054421,0.3612,-0.11418,50,36,-24
1063,224,16593,0.054421,0.3612,-0.11418,50,36,-24
1065,228,16614,0.054421,0.3612,-0.11418,50,36,-24
1063,241,16639,0.054421,0.3612,-0.11418,50,37,-24
1061,244,16646,0.054421,0.3612,-0.11418,50,37,-23
1057,241,16635,0.054421,0.3612,-0.11418,50,37,-23
1053,245,16681,0.054421,0.36067,-0.11418,50,37,-23
1051,248,16694,0.054421,0.36014,-0.11418,50,37,-23
1047,255,16677,0.054421,0.3596,-0.11418,50,37,-23
1039,263,16693,0.054421,0.35907,-0.11364,49,37,-23
