x,y,z,roll,pitch,yaw
476.56,-46.875,16008,-0.066,-2,-1.121
476.56,-46.875,16008,-0.066,-2,-1.121
578.13,-15.625,15992,-0.066,-2,-1.121
578.13,-15.625,15992,-0.066,-2,-1.121
578.13,-15.625,15992,-0.066,-2,-1.121
523.44,0,16133,-0.066,-2,-1.121
523.44,0,16133,-0.066,-2,-1.121
523.44,0,16133,-0.066,-2,-1.121
523.44,0,16133,-0.066,-2,-1.121
554.69,-93.75,15953,-0.066,-2,-1.121
554.69,-93.75,15953,-0.066,-2,-1.121
554.69,-93.75,15953,-0.066,-2,-1.121
554.69,-15.625,15953,-0.066,-2,-1.121
554.69,-15.625,15953,-0.066,-2,-1.121
554.69,-15.625,15953,-0.066,-2,-1.121
617.19,0,15977,-0.066,-2,-1.121
617.19,0,15977,-0.066,-2,-1.121
617.19,0,15977,-0.066,-2,-1.121
593.75,-31.25,16031,-0.066,-2,-1.121
593.75,-31.25,16031,-0.066,-2,-1.121
593.75,-31.25,16031,-0.066,-2,-1.121
539.06,23.438,16008,-0.066,-2,-1.121
539.06,23.438,16008,-0.066,-2,-1.121
539.06,23.438,16008,-0.066,-2,-1.121
601.56,-39.063,16000,-0.066,-2,-1.121
601.56,-39.063,16000,-0.066,-2,-1.121
601.56,-39.063,16000,-0.066,-2,-1.121
601.56,-39.063,16000,-0.066,-2,-1.121
546.88,-7.8125,16039,-0.066,-2,-1.121
546.88,-7.8125,16039,-0.066,-2,-1.121
546.88,-7.8125,16039,-0.066,-2,-1.121
601.56,0,15992,-0.066,-2,-1.121
601.56,0,15992,-0.066,-2,-1.121
601.56,0,15992,-0.066,-2,-1.121
531.25,-15.625,16039,-0.066,-2,-1.121
531.25,-15.625,16039,-0.066,-2,-1.121
531.25,-15.625,16039,-0.066,-2,-1.121
609.38,7.8125,16000,-0.066,-2,-1.121
609.38,7.8125,16000,-0.066,-2,-1.121
609.38,7.8125,16000,-0.071,-2,-1.121
554.69,-62.5,16016,-0.071,-2,-1.121
554.69,-62.5,16016,-0.071,-2,-1.121
554.69,-62.5,16016,-0.066,-2,-1.121
554.69,-62.5,16016,-0.066,-2,-1.121
570.31,15.625,15992,-0.066,-2,-1.121
570.31,15.625,15992,-0.066,-2,-1.121
570.31,15.625,15992,-0.066,-2,-1.121
570.31,0,16023,-0.066,-2,-1.121
570.31,0,16023,-0.066,-2,-1.121
570.31,0,16023,-0.066,-2,-1.121
570.31,-15.625,16023,-0.066,-2,-1.121
570.31,-15.625,16023,-0.066,-2,-1.121
570.31,-15.625,16023,-0.066,-2,-1.121
523.44,0,16023,-0.066,-2,-1.121
523.44,0,16023,-0.066,-2,-1.121
523.44,0,16023,-0.06,-2,-1.121
539.06,-39.063,15992,-0.06,-2,-1.121
539.06,-39.063,15992,-0.06,-2,-1.121
539.06,-39.063,15992,-0.066,-2,-1.121
554.69,0,16023,-0.066,-2,-1.121
554.69,0,16023,-0.066,-2,-1.121
554.69,0,16023,-0.066,-2,-1.121
554.69,0,16023,-0.066,-2,-1.121
539.06,-15.625,15992,-0.066,-2,-1.121
539.06,-15.625,15992,-0.066,-2,-1.121
539.06,-15.625,15992,-0.066,-2,-1.121
515.63,-62.5,16031,-0.066,-2,-1.121
515.63,-62.5,16031,-0.066,-2,-1.121
515.63,-62.5,16031,-0.066,-2,-1.121
570.31,7.8125,16023,-0.066,-2,-1.121
570.31,7.8125,16023,-0.071,-1.994,-1.121
570.31,7.8125,16023,-0.071,-1.994,-1.121
523.44,-23.438,15992,-0.071,-1.994,-1.121
523.44,-23.438,15992,-0.071,-1.994,-1.121
523.44,-23.438,15992,-0.066,-1.994,-1.121
570.31,-7.8125,15992,-0.066,-1.994,-1.121
570.31,-7.8125,15992,-0.066,-1.994,-1.121
570.31,-7.8125,15992,-0.066,-1.994,-1.121
570.31,-46.875,16039,-0.066,-1.994,-1.121
570.31,-46.875,16039,-0.066,-1.994,-1.121
570.31,-46.875,16039,-0.066,-1.994,-1.121
570.31,-46.875,16039,-0.066,-1.994,-1.121
562.5,-54.688,15969,-0.066,-1.994,-1.121
562.5,-54.688,15969,-0.066,-1.994,-1.121
562.5,-54.688,15969,-0.066,-1.994,-1.121
578.13,-39.063,16016,-0.066,-1.994,-1.121
578.13,-39.063,16016,-0.066,-1.994,-1.121
578.13,-39.063,16016,-0.066,-1.994,-1.121
