x,y,z,roll,pitch,yaw
581,134,16990,0.60102,-1.9936,-118.75
580,135,16978,0.60861,-2.0025,-118.74
575,127,16988,0.60705,-2.0026,-118.72
580,132,16979,0.60902,-2.0056,-118.71
576,135,16970,0.58289,-1.9503,-118.72
579,135,16973,0.56941,-1.9218,-118.73
572,135,16989,0.5618,-1.8995,-118.74
560,129,16977,0.55257,-1.8756,-118.75
565,135,16981,0.55203,-1.8648,-118.75
563,137,16992,0.55396,-1.8563,-118.75
574,141,16992,0.55755,-1.8588,-118.75
573,137,16993,0.55719,-1.8596,-118.76
579,138,16995,0.5588,-1.8666,-118.75
579,137,16997,0.58635,-1.9225,-118.73
573,134,17001,0.59952,-1.9501,-118.71
584,131,17011,0.60423,-1.9731,-118.69
576,110,17006,0.59013,-1.9807,-118.67
582,114,17003,0.58138,-1.9899,-118.66
577,117,17007,0.57722,-1.9917,-118.64
579,116,17014,0.57268,-1.9934,-118.63
581,111,17005,0.56505,-1.9955,-118.62
577,107,17019,0.55573,-1.9932,-118.6
587,109,17005,0.54997,-1.9991,-118.59
586,117,17000,0.55058,-2.0017,-118.58
585,129,17006,0.55906,-2.0017,-118.57
570,118,17003,0.52789,-1.936,-118.58
575,109,17002,0.50379,-1.8992,-118.6
564,119,17005,0.52513,-1.9235,-118.57
571,123,17007,0.53985,-1.941,-118.56
573,129,17002,0.55322,-1.9516,-118.54
573,129,17000,0.56181,-1.9563,-118.53
570,123,17002,0.56296,-1.9556,-118.52
584,127,17007,0.53727,-1.9121,-118.53
594,134,17017,0.556,-1.9476,-118.52
592,134,17011,0.53778,-1.9133,-118.53
598,127,17004,0.52355,-1.9,-118.55
589,130,17009,0.51656,-1.8867,-118.56
593,121,17006,0.50767,-1.8822,-118.56
585,118,17010,0.4995,-1.8747,-118.57
590,119,17001,0.49504,-1.8747,-118.58
578,118,16988,0.5187,-1.921,-118.55
563,113,16983,0.52845,-1.9367,-118.53
561,121,16983,0.51061,-1.8895,-118.55
556,128,16988,0.53533,-1.9112,-118.53
553,119,16975,0.54361,-1.9178,-118.51
548,123,16980,0.55154,-1.9165,-118.49
551,120,16980,0.55475,-1.9162,-118.48
552,124,16979,0.56099,-1.9154,-118.47
552,127,16985,0.5673,-1.9133,-118.46
559,131,16990,0.57453,-1.9155,-118.44
561,127,16998,0.57632,-1.9168,-118.43
571,119,16999,0.5713,-1.9239,-118.42
573,130,17027,0.57571,-1.931,-118.41
567,130,17021,0.54897,-1.8765,-118.43
568,131,17032,0.53454,-1.845,-118.44
571,133,17058,0.52685,-1.8262,-118.45
580,133,17075,0.52287,-1.8201,-118.46
582,129,17070,0.50175,-1.7912,-118.49
580,126,17075,0.50411,-1.805,-118.49
571,138,17075,0.51367,-1.8076,-118.49
568,138,17059,0.51974,-1.8052,-118.5
573,143,17060,0.52828,-1.8072,-118.51
566,153,17056,0.54196,-1.8033,-118.51
561,154,17044,0.55346,-1.7969,-118.52
560,146,17031,0.55698,-1.7919,-118.52
562,144,17030,0.55875,-1.7902,-118.53
557,141,17011,0.55832,-1.7863,-118.53
559,127,17011,0.54831,-1.7855,-118.54
564,114,17013,0.56036,-1.8434,-118.51
568,116,16997,0.56571,-1.8814,-118.49
563,113,16987,0.56405,-1.9007,-118.48
573,105,16978,0.55501,-1.9196,-118.46
577,112,16981,0.55144,-1.9343,-118.45
