x,y,z,roll,pitch,yaw
-28.32,-48.828,996.09,-2812.5,1768.8,25027
-28.32,-48.828,996.09,-2812.5,1768.8,25027
-32.715,-48.828,997.56,-2812.5,1768.8,25027
-32.715,-48.828,997.56,-2812.5,1768.8,25027
-32.715,-48.828,997.56,-2812.5,1774.3,25027
-31.25,-48.34,998.05,-2812.5,1774.3,25027
-31.25,-48.34,998.05,-2812.5,1774.3,25027
-31.25,-48.34,998.05,-2812.5,1768.8,25027
-31.25,-48.34,998.05,-2812.5,1768.8,25027
-34.18,-48.34,1000.5,-2812.5,1768.8,25027
-34.18,-48.34,1000.5,-2818,1768.8,25027
-34.18,-48.34,1000.5,-2818,1768.8,25027
-34.668,-48.34,998.05,-2818,1768.8,25027
-34.668,-48.34,998.05,-2818,1768.8,25027
-34.668,-48.34,998.05,-2818,1768.8,25027
-33.203,-48.34,994.63,-2818,1768.8,25027
-33.203,-48.34,994.63,-2818,1768.8,25027
-33.203,-48.34,994.63,-2818,1768.8,25027
-33.203,-48.34,998.53,-2818,1768.8,25027
-33.203,-48.34,998.53,-2818,1768.8,25027
-33.203,-48.34,998.53,-2818,1768.8,25027
-29.297,-48.34,996.09,-2818,1768.8,25027
-29.297,-48.34,996.09,-2818,1768.8,25027
-29.297,-48.34,996.09,-2812.5,1768.8,25027
-29.297,-48.34,996.09,-2812.5,1768.8,25027
-31.738,-48.828,995.12,-2812.5,1768.8,25027
-31.738,-48.828,995.12,-2812.5,1768.8,25027
-31.738,-48.828,995.12,-2812.5,1768.8,25027
-28.809,-48.34,996.58,-2812.5,1768.8,25027
-28.809,-48.34,996.58,-2818,1768.8,25027
-28.809,-48.34,996.58,-2818,1768.8,25027
-30.762,-47.852,997.07,-2818,1768.8,25027
-30.762,-47.852,997.07,-2818,1768.8,25027
-30.762,-47.852,997.07,-2812.5,1768.8,25027
-32.715,-48.828,998.53,-2812.5,1768.8,25027
-32.715,-48.828,998.53,-2812.5,1768.8,25027
-32.715,-48.828,998.53,-2812.5,1768.8,25027
-32.715,-48.828,998.53,-2812.5,1768.8,25027
-30.273,-47.852,997.07,-2812.5,1768.8,25027
-30.273,-47.852,997.07,-2812.5,1768.8,25027
-30.273,-47.852,997.07,-2812.5,1768.8,25027
-34.668,-48.34,998.05,-2812.5,1768.8,25027
-34.668,-48.34,998.05,-2818,1763.3,25027
-34.668,-48.34,998.05,-2818,1763.3,25027
-33.691,-48.34,999.02,-2818,1763.3,25027
-33.691,-48.34,999.02,-2818,1763.3,25027
-33.691,-48.34,999.02,-2818,1763.3,25027
-32.715,-49.316,997.07,-2818,1763.3,25027
-32.715,-49.316,997.07,-2818,1763.3,25027
-32.715,-49.316,997.07,-2818,1757.8,25027
-35.156,-48.828,997.56,-2818,1757.8,25027
-35.156,-48.828,997.56,-2818,1757.8,25027
-35.156,-48.828,997.56,-2818,1757.8,25027
-35.156,-48.828,997.56,-2818,1757.8,25027
-30.762,-48.34,995.12,-2818,1757.8,25027
-30.762,-48.34,995.12,-2818,1757.8,25027
-30.762,-48.34,995.12,-2818,1757.8,25027
-31.25,-47.852,994.63,-2818,1757.8,25027
-31.25,-47.852,994.63,-2812.5,1757.8,25027
-31.25,-47.852,994.63,-2812.5,1757.8,25027
-30.273,-49.316,994.14,-2812.5,1757.8,25027
-30.273,-49.316,994.14,-2812.5,1757.8,25027
-30.273,-49.316,994.14,-2818,1763.3,25027
-28.809,-48.828,996.58,-2818,1763.3,25027
-28.809,-48.828,996.58,-2818,1763.3,25027
-28.809,-48.828,996.58,-2818,1763.3,25027
-28.809,-48.828,996.58,-2818,1763.3,25027
-30.762,-48.34,1000,-2818,1763.3,25027
-30.762,-48.34,1000,-2818,1768.8,25027
-30.762,-48.34,1000,-2818,1768.8,25027
-30.762,-49.316,995.61,-2818,1768.8,25027
-30.762,-49.316,995.61,-2818,1768.8,25027
-30.762,-49.316,995.61,-2818,1768.8,25027
-29.297,-48.828,997.07,-2818,1768.8,25027
-29.297,-48.828,997.07,-2818,1774.3,25027
-29.297,-48.828,997.07,-2818,1774.3,25027
-32.715,-47.852,999.51,-2818,1774.3,25027
-32.715,-47.852,999.51,-2818,1774.3,25027
-32.715,-47.852,999.51,-2818,1774.3,25027
-31.738,-48.34,999.02,-2818,1774.3,25027
-31.738,-48.34,999.02,-2818,1774.3,25027
-31.738,-48.34,999.02,-2818,1774.3,25027
-31.738,-48.34,999.02,-2818,1774.3,25027
-33.691,-49.316,1000.5,-2818,1774.3,25027
-33.691,-49.316,1000.5,-2818,1779.8,25027
-33.691,-49.316,1000.5,-2818,1779.8,25027
-35.156,-48.34,999.02,-2818,1779.8,25027
-35.156,-48.34,999.02,-2818,1774.3,25027
-35.156,-48.34,999.02,-2818,1774.3,25027
-32.227,-48.828,995.61,-2818,1774.3,25027
-32.227,-48.828,995.61,-2818,1774.3,25027
-32.227,-48.828,995.61,-2818,1774.3,25027
-33.691,-48.828,998.05,-2818,1774.3,25027
-33.691,-48.828,998.05,-2818,1774.3,25027
-33.691,-48.828,998.05,-2818,1774.3,25027
-33.691,-48.828,998.05,-2818,1774.3,25027
-28.809,-48.34,996.09,-2818,1774.3,25027
-28.809,-48.34,996.09,-2823.5,1774.3,25027
-28.809,-48.34,996.09,-2823.5,1774.3,25027
-31.25,-48.34,995.12,-2823.5,1774.3,25027
-31.25,-48.34,995.12,-2823.5,1768.8,25027
-31.25,-48.34,995.12,-2823.5,1768.8,25027
-30.273,-48.34,994.63,-2823.5,1768.8,25027
-30.273,-48.34,994.63,-2818,1768.8,25027
-30.273,-48.34,994.63,-2818,1768.8,25027
-29.297,-48.828,995.61,-2818,1768.8,25027
-29.297,-48.828,995.61,-2818,1768.8,25027
-29.297,-48.828,995.61,-2818,1768.8,25027
-34.18,-48.34,1000.5,-2818,1768.8,25027
-34.18,-48.34,1000.5,-2818,1768.8,25027
-34.18,-48.34,1000.5,-2823.5,1774.3,25027
-34.18,-48.34,1000.5,-2823.5,1774.3,25027
-31.738,-48.34,997.07,-2823.5,1774.3,25027
-31.738,-48.34,997.07,-2823.5,1774.3,25027
-31.738,-48.34,997.07,-2823.5,1774.3,25027
-35.156,-49.316,997.07,-2823.5,1774.3,25027
-35.156,-49.316,997.07,-2818,1774.3,25027
-35.156,-49.316,997.07,-2818,1774.3,25027
-33.691,-47.852,1001,-2818,1774.3,25027
-33.691,-47.852,1001,-2818,1779.8,25027
-33.691,-47.852,1001,-2818,1779.8,25027
-32.227,-48.34,999.02,-2818,1779.8,25027
-32.227,-48.34,999.02,-2818,1779.8,25027
-32.227,-48.34,999.02,-2818,1779.8,25027
-33.691,-48.34,997.07,-2818,1779.8,25027
-33.691,-48.34,997.07,-2818,1779.8,25027
-33.691,-48.34,997.07,-2818,1779.8,25027
