x,y,z,roll,pitch,yaw
-195.31,-835.94,15898,-2.747,0.758,-49.125
-312.5,-812.5,15906,-2.741,0.758,-49.125
-148.44,-742.19,15930,-2.741,0.753,-49.125
-171.88,-726.56,16070,-2.736,0.753,-49.125
-195.31,-781.25,15918,-2.7385,0.753,-49.125
-218.75,-835.94,15766,-2.741,0.753,-49.125
-226.56,-781.25,15664,-2.747,0.758,-49.125
-187.5,-804.69,15930,-2.741,0.753,-49.125
-226.56,-742.19,16117,-2.741,0.753,-49.125
-179.69,-781.25,16117,-2.736,0.758,-49.125
-164.06,-750,16117,-2.736,0.753,-49.125
-203.13,-757.81,15977,-2.741,0.753,-49.125
-101.56,-835.94,15805,-2.747,0.753,-49.125
-312.5,-796.88,15891,-2.747,0.758,-49.125
-320.31,-695.31,15930,-2.741,0.758,-49.125
-132.81,-726.56,16055,-2.741,0.753,-49.125
-140.63,-726.56,16188,-2.741,0.753,-49.125
-54.688,-765.63,16023,-2.741,0.753,-49.125
-250,-750,16141,-2.741,0.753,-49.125
-367.19,-757.81,15961,-2.747,0.758,-49.125
-312.5,-796.88,15836,-2.747,0.758,5.625
-39.063,-734.38,15945,-2.736,0.753,-49.125
-171.88,-679.69,16266,-2.736,0.753,-49.125
-257.81,-773.44,16188,-2.741,0.753,-49.125
-250,-804.69,15914,-2.741,0.753,-49.125
-273.44,-804.69,15711,-2.747,0.753,-49.125
-187.5,-765.63,15688,-2.747,0.753,-49.125
-187.5,-750,16242,-2.741,0.753,-49.125
-265.63,-703.13,16195,-2.741,0.753,-49.125
-195.31,-789.06,16031,-2.741,0.753,-49.125
-171.88,-734.38,16094,-2.747,0.753,-49.125
-179.69,-804.69,15828,-2.747,0.753,-49.125
-210.94,-765.63,15984,-2.747,0.753,-49.125
-320.31,-765.63,16063,-2.747,0.753,-49.125
-132.81,-757.81,15984,-2.741,0.753,-49.125
-179.69,-695.31,16039,-2.741,0.753,-49.125
-253.91,-746.09,16059,-2.744,0.753,-49.125
-328.13,-796.88,16078,-2.747,0.753,-49.125
-304.69,-859.38,15844,-2.747,0.758,-49.125
-265.63,-742.19,15883,-2.747,0.753,-49.125
-117.19,-695.31,16156,-2.741,0.753,-49.125
-156.25,-734.38,16180,-2.736,0.753,-49.125
-242.19,-734.38,16211,-2.741,0.758,-49.125
-343.75,-820.31,16047,-2.747,0.758,-49.125
-210.94,-835.94,15813,-2.747,0.758,-49.125
-242.19,-796.88,15773,-2.747,0.753,-49.125
-132.81,-742.19,16039,-2.741,0.753,-49.125
-312.5,-687.5,16156,-2.736,0.753,-49.125
-179.69,-742.19,16188,-2.736,0.753,-49.125
-179.69,-835.94,16031,-2.741,0.753,-49.125
-195.31,-812.5,15867,-2.741,0.753,-49.125
-54.688,-796.88,15641,-2.747,0.753,-49.125
-156.25,-804.69,15836,-2.744,0.753,-49.125
-257.81,-812.5,16031,-2.741,0.753,-49.125
-148.44,-742.19,15977,-2.741,0.753,-49.125
-148.44,-710.94,16117,-2.741,0.753,-49.125
-93.75,-773.44,15961,-2.741,0.753,-49.125
-210.94,-796.88,16016,-2.747,0.753,-49.125
-273.44,-867.19,16047,-2.747,0.758,-49.125
-234.38,-804.69,15797,-2.747,0.758,-49.125
-164.06,-765.63,15938,-2.741,0.753,-49.125
-132.81,-750,16047,-2.741,0.753,-49.125
-242.19,-687.5,16227,-2.741,0.753,-49.125
-296.88,-773.44,16125,-2.741,0.753,-49.125
-265.63,-820.31,15758,-2.747,0.753,-49.125
-234.38,-796.88,15813,-2.747,0.753,-49.125
-156.25,-789.06,15742,-2.747,0.753,-49.125
-226.56,-718.75,16102,-2.747,0.753,-49.125
-242.19,-750,16203,-2.741,0.753,-49.125
-218.75,-750,16117,-2.744,0.753,-49.125
-195.31,-750,16031,-2.747,0.753,-49.125
-132.81,-789.06,15633,-2.747,0.753,-49.125
-234.38,-796.88,15844,-2.747,0.753,-49.125
-281.25,-734.38,16164,-2.747,0.753,-49.125
-171.88,-742.19,16063,-2.747,0.753,-49.125
-226.56,-703.13,16133,-2.747,0.753,-49.125
-125,-734.38,15977,-2.747,0.753,-49.125
-296.88,-750,15969,-2.747,0.753,-49.125
-296.88,-835.94,16063,-2.752,0.753,-49.125
-406.25,-789.06,15898,-2.747,0.758,-49.125
-234.38,-773.44,15805,-2.747,0.753,-49.125
-156.25,-765.63,16023,-2.747,0.753,-49.125
-257.81,-757.81,16102,-2.747,0.753,-49.125
-281.25,-757.81,16086,-2.747,0.753,-49.125
-328.13,-804.69,15977,-2.747,0.758,-49.125
-226.56,-757.81,15781,-2.747,0.753,-49.125
-195.31,-773.44,15930,-2.747,0.753,-49.125
-164.06,-789.06,16078,-2.747,0.753,-49.125
-203.13,-750,16094,-2.747,0.753,-49.125
-250,-789.06,16117,-2.747,0.753,-49.125
-218.75,-750,16055,-2.747,0.753,-49.125
-203.13,-726.56,15773,-2.752,0.753,-49.125
-203.13,-773.44,15859,-2.747,0.753,-49.125
-234.38,-703.13,16016,-2.747,0.753,-49.125
-203.13,-781.25,16156,-2.741,0.758,-49.125
-156.25,-789.06,16031,-2.747,0.758,-49.125
-156.25,-742.19,16008,-2.747,0.753,-49.125
-148.44,-843.75,15727,-2.747,0.753,-49.125
-296.88,-757.81,15992,-2.752,0.758,-49.125
-273.44,-757.81,16008,-2.747,0.753,-49.125
-164.06,-710.94,15859,-2.741,0.758,-49.125
-109.38,-718.75,16086,-2.741,0.753,-49.125
-125,-742.19,16047,-2.747,0.753,-49.125
-195.31,-765.63,16012,-2.747,0.7555,-49.125
-265.63,-789.06,15977,-2.747,0.758,-49.125
-242.19,-742.19,15820,-2.747,0.758,-49.125
-210.94,-750,15844,-2.747,0.753,-49.125
-164.06,-718.75,16070,-2.741,0.753,-49.125
-164.06,-734.38,16055,-2.741,0.753,-49.125
-250,-742.19,16133,-2.747,0.753,-49.125
-257.81,-796.88,15930,-2.747,0.753,-49.125
-226.56,-781.25,15781,-2.747,0.753,-49.125
-226.56,-750,15805,-2.747,0.753,-49.125
-171.88,-789.06,15914,-2.747,0.753,-49.125
-226.56,-742.19,16234,-2.741,0.753,-49.125
-234.38,-734.38,16117,-2.741,0.753,-49.125
-117.19,-796.88,15906,-2.747,0.747,-49.125
-109.38,-812.5,15836,-2.747,0.747,-49.125
-195.31,-781.25,15922,-2.747,0.753,-49.125
-281.25,-765.63,16094,-2.747,0.753,-49.125
-195.31,-734.38,15992,-2.744,0.75,-49.125
-109.38,-703.13,15891,-2.741,0.747,-49.125
