x,y,z,roll,pitch,yaw
-739,-172,16793,-0.60443,2.6696,130.32
-728,-164,16810,-0.59597,2.6829,130.34
-727,-150,16797,-0.531,2.7484,130.47
-711,-132,16798,-0.47925,2.7736,130.56
-709,-110,16797,-0.4313,2.7816,130.64
-710,-105,16793,-0.39687,2.7808,130.71
-705,-92,16794,-0.36541,2.7706,130.76
-719,-91,16811,-0.34389,2.7678,130.8
-714,-102,16814,-0.33841,2.7579,130.84
-714,-111,16797,-0.34299,2.7482,130.87
-711,-136,16810,-0.3663,2.7364,130.89
-724,-147,16808,-0.44299,2.6781,130.8
-728,-156,16812,-0.44992,2.7047,130.85
-722,-169,16797,-0.46876,2.7172,130.88
-724,-182,16800,-0.54529,2.6677,130.8
-710,-181,16787,-0.59335,2.6307,130.75
-708,-167,16782,-0.61462,2.6076,130.71
-710,-154,16793,-0.61766,2.5953,130.68
-716,-134,16799,-0.55917,2.6432,130.75
-709,-128,16797,-0.46656,2.7228,130.92
-705,-139,16773,-0.51233,2.6572,130.84
-709,-135,16780,-0.53648,2.6187,130.78
-711,-136,16772,-0.50084,2.6542,130.84
-712,-145,16776,-0.486,2.6752,130.9
-717,-160,16778,-0.53923,2.6329,130.82
-719,-169,16763,-0.58003,2.6107,130.77
-711,-177,16741,-0.61481,2.592,130.72
-711,-174,16732,-0.63535,2.5831,130.69
-707,-172,16765,-0.64461,2.5779,130.66
-701,-161,16776,-0.64367,2.5693,130.64
-698,-146,16773,-0.63017,2.5625,130.62
-697,-130,16772,-0.60485,2.5612,130.61
-692,-109,16773,-0.57134,2.5546,130.6
-692,-102,16802,-0.53959,2.5488,130.58
-704,-96,16815,-0.54926,2.5062,130.48
-712,-108,16826,-0.51555,2.5376,130.48
-711,-107,16816,-0.53234,2.5113,130.39
-734,-128,16812,-0.55577,2.5139,130.31
-748,-137,16808,-0.57297,2.5355,130.25
-741,-153,16798,-0.55312,2.5996,130.28
-739,-161,16791,-0.50021,2.6998,130.42
-738,-172,16772,-0.47786,2.7623,130.53
-729,-171,16776,-0.47124,2.7912,130.61
-715,-155,16777,-0.50841,2.7405,130.57
-712,-150,16774,-0.52854,2.705,130.54
-696,-135,16764,-0.48627,2.7202,130.62
-681,-126,16777,-0.49682,2.6623,130.59
-688,-118,16767,-0.49472,2.6276,130.56
-691,-112,16767,-0.48597,2.6073,130.55
-694,-105,16783,-0.47226,2.595,130.53
-707,-120,16777,-0.42224,2.6545,130.63
-723,-137,16803,-0.40708,2.6988,130.71
-722,-142,16821,-0.40544,2.7245,130.76
-721,-159,16824,-0.42125,2.7399,130.81
-728,-176,16816,-0.44926,2.7523,130.85
-721,-178,16824,-0.47477,2.7541,130.88
-719,-192,16826,-0.50656,2.7507,130.91
-714,-193,16824,-0.53462,2.7434,130.94
-706,-173,16830,-0.59261,2.6711,130.85
-704,-147,16807,-0.60943,2.6252,130.79
-718,-136,16796,-0.65157,2.5559,130.65
-718,-129,16814,-0.66652,2.5163,130.53
-713,-121,16822,-0.61251,2.5516,130.56
-724,-126,16831,-0.62637,2.5252,130.46
-735,-124,16836,-0.57958,2.5785,130.49
-746,-138,16827,-0.60526,2.5671,130.39
-746,-150,16832,-0.58026,2.6218,130.42
-735,-168,16825,-0.57849,2.6529,130.44
-731,-174,16821,-0.6329,2.6138,130.35
-734,-168,16795,-0.66225,2.597,130.27
-727,-162,16791,-0.67459,2.5878,130.21
-712,-149,16793,-0.57644,2.6821,130.37
-701,-137,16799,-0.55706,2.6698,130.37
-687,-131,16814,-0.48801,2.7062,130.49
-691,-130,16816,-0.4456,2.7249,130.59
-701,-117,16824,-0.41073,2.7359,130.66
-698,-116,16821,-0.38899,2.7351,130.72
-690,-137,16842,-0.39183,2.7226,130.77
-701,-147,16834,-0.4042,2.7179,130.82
-704,-159,16817,-0.42515,2.7141,130.85
-705,-168,16796,-0.4501,2.7105,130.89
-709,-167,16779,-0.46896,2.711,130.92
-699,-165,16771,-0.48384,2.7024,130.95
-706,-170,16771,-0.50665,2.6924,130.96
-714,-164,16776,-0.51975,2.6907,130.97
-714,-138,16774,-0.51121,2.689,130.98
-736,-145,16784,-0.55414,2.6531,130.89
-737,-124,16814,-0.56396,2.6344,130.82
-737,-120,16835,-0.56319,2.6254,130.77
-743,-111,16842,-0.55196,2.6272,130.72
-765,-115,16843,-0.54485,2.6464,130.68
-761,-121,16843,-0.58347,2.6096,130.55
-752,-130,16848,-0.60939,2.587,130.44
-764,-148,16825,-0.6346,2.5888,130.35
-747,-147,16828,-0.6053,2.6335,130.37
-760,-169,16806,-0.60244,2.6729,130.38
-760,-183,16802,-0.65461,2.6515,130.3
-752,-180,16791,-0.68554,2.64,130.22
-739,-170,16801,-0.6966,2.6281,130.17
-735,-164,16795,-0.69654,2.6212,130.12
-739,-157,16785,-0.6882,2.6244,130.08
-730,-142,16804,-0.66834,2.6223,130.05
-723,-134,16799,-0.64376,2.6177,130.02
-723,-118,16813,-0.61133,2.6168,129.99
-727,-104,16820,-0.57465,2.62,129.97
-739,-115,16836,-0.51133,2.6811,130.04
-746,-127,16820,-0.52095,2.6764,130
-741,-138,16821,-0.48956,2.7246,130.06
-732,-140,16824,-0.47643,2.7443,130.11
-732,-151,16810,-0.47625,2.7577,130.15
-741,-154,16823,-0.52256,2.7215,130.08
-736,-165,16817,-0.56053,2.6974,130.03
-732,-158,16799,-0.58254,2.6797,129.99
-725,-155,16794,-0.54327,2.7248,130.08
