x,y,z,roll,pitch,yaw
-843,165,16749,0.73638,3.3469,141.92
-840,169,16761,0.75524,3.355,141.95
-839,167,16775,0.76563,3.3579,141.97
-827,160,16776,0.76666,3.3498,141.99
-823,160,16778,0.73502,3.3156,141.93
-822,165,16770,0.71999,3.2929,141.88
-819,168,16782,0.71457,3.2758,141.85
-810,163,16781,0.74103,3.2821,141.89
-814,152,16792,0.74936,3.2878,141.93
-810,147,16781,0.67763,3.2317,141.79
-810,153,16778,0.67041,3.2227,141.75
-815,157,16771,0.67057,3.2218,141.73
-783,160,16758,0.67493,3.1996,141.7
-781,145,16772,0.66921,3.1817,141.69
-768,132,16763,0.69773,3.1912,141.77
-782,136,16755,0.68502,3.18,141.76
-784,141,16775,0.67051,3.1656,141.73
-786,139,16773,0.70098,3.1876,141.81
-783,140,16765,0.71889,3.1977,141.87
-792,136,16778,0.72497,3.208,141.91
-824,134,16789,0.72446,3.2363,141.95
-821,151,16778,0.69277,3.2228,141.88
-830,167,16779,0.72613,3.256,141.93
-824,162,16791,0.745,3.272,141.96
-813,159,16766,0.75449,3.2763,141.99
-814,159,16779,0.75969,3.2783,142.01
-816,163,16782,0.77404,3.2865,142.05
-813,168,16752,0.81731,3.3127,142.15
-815,164,16754,0.83862,3.3273,142.24
-818,163,16745,0.84777,3.3361,142.3
-816,155,16743,0.84386,3.3376,142.36
-811,154,16749,0.79248,3.299,142.3
-813,155,16758,0.75963,3.2749,142.25
-808,159,16750,0.74356,3.2575,142.23
-783,151,16756,0.72773,3.226,142.21
-786,137,16775,0.70749,3.2047,142.19
-773,137,16761,0.69376,3.1804,142.19
-768,132,16765,0.68088,3.1603,142.18
-765,137,16764,0.67422,3.1431,142.18
-770,142,16757,0.67345,3.1341,142.18
-784,143,16747,0.67389,3.1379,142.18
-787,144,16761,0.6748,3.1424,142.18
-821,149,16756,0.67897,3.1709,142.18
-821,155,16762,0.68717,3.1924,142.18
-826,158,16768,0.66373,3.1883,142.1
-832,154,16777,0.63939,3.1867,142.02
-831,146,16779,0.66001,3.2199,142.04
-834,142,16780,0.64052,3.223,141.99
-828,138,16779,0.65791,3.2484,142.02
-829,131,16773,0.63173,3.2427,141.97
-823,125,16782,0.64263,3.261,142
-820,132,16781,0.65315,3.2707,142.03
-828,137,16778,0.66097,3.2813,142.04
-828,148,16769,0.64408,3.266,141.99
-830,151,16761,0.63804,3.258,141.94
-821,151,16766,0.66821,3.2718,141.98
-815,154,16774,0.65876,3.2524,141.93
-810,157,16768,0.65763,3.2369,141.9
-806,162,16764,0.66347,3.2242,141.87
-807,161,16758,0.66956,3.217,141.85
-810,158,16757,0.67375,3.215,141.82
-804,152,16747,0.67422,3.2105,141.81
-798,153,16753,0.67656,3.2033,141.79
-799,157,16741,0.6825,3.1997,141.78
-797,157,16736,0.68788,3.1961,141.77
-800,153,16733,0.68977,3.1961,141.77
-802,149,16723,0.68887,3.1984,141.76
-798,154,16721,0.69225,3.1976,141.75
-795,154,16733,0.69532,3.1947,141.75
-795,144,16745,0.69059,3.1923,141.74
-800,138,16741,0.68297,3.1946,141.74
-803,127,16731,0.70053,3.2231,141.81
-807,120,16744,0.70274,3.243,141.87
-811,128,16744,0.7058,3.258,141.92
-816,129,16741,0.70515,3.2707,141.95
-819,122,16744,0.69664,3.282,141.98
-812,119,16732,0.68403,3.2833,142
-816,123,16732,0.64658,3.2637,141.94
-812,131,16740,0.62638,3.2462,141.9
-814,143,16753,0.62563,3.2384,141.87
-818,152,16755,0.63397,3.2369,141.84
-818,147,16760,0.63826,3.2381,141.82
-814,148,16769,0.64359,3.2369,141.81
-816,155,16783,0.65392,3.2363,141.79
-826,167,16788,0.67163,3.2436,141.78
-832,171,16793,0.68842,3.2537,141.77
-846,164,16772,0.72808,3.2967,141.84
-850,159,16770,0.74874,3.3282,141.88
-848,156,16772,0.75794,3.3463,141.92
-841,156,16781,0.73044,3.3285,141.87
-836,162,16768,0.74928,3.3388,141.91
-830,159,16749,0.75837,3.3404,141.94
-821,140,16750,0.74744,3.3331,141.97
-814,138,16738,0.70508,3.2977,141.91
-803,140,16748,0.67919,3.2659,141.87
-798,138,16737,0.66171,3.2411,141.84
-801,129,16727,0.6447,3.2267,141.82
-804,127,16707,0.66374,3.2441,141.88
-812,130,16719,0.67573,3.2607,141.92
-814,129,16711,0.64919,3.2484,141.89
-819,134,16698,0.66564,3.2687,141.93
-828,136,16707,0.67608,3.2864,141.96
-830,147,16712,0.68937,3.2993,141.98
-835,141,16721,0.69284,3.3124,142
-832,157,16734,0.70553,3.3186,142.02
-839,153,16747,0.71085,3.327,142.03
-834,147,16757,0.70939,3.3286,142.03
-841,142,16764,0.70576,3.3356,142.05
-839,139,16786,0.70103,3.338,142.06
-834,134,16779,0.69302,3.336,142.07
-831,122,16784,0.64613,3.309,142
-829,126,16778,0.61914,3.2919,141.95
-830,122,16762,0.59994,3.2835,141.91
-821,134,16757,0.59731,3.2717,141.88
-825,127,16752,0.59265,3.2691,141.85
-823,124,16750,0.58874,3.2671,141.83
-836,130,16741,0.59173,3.2767,141.82
-834,133,16735,0.59713,3.2837,141.8
-843,140,16750,0.60711,3.2957,141.79
-845,145,16743,0.61893,3.3072,141.78
-839,141,16750,0.62531,3.3117,141.77
-844,130,16749,0.62279,3.3195,141.76
-840,127,16754,0.61738,3.3216,141.74
-839,128,16756,0.61513,3.3235,141.73
-831,133,16761,0.61799,3.3197,141.72
-837,136,16776,0.625,3.3225,141.71
-828,126,16763,0.65302,3.3415,141.78
-827,121,16775,0.6668,3.3516,141.84
-836,127,16767,0.67733,3.3628,141.88
-804,126,16772,0.68093,3.3449,141.92
-806,136,16756,0.65756,3.307,141.88
-808,141,16773,0.68944,3.3138,141.94
-807,137,16768,0.70716,3.3141,142
-800,139,16776,0.71655,3.3045,142.03
-801,153,16783,0.69008,3.2646,141.97
-798,156,16784,0.67556,3.2342,141.92
-796,155,16783,0.66844,3.2114,141.88
-827,158,16788,0.67072,3.2204,141.85
-824,154,16796,0.67107,3.2262,141.83
-824,149,16788,0.66915,3.2322,141.81
-824,147,16786,0.69873,3.2619,141.87
-825,149,16773,0.71774,3.2805,141.91
-832,135,16786,0.71813,3.2965,141.95
-834,140,16795,0.71912,3.3094,141.98
-823,143,16797,0.71961,3.3095,142
-826,152,16790,0.72509,3.3108,142.02
-818,159,16796,0.73299,3.3046,142.03
-815,159,16786,0.69764,3.2658,141.95
-821,157,16783,0.68557,3.2532,141.9
