x,y,z,roll,pitch,yaw
1984,97,17173,0.19714,-6.2887,146.29
1989,123,17176,0.24923,-6.2921,146.31
1992,132,17194,0.29426,-6.2968,146.32
1986,135,17204,0.33005,-6.2965,146.33
1982,133,17220,0.35537,-6.2929,146.33
1977,129,17224,0.37002,-6.2881,146.34
1973,130,17214,0.37963,-6.2843,146.33
1977,123,17207,0.38227,-6.2846,146.32
1976,121,17201,0.41507,-6.2652,146.43
1969,102,17203,0.3901,-6.27,146.4
1962,94,17185,0.36678,-6.269,146.39
1969,86,17192,0.32305,-6.2857,146.3
1976,93,17176,0.35273,-6.2664,146.41
1975,111,17172,0.38185,-6.254,146.5
1971,111,17169,0.40174,-6.2436,146.58
1963,116,17181,0.36153,-6.2678,146.46
1949,107,17166,0.35317,-6.2584,146.44
1942,113,17157,0.35226,-6.246,146.42
1939,119,17155,0.35676,-6.2336,146.41
1935,119,17154,0.3609,-6.2208,146.39
1935,99,17146,0.35029,-6.211,146.38
1938,76,17154,0.32606,-6.2044,146.38
1940,73,17149,0.30574,-6.2005,146.37
1943,76,17150,0.29261,-6.1991,146.37
1966,82,17152,0.28705,-6.214,146.37
1977,86,17165,0.28592,-6.2321,146.37
1988,98,17174,0.32682,-6.2317,146.48
1988,108,17167,0.35909,-6.2366,146.56
1979,123,17203,0.38954,-6.2347,146.62
1979,132,17213,0.41536,-6.2353,146.67
1974,126,17218,0.42761,-6.234,146.72
1970,119,17199,0.42958,-6.2335,146.75
1960,106,17195,0.41999,-6.2277,146.78
1958,92,17186,0.40106,-6.2233,146.8
1959,77,17169,0.3201,-6.2588,146.65
1960,76,17168,0.32142,-6.244,146.7
1960,68,17133,0.28081,-6.2589,146.64
1962,68,17103,0.25366,-6.2714,146.59
1974,74,17107,0.21839,-6.3017,146.48
1982,87,17116,0.20741,-6.3255,146.4
1980,101,17119,0.24749,-6.3169,146.44
1979,115,17132,0.30703,-6.2967,146.53
1979,127,17151,0.35515,-6.2825,146.61
1967,115,17161,0.35711,-6.2795,146.6
1964,116,17165,0.35994,-6.2744,146.59
1954,110,17169,0.35826,-6.2626,146.58
1941,104,17172,0.37452,-6.2297,146.64
1930,89,17167,0.35051,-6.2149,146.62
1936,77,17166,0.31171,-6.2153,146.57
1941,69,17166,0.27957,-6.2166,146.52
1940,72,17175,0.25967,-6.214,146.49
1948,83,17166,0.25434,-6.2169,146.46
1956,93,17180,0.25901,-6.2226,146.44
1965,100,17191,0.2689,-6.2317,146.42
1973,113,17184,0.28698,-6.2444,146.4
1977,123,17205,0.34242,-6.2342,146.49
1976,134,17223,0.38569,-6.2282,146.56
1975,136,17220,0.41605,-6.2248,146.62
1966,125,17200,0.42827,-6.2199,146.66
1967,126,17210,0.43573,-6.2178,146.7
1968,112,17203,0.42943,-6.2188,146.73
1970,99,17213,0.41364,-6.2226,146.75
1969,89,17196,0.36143,-6.2479,146.67
1972,74,17163,0.31595,-6.2685,146.6
1968,64,17153,0.2779,-6.2795,146.55
1967,71,17139,0.25679,-6.2846,146.51
1972,75,17143,0.24774,-6.2887,146.49
1975,77,17133,0.2416,-6.2954,146.47
1965,88,17148,0.24626,-6.2912,146.44
1967,95,17147,0.288,-6.2678,146.53
1965,91,17160,0.31161,-6.2511,146.61
1969,116,17180,0.33206,-6.2496,146.62
1962,130,17170,0.35687,-6.2451,146.63
1955,118,17192,0.34584,-6.2505,146.57
1971,113,17193,0.33909,-6.2623,146.53
1965,108,17186,0.3329,-6.266,146.5
1973,101,17164,0.32514,-6.2751,146.47
1972,100,17148,0.32014,-6.2817,146.45
1978,105,17160,0.28936,-6.3106,146.33
1981,93,17158,0.26445,-6.3302,146.23
1993,94,17179,0.28356,-6.3271,146.26
1995,101,17177,0.30143,-6.3276,146.28
1978,108,17181,0.31861,-6.3152,146.3
1977,103,17190,0.32688,-6.3051,146.32
1976,110,17208,0.33738,-6.2957,146.32
1972,106,17220,0.33949,-6.2867,146.33
1966,96,17212,0.33397,-6.2762,146.33
1962,82,17216,0.31945,-6.2648,146.33
1966,69,17205,0.29885,-6.2595,146.33
1968,63,17192,0.27881,-6.2577,146.33
1978,60,17214,0.26103,-6.2614,146.34
1981,72,17218,0.28794,-6.2465,146.45
1982,78,17208,0.27443,-6.2619,146.43
1986,93,17204,0.31113,-6.2531,146.53
1986,103,17208,0.3077,-6.2716,146.5
1987,111,17207,0.31273,-6.2856,146.47
1976,109,17210,0.34942,-6.2662,146.56
1976,111,17229,0.34073,-6.2748,146.52
1963,108,17190,0.33455,-6.2739,146.49
1961,92,17175,0.35295,-6.2503,146.57
1956,86,17174,0.35767,-6.2318,146.64
1958,77,17170,0.35084,-6.2218,146.69
1956,70,17165,0.33747,-6.2149,146.74
1961,71,17156,0.32548,-6.2152,146.77
1967,84,17159,0.32364,-6.2207,146.8
1964,89,17157,0.32426,-6.224,146.83
1979,91,17170,0.3248,-6.2371,146.85
1983,97,17191,0.3285,-6.2491,146.86
1982,97,17190,0.33057,-6.2585,146.87
1970,97,17203,0.33145,-6.2567,146.89
1975,95,17222,0.35094,-6.2429,146.96
1966,84,17238,0.35326,-6.2276,147.03
1959,70,17233,0.3413,-6.2135,147.08
1956,50,17215,0.31485,-6.2036,147.12
1953,44,17206,0.26675,-6.2093,147.09
1958,31,17199,0.22275,-6.2159,147.07
1966,31,17204,0.19065,-6.2263,147.05
1978,30,17180,0.16658,-6.2438,147.04
1985,47,17177,0.16133,-6.2618,147.03
1986,54,17186,0.14121,-6.2895,146.96
1992,61,17197,0.13565,-6.3112,146.9
1994,78,17212,0.14733,-6.3259,146.85
1991,79,17226,0.15992,-6.3323,146.81
1982,94,17216,0.18269,-6.3303,146.77
1981,95,17232,0.20262,-6.3258,146.74
1979,89,17235,0.21512,-6.3213,146.72
1978,66,17212,0.21166,-6.3167,146.71
1981,66,17187,0.18502,-6.3331,146.62
1984,62,17178,0.18946,-6.3303,146.62
1987,62,17165,0.19269,-6.3315,146.62
1989,73,17146,0.20303,-6.3355,146.62
1993,68,17155,0.20729,-6.3395,146.62
1995,68,17140,0.23211,-6.3314,146.69
1985,74,17158,0.2485,-6.3213,146.74
1970,97,17172,0.24282,-6.3246,146.67
1966,96,17177,0.24173,-6.3212,146.61
1962,93,17189,0.24182,-6.3126,146.57
1959,85,17184,0.23863,-6.3025,146.53
1950,68,17205,0.2279,-6.2837,146.51
1949,62,17195,0.21648,-6.2682,146.49
1944,46,17190,0.19712,-6.2522,146.48
1951,36,17180,0.15418,-6.2593,146.4
1961,22,17181,0.13789,-6.2536,146.4
1966,28,17178,0.10934,-6.266,146.35
1969,45,17175,0.1034,-6.2754,146.3
1967,61,17188,0.14737,-6.2559,146.37
1975,73,17191,0.20375,-6.2376,146.49
1970,84,17202,0.2507,-6.2221,146.58
1977,94,17204,0.23015,-6.2572,146.47
1966,105,17202,0.26479,-6.2485,146.5
1974,116,17205,0.29727,-6.2487,146.52
1967,114,17205,0.34143,-6.231,146.6
1962,99,17202,0.33335,-6.2322,146.59
1969,91,17187,0.31095,-6.2463,146.55
1975,92,17165,0.29735,-6.2628,146.51
1992,91,17161,0.28843,-6.2865,146.49
1992,110,17158,0.33137,-6.2826,146.57
2006,108,17173,0.32489,-6.3135,146.53
1998,111,17167,0.35746,-6.3094,146.61
1997,121,17174,0.35238,-6.3295,146.56
2003,133,17171,0.36008,-6.3478,146.52
1992,131,17196,0.39942,-6.3295,146.6
1980,130,17218,0.42399,-6.3083,146.66
1960,127,17223,0.40437,-6.3012,146.59
1954,103,17215,0.35385,-6.3041,146.48
1956,96,17191,0.34863,-6.2825,146.49
1953,77,17179,0.32978,-6.2651,146.51
1951,56,17172,0.29934,-6.2511,146.52
1953,43,17146,0.26741,-6.2437,146.53
1967,45,17121,0.24379,-6.25,146.55
1971,45,17102,0.22294,-6.2611,146.55
1983,55,17095,0.26831,-6.2441,146.73
1982,70,17108,0.30316,-6.2365,146.88
1982,78,17133,0.32714,-6.2342,147
1983,92,17140,0.31617,-6.2581,146.98
1983,105,17145,0.31855,-6.2755,146.96
1975,109,17185,0.3241,-6.278,146.95
1973,104,17202,0.32536,-6.2768,146.94
1977,89,17209,0.31605,-6.2778,146.93
1972,68,17204,0.27475,-6.2877,146.87
1973,59,17191,0.20684,-6.3168,146.7
1967,62,17192,0.16819,-6.3285,146.58
1975,68,17190,0.15025,-6.338,146.48
1979,66,17189,0.14091,-6.3444,146.4
1979,78,17166,0.14706,-6.3481,146.34
1977,82,17161,0.213,-6.3119,146.46
1973,99,17172,0.26781,-6.2857,146.56
1974,112,17180,0.31306,-6.2698,146.63
1979,115,17196,0.34519,-6.263,146.69
1971,104,17179,0.35852,-6.256,146.73
1960,90,17188,0.35576,-6.2439,146.77
1957,78,17168,0.3428,-6.2354,146.8
1964,56,17160,0.31525,-6.2354,146.83
1957,51,17157,0.28913,-6.2313,146.85
1961,48,17135,0.26571,-6.2333,146.87
1965,54,17145,0.25102,-6.2373,146.89
