x,y,z,roll,pitch,yaw
759,196,17120,0.74113,-2.3793,-90.178
755,187,17120,0.74024,-2.326,-90.19
756,181,17107,0.73551,-2.3708,-90.164
761,185,17090,0.7349,-2.3999,-90.142
768,185,17111,0.73396,-2.3452,-90.157
764,181,17122,0.73052,-2.313,-90.166
759,185,17111,0.73085,-2.2911,-90.171
766,185,17109,0.73114,-2.2834,-90.175
770,176,17095,0.72498,-2.2824,-90.178
778,174,17103,0.71859,-2.3629,-90.147
783,178,17106,0.71642,-2.3357,-90.158
772,184,17110,0.71906,-2.3136,-90.166
769,189,17105,0.72475,-2.2974,-90.17
772,208,17096,0.74284,-2.289,-90.175
786,210,17077,0.75869,-2.2935,-90.18
784,209,17071,0.77043,-2.2954,-90.186
775,211,17087,0.78092,-2.2898,-90.191
772,212,17085,0.79135,-2.2848,-90.196
768,213,17080,0.80029,-2.2793,-90.2
782,211,17093,0.80573,-2.286,-90.203
780,211,17098,0.80994,-2.2901,-90.207
778,204,17087,0.80827,-2.2918,-90.21
777,197,17093,0.80185,-2.2922,-90.214
773,192,17098,0.7917,-2.2897,-90.217
780,197,17083,0.78767,-2.2969,-90.219
789,201,17074,0.7873,-2.3053,-90.223
782,200,17083,0.78638,-2.3097,-90.226
775,197,17079,0.78333,-2.3048,-90.23
786,194,17080,0.77878,-2.3101,-90.234
782,199,17087,0.77875,-2.3105,-90.239
775,204,17098,0.78226,-2.3043,-90.243
782,211,17085,0.79168,-2.3812,-90.214
774,207,17101,0.79619,-2.3445,-90.225
760,202,17113,0.79607,-2.3141,-90.232
765,207,17114,0.79962,-2.3,-90.237
766,198,17118,0.79588,-2.2924,-90.241
772,201,17111,0.79341,-2.2923,-90.243
773,195,17118,0.78709,-2.2929,-90.246
776,198,17106,0.7844,-2.2961,-90.248
773,196,17115,0.78095,-2.2986,-90.249
776,198,17117,0.77952,-2.3744,-90.219
782,199,17108,0.77932,-2.4209,-90.196
779,201,17100,0.78074,-2.4452,-90.178
774,210,17101,0.78837,-2.4547,-90.162
772,205,17110,0.79066,-2.4575,-90.148
785,205,17099,0.79256,-2.4677,-90.134
777,199,17107,0.7891,-2.3918,-90.154
783,193,17108,0.78228,-2.3519,-90.169
790,194,17096,0.77783,-2.3345,-90.18
795,194,17094,0.77432,-2.3287,-90.189
805,195,17088,0.77236,-2.3332,-90.196
812,196,17079,0.77179,-2.3448,-90.202
801,193,17092,0.76904,-2.3439,-90.209
787,196,17090,0.7689,-2.331,-90.217
790,194,17088,0.76755,-2.329,-90.223
778,204,17077,0.77382,-2.3199,-90.228
768,209,17081,0.78232,-2.3075,-90.232
763,203,17088,0.78466,-2.2965,-90.237
754,205,17092,0.7879,-2.2835,-90.24
727,203,17092,0.78895,-2.2566,-90.241
726,203,17064,0.79005,-2.2405,-90.24
725,198,17069,0.78725,-2.2298,-90.237
725,204,17067,0.78943,-2.2232,-90.234
734,197,17074,0.78633,-2.227,-90.23
740,198,17067,0.78468,-2.2335,-90.226
738,210,17061,0.79212,-2.2359,-90.224
746,206,17064,0.79649,-2.2428,-90.221
769,242,17067,0.82593,-2.2633,-90.221
774,241,17086,0.8466,-2.2785,-90.221
782,240,17091,0.862,-2.2918,-90.223
780,246,17096,0.87833,-2.2983,-90.226
778,255,17102,0.89632,-2.2258,-90.263
776,244,17099,0.90277,-2.1835,-90.292
776,238,17091,0.90459,-2.2356,-90.283
778,238,17093,0.90597,-2.2676,-90.279
782,204,17102,0.88221,-2.2878,-90.277
789,214,17090,0.87092,-2.3054,-90.278
785,224,17079,0.86938,-2.3136,-90.28
788,213,17074,0.86179,-2.3957,-90.25
788,205,17069,0.85022,-2.4429,-90.227
795,216,17077,0.8491,-2.4745,-90.209
801,217,17099,0.84876,-2.4942,-90.194
793,212,17119,0.84472,-2.4985,-90.181
787,216,17104,0.84458,-2.4962,-90.169
780,212,17108,0.84024,-2.4921,-90.156
771,204,17105,0.83094,-2.4788,-90.144
777,211,17108,0.82811,-2.3995,-90.165
781,214,17121,0.82811,-2.3558,-90.179
775,200,17119,0.81829,-2.3292,-90.187
774,199,17111,0.80997,-2.3134,-90.194
781,203,17095,0.80633,-2.3071,-90.2
783,198,17103,0.7998,-2.3049,-90.205
790,189,17118,0.78808,-2.3086,-90.209
798,189,17129,0.7788,-2.3166,-90.214
796,180,17137,0.76497,-2.3202,-90.219
796,184,17125,0.7568,-2.3228,-90.224
798,188,17113,0.75337,-2.3282,-90.23
796,190,17116,0.75209,-2.3303,-90.236
788,189,17110,0.75042,-2.3265,-90.242
798,192,17102,0.75152,-2.3351,-90.246
794,198,17099,0.75655,-2.3349,-90.252
789,199,17109,0.76112,-2.3313,-90.258
818,201,17111,0.76632,-2.3519,-90.262
817,200,17119,0.76939,-2.3607,-90.269
805,205,17134,0.77525,-2.3574,-90.276
803,200,17132,0.77632,-2.3545,-90.285
