x,y,z,roll,pitch,yaw
-195.31,-953.13,15867,-2.598,0.807,10.635
-203.13,-835.94,15789,-2.593,0.807,10.635
-296.88,-445.31,16203,-2.576,0.807,10.635
-273.44,-679.69,16336,-2.587,0.807,10.635
-156.25,-937.5,15719,-2.598,0.802,10.635
-140.63,-804.69,15766,-2.593,0.807,10.635
-312.5,-554.69,16305,-2.576,0.807,10.635
-210.94,-695.31,16250,-2.587,0.807,10.635
-195.31,-828.13,15563,-2.598,0.807,10.635
-179.69,-929.69,15844,-2.593,0.807,10.635
-289.06,-625,16266,-2.582,0.807,10.635
-203.13,-578.13,16047,-2.587,0.807,10.635
-226.56,-921.88,15820,-2.598,0.807,10.635
-164.06,-882.81,15938,-2.593,0.802,10.635
-195.31,-546.88,15906,-2.582,0.802,10.635
-179.69,-656.25,16414,-2.587,0.802,10.635
-257.81,-890.63,15781,-2.598,0.802,10.635
-140.63,-937.5,15617,-2.593,0.802,10.635
-296.88,-609.38,16102,-2.582,0.802,10.635
-218.75,-562.5,16406,-2.587,0.802,10.635
-257.81,-875,15711,-2.598,0.802,10.635
-171.88,-875,15773,-2.598,0.802,10.635
-234.38,-562.5,16367,-2.587,0.802,10.635
-257.81,-593.75,16211,-2.587,0.802,10.635
-218.75,-750,15898,-2.598,0.802,10.635
-203.13,-921.88,15945,-2.598,0.802,10.635
-164.06,-656.25,15875,-2.587,0.802,10.635
-210.94,-562.5,16242,-2.587,0.802,10.635
-234.38,-781.25,15922,-2.598,0.802,10.635
-179.69,-984.38,15672,-2.598,0.802,10.635
-234.38,-609.38,15898,-2.587,0.802,10.635
-218.75,-578.13,16430,-2.582,0.802,10.635
-226.56,-851.56,15961,-2.598,0.802,10.635
-148.44,-859.38,15539,-2.598,0.802,10.635
-281.25,-750,16164,-2.587,0.802,10.635
-226.56,-562.5,16305,-2.582,0.802,10.635
-250,-757.81,15766,-2.593,0.802,10.635
-242.19,-960.94,15852,-2.598,0.802,10.635
-242.19,-710.94,16117,-2.587,0.802,10.635
-218.75,-515.63,16078,-2.582,0.802,10.635
-218.75,-687.5,16234,-2.593,0.802,10.635
-195.31,-937.5,15828,-2.598,0.802,10.635
-203.13,-742.19,15680,-2.587,0.802,10.635
-289.06,-515.63,16406,-2.582,0.807,10.635
-195.31,-742.19,16148,-2.593,0.802,10.635
-195.31,-906.25,15453,-2.598,0.802,10.635
-203.13,-796.88,16000,-2.593,0.802,10.635
-242.19,-531.25,16375,-2.582,0.802,10.635
-273.44,-695.31,16031,-2.593,0.802,10.635
-195.31,-875,15742,-2.598,0.802,10.635
-179.69,-789.06,16039,-2.587,0.802,10.635
-226.56,-539.06,16227,-2.582,0.802,10.635
-195.31,-671.88,16031,-2.593,0.802,10.635
-257.81,-937.5,15789,-2.598,0.802,10.635
-210.94,-789.06,15781,-2.593,0.802,10.635
-234.38,-484.38,16078,-2.582,0.797,10.635
-281.25,-734.38,16203,-2.593,0.797,10.635
-179.69,-921.88,15672,-2.598,0.797,10.635
-164.06,-828.13,15688,-2.587,0.802,10.635
-289.06,-578.13,16352,-2.582,0.802,10.635
-179.69,-656.25,16211,-2.587,0.797,10.635
-187.5,-898.44,15547,-2.593,0.797,10.635
-218.75,-867.19,15945,-2.587,0.797,10.635
-250,-578.13,16266,-2.576,0.802,10.635
-257.81,-593.75,15984,-2.582,0.802,10.635
-187.5,-890.63,15992,-2.593,0.802,10.635
-234.38,-859.38,15891,-2.593,0.797,10.635
-250,-515.63,15953,-2.576,0.802,10.635
-289.06,-570.31,16508,-2.582,0.802,10.635
-210.94,-867.19,15859,-2.598,0.802,10.635
-109.38,-929.69,15609,-2.593,0.797,10.635
-242.19,-617.19,16164,-2.582,0.802,10.635
-242.19,-578.13,16258,-2.582,0.802,10.635
-203.13,-828.13,15781,-2.593,0.802,10.635
-148.44,-929.69,15742,-2.593,0.802,10.635
-265.63,-671.88,16086,-2.582,0.802,10.635
-195.31,-554.69,16344,-2.582,0.802,10.635
-218.75,-773.44,15805,-2.593,0.797,10.635
-171.88,-976.56,15797,-2.598,0.802,10.635
-250,-687.5,15953,-2.582,0.802,10.635
-273.44,-453.13,16172,-2.582,0.802,10.635
-242.19,-828.13,16109,-2.593,0.802,10.635
-195.31,-875,15656,-2.598,0.797,10.635
-210.94,-664.06,15891,-2.582,0.802,10.635
-312.5,-531.25,16492,-2.582,0.802,10.635
-218.75,-757.81,16039,-2.587,0.802,10.635
-156.25,-937.5,15594,-2.593,0.802,10.635
-265.63,-750,16094,-2.582,0.802,10.635
-210.94,-539.06,16383,-2.576,0.802,10.635
-250,-726.56,15805,-2.587,0.802,10.635
-164.06,-945.31,15844,-2.593,0.802,10.635
-273.44,-750,15930,-2.582,0.802,10.635
-187.5,-476.56,16055,-2.576,0.802,10.635
-226.56,-710.94,16289,-2.587,0.807,10.635
-203.13,-953.13,15703,-2.598,0.802,10.635
-148.44,-734.38,15703,-2.587,0.802,10.635
-335.94,-476.56,16508,-2.576,0.807,10.635
-226.56,-718.75,16102,-2.587,0.802,10.635
-93.75,-960.94,15563,-2.593,0.802,10.635
-203.13,-781.25,15961,-2.582,0.807,10.635
-281.25,-554.69,16250,-2.576,0.807,10.635
-234.38,-679.69,16055,-2.587,0.802,10.635
-156.25,-898.44,15688,-2.593,0.802,10.635
-179.69,-890.63,15938,-2.582,0.802,10.635
-296.88,-531.25,16164,-2.571,0.807,10.635
-250,-632.81,16070,-2.582,0.802,10.635
-218.75,-984.38,15859,-2.593,0.802,10.635
-164.06,-820.31,15711,-2.582,0.802,10.635
-242.19,-546.88,16133,-2.571,0.807,10.635
-210.94,-601.56,16438,-2.582,0.802,10.635
-171.88,-882.81,15695,-2.593,0.802,10.635
-164.06,-859.38,15734,-2.587,0.802,10.635
-296.88,-570.31,16359,-2.571,0.807,10.635
-218.75,-625,16297,-2.576,0.802,10.635
-234.38,-875,15570,-2.593,0.802,10.635
-195.31,-867.19,15953,-2.587,0.802,10.635
-218.75,-632.81,16117,-2.576,0.802,10.635
-265.63,-570.31,15984,-2.582,0.802,10.635
-242.19,-867.19,16039,-2.593,0.802,10.635
-226.56,-929.69,15758,-2.587,0.802,10.635
-242.19,-601.56,15883,-2.576,0.802,10.635
-289.06,-601.56,16398,-2.582,0.802,10.635
-203.13,-882.81,15898,-2.593,0.802,10.635
-164.06,-937.5,15563,-2.593,0.802,10.635
-250,-617.19,16063,-2.582,0.802,10.635
-281.25,-617.19,16383,-2.582,0.802,10.635
-203.13,-781.25,15742,-2.593,0.802,10.635
-140.63,-898.44,15773,-2.593,0.802,10.635
-265.63,-679.69,16203,-2.582,0.802,10.635
-226.56,-500,16242,-2.582,0.802,10.635
-250,-773.44,16000,-2.593,0.802,10.635
-203.13,-929.69,15852,-2.598,0.802,10.635
-179.69,-710.94,15891,-2.582,0.802,10.635
-218.75,-562.5,16156,-2.582,0.802,10.635
-289.06,-781.25,16086,-2.593,0.802,10.635
-156.25,-953.13,15648,-2.598,0.802,10.635
-226.56,-679.69,15789,-2.587,0.802,10.635
-242.19,-570.31,16570,-2.582,0.802,10.635
-195.31,-750,15906,-2.593,0.802,10.635
-195.31,-898.44,15578,-2.598,0.802,10.635
-218.75,-734.38,16156,-2.587,0.802,10.635
-210.94,-578.13,16203,-2.582,0.802,10.635
-257.81,-742.19,15836,-2.593,0.802,10.635
