x,y,z,roll,pitch,yaw
-265.63,-718.75,15852,-2.411,0.566,-74.762
-109.38,-632.81,15719,-2.401,0.56,-74.762
-140.63,-625,16227,-2.401,0.56,-74.762
-179.69,-726.56,16195,-2.406,0.56,-74.762
-93.75,-695.31,15719,-2.411,0.566,-74.762
-242.19,-664.06,15930,-2.401,0.566,-74.762
-195.31,-664.06,16406,-2.401,0.56,-74.762
15.625,-656.25,15906,-2.406,0.56,-74.762
-234.38,-734.38,15742,-2.406,0.566,-74.762
-226.56,-695.31,16023,-2.406,0.566,-74.762
23.438,-656.25,15977,-2.401,0.56,-74.762
-78.125,-695.31,16102,-2.406,0.56,-74.762
-203.13,-742.19,15836,-2.411,0.566,-74.762
-93.75,-703.13,15852,-2.406,0.566,-74.762
-93.75,-671.88,16102,-2.401,0.566,-74.762
-210.94,-703.13,16273,-2.406,0.566,-74.762
-78.125,-726.56,15875,-2.411,0.566,-74.762
-156.25,-679.69,15648,-2.406,0.566,-74.762
-203.13,-656.25,16313,-2.401,0.566,-74.762
-62.5,-679.69,16125,-2.406,0.56,-74.762
-62.5,-687.5,15703,-2.411,0.56,-74.762
-289.06,-664.06,15945,-2.406,0.566,-74.762
-109.38,-703.13,16250,-2.401,0.56,-74.762
-62.5,-671.88,15977,-2.406,0.56,-74.762
-187.5,-718.75,16016,-2.411,0.566,-74.762
-218.75,-734.38,15852,-2.406,0.56,-74.762
-23.438,-648.44,15867,-2.401,0.56,-74.762
-125,-703.13,16250,-2.406,0.56,-74.762
-125,-757.81,15859,-2.411,0.56,-74.762
-101.56,-695.31,15602,-2.406,0.56,-74.762
-187.5,-640.63,16117,-2.401,0.56,-74.762
-140.63,-687.5,16305,-2.401,0.56,-74.762
-109.38,-687.5,15758,-2.411,0.56,-74.762
-265.63,-703.13,15797,-2.406,0.566,-74.762
-250,-664.06,16133,-2.401,0.56,-74.762
-62.5,-632.81,15992,-2.401,0.56,-74.762
-179.69,-710.94,15922,-2.411,0.566,-74.762
-289.06,-726.56,15859,-2.411,0.566,-74.762
-46.875,-648.44,15883,-2.401,0.56,-74.762
-62.5,-664.06,16141,-2.401,0.56,-74.762
-226.56,-734.38,16078,-2.411,0.56,-74.762
-93.75,-742.19,15750,-2.411,0.56,-74.762
-132.81,-703.13,15875,-2.406,0.56,-74.762
-117.19,-679.69,16344,-2.406,0.56,-74.762
-101.56,-671.88,15789,-2.411,0.56,-74.762
-242.19,-710.94,15891,-2.411,0.56,-74.762
-226.56,-656.25,16336,-2.406,0.56,-74.762
-31.25,-664.06,16000,-2.406,0.555,-74.762
-156.25,-687.5,15914,-2.411,0.555,-74.762
-273.44,-695.31,15875,-2.411,0.566,-74.762
-85.938,-640.63,15930,-2.406,0.56,-74.762
-85.938,-656.25,16125,-2.401,0.56,-74.762
-242.19,-687.5,15961,-2.411,0.56,-74.762
-140.63,-710.94,15781,-2.411,0.56,-74.762
-171.88,-601.56,16070,-2.406,0.56,-74.762
-171.88,-656.25,16430,-2.401,0.56,-74.762
-93.75,-726.56,15867,-2.406,0.56,-74.762
-218.75,-710.94,15734,-2.411,0.56,-74.762
-210.94,-671.88,16203,-2.406,0.56,-74.762
-70.313,-648.44,16094,-2.401,0.555,-74.762
-85.938,-656.25,15836,-2.406,0.555,-74.762
-328.13,-687.5,15906,-2.411,0.56,-74.762
